#    L    TT             EE             BB             TE          
     2    0.10709E+04    0.50450E-01    0.19229E-05    0.33215E+01
     3    0.10117E+04    0.84280E-01    0.38499E-05    0.41898E+01
     4    0.95328E+03    0.97014E-01    0.64252E-05    0.43505E+01
     5    0.90755E+03    0.88302E-01    0.96533E-05    0.40760E+01
     6    0.87436E+03    0.67117E-01    0.13539E-04    0.35859E+01
     7    0.85162E+03    0.43979E-01    0.18088E-04    0.30246E+01
     8    0.83669E+03    0.25919E-01    0.23305E-04    0.24787E+01
     9    0.82809E+03    0.15137E-01    0.29193E-04    0.20006E+01
    10    0.82438E+03    0.10315E-01    0.35757E-04    0.16195E+01
    11    0.82438E+03    0.87781E-02    0.42998E-04    0.13454E+01
    12    0.82771E+03    0.82828E-02    0.50917E-04    0.11756E+01
    13    0.83305E+03    0.76431E-02    0.59515E-04    0.10951E+01
    14    0.84002E+03    0.67935E-02    0.68789E-04    0.10843E+01
    15    0.84846E+03    0.60320E-02    0.78738E-04    0.11217E+01
    16    0.85823E+03    0.56439E-02    0.89360E-04    0.11870E+01
    17    0.86912E+03    0.57178E-02    0.10065E-03    0.12632E+01
    18    0.88031E+03    0.60808E-02    0.11261E-03    0.13380E+01
    19    0.89309E+03    0.65575E-02    0.12523E-03    0.14070E+01
    20    0.90617E+03    0.70599E-02    0.13852E-03    0.14655E+01
    21    0.91973E+03    0.75841E-02    0.15247E-03    0.15150E+01
    22    0.93378E+03    0.82360E-02    0.16709E-03    0.15573E+01
    23    0.94811E+03    0.91157E-02    0.18237E-03    0.15956E+01
    24    0.96284E+03    0.10271E-01    0.19832E-03    0.16332E+01
    25    0.97796E+03    0.11715E-01    0.21495E-03    0.16730E+01
    26    0.99332E+03    0.13412E-01    0.23225E-03    0.17180E+01
    27    0.10091E+04    0.15327E-01    0.25025E-03    0.17656E+01
    28    0.10250E+04    0.17453E-01    0.26893E-03    0.18135E+01
    29    0.10411E+04    0.19779E-01    0.28831E-03    0.18606E+01
    30    0.10576E+04    0.22306E-01    0.30840E-03    0.19047E+01
