#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10709E+04    0.50448E-01    0.00000E+00    0.33215E+01    0.52576E-07    0.32841E-02   -0.15691E-04
     3    0.10117E+04    0.84276E-01    0.00000E+00    0.41898E+01    0.64121E-07    0.32954E-02   -0.19462E-04
     4    0.95326E+03    0.97007E-01    0.00000E+00    0.43505E+01    0.74077E-07    0.32326E-02   -0.19900E-04
     5    0.90753E+03    0.88292E-01    0.00000E+00    0.40760E+01    0.82744E-07    0.31384E-02   -0.17867E-04
     6    0.87434E+03    0.67103E-01    0.00000E+00    0.35859E+01    0.90320E-07    0.30309E-02   -0.14193E-04
     7    0.85158E+03    0.43961E-01    0.00000E+00    0.30246E+01    0.97001E-07    0.29189E-02   -0.97142E-05
     8    0.83665E+03    0.25895E-01    0.00000E+00    0.24787E+01    0.10293E-06    0.28071E-02   -0.51850E-05
     9    0.82804E+03    0.15108E-01    0.00000E+00    0.20006E+01    0.10822E-06    0.26984E-02   -0.12144E-05
    10    0.82431E+03    0.10279E-01    0.00000E+00    0.16195E+01    0.11294E-06    0.25941E-02    0.17861E-05
    11    0.82430E+03    0.87351E-02    0.00000E+00    0.13455E+01    0.11719E-06    0.24966E-02    0.36287E-05
    12    0.82762E+03    0.82319E-02    0.00000E+00    0.11757E+01    0.12100E-06    0.24057E-02    0.43130E-05
    13    0.83295E+03    0.75837E-02    0.00000E+00    0.10952E+01    0.12441E-06    0.23210E-02    0.40362E-05
    14    0.83990E+03    0.67247E-02    0.00000E+00    0.10844E+01    0.12749E-06    0.22424E-02    0.30464E-05
    15    0.84833E+03    0.59534E-02    0.00000E+00    0.11218E+01    0.13026E-06    0.21690E-02    0.16635E-05
    16    0.85807E+03    0.55546E-02    0.00000E+00    0.11871E+01    0.13275E-06    0.20998E-02    0.20051E-06
    17    0.86895E+03    0.56173E-02    0.00000E+00    0.12634E+01    0.13499E-06    0.20346E-02   -0.11055E-05
    18    0.88012E+03    0.59683E-02    0.00000E+00    0.13382E+01    0.13701E-06    0.19730E-02   -0.20675E-05
    19    0.89288E+03    0.64324E-02    0.00000E+00    0.14071E+01    0.13883E-06    0.19142E-02   -0.26175E-05
    20    0.90594E+03    0.69215E-02    0.00000E+00    0.14657E+01    0.14044E-06    0.18577E-02   -0.27401E-05
    21    0.91947E+03    0.74318E-02    0.00000E+00    0.15152E+01    0.14188E-06    0.18033E-02   -0.25147E-05
    22    0.93350E+03    0.80691E-02    0.00000E+00    0.15575E+01    0.14316E-06    0.17513E-02   -0.20484E-05
    23    0.94781E+03    0.89336E-02    0.00000E+00    0.15959E+01    0.14431E-06    0.17016E-02   -0.14682E-05
    24    0.96251E+03    0.10073E-01    0.00000E+00    0.16335E+01    0.14531E-06    0.16541E-02   -0.89846E-06
    25    0.97761E+03    0.11500E-01    0.00000E+00    0.16733E+01    0.14618E-06    0.16089E-02   -0.43613E-06
    26    0.99294E+03    0.13180E-01    0.00000E+00    0.17183E+01    0.14694E-06    0.15659E-02   -0.15341E-06
    27    0.10087E+04    0.15077E-01    0.00000E+00    0.17660E+01    0.14760E-06    0.15249E-02   -0.53052E-07
    28    0.10245E+04    0.17184E-01    0.00000E+00    0.18139E+01    0.14815E-06    0.14860E-02   -0.11641E-06
    29    0.10407E+04    0.19491E-01    0.00000E+00    0.18612E+01    0.14861E-06    0.14488E-02   -0.30777E-06
