#    L    TT             EE             TE             PP             TP          
     2    0.10709E+04    0.50448E-01    0.33215E+01    0.10906E+07    0.30613E+05
     3    0.10117E+04    0.84276E-01    0.41898E+01    0.16834E+07    0.36655E+05
     4    0.95326E+03    0.97007E-01    0.43505E+01    0.22128E+07    0.39610E+05
     5    0.90753E+03    0.88292E-01    0.40760E+01    0.26819E+07    0.40885E+05
     6    0.87434E+03    0.67103E-01    0.35859E+01    0.30972E+07    0.41189E+05
     7    0.85158E+03    0.43961E-01    0.30246E+01    0.34663E+07    0.40912E+05
     8    0.83665E+03    0.25895E-01    0.24787E+01    0.37958E+07    0.40287E+05
     9    0.82804E+03    0.15108E-01    0.20006E+01    0.40912E+07    0.39454E+05
    10    0.82431E+03    0.10279E-01    0.16195E+01    0.43564E+07    0.38506E+05
    11    0.82430E+03    0.87351E-02    0.13455E+01    0.45961E+07    0.37522E+05
    12    0.82762E+03    0.82319E-02    0.11757E+01    0.48120E+07    0.36536E+05
    13    0.83295E+03    0.75837E-02    0.10952E+01    0.50068E+07    0.35565E+05
    14    0.83990E+03    0.67247E-02    0.10844E+01    0.51833E+07    0.34626E+05
    15    0.84833E+03    0.59534E-02    0.11218E+01    0.53433E+07    0.33716E+05
    16    0.85807E+03    0.55546E-02    0.11871E+01    0.54883E+07    0.32834E+05
    17    0.86895E+03    0.56173E-02    0.12634E+01    0.56199E+07    0.31979E+05
    18    0.88012E+03    0.59683E-02    0.13382E+01    0.57395E+07    0.31155E+05
    19    0.89288E+03    0.64324E-02    0.14071E+01    0.58478E+07    0.30353E+05
    20    0.90594E+03    0.69215E-02    0.14657E+01    0.59454E+07    0.29567E+05
    21    0.91947E+03    0.74318E-02    0.15152E+01    0.60336E+07    0.28800E+05
    22    0.93350E+03    0.80691E-02    0.15575E+01    0.61136E+07    0.28056E+05
    23    0.94781E+03    0.89336E-02    0.15959E+01    0.61857E+07    0.27337E+05
    24    0.96251E+03    0.10073E-01    0.16335E+01    0.62503E+07    0.26644E+05
    25    0.97761E+03    0.11500E-01    0.16733E+01    0.63080E+07    0.25978E+05
    26    0.99294E+03    0.13180E-01    0.17183E+01    0.63596E+07    0.25339E+05
    27    0.10087E+04    0.15077E-01    0.17660E+01    0.64056E+07    0.24728E+05
    28    0.10245E+04    0.17184E-01    0.18139E+01    0.64461E+07    0.24142E+05
    29    0.10407E+04    0.19491E-01    0.18612E+01    0.64817E+07    0.23581E+05
    30    0.10571E+04    0.21998E-01    0.19053E+01    0.65125E+07    0.23042E+05
    31    0.10736E+04    0.24705E-01    0.19432E+01    0.65391E+07    0.22525E+05
    32    0.10904E+04    0.27606E-01    0.19717E+01    0.65618E+07    0.22029E+05
    33    0.11074E+04    0.30695E-01    0.19892E+01    0.65807E+07    0.21548E+05
    34    0.11247E+04    0.33978E-01    0.19948E+01    0.65961E+07    0.21079E+05
    35    0.11421E+04    0.37469E-01    0.19878E+01    0.66082E+07    0.20623E+05
