#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10709E+04    0.33215E+01    0.13407E-02    0.33215E+01    0.50448E-01   -0.64058E-05    0.13407E-02   -0.64058E-05    0.87627E-08
     3    0.10117E+04    0.41898E+01    0.95131E-03    0.41898E+01    0.84276E-01   -0.56182E-05    0.95131E-03   -0.56182E-05    0.53434E-08
     4    0.95326E+03    0.43505E+01    0.72283E-03    0.43505E+01    0.97007E-01   -0.44497E-05    0.72283E-03   -0.44497E-05    0.37038E-08
     5    0.90753E+03    0.40760E+01    0.57300E-03    0.40760E+01    0.88292E-01   -0.32620E-05    0.57300E-03   -0.32620E-05    0.27581E-08
     6    0.87434E+03    0.35859E+01    0.46768E-03    0.35859E+01    0.67103E-01   -0.21900E-05    0.46768E-03   -0.21900E-05    0.21505E-08
     7    0.85158E+03    0.30246E+01    0.39005E-03    0.30246E+01    0.43961E-01   -0.12981E-05    0.39005E-03   -0.12981E-05    0.17322E-08
     8    0.83665E+03    0.24787E+01    0.33083E-03    0.24787E+01    0.25895E-01   -0.61106E-06    0.33083E-03   -0.61106E-06    0.14296E-08
     9    0.82804E+03    0.20006E+01    0.28443E-03    0.20006E+01    0.15108E-01   -0.12801E-06    0.28443E-03   -0.12801E-06    0.12024E-08
    10    0.82431E+03    0.16195E+01    0.24734E-03    0.16195E+01    0.10279E-01    0.17030E-06    0.24734E-03    0.17030E-06    0.10267E-08
    11    0.82430E+03    0.13455E+01    0.21730E-03    0.13455E+01    0.87351E-02    0.31584E-06    0.21730E-03    0.31584E-06    0.88780E-09
    12    0.82762E+03    0.11757E+01    0.19259E-03    0.11757E+01    0.82319E-02    0.34617E-06    0.19259E-03    0.34617E-06    0.77550E-09
    13    0.83295E+03    0.10952E+01    0.17204E-03    0.10952E+01    0.75837E-02    0.29918E-06    0.17204E-03    0.29918E-06    0.68357E-09
    14    0.83990E+03    0.10844E+01    0.15474E-03    0.10844E+01    0.67247E-02    0.21051E-06    0.15474E-03    0.21051E-06    0.60706E-09
    15    0.84833E+03    0.11218E+01    0.14001E-03    0.11218E+01    0.59534E-02    0.10738E-06    0.14001E-03    0.10738E-06    0.54273E-09
    16    0.85807E+03    0.11871E+01    0.12732E-03    0.11871E+01    0.55546E-02    0.12246E-07    0.12732E-03    0.12246E-07    0.48802E-09
    17    0.86895E+03    0.12634E+01    0.11631E-03    0.12634E+01    0.56173E-02   -0.63194E-07    0.11631E-03   -0.63194E-07    0.44114E-09
    18    0.88012E+03    0.13382E+01    0.10668E-03    0.13382E+01    0.59683E-02   -0.11185E-06    0.10668E-03   -0.11185E-06    0.40061E-09
    19    0.89288E+03    0.14071E+01    0.98197E-04    0.14071E+01    0.64324E-02   -0.13428E-06    0.98197E-04   -0.13428E-06    0.36533E-09
    20    0.90594E+03    0.14657E+01    0.90644E-04    0.14657E+01    0.69215E-02   -0.13379E-06    0.90644E-04   -0.13379E-06    0.33437E-09
    21    0.91947E+03    0.15152E+01    0.83897E-04    0.15152E+01    0.74318E-02   -0.11700E-06    0.83897E-04   -0.11700E-06    0.30709E-09
    22    0.93350E+03    0.15575E+01    0.77853E-04    0.15575E+01    0.80691E-02   -0.91112E-07    0.77853E-04   -0.91112E-07    0.28293E-09
    23    0.94781E+03    0.15959E+01    0.72423E-04    0.15959E+01    0.89336E-02   -0.62490E-07    0.72423E-04   -0.62490E-07    0.26142E-09
    24    0.96251E+03    0.16335E+01    0.67528E-04    0.16335E+01    0.10073E-01   -0.36707E-07    0.67528E-04   -0.36707E-07    0.24218E-09
    25    0.97761E+03    0.16733E+01    0.63105E-04    0.16733E+01    0.11500E-01   -0.17106E-07    0.63105E-04   -0.17106E-07    0.22489E-09
    26    0.99294E+03    0.17183E+01    0.59099E-04    0.17183E+01    0.13180E-01   -0.57647E-08    0.59099E-04   -0.57647E-08    0.20931E-09
    27    0.10087E+04    0.17660E+01    0.55461E-04    0.17660E+01    0.15077E-01   -0.19295E-08    0.55461E-04   -0.19295E-08    0.19523E-09
    28    0.10245E+04    0.18139E+01    0.52147E-04    0.18139E+01    0.17184E-01   -0.40779E-08    0.52147E-04   -0.40779E-08    0.18245E-09
    29    0.10407E+04    0.18612E+01    0.49120E-04    0.18612E+01    0.19491E-01   -0.10434E-07    0.49120E-04   -0.10434E-07    0.17082E-09
    30    0.10571E+04    0.19053E+01    0.46346E-04    0.19053E+01    0.21998E-01   -0.19123E-07    0.46346E-04   -0.19123E-07    0.16020E-09
    31    0.10736E+04    0.19432E+01    0.43800E-04    0.19432E+01    0.24705E-01   -0.28120E-07    0.43800E-04   -0.28120E-07    0.15049E-09
    32    0.10904E+04    0.19717E+01    0.41455E-04    0.19717E+01    0.27606E-01   -0.35518E-07    0.41455E-04   -0.35518E-07    0.14158E-09
    33    0.11074E+04    0.19892E+01    0.39286E-04    0.19892E+01    0.30695E-01   -0.40042E-07    0.39286E-04   -0.40042E-07    0.13339E-09
    34    0.11247E+04    0.19948E+01    0.37268E-04    0.19948E+01    0.33978E-01   -0.40933E-07    0.37268E-04   -0.40933E-07    0.12585E-09
    35    0.11421E+04    0.19878E+01    0.35391E-04    0.19878E+01    0.37469E-01   -0.38884E-07    0.35391E-04   -0.38884E-07    0.11888E-09
    36    0.11598E+04    0.19671E+01    0.33647E-04    0.19671E+01    0.41189E-01   -0.34893E-07    0.33647E-04   -0.34893E-07    0.11244E-09
    37    0.11776E+04    0.19347E+01    0.32023E-04    0.19347E+01    0.45156E-01   -0.29726E-07    0.32023E-04   -0.29726E-07    0.10647E-09
    38    0.11956E+04    0.18946E+01    0.30507E-04    0.18946E+01    0.49390E-01   -0.24070E-07    0.30507E-04   -0.24070E-07    0.10092E-09
    39    0.12139E+04    0.18457E+01    0.29090E-04    0.18457E+01    0.53894E-01   -0.18524E-07    0.29090E-04   -0.18524E-07    0.95767E-10
    40    0.12322E+04    0.17859E+01    0.27769E-04    0.17859E+01    0.58672E-01   -0.13662E-07    0.27769E-04   -0.13662E-07    0.90965E-10
    41    0.12508E+04    0.17131E+01    0.26538E-04    0.17131E+01    0.63732E-01   -0.99472E-08    0.26538E-04   -0.99472E-08    0.86485E-10
    42    0.12694E+04    0.16277E+01    0.25389E-04    0.16277E+01    0.69083E-01   -0.73922E-08    0.25389E-04   -0.73922E-08    0.82300E-10
    43    0.12882E+04    0.15301E+01    0.24314E-04    0.15301E+01    0.74734E-01   -0.58971E-08    0.24314E-04   -0.58971E-08    0.78388E-10
    44    0.13071E+04    0.14220E+01    0.23304E-04    0.14220E+01    0.80679E-01   -0.53623E-08    0.23304E-04   -0.53623E-08    0.74728E-10
    45    0.13263E+04    0.13051E+01    0.22350E-04    0.13051E+01    0.86924E-01   -0.56879E-08    0.22350E-04   -0.56879E-08    0.71296E-10
    46    0.13458E+04    0.11783E+01    0.21446E-04    0.11783E+01    0.93472E-01   -0.67401E-08    0.21446E-04   -0.67401E-08    0.68072E-10
    47    0.13655E+04    0.10405E+01    0.20588E-04    0.10405E+01    0.10032E+00   -0.82492E-08    0.20588E-04   -0.82492E-08    0.65040E-10
    48    0.13853E+04    0.89288E+00    0.19775E-04    0.89288E+00    0.10745E+00   -0.99113E-08    0.19775E-04   -0.99113E-08    0.62189E-10
    49    0.14052E+04    0.73617E+00    0.19006E-04    0.73617E+00    0.11485E+00   -0.11423E-07    0.19006E-04   -0.11423E-07    0.59504E-10
    50    0.14255E+04    0.56427E+00    0.18279E-04    0.56427E+00    0.12249E+00   -0.12480E-07    0.18279E-04   -0.12480E-07    0.56973E-10
    51    0.14459E+04    0.37079E+00    0.17592E-04    0.37079E+00    0.13032E+00   -0.12859E-07    0.17592E-04   -0.12859E-07    0.54583E-10
    52    0.14666E+04    0.15377E+00    0.16942E-04    0.15377E+00    0.13844E+00   -0.12656E-07    0.16942E-04   -0.12656E-07    0.52326E-10
    53    0.14873E+04   -0.85777E-01    0.16327E-04   -0.85777E-01    0.14700E+00   -0.12048E-07    0.16327E-04   -0.12048E-07    0.50192E-10
    54    0.15079E+04   -0.33887E+00    0.15745E-04   -0.33887E+00    0.15601E+00   -0.11211E-07    0.15745E-04   -0.11211E-07    0.48174E-10
    55    0.15287E+04   -0.59642E+00    0.15193E-04   -0.59642E+00    0.16544E+00   -0.10321E-07    0.15193E-04   -0.10321E-07    0.46262E-10
    56    0.15499E+04   -0.85691E+00    0.14667E-04   -0.85691E+00    0.17517E+00   -0.95362E-08    0.14667E-04   -0.95362E-08    0.44450E-10
    57    0.15714E+04   -0.11229E+01    0.14167E-04   -0.11229E+01    0.18508E+00   -0.89365E-08    0.14167E-04   -0.89365E-08    0.42730E-10
    58    0.15933E+04   -0.13991E+01    0.13691E-04   -0.13991E+01    0.19515E+00   -0.85834E-08    0.13691E-04   -0.85834E-08    0.41098E-10
    59    0.16152E+04   -0.16903E+01    0.13235E-04   -0.16903E+01    0.20543E+00   -0.85379E-08    0.13235E-04   -0.85379E-08    0.39548E-10
    60    0.16374E+04   -0.19998E+01    0.12800E-04   -0.19998E+01    0.21594E+00   -0.88614E-08    0.12800E-04   -0.88614E-08    0.38075E-10
    61    0.16600E+04   -0.23297E+01    0.12382E-04   -0.23297E+01    0.22677E+00   -0.95728E-08    0.12382E-04   -0.95728E-08    0.36673E-10
    62    0.16824E+04   -0.26789E+01    0.11981E-04   -0.26789E+01    0.23793E+00   -0.10522E-07    0.11981E-04   -0.10522E-07    0.35338E-10
    63    0.17050E+04   -0.30449E+01    0.11599E-04   -0.30449E+01    0.24940E+00   -0.11515E-07    0.11599E-04   -0.11515E-07    0.34067E-10
    64    0.17279E+04   -0.34257E+01    0.11234E-04   -0.34257E+01    0.26120E+00   -0.12361E-07    0.11234E-04   -0.12361E-07    0.32856E-10
    65    0.17509E+04   -0.38188E+01    0.10887E-04   -0.38188E+01    0.27333E+00   -0.12867E-07    0.10887E-04   -0.12867E-07    0.31701E-10
    66    0.17743E+04   -0.42198E+01    0.10557E-04   -0.42198E+01    0.28574E+00   -0.12895E-07    0.10557E-04   -0.12895E-07    0.30599E-10
    67    0.17979E+04   -0.46276E+01    0.10244E-04   -0.46276E+01    0.29841E+00   -0.12536E-07    0.10244E-04   -0.12536E-07    0.29546E-10
    68    0.18219E+04   -0.50428E+01    0.99449E-05   -0.50428E+01    0.31135E+00   -0.11935E-07    0.99449E-05   -0.11935E-07    0.28541E-10
    69    0.18462E+04   -0.54664E+01    0.96583E-05   -0.54664E+01    0.32449E+00   -0.11238E-07    0.96583E-05   -0.11238E-07    0.27580E-10
    70    0.18707E+04   -0.59023E+01    0.93824E-05   -0.59023E+01    0.33786E+00   -0.10591E-07    0.93824E-05   -0.10591E-07    0.26661E-10
