#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.344944E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.673265E-01
   0.356611E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.696037E-01
   0.368673E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.719579E-01
   0.381142E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.743917E-01
   0.394033E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.769078E-01
   0.407361E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.795090E-01
   0.421139E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.821983E-01
   0.435383E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628070E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.849784E-01
   0.450109E-05   0.471053E+06   0.471053E+06   0.628070E+06   0.628069E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.878526E-01
   0.465333E-05   0.471053E+06   0.471053E+06   0.628069E+06   0.628069E+06   0.508991E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602531E+00   0.469545E+06   0.469545E+06   0.908240E-01
