#    L    TT             EE             BB             TE          
     2    0.10632E+04    0.49967E-01    0.19187E-05    0.33460E+01
     3    0.10062E+04    0.83910E-01    0.38415E-05    0.42143E+01
     4    0.94926E+03    0.97209E-01    0.64113E-05    0.43771E+01
     5    0.90447E+03    0.89141E-01    0.96327E-05    0.41053E+01
     6    0.87187E+03    0.68326E-01    0.13511E-04    0.36174E+01
     7    0.84947E+03    0.45164E-01    0.18051E-04    0.30572E+01
     8    0.83473E+03    0.26794E-01    0.23257E-04    0.25106E+01
     9    0.82620E+03    0.15630E-01    0.29134E-04    0.20299E+01
    10    0.82250E+03    0.10524E-01    0.35685E-04    0.16447E+01
    11    0.82245E+03    0.88635E-02    0.42913E-04    0.13653E+01
    12    0.82570E+03    0.83647E-02    0.50818E-04    0.11898E+01
    13    0.83094E+03    0.77635E-02    0.59400E-04    0.11040E+01
    14    0.83777E+03    0.69268E-02    0.68657E-04    0.10889E+01
    15    0.84607E+03    0.61451E-02    0.78589E-04    0.11232E+01
    16    0.85567E+03    0.57146E-02    0.89192E-04    0.11871E+01
    17    0.86638E+03    0.57505E-02    0.10046E-03    0.12632E+01
    18    0.87738E+03    0.61026E-02    0.11240E-03    0.13389E+01
    19    0.88995E+03    0.65886E-02    0.12500E-03    0.14093E+01
    20    0.90282E+03    0.71064E-02    0.13826E-03    0.14693E+01
    21    0.91616E+03    0.76383E-02    0.15219E-03    0.15201E+01
    22    0.92998E+03    0.82797E-02    0.16678E-03    0.15632E+01
    23    0.94408E+03    0.91355E-02    0.18203E-03    0.16017E+01
    24    0.95856E+03    0.10261E-01    0.19795E-03    0.16388E+01
    25    0.97343E+03    0.11678E-01    0.21454E-03    0.16776E+01
    26    0.98853E+03    0.13354E-01    0.23182E-03    0.17213E+01
    27    0.10040E+04    0.15253E-01    0.24977E-03    0.17678E+01
    28    0.10196E+04    0.17366E-01    0.26842E-03    0.18147E+01
    29    0.10355E+04    0.19680E-01    0.28776E-03    0.18613E+01
    30    0.10517E+04    0.22194E-01    0.30781E-03    0.19054E+01
    31    0.10679E+04    0.24912E-01    0.32856E-03    0.19438E+01
    32    0.10845E+04    0.27826E-01    0.35001E-03    0.19733E+01
    33    0.11012E+04    0.30929E-01    0.37218E-03    0.19920E+01
    34    0.11182E+04    0.34227E-01    0.39505E-03    0.19992E+01
    35    0.11354E+04    0.37729E-01    0.41863E-03    0.19938E+01
    36    0.11528E+04    0.41454E-01    0.44292E-03    0.19747E+01
    37    0.11702E+04    0.45422E-01    0.46791E-03    0.19436E+01
    38    0.11880E+04    0.49657E-01    0.49360E-03    0.19043E+01
    39    0.12059E+04    0.54160E-01    0.51998E-03    0.18561E+01
    40    0.12240E+04    0.58934E-01    0.54705E-03    0.17969E+01
    41    0.12423E+04    0.63988E-01    0.57481E-03    0.17250E+01
    42    0.12606E+04    0.69331E-01    0.60326E-03    0.16406E+01
    43    0.12791E+04    0.74974E-01    0.63238E-03    0.15443E+01
    44    0.12976E+04    0.80912E-01    0.66219E-03    0.14376E+01
    45    0.13165E+04    0.87153E-01    0.69268E-03    0.13222E+01
    46    0.13357E+04    0.93701E-01    0.72385E-03    0.11971E+01
    47    0.13551E+04    0.10055E+00    0.75571E-03    0.10611E+01
    48    0.13746E+04    0.10768E+00    0.78827E-03    0.91538E+00
    49    0.13941E+04    0.11508E+00    0.82152E-03    0.76080E+00
    50    0.14140E+04    0.12269E+00    0.85546E-03    0.59127E+00
    51    0.14341E+04    0.13050E+00    0.89011E-03    0.40041E+00
    52    0.14545E+04    0.13858E+00    0.92547E-03    0.18622E+00
    53    0.14748E+04    0.14710E+00    0.96153E-03   -0.50382E-01
    54    0.14951E+04    0.15607E+00    0.99830E-03   -0.30051E+00
    55    0.15156E+04    0.16548E+00    0.10358E-02   -0.55515E+00
    56    0.15364E+04    0.17519E+00    0.10740E-02   -0.81285E+00
    57    0.15576E+04    0.18507E+00    0.11128E-02   -0.10760E+01
    58    0.15790E+04    0.19513E+00    0.11524E-02   -0.13493E+01
    59    0.16006E+04    0.20538E+00    0.11927E-02   -0.16372E+01
    60    0.16224E+04    0.21586E+00    0.12337E-02   -0.19431E+01
    61    0.16446E+04    0.22666E+00    0.12753E-02   -0.22688E+01
    62    0.16667E+04    0.23777E+00    0.13177E-02   -0.26133E+01
    63    0.16889E+04    0.24919E+00    0.13607E-02   -0.29746E+01
