#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10632E+04    0.49965E-01    0.00000E+00    0.33460E+01    0.53020E-07    0.32126E-02   -0.15679E-04
     3    0.10062E+04    0.83906E-01    0.00000E+00    0.42143E+01    0.64603E-07    0.32275E-02   -0.19479E-04
     4    0.94925E+03    0.97203E-01    0.00000E+00    0.43771E+01    0.74588E-07    0.31682E-02   -0.19982E-04
     5    0.90445E+03    0.89131E-01    0.00000E+00    0.41054E+01    0.83278E-07    0.30774E-02   -0.18028E-04
     6    0.87185E+03    0.68312E-01    0.00000E+00    0.36174E+01    0.90872E-07    0.29731E-02   -0.14427E-04
     7    0.84943E+03    0.45146E-01    0.00000E+00    0.30572E+01    0.97566E-07    0.28639E-02   -0.99960E-05
     8    0.83469E+03    0.26771E-01    0.00000E+00    0.25106E+01    0.10350E-06    0.27549E-02   -0.54789E-05
     9    0.82615E+03    0.15600E-01    0.00000E+00    0.20300E+01    0.10880E-06    0.26486E-02   -0.14813E-05
    10    0.82243E+03    0.10489E-01    0.00000E+00    0.16447E+01    0.11353E-06    0.25466E-02    0.15800E-05
    11    0.82237E+03    0.88206E-02    0.00000E+00    0.13654E+01    0.11779E-06    0.24511E-02    0.35062E-05
    12    0.82561E+03    0.83139E-02    0.00000E+00    0.11899E+01    0.12160E-06    0.23619E-02    0.42826E-05
    13    0.83083E+03    0.77042E-02    0.00000E+00    0.11041E+01    0.12502E-06    0.22789E-02    0.40907E-05
    14    0.83765E+03    0.68582E-02    0.00000E+00    0.10889E+01    0.12809E-06    0.22020E-02    0.31647E-05
    15    0.84593E+03    0.60666E-02    0.00000E+00    0.11233E+01    0.13087E-06    0.21301E-02    0.18174E-05
    16    0.85551E+03    0.56255E-02    0.00000E+00    0.11872E+01    0.13336E-06    0.20623E-02    0.35852E-06
    17    0.86621E+03    0.56502E-02    0.00000E+00    0.12634E+01    0.13561E-06    0.19985E-02   -0.97180E-06
    18    0.87720E+03    0.59903E-02    0.00000E+00    0.13391E+01    0.13763E-06    0.19383E-02   -0.19807E-05
    19    0.88975E+03    0.64637E-02    0.00000E+00    0.14094E+01    0.13944E-06    0.18809E-02   -0.25887E-05
    20    0.90259E+03    0.69683E-02    0.00000E+00    0.14695E+01    0.14106E-06    0.18256E-02   -0.27688E-05
    21    0.91591E+03    0.74863E-02    0.00000E+00    0.15203E+01    0.14250E-06    0.17725E-02   -0.25917E-05
    22    0.92970E+03    0.81131E-02    0.00000E+00    0.15634E+01    0.14379E-06    0.17216E-02   -0.21572E-05
    23    0.94378E+03    0.89537E-02    0.00000E+00    0.16019E+01    0.14493E-06    0.16730E-02   -0.15888E-05
    24    0.95823E+03    0.10064E-01    0.00000E+00    0.16391E+01    0.14593E-06    0.16265E-02   -0.10097E-05
    25    0.97308E+03    0.11463E-01    0.00000E+00    0.16779E+01    0.14681E-06    0.15822E-02   -0.52139E-06
    26    0.98816E+03    0.13122E-01    0.00000E+00    0.17217E+01    0.14757E-06    0.15400E-02   -0.20249E-06
    27    0.10036E+04    0.15004E-01    0.00000E+00    0.17682E+01    0.14823E-06    0.14999E-02   -0.64491E-07
    28    0.10192E+04    0.17098E-01    0.00000E+00    0.18152E+01    0.14878E-06    0.14618E-02   -0.96413E-07
    29    0.10351E+04    0.19392E-01    0.00000E+00    0.18619E+01    0.14925E-06    0.14254E-02   -0.26413E-06
    30    0.10512E+04    0.21887E-01    0.00000E+00    0.19060E+01    0.14963E-06    0.13906E-02   -0.52511E-06
    31    0.10674E+04    0.24584E-01    0.00000E+00    0.19444E+01    0.14992E-06    0.13574E-02   -0.82561E-06
    32    0.10839E+04    0.27477E-01    0.00000E+00    0.19740E+01    0.15015E-06    0.13257E-02   -0.11095E-05
