#    L    TT             EE             TE             PP             TP          
     2    0.10632E+04    0.49965E-01    0.33460E+01    0.10998E+07    0.29946E+05
     3    0.10062E+04    0.83906E-01    0.42143E+01    0.16961E+07    0.35900E+05
     4    0.94925E+03    0.97203E-01    0.43771E+01    0.22280E+07    0.38821E+05
     5    0.90445E+03    0.89131E-01    0.41054E+01    0.26992E+07    0.40090E+05
     6    0.87185E+03    0.68312E-01    0.36174E+01    0.31161E+07    0.40403E+05
     7    0.84943E+03    0.45146E-01    0.30572E+01    0.34865E+07    0.40142E+05
     8    0.83469E+03    0.26771E-01    0.25106E+01    0.38170E+07    0.39537E+05
     9    0.82615E+03    0.15600E-01    0.20300E+01    0.41133E+07    0.38726E+05
    10    0.82243E+03    0.10489E-01    0.16447E+01    0.43792E+07    0.37800E+05
    11    0.82237E+03    0.88206E-02    0.13654E+01    0.46194E+07    0.36838E+05
    12    0.82561E+03    0.83139E-02    0.11899E+01    0.48359E+07    0.35872E+05
    13    0.83083E+03    0.77042E-02    0.11041E+01    0.50311E+07    0.34921E+05
    14    0.83765E+03    0.68582E-02    0.10889E+01    0.52080E+07    0.34001E+05
    15    0.84593E+03    0.60666E-02    0.11233E+01    0.53684E+07    0.33111E+05
    16    0.85551E+03    0.56255E-02    0.11872E+01    0.55137E+07    0.32247E+05
    17    0.86621E+03    0.56502E-02    0.12634E+01    0.56455E+07    0.31412E+05
    18    0.87720E+03    0.59903E-02    0.13391E+01    0.57653E+07    0.30607E+05
    19    0.88975E+03    0.64637E-02    0.14094E+01    0.58738E+07    0.29825E+05
    20    0.90259E+03    0.69683E-02    0.14695E+01    0.59717E+07    0.29057E+05
    21    0.91591E+03    0.74863E-02    0.15203E+01    0.60601E+07    0.28307E+05
    22    0.92970E+03    0.81131E-02    0.15634E+01    0.61402E+07    0.27581E+05
    23    0.94378E+03    0.89537E-02    0.16019E+01    0.62125E+07    0.26878E+05
    24    0.95823E+03    0.10064E-01    0.16391E+01    0.62772E+07    0.26200E+05
    25    0.97308E+03    0.11463E-01    0.16779E+01    0.63351E+07    0.25547E+05
    26    0.98816E+03    0.13122E-01    0.17217E+01    0.63869E+07    0.24921E+05
    27    0.10036E+04    0.15004E-01    0.17682E+01    0.64330E+07    0.24322E+05
    28    0.10192E+04    0.17098E-01    0.18152E+01    0.64737E+07    0.23749E+05
    29    0.10351E+04    0.19392E-01    0.18619E+01    0.65093E+07    0.23199E+05
    30    0.10512E+04    0.21887E-01    0.19060E+01    0.65403E+07    0.22670E+05
    31    0.10674E+04    0.24584E-01    0.19444E+01    0.65670E+07    0.22164E+05
    32    0.10839E+04    0.27477E-01    0.19740E+01    0.65898E+07    0.21679E+05
