#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10632E+04    0.33460E+01    0.13115E-02    0.33460E+01    0.49965E-01   -0.64010E-05    0.13115E-02   -0.64010E-05    0.88367E-08
     3    0.10062E+04    0.42143E+01    0.93171E-03    0.42143E+01    0.83906E-01   -0.56232E-05    0.93171E-03   -0.56232E-05    0.53836E-08
     4    0.94925E+03    0.43771E+01    0.70842E-03    0.43771E+01    0.97203E-01   -0.44682E-05    0.70842E-03   -0.44682E-05    0.37294E-08
     5    0.90445E+03    0.41054E+01    0.56185E-03    0.41054E+01    0.89131E-01   -0.32915E-05    0.56185E-03   -0.32915E-05    0.27759E-08
     6    0.87185E+03    0.36174E+01    0.45875E-03    0.36174E+01    0.68312E-01   -0.22261E-05    0.45875E-03   -0.22261E-05    0.21636E-08
     7    0.84943E+03    0.30572E+01    0.38271E-03    0.30572E+01    0.45146E-01   -0.13358E-05    0.38271E-03   -0.13358E-05    0.17423E-08
     8    0.83469E+03    0.25106E+01    0.32467E-03    0.25106E+01    0.26771E-01   -0.64569E-06    0.32467E-03   -0.64569E-06    0.14376E-08
     9    0.82615E+03    0.20300E+01    0.27919E-03    0.20300E+01    0.15600E-01   -0.15615E-06    0.27919E-03   -0.15615E-06    0.12089E-08
    10    0.82243E+03    0.16447E+01    0.24281E-03    0.16447E+01    0.10489E-01    0.15065E-06    0.24281E-03    0.15065E-06    0.10321E-08
    11    0.82237E+03    0.13654E+01    0.21334E-03    0.13654E+01    0.88206E-02    0.30518E-06    0.21334E-03    0.30518E-06    0.89232E-09
    12    0.82561E+03    0.11899E+01    0.18908E-03    0.11899E+01    0.83139E-02    0.34371E-06    0.18908E-03    0.34371E-06    0.77935E-09
    13    0.83083E+03    0.11041E+01    0.16893E-03    0.11041E+01    0.77042E-02    0.30322E-06    0.16893E-03    0.30322E-06    0.68690E-09
    14    0.83765E+03    0.10889E+01    0.15195E-03    0.10889E+01    0.68582E-02    0.21868E-06    0.15195E-03    0.21868E-06    0.60995E-09
    15    0.84593E+03    0.11233E+01    0.13749E-03    0.11233E+01    0.60666E-02    0.11731E-06    0.13749E-03    0.11731E-06    0.54528E-09
    16    0.85551E+03    0.11872E+01    0.12505E-03    0.11872E+01    0.56255E-02    0.21832E-07    0.12505E-03    0.21832E-07    0.49028E-09
    17    0.86621E+03    0.12634E+01    0.11425E-03    0.12634E+01    0.56502E-02   -0.55554E-07    0.11425E-03   -0.55554E-07    0.44316E-09
    18    0.87720E+03    0.13391E+01    0.10481E-03    0.13391E+01    0.59903E-02   -0.10714E-06    0.10481E-03   -0.10714E-06    0.40242E-09
    19    0.88975E+03    0.14094E+01    0.96489E-04    0.14094E+01    0.64637E-02   -0.13280E-06    0.96489E-04   -0.13280E-06    0.36696E-09
    20    0.90259E+03    0.14695E+01    0.89081E-04    0.14695E+01    0.69683E-02   -0.13519E-06    0.89081E-04   -0.13519E-06    0.33585E-09
    21    0.91591E+03    0.15203E+01    0.82462E-04    0.15203E+01    0.74863E-02   -0.12058E-06    0.82462E-04   -0.12058E-06    0.30844E-09
    22    0.92970E+03    0.15634E+01    0.76534E-04    0.15634E+01    0.81131E-02   -0.95947E-07    0.76534E-04   -0.95947E-07    0.28416E-09
    23    0.94378E+03    0.16019E+01    0.71208E-04    0.16019E+01    0.89537E-02   -0.67623E-07    0.71208E-04   -0.67623E-07    0.26256E-09
    24    0.95823E+03    0.16391E+01    0.66403E-04    0.16391E+01    0.10064E-01   -0.41252E-07    0.66403E-04   -0.41252E-07    0.24322E-09
    25    0.97308E+03    0.16779E+01    0.62059E-04    0.16779E+01    0.11463E-01   -0.20451E-07    0.62059E-04   -0.20451E-07    0.22586E-09
    26    0.98816E+03    0.17217E+01    0.58124E-04    0.17217E+01    0.13122E-01   -0.76215E-08    0.58124E-04   -0.76215E-08    0.21021E-09
    27    0.10036E+04    0.17682E+01    0.54551E-04    0.17682E+01    0.15004E-01   -0.23455E-08    0.54551E-04   -0.23455E-08    0.19607E-09
    28    0.10192E+04    0.18152E+01    0.51297E-04    0.18152E+01    0.17098E-01   -0.33729E-08    0.51297E-04   -0.33729E-08    0.18323E-09
    29    0.10351E+04    0.18619E+01    0.48324E-04    0.18619E+01    0.19392E-01   -0.89547E-08    0.48324E-04   -0.89547E-08    0.17155E-09
    30    0.10512E+04    0.19060E+01    0.45599E-04    0.19060E+01    0.21887E-01   -0.17208E-07    0.45599E-04   -0.17208E-07    0.16089E-09
    31    0.10674E+04    0.19444E+01    0.43097E-04    0.19444E+01    0.24584E-01   -0.26213E-07    0.43097E-04   -0.26213E-07    0.15113E-09
    32    0.10839E+04    0.19740E+01    0.40796E-04    0.19740E+01    0.27477E-01   -0.34127E-07    0.40796E-04   -0.34127E-07    0.14219E-09
    33    0.11007E+04    0.19929E+01    0.38668E-04    0.19929E+01    0.30558E-01   -0.39452E-07    0.38668E-04   -0.39452E-07    0.13397E-09
    34    0.11176E+04    0.20001E+01    0.36687E-04    0.20001E+01    0.33833E-01   -0.41166E-07    0.36687E-04   -0.41166E-07    0.12639E-09
    35    0.11347E+04    0.19949E+01    0.34844E-04    0.19949E+01    0.37311E-01   -0.39818E-07    0.34844E-04   -0.39818E-07    0.11939E-09
    36    0.11521E+04    0.19758E+01    0.33132E-04    0.19758E+01    0.41012E-01   -0.36309E-07    0.33132E-04   -0.36309E-07    0.11292E-09
    37    0.11696E+04    0.19449E+01    0.31537E-04    0.19449E+01    0.44956E-01   -0.31399E-07    0.31537E-04   -0.31399E-07    0.10693E-09
    38    0.11872E+04    0.19057E+01    0.30047E-04    0.19057E+01    0.49166E-01   -0.25794E-07    0.30047E-04   -0.25794E-07    0.10136E-09
    39    0.12052E+04    0.18576E+01    0.28654E-04    0.18576E+01    0.53643E-01   -0.20134E-07    0.28654E-04   -0.20134E-07    0.96183E-10
    40    0.12232E+04    0.17985E+01    0.27356E-04    0.17985E+01    0.58391E-01   -0.15040E-07    0.27356E-04   -0.15040E-07    0.91362E-10
    41    0.12415E+04    0.17267E+01    0.26145E-04    0.17267E+01    0.63417E-01   -0.11020E-07    0.26145E-04   -0.11020E-07    0.86864E-10
    42    0.12598E+04    0.16424E+01    0.25015E-04    0.16424E+01    0.68733E-01   -0.81295E-08    0.25015E-04   -0.81295E-08    0.82662E-10
    43    0.12782E+04    0.15462E+01    0.23958E-04    0.15462E+01    0.74348E-01   -0.63079E-08    0.23958E-04   -0.63079E-08    0.78735E-10
    44    0.12967E+04    0.14397E+01    0.22965E-04    0.14397E+01    0.80258E-01   -0.54959E-08    0.22965E-04   -0.54959E-08    0.75060E-10
    45    0.13156E+04    0.13244E+01    0.22028E-04    0.13244E+01    0.86469E-01   -0.56340E-08    0.22028E-04   -0.56340E-08    0.71615E-10
    46    0.13348E+04    0.11994E+01    0.21139E-04    0.11994E+01    0.92988E-01   -0.66168E-08    0.21139E-04   -0.66168E-08    0.68377E-10
    47    0.13541E+04    0.10634E+01    0.20296E-04    0.10634E+01    0.99803E-01   -0.81565E-08    0.20296E-04   -0.81565E-08    0.65334E-10
    48    0.13735E+04    0.91786E+00    0.19498E-04    0.91786E+00    0.10691E+00   -0.99192E-08    0.19498E-04   -0.99192E-08    0.62471E-10
    49    0.13930E+04    0.76339E+00    0.18742E-04    0.76339E+00    0.11427E+00   -0.11571E-07    0.18742E-04   -0.11571E-07    0.59775E-10
    50    0.14129E+04    0.59397E+00    0.18027E-04    0.59397E+00    0.12186E+00   -0.12779E-07    0.18027E-04   -0.12779E-07    0.57234E-10
    51    0.14329E+04    0.40323E+00    0.17351E-04    0.40323E+00    0.12963E+00   -0.13292E-07    0.17351E-04   -0.13292E-07    0.54835E-10
    52    0.14533E+04    0.18916E+00    0.16712E-04    0.18916E+00    0.13768E+00   -0.13193E-07    0.16712E-04   -0.13193E-07    0.52569E-10
    53    0.14736E+04   -0.47334E-01    0.16107E-04   -0.47334E-01    0.14617E+00   -0.12651E-07    0.16107E-04   -0.12651E-07    0.50427E-10
    54    0.14939E+04   -0.29735E+00    0.15533E-04   -0.29735E+00    0.15510E+00   -0.11832E-07    0.15533E-04   -0.11832E-07    0.48400E-10
    55    0.15143E+04   -0.55189E+00    0.14989E-04   -0.55189E+00    0.16448E+00   -0.10903E-07    0.14989E-04   -0.10903E-07    0.46481E-10
    56    0.15351E+04   -0.80948E+00    0.14472E-04   -0.80948E+00    0.17415E+00   -0.10019E-07    0.14472E-04   -0.10019E-07    0.44661E-10
    57    0.15562E+04   -0.10725E+01    0.13980E-04   -0.10725E+01    0.18400E+00   -0.92804E-08    0.13980E-04   -0.92804E-08    0.42935E-10
    58    0.15776E+04   -0.13457E+01    0.13512E-04   -0.13457E+01    0.19402E+00   -0.87776E-08    0.13512E-04   -0.87776E-08    0.41297E-10
    59    0.15992E+04   -0.16336E+01    0.13064E-04   -0.16336E+01    0.20424E+00   -0.85993E-08    0.13064E-04   -0.85993E-08    0.39740E-10
    60    0.16209E+04   -0.19394E+01    0.12635E-04   -0.19394E+01    0.21468E+00   -0.88345E-08    0.12635E-04   -0.88345E-08    0.38261E-10
    61    0.16431E+04   -0.22651E+01    0.12224E-04   -0.22651E+01    0.22544E+00   -0.95227E-08    0.12224E-04   -0.95227E-08    0.36853E-10
    62    0.16651E+04   -0.26096E+01    0.11830E-04   -0.26096E+01    0.23652E+00   -0.10504E-07    0.11830E-04   -0.10504E-07    0.35513E-10
    63    0.16873E+04   -0.29708E+01    0.11454E-04   -0.29708E+01    0.24790E+00   -0.11569E-07    0.11454E-04   -0.11569E-07    0.34237E-10
    64    0.17098E+04   -0.33469E+01    0.11095E-04   -0.33469E+01    0.25961E+00   -0.12507E-07    0.11095E-04   -0.12507E-07    0.33021E-10
    65    0.17324E+04   -0.37354E+01    0.10753E-04   -0.37354E+01    0.27166E+00   -0.13110E-07    0.10753E-04   -0.13110E-07    0.31861E-10
    66    0.17554E+04   -0.41323E+01    0.10428E-04   -0.41323E+01    0.28399E+00   -0.13225E-07    0.10428E-04   -0.13225E-07    0.30754E-10
    67    0.17785E+04   -0.45361E+01    0.10119E-04   -0.45361E+01    0.29658E+00   -0.12934E-07    0.10119E-04   -0.12934E-07    0.29697E-10
    68    0.18021E+04   -0.49475E+01    0.98244E-05   -0.49475E+01    0.30945E+00   -0.12374E-07    0.98244E-05   -0.12374E-07    0.28688E-10
    69    0.18259E+04   -0.53670E+01    0.95419E-05   -0.53670E+01    0.32253E+00   -0.11685E-07    0.95419E-05   -0.11685E-07    0.27723E-10
    70    0.18500E+04   -0.57985E+01    0.92700E-05   -0.57985E+01    0.33582E+00   -0.11004E-07    0.92700E-05   -0.11004E-07    0.26800E-10
    71    0.18743E+04   -0.62461E+01    0.90073E-05   -0.62461E+01    0.34929E+00   -0.10449E-07    0.90073E-05   -0.10449E-07    0.25917E-10
    72    0.18988E+04   -0.67109E+01    0.87534E-05   -0.67109E+01    0.36295E+00   -0.10053E-07    0.87534E-05   -0.10053E-07    0.25072E-10
    73    0.19235E+04   -0.71924E+01    0.85083E-05   -0.71924E+01    0.37679E+00   -0.98271E-08    0.85083E-05   -0.98271E-08    0.24262E-10
    74    0.19482E+04   -0.76889E+01    0.82718E-05   -0.76889E+01    0.39082E+00   -0.97824E-08    0.82718E-05   -0.97824E-08    0.23487E-10
    75    0.19732E+04   -0.81979E+01    0.80438E-05   -0.81979E+01    0.40509E+00   -0.99304E-08    0.80438E-05   -0.99304E-08    0.22743E-10
    76    0.19984E+04   -0.87179E+01    0.78243E-05   -0.87179E+01    0.41962E+00   -0.10263E-07    0.78243E-05   -0.10263E-07    0.22030E-10
    77    0.20238E+04   -0.92480E+01    0.76131E-05   -0.92480E+01    0.43437E+00   -0.10697E-07    0.76131E-05   -0.10697E-07    0.21345E-10
    78    0.20496E+04   -0.97892E+01    0.74100E-05   -0.97892E+01    0.44934E+00   -0.11130E-07    0.74100E-05   -0.11130E-07    0.20688E-10
    79    0.20755E+04   -0.10337E+02    0.72150E-05   -0.10337E+02    0.46443E+00   -0.11458E-07    0.72150E-05   -0.11458E-07    0.20058E-10
    80    0.21018E+04   -0.10892E+02    0.70280E-05   -0.10892E+02    0.47961E+00   -0.11579E-07    0.70280E-05   -0.11579E-07    0.19452E-10
    81    0.21284E+04   -0.11455E+02    0.68486E-05   -0.11455E+02    0.49479E+00   -0.11423E-07    0.68486E-05   -0.11423E-07    0.18869E-10
    82    0.21553E+04   -0.12025E+02    0.66765E-05   -0.12025E+02    0.51003E+00   -0.11055E-07    0.66765E-05   -0.11055E-07    0.18309E-10
    83    0.21824E+04   -0.12604E+02    0.65109E-05   -0.12604E+02    0.52533E+00   -0.10575E-07    0.65109E-05   -0.10575E-07    0.17771E-10
    84    0.22098E+04   -0.13190E+02    0.63512E-05   -0.13190E+02    0.54072E+00   -0.10080E-07    0.63512E-05   -0.10080E-07    0.17253E-10
    85    0.22374E+04   -0.13787E+02    0.61968E-05   -0.13787E+02    0.55621E+00   -0.96689E-08    0.61968E-05   -0.96689E-08    0.16754E-10
    86    0.22651E+04   -0.14393E+02    0.60472E-05   -0.14393E+02    0.57184E+00   -0.94173E-08    0.60472E-05   -0.94173E-08    0.16274E-10
    87    0.22933E+04   -0.15009E+02    0.59020E-05   -0.15009E+02    0.58756E+00   -0.93071E-08    0.59020E-05   -0.93071E-08    0.15812E-10
    88    0.23214E+04   -0.15632E+02    0.57613E-05   -0.15632E+02    0.60337E+00   -0.92972E-08    0.57613E-05   -0.92972E-08    0.15367E-10
