#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.348341E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.670942E-01
   0.360125E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.693640E-01
   0.372308E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.717106E-01
   0.384903E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.741365E-01
   0.397925E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.766446E-01
   0.411386E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.792375E-01
   0.425304E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.819181E-01
   0.439692E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.846894E-01
   0.454566E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.875544E-01
   0.469944E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.905164E-01
   0.485843E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.935785E-01
   0.502279E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623159E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.967443E-01
   0.519271E-05   0.467370E+06   0.467370E+06   0.623159E+06   0.623158E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465882E+06   0.465882E+06   0.100017E+00
   0.536838E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.103401E+00
   0.554999E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505231E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465883E+06   0.465883E+06   0.106899E+00
   0.573775E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602514E+00   0.465882E+06   0.465882E+06   0.110515E+00
   0.593185E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465883E+06   0.465883E+06   0.114254E+00
   0.613253E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465882E+06   0.465882E+06   0.118119E+00
   0.633999E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465882E+06   0.465882E+06   0.122115E+00
   0.655447E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623158E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465882E+06   0.465882E+06   0.126246E+00
   0.677621E-05   0.467370E+06   0.467370E+06   0.623158E+06   0.623157E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465882E+06   0.465882E+06   0.130517E+00
   0.700545E-05   0.467370E+06   0.467370E+06   0.623157E+06   0.623157E+06   0.505230E+06   0.467832E+06   0.467370E+06   0.472937E+06  -0.602513E+00   0.465882E+06   0.465882E+06   0.134933E+00
