#    L    TT             EE             BB             TE          
     2    0.10375E+04    0.52860E-01    0.17801E-05    0.32709E+01
     3    0.98052E+03    0.85151E-01    0.35638E-05    0.40901E+01
     4    0.92472E+03    0.94122E-01    0.59477E-05    0.42062E+01
     5    0.88153E+03    0.81826E-01    0.89359E-05    0.38969E+01
     6    0.85081E+03    0.59112E-01    0.12533E-04    0.33841E+01
     7    0.83040E+03    0.36797E-01    0.16743E-04    0.28125E+01
     8    0.81768E+03    0.20924E-01    0.21571E-04    0.22693E+01
     9    0.81111E+03    0.12369E-01    0.27021E-04    0.18064E+01
    10    0.80927E+03    0.89558E-02    0.33095E-04    0.14505E+01
    11    0.81100E+03    0.78918E-02    0.39796E-04    0.12080E+01
    12    0.81591E+03    0.73401E-02    0.47124E-04    0.10710E+01
    13    0.82273E+03    0.65499E-02    0.55079E-04    0.10201E+01
    14    0.83109E+03    0.57774E-02    0.63660E-04    0.10318E+01
    15    0.84087E+03    0.52617E-02    0.72865E-04    0.10834E+01
    16    0.85192E+03    0.51402E-02    0.82693E-04    0.11542E+01
    17    0.86408E+03    0.53796E-02    0.93139E-04    0.12290E+01
    18    0.87652E+03    0.57313E-02    0.10420E-03    0.12975E+01
    19    0.89055E+03    0.61037E-02    0.11588E-03    0.13582E+01
    20    0.90490E+03    0.65184E-02    0.12818E-03    0.14092E+01
    21    0.91972E+03    0.70252E-02    0.14109E-03    0.14535E+01
    22    0.93503E+03    0.77522E-02    0.15461E-03    0.14938E+01
    23    0.95063E+03    0.87533E-02    0.16876E-03    0.15340E+01
    24    0.96664E+03    0.10020E-01    0.18352E-03    0.15774E+01
    25    0.98306E+03    0.11544E-01    0.19892E-03    0.16247E+01
    26    0.99974E+03    0.13277E-01    0.21494E-03    0.16772E+01
    27    0.10168E+04    0.15200E-01    0.23160E-03    0.17314E+01
    28    0.10341E+04    0.17319E-01    0.24891E-03    0.17845E+01
    29    0.10517E+04    0.19625E-01    0.26686E-03    0.18340E+01
    30    0.10696E+04    0.22112E-01    0.28547E-03    0.18766E+01
    31    0.10876E+04    0.24788E-01    0.30473E-03    0.19097E+01
