#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10375E+04    0.52858E-01    0.00000E+00    0.32709E+01    0.51025E-07    0.32938E-02   -0.15711E-04
     3    0.98051E+03    0.85148E-01    0.00000E+00    0.40901E+01    0.62380E-07    0.33045E-02   -0.19205E-04
     4    0.92470E+03    0.94116E-01    0.00000E+00    0.42062E+01    0.72170E-07    0.32396E-02   -0.19219E-04
     5    0.88151E+03    0.81817E-01    0.00000E+00    0.38969E+01    0.80686E-07    0.31422E-02   -0.16738E-04
     6    0.85078E+03    0.59100E-01    0.00000E+00    0.33841E+01    0.88123E-07    0.30309E-02   -0.12712E-04
     7    0.83037E+03    0.36780E-01    0.00000E+00    0.28125E+01    0.94672E-07    0.29152E-02   -0.80658E-05
     8    0.81763E+03    0.20902E-01    0.00000E+00    0.22693E+01    0.10047E-06    0.28001E-02   -0.36004E-05
     9    0.81106E+03    0.12342E-01    0.00000E+00    0.18064E+01    0.10564E-06    0.26884E-02    0.81863E-07
    10    0.80921E+03    0.89227E-02    0.00000E+00    0.14506E+01    0.11024E-06    0.25818E-02    0.26212E-05
    11    0.81092E+03    0.78520E-02    0.00000E+00    0.12080E+01    0.11437E-06    0.24826E-02    0.39111E-05
    12    0.81582E+03    0.72930E-02    0.00000E+00    0.10710E+01    0.11806E-06    0.23903E-02    0.40490E-05
    13    0.82262E+03    0.64948E-02    0.00000E+00    0.10201E+01    0.12135E-06    0.23044E-02    0.33225E-05
    14    0.83097E+03    0.57137E-02    0.00000E+00    0.10319E+01    0.12431E-06    0.22246E-02    0.20536E-05
    15    0.84073E+03    0.51889E-02    0.00000E+00    0.10834E+01    0.12697E-06    0.21499E-02    0.58397E-06
    16    0.85177E+03    0.50576E-02    0.00000E+00    0.11543E+01    0.12935E-06    0.20795E-02   -0.77372E-06
    17    0.86391E+03    0.52866E-02    0.00000E+00    0.12291E+01    0.13148E-06    0.20128E-02   -0.18245E-05
    18    0.87633E+03    0.56272E-02    0.00000E+00    0.12976E+01    0.13340E-06    0.19496E-02   -0.24372E-05
    19    0.89034E+03    0.59879E-02    0.00000E+00    0.13583E+01    0.13510E-06    0.18893E-02   -0.26154E-05
    20    0.90466E+03    0.63903E-02    0.00000E+00    0.14094E+01    0.13661E-06    0.18315E-02   -0.24129E-05
    21    0.91947E+03    0.68843E-02    0.00000E+00    0.14536E+01    0.13795E-06    0.17761E-02   -0.19548E-05
    22    0.93475E+03    0.75977E-02    0.00000E+00    0.14941E+01    0.13913E-06    0.17231E-02   -0.13806E-05
    23    0.95033E+03    0.85847E-02    0.00000E+00    0.15343E+01    0.14018E-06    0.16728E-02   -0.82070E-06
    24    0.96631E+03    0.98371E-02    0.00000E+00    0.15776E+01    0.14108E-06    0.16252E-02   -0.38721E-06
    25    0.98271E+03    0.11345E-01    0.00000E+00    0.16250E+01    0.14186E-06    0.15802E-02   -0.12927E-06
    26    0.99936E+03    0.13062E-01    0.00000E+00    0.16776E+01    0.14253E-06    0.15373E-02   -0.66185E-07
    27    0.10164E+04    0.14968E-01    0.00000E+00    0.17318E+01    0.14309E-06    0.14965E-02   -0.16054E-06
    28    0.10337E+04    0.17071E-01    0.00000E+00    0.17849E+01    0.14356E-06    0.14578E-02   -0.36216E-06
    29    0.10513E+04    0.19358E-01    0.00000E+00    0.18345E+01    0.14393E-06    0.14209E-02   -0.62521E-06
    30    0.10691E+04    0.21827E-01    0.00000E+00    0.18772E+01    0.14423E-06    0.13859E-02   -0.90174E-06
    31    0.10871E+04    0.24483E-01    0.00000E+00    0.19104E+01    0.14444E-06    0.13522E-02   -0.11302E-05
    32    0.11054E+04    0.27324E-01    0.00000E+00    0.19319E+01    0.14459E-06    0.13198E-02   -0.12575E-05
    33    0.11240E+04    0.30353E-01    0.00000E+00    0.19415E+01    0.14467E-06    0.12885E-02   -0.12762E-05
    34    0.11428E+04    0.33586E-01    0.00000E+00    0.19400E+01    0.14468E-06    0.12584E-02   -0.11962E-05
    35    0.11618E+04    0.37047E-01    0.00000E+00    0.19269E+01    0.14464E-06    0.12294E-02   -0.10522E-05
    36    0.11811E+04    0.40761E-01    0.00000E+00    0.19012E+01    0.14454E-06    0.12015E-02   -0.88215E-06
    37    0.12006E+04    0.44735E-01    0.00000E+00    0.18653E+01    0.14440E-06    0.11746E-02   -0.71199E-06
    38    0.12203E+04    0.48977E-01    0.00000E+00    0.18231E+01    0.14421E-06    0.11488E-02   -0.56142E-06
    39    0.12402E+04    0.53488E-01    0.00000E+00    0.17732E+01    0.14397E-06    0.11241E-02   -0.43606E-06
    40    0.12603E+04    0.58274E-01    0.00000E+00    0.17127E+01    0.14370E-06    0.11005E-02   -0.33802E-06
    41    0.12807E+04    0.63343E-01    0.00000E+00    0.16388E+01    0.14338E-06    0.10780E-02   -0.26854E-06
    42    0.13010E+04    0.68703E-01    0.00000E+00    0.15515E+01    0.14304E-06    0.10564E-02   -0.22541E-06
    43    0.13216E+04    0.74362E-01    0.00000E+00    0.14511E+01    0.14266E-06    0.10357E-02   -0.20554E-06
    44    0.13423E+04    0.80312E-01    0.00000E+00    0.13389E+01    0.14225E-06    0.10156E-02   -0.20588E-06
    45    0.13634E+04    0.86555E-01    0.00000E+00    0.12162E+01    0.14181E-06    0.99600E-03   -0.22336E-06
    46    0.13848E+04    0.93096E-01    0.00000E+00    0.10822E+01    0.14134E-06    0.97688E-03   -0.25490E-06
    47    0.14064E+04    0.99929E-01    0.00000E+00    0.93621E+00    0.14086E-06    0.95818E-03   -0.29718E-06
    48    0.14281E+04    0.10706E+00    0.00000E+00    0.78060E+00    0.14035E-06    0.93995E-03   -0.34682E-06
    49    0.14499E+04    0.11446E+00    0.00000E+00    0.61701E+00    0.13981E-06    0.92219E-03   -0.40047E-06
    50    0.14722E+04    0.12210E+00    0.00000E+00    0.44035E+00    0.13926E-06    0.90495E-03   -0.45477E-06
    51    0.14946E+04    0.12996E+00    0.00000E+00    0.24472E+00    0.13869E-06    0.88823E-03   -0.50619E-06
    52    0.15174E+04    0.13812E+00    0.00000E+00    0.26702E-01    0.13811E-06    0.87208E-03   -0.55040E-06
    53    0.15403E+04    0.14674E+00    0.00000E+00   -0.21467E+00    0.13751E-06    0.85651E-03   -0.58288E-06
    54    0.15630E+04    0.15582E+00    0.00000E+00   -0.47240E+00    0.13689E-06    0.84155E-03   -0.59914E-06
    55    0.15858E+04    0.16535E+00    0.00000E+00   -0.73935E+00    0.13627E-06    0.82721E-03   -0.59466E-06
    56    0.16090E+04    0.17518E+00    0.00000E+00   -0.10151E+01    0.13563E-06    0.81351E-03   -0.56731E-06
    57    0.16325E+04    0.18520E+00    0.00000E+00   -0.13000E+01    0.13498E-06    0.80036E-03   -0.52428E-06
    58    0.16564E+04    0.19538E+00    0.00000E+00   -0.15954E+01    0.13431E-06    0.78763E-03   -0.47511E-06
    59    0.16804E+04    0.20575E+00    0.00000E+00   -0.19031E+01    0.13364E-06    0.77523E-03   -0.42931E-06
    60    0.17047E+04    0.21634E+00    0.00000E+00   -0.22233E+01    0.13296E-06    0.76304E-03   -0.39638E-06
    61    0.17296E+04    0.22723E+00    0.00000E+00   -0.25560E+01    0.13228E-06    0.75097E-03   -0.38368E-06
    62    0.17544E+04    0.23844E+00    0.00000E+00   -0.29031E+01    0.13159E-06    0.73904E-03   -0.39018E-06
    63    0.17793E+04    0.24997E+00    0.00000E+00   -0.32667E+01    0.13089E-06    0.72731E-03   -0.41271E-06
    64    0.18046E+04    0.26187E+00    0.00000E+00   -0.36491E+01    0.13018E-06    0.71582E-03   -0.44811E-06
    65    0.18300E+04    0.27416E+00    0.00000E+00   -0.40518E+01    0.12947E-06    0.70462E-03   -0.49326E-06
    66    0.18556E+04    0.28679E+00    0.00000E+00   -0.44737E+01    0.12876E-06    0.69374E-03   -0.54437E-06
    67    0.18813E+04    0.29974E+00    0.00000E+00   -0.49104E+01    0.12804E-06    0.68322E-03   -0.59518E-06
    68    0.19075E+04    0.31298E+00    0.00000E+00   -0.53583E+01    0.12732E-06    0.67307E-03   -0.63880E-06
    69    0.19340E+04    0.32644E+00    0.00000E+00   -0.58135E+01    0.12660E-06    0.66330E-03   -0.66833E-06
    70    0.19608E+04    0.34010E+00    0.00000E+00   -0.62759E+01    0.12587E-06    0.65393E-03   -0.67691E-06
    71    0.19879E+04    0.35391E+00    0.00000E+00   -0.67463E+01    0.12514E-06    0.64497E-03   -0.66062E-06
    72    0.20153E+04    0.36787E+00    0.00000E+00   -0.72277E+01    0.12442E-06    0.63632E-03   -0.62737E-06
    73    0.20428E+04    0.38198E+00    0.00000E+00   -0.77227E+01    0.12369E-06    0.62789E-03   -0.58799E-06
    74    0.20705E+04    0.39626E+00    0.00000E+00   -0.82327E+01    0.12296E-06    0.61959E-03   -0.55332E-06
    75    0.20985E+04    0.41076E+00    0.00000E+00   -0.87581E+01    0.12222E-06    0.61131E-03   -0.53417E-06
    76    0.21266E+04    0.42550E+00    0.00000E+00   -0.92998E+01    0.12149E-06    0.60299E-03   -0.53840E-06
    77    0.21550E+04    0.44047E+00    0.00000E+00   -0.98562E+01    0.12076E-06    0.59468E-03   -0.56204E-06
    78    0.21837E+04    0.45570E+00    0.00000E+00   -0.10426E+02    0.12003E-06    0.58645E-03   -0.59815E-06
    79    0.22126E+04    0.47111E+00    0.00000E+00   -0.11004E+02    0.11930E-06    0.57837E-03   -0.63982E-06
    80    0.22418E+04    0.48670E+00    0.00000E+00   -0.11590E+02    0.11857E-06    0.57054E-03   -0.68014E-06
    81    0.22713E+04    0.50241E+00    0.00000E+00   -0.12181E+02    0.11785E-06    0.56301E-03   -0.71327E-06
    82    0.23012E+04    0.51825E+00    0.00000E+00   -0.12778E+02    0.11712E-06    0.55576E-03   -0.73770E-06
    83    0.23314E+04    0.53419E+00    0.00000E+00   -0.13384E+02    0.11640E-06    0.54876E-03   -0.75296E-06
    84    0.23618E+04    0.55022E+00    0.00000E+00   -0.13997E+02    0.11568E-06    0.54197E-03   -0.75861E-06
    85    0.23924E+04    0.56630E+00    0.00000E+00   -0.14622E+02    0.11496E-06    0.53538E-03   -0.75421E-06
    86    0.24233E+04    0.58245E+00    0.00000E+00   -0.15258E+02    0.11424E-06    0.52894E-03   -0.73993E-06
    87    0.24546E+04    0.59863E+00    0.00000E+00   -0.15905E+02    0.11353E-06    0.52264E-03   -0.71843E-06
    88    0.24859E+04    0.61486E+00    0.00000E+00   -0.16560E+02    0.11282E-06    0.51646E-03   -0.69301E-06
    89    0.25176E+04    0.63115E+00    0.00000E+00   -0.17225E+02    0.11211E-06    0.51041E-03   -0.66696E-06
    90    0.25495E+04    0.64744E+00    0.00000E+00   -0.17897E+02    0.11140E-06    0.50446E-03   -0.64356E-06
    91    0.25816E+04    0.66374E+00    0.00000E+00   -0.18573E+02    0.11070E-06    0.49860E-03   -0.62548E-06
    92    0.26140E+04    0.68004E+00    0.00000E+00   -0.19255E+02    0.11000E-06    0.49283E-03   -0.61292E-06
    93    0.26467E+04    0.69632E+00    0.00000E+00   -0.19941E+02    0.10930E-06    0.48714E-03   -0.60547E-06
