#    L    TT             EE             TE             PP             TP          
     2    0.10375E+04    0.52858E-01    0.32709E+01    0.10585E+07    0.30703E+05
     3    0.98051E+03    0.85148E-01    0.40901E+01    0.16377E+07    0.36756E+05
     4    0.92470E+03    0.94116E-01    0.42062E+01    0.21558E+07    0.39696E+05
     5    0.88151E+03    0.81817E-01    0.38969E+01    0.26152E+07    0.40934E+05
     6    0.85078E+03    0.59100E-01    0.33841E+01    0.30218E+07    0.41189E+05
     7    0.83037E+03    0.36780E-01    0.28125E+01    0.33831E+07    0.40860E+05
     8    0.81763E+03    0.20902E-01    0.22693E+01    0.37052E+07    0.40186E+05
     9    0.81106E+03    0.12342E-01    0.18064E+01    0.39936E+07    0.39308E+05
    10    0.80921E+03    0.89227E-02    0.14506E+01    0.42521E+07    0.38323E+05
    11    0.81092E+03    0.78520E-02    0.12080E+01    0.44853E+07    0.37312E+05
    12    0.81582E+03    0.72930E-02    0.10710E+01    0.46950E+07    0.36303E+05
    13    0.82262E+03    0.64948E-02    0.10201E+01    0.48838E+07    0.35311E+05
    14    0.83097E+03    0.57137E-02    0.10319E+01    0.50543E+07    0.34351E+05
    15    0.84073E+03    0.51889E-02    0.10834E+01    0.52085E+07    0.33420E+05
    16    0.85177E+03    0.50576E-02    0.11543E+01    0.53479E+07    0.32515E+05
    17    0.86391E+03    0.52866E-02    0.12291E+01    0.54739E+07    0.31637E+05
    18    0.87633E+03    0.56272E-02    0.12976E+01    0.55880E+07    0.30785E+05
    19    0.89034E+03    0.59879E-02    0.13583E+01    0.56909E+07    0.29958E+05
    20    0.90466E+03    0.63903E-02    0.14094E+01    0.57834E+07    0.29150E+05
    21    0.91947E+03    0.68843E-02    0.14536E+01    0.58665E+07    0.28365E+05
    22    0.93475E+03    0.75977E-02    0.14941E+01    0.59414E+07    0.27604E+05
    23    0.95033E+03    0.85847E-02    0.15343E+01    0.60087E+07    0.26874E+05
    24    0.96631E+03    0.98371E-02    0.15776E+01    0.60684E+07    0.26179E+05
    25    0.98271E+03    0.11345E-01    0.16250E+01    0.61215E+07    0.25515E+05
    26    0.99936E+03    0.13062E-01    0.16776E+01    0.61686E+07    0.24878E+05
    27    0.10164E+04    0.14968E-01    0.17318E+01    0.62101E+07    0.24267E+05
    28    0.10337E+04    0.17071E-01    0.17849E+01    0.62463E+07    0.23684E+05
    29    0.10513E+04    0.19358E-01    0.18345E+01    0.62776E+07    0.23127E+05
    30    0.10691E+04    0.21827E-01    0.18772E+01    0.63043E+07    0.22593E+05
    31    0.10871E+04    0.24483E-01    0.19104E+01    0.63269E+07    0.22080E+05
    32    0.11054E+04    0.27324E-01    0.19319E+01    0.63456E+07    0.21582E+05
    33    0.11240E+04    0.30353E-01    0.19415E+01    0.63608E+07    0.21100E+05
    34    0.11428E+04    0.33586E-01    0.19400E+01    0.63725E+07    0.20634E+05
    35    0.11618E+04    0.37047E-01    0.19269E+01    0.63810E+07    0.20183E+05
    36    0.11811E+04    0.40761E-01    0.19012E+01    0.63866E+07    0.19747E+05
    37    0.12006E+04    0.44735E-01    0.18653E+01    0.63896E+07    0.19326E+05
    38    0.12203E+04    0.48977E-01    0.18231E+01    0.63900E+07    0.18921E+05
    39    0.12402E+04    0.53488E-01    0.17732E+01    0.63879E+07    0.18533E+05
