#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10375E+04    0.32709E+01    0.13447E-02    0.32709E+01    0.52858E-01   -0.64140E-05    0.13447E-02   -0.64140E-05    0.85042E-08
     3    0.98051E+03    0.40901E+01    0.95393E-03    0.40901E+01    0.85148E-01   -0.55439E-05    0.95393E-03   -0.55439E-05    0.51984E-08
     4    0.92470E+03    0.42062E+01    0.72439E-03    0.42062E+01    0.94116E-01   -0.42975E-05    0.72439E-03   -0.42975E-05    0.36085E-08
     5    0.88151E+03    0.38969E+01    0.57368E-03    0.38969E+01    0.81817E-01   -0.30560E-05    0.57368E-03   -0.30560E-05    0.26895E-08
     6    0.85078E+03    0.33841E+01    0.46768E-03    0.33841E+01    0.59100E-01   -0.19614E-05    0.46768E-03   -0.19614E-05    0.20982E-08
     7    0.83037E+03    0.28125E+01    0.38956E-03    0.28125E+01    0.36780E-01   -0.10778E-05    0.38956E-03   -0.10778E-05    0.16906E-08
     8    0.81763E+03    0.22693E+01    0.32999E-03    0.22693E+01    0.20902E-01   -0.42432E-06    0.32999E-03   -0.42432E-06    0.13954E-08
     9    0.81106E+03    0.18064E+01    0.28338E-03    0.18064E+01    0.12342E-01    0.86291E-08    0.28338E-03    0.86291E-08    0.11737E-08
    10    0.80921E+03    0.14506E+01    0.24617E-03    0.14506E+01    0.89227E-02    0.24992E-06    0.24617E-03    0.24992E-06    0.10021E-08
    11    0.81092E+03    0.12080E+01    0.21608E-03    0.12080E+01    0.78520E-02    0.34041E-06    0.21608E-03    0.34041E-06    0.86642E-09
    12    0.81582E+03    0.10710E+01    0.19136E-03    0.10710E+01    0.72930E-02    0.32515E-06    0.19136E-03    0.32515E-06    0.75665E-09
    13    0.82262E+03    0.10201E+01    0.17082E-03    0.10201E+01    0.64948E-02    0.24628E-06    0.17082E-03    0.24628E-06    0.66678E-09
    14    0.83097E+03    0.10319E+01    0.15351E-03    0.10319E+01    0.57137E-02    0.14192E-06    0.15351E-03    0.14192E-06    0.59195E-09
    15    0.84073E+03    0.10834E+01    0.13878E-03    0.10834E+01    0.51889E-02    0.37695E-07    0.13878E-03    0.37695E-07    0.52904E-09
    16    0.85177E+03    0.11543E+01    0.12608E-03    0.11543E+01    0.50576E-02   -0.46877E-07    0.12608E-03   -0.46877E-07    0.47553E-09
    17    0.86391E+03    0.12291E+01    0.11506E-03    0.12291E+01    0.52866E-02   -0.10430E-06    0.11506E-03   -0.10430E-06    0.42968E-09
    18    0.87633E+03    0.12976E+01    0.10542E-03    0.12976E+01    0.56272E-02   -0.13189E-06    0.10542E-03   -0.13189E-06    0.39004E-09
    19    0.89034E+03    0.13583E+01    0.96918E-04    0.13583E+01    0.59879E-02   -0.13417E-06    0.96918E-04   -0.13417E-06    0.35553E-09
    20    0.90466E+03    0.14094E+01    0.89366E-04    0.14094E+01    0.63903E-02   -0.11782E-06    0.89366E-04   -0.11782E-06    0.32526E-09
    21    0.91947E+03    0.14536E+01    0.82630E-04    0.14536E+01    0.68843E-02   -0.90946E-07    0.82630E-04   -0.90946E-07    0.29859E-09
    22    0.93475E+03    0.14941E+01    0.76601E-04    0.14941E+01    0.75977E-02   -0.61419E-07    0.76601E-04   -0.61419E-07    0.27496E-09
