#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.342356E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496290E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.810241E-01
   0.353928E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496290E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.837628E-01
   0.365891E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496290E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.865940E-01
   0.378258E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496290E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.895209E-01
   0.391043E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496290E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.925468E-01
   0.404261E-05   0.372218E+06   0.372218E+06   0.496290E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.956749E-01
   0.417925E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.989088E-01
   0.432051E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.102252E+00
   0.446655E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.105708E+00
   0.461752E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.109281E+00
   0.477360E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.112975E+00
   0.493495E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.116794E+00
   0.510175E-05   0.372218E+06   0.372218E+06   0.496289E+06   0.496289E+06   0.387339E+06   0.372568E+06   0.372218E+06   0.377903E+06  -0.603016E+00   0.370913E+06   0.370913E+06   0.120741E+00
