#    L    TT             EE             BB             TE          
     2    0.10212E+04    0.49089E-01    0.99114E-06    0.32061E+01
     3    0.96123E+03    0.81107E-01    0.19853E-05    0.40175E+01
     4    0.90313E+03    0.92358E-01    0.33154E-05    0.41500E+01
     5    0.85780E+03    0.83120E-01    0.49846E-05    0.38709E+01
     6    0.82492E+03    0.62436E-01    0.69969E-05    0.33919E+01
     7    0.80231E+03    0.40449E-01    0.93559E-05    0.28508E+01
     8    0.78735E+03    0.23657E-01    0.12065E-04    0.23290E+01
     9    0.77860E+03    0.13854E-01    0.15128E-04    0.18758E+01
    10    0.77455E+03    0.95712E-02    0.18546E-04    0.15176E+01
    11    0.77415E+03    0.82117E-02    0.22322E-04    0.12635E+01
    12    0.77696E+03    0.77261E-02    0.26456E-04    0.11092E+01
    13    0.78168E+03    0.70745E-02    0.30948E-04    0.10397E+01
    14    0.78796E+03    0.62901E-02    0.35796E-04    0.10354E+01
    15    0.79567E+03    0.56479E-02    0.41000E-04    0.10755E+01
    16    0.80463E+03    0.53827E-02    0.46557E-04    0.11406E+01
    17    0.81469E+03    0.55464E-02    0.52466E-04    0.12148E+01
    18    0.82501E+03    0.59437E-02    0.58724E-04    0.12866E+01
    19    0.83689E+03    0.64219E-02    0.65330E-04    0.13518E+01
    20    0.84904E+03    0.69237E-02    0.72283E-04    0.14060E+01
    21    0.86164E+03    0.74642E-02    0.79582E-04    0.14517E+01
    22    0.87472E+03    0.81587E-02    0.87229E-04    0.14913E+01
    23    0.88808E+03    0.90926E-02    0.95224E-04    0.15276E+01
    24    0.90179E+03    0.10296E-01    0.10357E-03    0.15629E+01
    25    0.91589E+03    0.11782E-01    0.11227E-03    0.15993E+01
    26    0.93021E+03    0.13516E-01    0.12134E-03    0.16396E+01
    27    0.94492E+03    0.15462E-01    0.13076E-03    0.16822E+01
    28    0.95979E+03    0.17609E-01    0.14055E-03    0.17257E+01
    29    0.97494E+03    0.19951E-01    0.15071E-03    0.17677E+01
    30    0.99037E+03    0.22489E-01    0.16125E-03    0.18047E+01
    31    0.10059E+04    0.25226E-01    0.17216E-03    0.18339E+01
    32    0.10217E+04    0.28156E-01    0.18346E-03    0.18533E+01
    33    0.10377E+04    0.31273E-01    0.19513E-03    0.18612E+01
    34    0.10540E+04    0.34585E-01    0.20718E-03    0.18571E+01
    35    0.10705E+04    0.38103E-01    0.21961E-03    0.18413E+01
    36    0.10873E+04    0.41848E-01    0.23242E-03    0.18132E+01
    37    0.11041E+04    0.45848E-01    0.24560E-03    0.17725E+01
    38    0.11212E+04    0.50125E-01    0.25915E-03    0.17209E+01
    39    0.11385E+04    0.54667E-01    0.27307E-03    0.16594E+01
    40    0.11560E+04    0.59457E-01    0.28735E-03    0.15884E+01
    41    0.11738E+04    0.64491E-01    0.30199E-03    0.15080E+01
    42    0.11916E+04    0.69792E-01    0.31699E-03    0.14171E+01
    43    0.12096E+04    0.75393E-01    0.33234E-03    0.13141E+01
    44    0.12277E+04    0.81308E-01    0.34806E-03    0.11986E+01
    45    0.12461E+04    0.87565E-01    0.36413E-03    0.10702E+01
    46    0.12648E+04    0.94179E-01    0.38056E-03    0.92665E+00
    47    0.12837E+04    0.10111E+00    0.39735E-03    0.76906E+00
    48    0.13026E+04    0.10832E+00    0.41451E-03    0.60187E+00
    49    0.13218E+04    0.11573E+00    0.43203E-03    0.42896E+00
    50    0.13414E+04    0.12327E+00    0.44992E-03    0.24741E+00
    51    0.13613E+04    0.13088E+00    0.46818E-03    0.52838E-01
    52    0.13815E+04    0.13869E+00    0.48682E-03   -0.15945E+00
    53    0.14018E+04    0.14692E+00    0.50582E-03   -0.39238E+00
    54    0.14221E+04    0.15564E+00    0.52521E-03   -0.64089E+00
    55    0.14425E+04    0.16487E+00    0.54496E-03   -0.89983E+00
    56    0.14632E+04    0.17454E+00    0.56509E-03   -0.11703E+01
    57    0.14841E+04    0.18447E+00    0.58558E-03   -0.14519E+01
    58    0.15054E+04    0.19460E+00    0.60644E-03   -0.17454E+01
    59    0.15269E+04    0.20489E+00    0.62767E-03   -0.20514E+01
    60    0.15487E+04    0.21533E+00    0.64925E-03   -0.23691E+01
    61    0.15710E+04    0.22595E+00    0.67118E-03   -0.26979E+01
    62    0.15932E+04    0.23679E+00    0.69347E-03   -0.30395E+01
    63    0.16156E+04    0.24787E+00    0.71610E-03   -0.33964E+01
    64    0.16385E+04    0.25926E+00    0.73909E-03   -0.37709E+01
    65    0.16613E+04    0.27101E+00    0.76242E-03   -0.41648E+01
    66    0.16845E+04    0.28310E+00    0.78609E-03   -0.45771E+01
    67    0.17078E+04    0.29548E+00    0.81012E-03   -0.50034E+01
    68    0.17315E+04    0.30814E+00    0.83449E-03   -0.54398E+01
    69    0.17555E+04    0.32098E+00    0.85922E-03   -0.58826E+01
    70    0.17800E+04    0.33398E+00    0.88431E-03   -0.63312E+01
    71    0.18047E+04    0.34709E+00    0.90976E-03   -0.67866E+01
    72    0.18297E+04    0.36029E+00    0.93557E-03   -0.72515E+01
    73    0.18549E+04    0.37360E+00    0.96175E-03   -0.77283E+01
    74    0.18803E+04    0.38704E+00    0.98830E-03   -0.82181E+01
    75    0.19059E+04    0.40065E+00    0.10152E-02   -0.87215E+01
    76    0.19317E+04    0.41446E+00    0.10425E-02   -0.92390E+01
    77    0.19578E+04    0.42845E+00    0.10702E-02   -0.97693E+01
    78    0.19842E+04    0.44265E+00    0.10982E-02   -0.10312E+02
    79    0.20107E+04    0.45699E+00    0.11266E-02   -0.10861E+02
    80    0.20377E+04    0.47146E+00    0.11554E-02   -0.11417E+02
    81    0.20649E+04    0.48599E+00    0.11845E-02   -0.11978E+02
    82    0.20925E+04    0.50061E+00    0.12140E-02   -0.12545E+02
    83    0.21203E+04    0.51527E+00    0.12439E-02   -0.13119E+02
    84    0.21485E+04    0.52996E+00    0.12741E-02   -0.13699E+02
    85    0.21768E+04    0.54466E+00    0.13047E-02   -0.14287E+02
    86    0.22054E+04    0.55936E+00    0.13356E-02   -0.14885E+02
    87    0.22345E+04    0.57404E+00    0.13670E-02   -0.15490E+02
    88    0.22635E+04    0.58872E+00    0.13986E-02   -0.16103E+02
    89    0.22930E+04    0.60338E+00    0.14307E-02   -0.16722E+02
    90    0.23227E+04    0.61800E+00    0.14631E-02   -0.17346E+02
    91    0.23526E+04    0.63257E+00    0.14959E-02   -0.17974E+02
    92    0.23828E+04    0.64708E+00    0.15291E-02   -0.18604E+02
    93    0.24133E+04    0.66151E+00    0.15627E-02   -0.19237E+02
    94    0.24439E+04    0.67584E+00    0.15968E-02   -0.19872E+02
    95    0.24748E+04    0.69005E+00    0.16312E-02   -0.20509E+02
    96    0.25058E+04    0.70414E+00    0.16660E-02   -0.21148E+02
    97    0.25371E+04    0.71809E+00    0.17012E-02   -0.21787E+02
    98    0.25688E+04    0.73189E+00    0.17369E-02   -0.22424E+02
    99    0.26005E+04    0.74550E+00    0.17730E-02   -0.23064E+02
   100    0.26325E+04    0.75892E+00    0.18095E-02   -0.23700E+02
   101    0.26646E+04    0.77221E+00    0.18464E-02   -0.24336E+02
   102    0.26973E+04    0.78523E+00    0.18837E-02   -0.24970E+02
   103    0.27300E+04    0.79804E+00    0.19215E-02   -0.25602E+02
   104    0.27628E+04    0.81064E+00    0.19597E-02   -0.26230E+02
   105    0.27958E+04    0.82296E+00    0.19983E-02   -0.26855E+02
   106    0.28291E+04    0.83508E+00    0.20374E-02   -0.27476E+02
   107    0.28622E+04    0.84684E+00    0.20769E-02   -0.28092E+02
   108    0.28958E+04    0.85832E+00    0.21168E-02   -0.28704E+02
   109    0.29294E+04    0.86944E+00    0.21572E-02   -0.29310E+02
   110    0.29632E+04    0.88020E+00    0.21980E-02   -0.29908E+02
   111    0.29971E+04    0.89067E+00    0.22392E-02   -0.30500E+02
   112    0.30312E+04    0.90079E+00    0.22810E-02   -0.31086E+02
   113    0.30654E+04    0.91056E+00    0.23232E-02   -0.31663E+02
   114    0.30998E+04    0.91990E+00    0.23659E-02   -0.32232E+02
   115    0.31343E+04    0.92896E+00    0.24090E-02   -0.32791E+02
   116    0.31689E+04    0.93752E+00    0.24527E-02   -0.33340E+02
   117    0.32037E+04    0.94566E+00    0.24969E-02   -0.33878E+02
   118    0.32387E+04    0.95353E+00    0.25415E-02   -0.34407E+02
   119    0.32736E+04    0.96098E+00    0.25867E-02   -0.34923E+02
   120    0.33087E+04    0.96787E+00    0.26324E-02   -0.35427E+02
   121    0.33438E+04    0.97449E+00    0.26787E-02   -0.35918E+02
   122    0.33789E+04    0.98055E+00    0.27254E-02   -0.36397E+02
   123    0.34141E+04    0.98613E+00    0.27727E-02   -0.36862E+02
   124    0.34493E+04    0.99130E+00    0.28205E-02   -0.37310E+02
   125    0.34845E+04    0.99599E+00    0.28689E-02   -0.37745E+02
   126    0.35198E+04    0.10003E+01    0.29178E-02   -0.38164E+02
   127    0.35550E+04    0.10040E+01    0.29672E-02   -0.38568E+02
   128    0.35902E+04    0.10073E+01    0.30171E-02   -0.38955E+02
   129    0.36255E+04    0.10101E+01    0.30676E-02   -0.39325E+02
   130    0.36607E+04    0.10124E+01    0.31187E-02   -0.39677E+02
   131    0.36959E+04    0.10142E+01    0.31703E-02   -0.40012E+02
   132    0.37311E+04    0.10155E+01    0.32224E-02   -0.40328E+02
   133    0.37663E+04    0.10164E+01    0.32751E-02   -0.40626E+02
   134    0.38013E+04    0.10167E+01    0.33284E-02   -0.40903E+02
   135    0.38364E+04    0.10166E+01    0.33823E-02   -0.41160E+02
   136    0.38713E+04    0.10160E+01    0.34368E-02   -0.41396E+02
   137    0.39061E+04    0.10149E+01    0.34919E-02   -0.41611E+02
   138    0.39408E+04    0.10133E+01    0.35476E-02   -0.41804E+02
   139    0.39752E+04    0.10113E+01    0.36039E-02   -0.41975E+02
   140    0.40097E+04    0.10088E+01    0.36608E-02   -0.42125E+02
   141    0.40439E+04    0.10057E+01    0.37184E-02   -0.42251E+02
   142    0.40780E+04    0.10023E+01    0.37765E-02   -0.42353E+02
   143    0.41120E+04    0.99840E+00    0.38353E-02   -0.42433E+02
   144    0.41458E+04    0.99406E+00    0.38948E-02   -0.42490E+02
   145    0.41793E+04    0.98938E+00    0.39549E-02   -0.42522E+02
   146    0.42129E+04    0.98416E+00    0.40156E-02   -0.42529E+02
   147    0.42460E+04    0.97861E+00    0.40769E-02   -0.42511E+02
   148    0.42789E+04    0.97260E+00    0.41388E-02   -0.42469E+02
   149    0.43117E+04    0.96621E+00    0.42014E-02   -0.42401E+02
   150    0.43441E+04    0.95951E+00    0.42646E-02   -0.42305E+02
   151    0.43763E+04    0.95244E+00    0.43285E-02   -0.42185E+02
   152    0.44082E+04    0.94492E+00    0.43930E-02   -0.42038E+02
   153    0.44398E+04    0.93711E+00    0.44581E-02   -0.41862E+02
   154    0.44711E+04    0.92902E+00    0.45239E-02   -0.41661E+02
   155    0.45022E+04    0.92065E+00    0.45903E-02   -0.41433E+02
   156    0.45328E+04    0.91201E+00    0.46574E-02   -0.41177E+02
   157    0.45632E+04    0.90310E+00    0.47251E-02   -0.40894E+02
   158    0.45933E+04    0.89400E+00    0.47935E-02   -0.40584E+02
   159    0.46230E+04    0.88458E+00    0.48626E-02   -0.40246E+02
   160    0.46524E+04    0.87498E+00    0.49323E-02   -0.39880E+02
   161    0.46815E+04    0.86528E+00    0.50027E-02   -0.39486E+02
   162    0.47102E+04    0.85535E+00    0.50738E-02   -0.39065E+02
   163    0.47386E+04    0.84526E+00    0.51456E-02   -0.38616E+02
   164    0.47666E+04    0.83510E+00    0.52181E-02   -0.38140E+02
   165    0.47943E+04    0.82479E+00    0.52912E-02   -0.37635E+02
   166    0.48216E+04    0.81448E+00    0.53650E-02   -0.37102E+02
   167    0.48486E+04    0.80397E+00    0.54394E-02   -0.36543E+02
   168    0.48750E+04    0.79362E+00    0.55145E-02   -0.35955E+02
   169    0.49010E+04    0.78316E+00    0.55903E-02   -0.35338E+02
   170    0.49267E+04    0.77279E+00    0.56667E-02   -0.34693E+02
   171    0.49518E+04    0.76254E+00    0.57437E-02   -0.34020E+02
   172    0.49764E+04    0.75234E+00    0.58214E-02   -0.33318E+02
   173    0.50005E+04    0.74218E+00    0.58997E-02   -0.32589E+02
   174    0.50242E+04    0.73237E+00    0.59787E-02   -0.31832E+02
   175    0.50474E+04    0.72262E+00    0.60583E-02   -0.31046E+02
   176    0.50699E+04    0.71316E+00    0.61385E-02   -0.30232E+02
   177    0.50920E+04    0.70392E+00    0.62194E-02   -0.29392E+02
   178    0.51135E+04    0.69513E+00    0.63009E-02   -0.28523E+02
   179    0.51345E+04    0.68650E+00    0.63830E-02   -0.27627E+02
   180    0.51550E+04    0.67826E+00    0.64657E-02   -0.26705E+02
   181    0.51750E+04    0.67041E+00    0.65491E-02   -0.25756E+02
   182    0.51944E+04    0.66304E+00    0.66331E-02   -0.24780E+02
   183    0.52131E+04    0.65607E+00    0.67178E-02   -0.23779E+02
   184    0.52314E+04    0.64960E+00    0.68030E-02   -0.22751E+02
   185    0.52492E+04    0.64376E+00    0.68889E-02   -0.21699E+02
   186    0.52660E+04    0.63844E+00    0.69754E-02   -0.20620E+02
   187    0.52825E+04    0.63377E+00    0.70624E-02   -0.19516E+02
   188    0.52985E+04    0.62975E+00    0.71501E-02   -0.18389E+02
   189    0.53138E+04    0.62642E+00    0.72383E-02   -0.17237E+02
   190    0.53288E+04    0.62384E+00    0.73271E-02   -0.16063E+02
   191    0.53428E+04    0.62204E+00    0.74164E-02   -0.14863E+02
   192    0.53564E+04    0.62104E+00    0.75063E-02   -0.13641E+02
   193    0.53693E+04    0.62090E+00    0.75966E-02   -0.12397E+02
   194    0.53817E+04    0.62166E+00    0.76876E-02   -0.11130E+02
   195    0.53934E+04    0.62335E+00    0.77790E-02   -0.98424E+01
   196    0.54045E+04    0.62602E+00    0.78709E-02   -0.85331E+01
   197    0.54150E+04    0.62972E+00    0.79633E-02   -0.72040E+01
   198    0.54249E+04    0.63448E+00    0.80562E-02   -0.58544E+01
   199    0.54342E+04    0.64035E+00    0.81496E-02   -0.44854E+01
   200    0.54429E+04    0.64735E+00    0.82435E-02   -0.30977E+01
   201    0.54509E+04    0.65555E+00    0.83378E-02   -0.16909E+01
   202    0.54583E+04    0.66497E+00    0.84326E-02   -0.26640E+00
   203    0.54651E+04    0.67564E+00    0.85279E-02    0.11763E+01
   204    0.54711E+04    0.68759E+00    0.86236E-02    0.26341E+01
   205    0.54765E+04    0.70086E+00    0.87197E-02    0.41091E+01
   206    0.54811E+04    0.71548E+00    0.88163E-02    0.56000E+01
   207    0.54852E+04    0.73146E+00    0.89133E-02    0.71062E+01
   208    0.54884E+04    0.74885E+00    0.90107E-02    0.86271E+01
   209    0.54910E+04    0.76768E+00    0.91085E-02    0.10162E+02
   210    0.54930E+04    0.78798E+00    0.92066E-02    0.11710E+02
   211    0.54943E+04    0.80978E+00    0.93052E-02    0.13272E+02
   212    0.54948E+04    0.83311E+00    0.94040E-02    0.14845E+02
   213    0.54947E+04    0.85800E+00    0.95032E-02    0.16430E+02
   214    0.54939E+04    0.88444E+00    0.96026E-02    0.18025E+02
   215    0.54924E+04    0.91262E+00    0.97024E-02    0.19630E+02
   216    0.54902E+04    0.94235E+00    0.98024E-02    0.21246E+02
   217    0.54875E+04    0.97377E+00    0.99027E-02    0.22869E+02
   218    0.54840E+04    0.10069E+01    0.10003E-01    0.24500E+02
   219    0.54799E+04    0.10417E+01    0.10104E-01    0.26140E+02
   220    0.54752E+04    0.10783E+01    0.10205E-01    0.27785E+02
   221    0.54699E+04    0.11167E+01    0.10306E-01    0.29436E+02
   222    0.54639E+04    0.11570E+01    0.10408E-01    0.31092E+02
   223    0.54571E+04    0.11991E+01    0.10509E-01    0.32753E+02
   224    0.54499E+04    0.12430E+01    0.10611E-01    0.34416E+02
   225    0.54419E+04    0.12889E+01    0.10713E-01    0.36083E+02
   226    0.54334E+04    0.13367E+01    0.10815E-01    0.37752E+02
   227    0.54241E+04    0.13864E+01    0.10918E-01    0.39422E+02
   228    0.54144E+04    0.14381E+01    0.11020E-01    0.41092E+02
   229    0.54039E+04    0.14918E+01    0.11123E-01    0.42762E+02
   230    0.53929E+04    0.15475E+01    0.11226E-01    0.44431E+02
   231    0.53811E+04    0.16052E+01    0.11328E-01    0.46098E+02
   232    0.53688E+04    0.16650E+01    0.11431E-01    0.47763E+02
   233    0.53559E+04    0.17269E+01    0.11534E-01    0.49423E+02
   234    0.53422E+04    0.17909E+01    0.11637E-01    0.51079E+02
   235    0.53280E+04    0.18571E+01    0.11740E-01    0.52729E+02
   236    0.53132E+04    0.19253E+01    0.11843E-01    0.54374E+02
   237    0.52977E+04    0.19957E+01    0.11946E-01    0.56011E+02
   238    0.52817E+04    0.20684E+01    0.12049E-01    0.57641E+02
   239    0.52651E+04    0.21431E+01    0.12152E-01    0.59263E+02
   240    0.52478E+04    0.22201E+01    0.12255E-01    0.60874E+02
   241    0.52301E+04    0.22993E+01    0.12357E-01    0.62476E+02
   242    0.52118E+04    0.23807E+01    0.12460E-01    0.64066E+02
   243    0.51929E+04    0.24644E+01    0.12563E-01    0.65644E+02
   244    0.51734E+04    0.25503E+01    0.12665E-01    0.67211E+02
   245    0.51534E+04    0.26385E+01    0.12767E-01    0.68762E+02
   246    0.51328E+04    0.27290E+01    0.12870E-01    0.70300E+02
   247    0.51118E+04    0.28217E+01    0.12972E-01    0.71822E+02
   248    0.50902E+04    0.29169E+01    0.13073E-01    0.73329E+02
   249    0.50682E+04    0.30142E+01    0.13175E-01    0.74818E+02
   250    0.50456E+04    0.31140E+01    0.13277E-01    0.76289E+02
   251    0.50225E+04    0.32159E+01    0.13378E-01    0.77742E+02
   252    0.49989E+04    0.33203E+01    0.13479E-01    0.79176E+02
   253    0.49750E+04    0.34268E+01    0.13580E-01    0.80590E+02
   254    0.49505E+04    0.35356E+01    0.13681E-01    0.81983E+02
   255    0.49256E+04    0.36466E+01    0.13781E-01    0.83356E+02
   256    0.49002E+04    0.37601E+01    0.13882E-01    0.84709E+02
   257    0.48745E+04    0.38755E+01    0.13982E-01    0.86033E+02
   258    0.48482E+04    0.39933E+01    0.14081E-01    0.87342E+02
   259    0.48216E+04    0.41133E+01    0.14180E-01    0.88621E+02
   260    0.47947E+04    0.42354E+01    0.14279E-01    0.89884E+02
   261    0.47673E+04    0.43596E+01    0.14378E-01    0.91109E+02
   262    0.47394E+04    0.44860E+01    0.14476E-01    0.92320E+02
   263    0.47115E+04    0.46145E+01    0.14574E-01    0.93508E+02
   264    0.46830E+04    0.47451E+01    0.14671E-01    0.94666E+02
