#           k/h    P           
    0.10000E-03    0.28484E+00
    0.10202E-03    0.29041E+00
    0.10408E-03    0.29609E+00
    0.10618E-03    0.30188E+00
    0.10833E-03    0.30778E+00
    0.11052E-03    0.31380E+00
    0.11275E-03    0.31994E+00
    0.11503E-03    0.32620E+00
    0.11735E-03    0.33257E+00
    0.11972E-03    0.33908E+00
    0.12214E-03    0.34571E+00
    0.12461E-03    0.35246E+00
    0.12712E-03    0.35935E+00
    0.12969E-03    0.36638E+00
    0.13231E-03    0.37354E+00
    0.13499E-03    0.38084E+00
    0.13771E-03    0.38828E+00
    0.14049E-03    0.39587E+00
    0.14333E-03    0.40361E+00
    0.14623E-03    0.41149E+00
    0.14918E-03    0.41953E+00
    0.15220E-03    0.42772E+00
    0.15527E-03    0.43608E+00
    0.15841E-03    0.44460E+00
    0.16161E-03    0.45328E+00
    0.16487E-03    0.46213E+00
    0.16820E-03    0.47115E+00
    0.17160E-03    0.48035E+00
    0.17507E-03    0.48972E+00
    0.17860E-03    0.49928E+00
    0.18221E-03    0.50903E+00
    0.18589E-03    0.51896E+00
    0.18965E-03    0.52908E+00
    0.19348E-03    0.53940E+00
    0.19739E-03    0.54992E+00
    0.20138E-03    0.56064E+00
    0.20544E-03    0.57157E+00
    0.20959E-03    0.58271E+00
    0.21383E-03    0.59407E+00
    0.21815E-03    0.60564E+00
    0.22255E-03    0.61744E+00
    0.22705E-03    0.62947E+00
    0.23164E-03    0.64173E+00
    0.23632E-03    0.65422E+00
    0.24109E-03    0.66695E+00
    0.24596E-03    0.67993E+00
    0.25093E-03    0.69316E+00
    0.25600E-03    0.70664E+00
    0.26117E-03    0.72038E+00
    0.26645E-03    0.73438E+00
    0.27183E-03    0.74865E+00
    0.27732E-03    0.76319E+00
    0.28292E-03    0.77801E+00
    0.28864E-03    0.79311E+00
    0.29447E-03    0.80850E+00
    0.30042E-03    0.82419E+00
    0.30649E-03    0.84017E+00
    0.31268E-03    0.85645E+00
    0.31899E-03    0.87305E+00
    0.32544E-03    0.88995E+00
    0.33201E-03    0.90718E+00
    0.33872E-03    0.92473E+00
    0.34556E-03    0.94262E+00
    0.35254E-03    0.96084E+00
    0.35966E-03    0.97940E+00
    0.36693E-03    0.99831E+00
    0.37434E-03    0.10176E+01
    0.38190E-03    0.10372E+01
    0.38962E-03    0.10572E+01
    0.39749E-03    0.10775E+01
    0.40552E-03    0.10983E+01
    0.41371E-03    0.11194E+01
    0.42207E-03    0.11409E+01
    0.43060E-03    0.11628E+01
    0.43929E-03    0.11852E+01
    0.44817E-03    0.12079E+01
    0.45722E-03    0.12310E+01
    0.46646E-03    0.12546E+01
    0.47588E-03    0.12786E+01
    0.48550E-03    0.13030E+01
    0.49530E-03    0.13279E+01
    0.50531E-03    0.13532E+01
    0.51552E-03    0.13789E+01
    0.52593E-03    0.14052E+01
    0.53656E-03    0.14319E+01
    0.54739E-03    0.14590E+01
    0.55845E-03    0.14867E+01
    0.56973E-03    0.15148E+01
    0.58124E-03    0.15434E+01
    0.59299E-03    0.15726E+01
    0.60496E-03    0.16022E+01
    0.61719E-03    0.16323E+01
    0.62965E-03    0.16630E+01
    0.64237E-03    0.16942E+01
    0.65535E-03    0.17259E+01
    0.66859E-03    0.17581E+01
    0.68210E-03    0.17909E+01
    0.69588E-03    0.18242E+01
    0.70993E-03    0.18581E+01
    0.72427E-03    0.18925E+01
    0.73891E-03    0.19275E+01
    0.75383E-03    0.19630E+01
    0.76906E-03    0.19991E+01
    0.78460E-03    0.20358E+01
    0.80045E-03    0.20730E+01
    0.81662E-03    0.21108E+01
    0.83311E-03    0.21492E+01
    0.84994E-03    0.21882E+01
    0.86711E-03    0.22277E+01
    0.88463E-03    0.22678E+01
    0.90250E-03    0.23085E+01
    0.92073E-03    0.23498E+01
    0.93933E-03    0.23917E+01
    0.95831E-03    0.24341E+01
    0.97767E-03    0.24771E+01
    0.99742E-03    0.25207E+01
    0.10176E-02    0.25648E+01
    0.10381E-02    0.26095E+01
    0.10591E-02    0.26548E+01
    0.10805E-02    0.27006E+01
    0.11023E-02    0.27469E+01
    0.11246E-02    0.27938E+01
    0.11473E-02    0.28412E+01
    0.11705E-02    0.28891E+01
    0.11941E-02    0.29375E+01
    0.12182E-02    0.29863E+01
    0.12429E-02    0.30357E+01
    0.12680E-02    0.30855E+01
    0.12936E-02    0.31357E+01
    0.13197E-02    0.31863E+01
    0.13464E-02    0.32373E+01
    0.13736E-02    0.32886E+01
    0.14013E-02    0.33403E+01
    0.14296E-02    0.33923E+01
    0.14585E-02    0.34446E+01
    0.14880E-02    0.34971E+01
    0.15180E-02    0.35498E+01
    0.15487E-02    0.36027E+01
    0.15800E-02    0.36557E+01
    0.16119E-02    0.37089E+01
    0.16445E-02    0.37620E+01
    0.16777E-02    0.38152E+01
    0.17116E-02    0.38682E+01
    0.17462E-02    0.39212E+01
    0.17814E-02    0.39741E+01
    0.18174E-02    0.40267E+01
    0.18541E-02    0.40790E+01
    0.18916E-02    0.41310E+01
    0.19298E-02    0.41825E+01
    0.19688E-02    0.42336E+01
    0.20086E-02    0.42841E+01
    0.20491E-02    0.43340E+01
    0.20905E-02    0.43832E+01
    0.21328E-02    0.44316E+01
    0.21758E-02    0.44791E+01
    0.22198E-02    0.45256E+01
    0.22646E-02    0.45711E+01
