#    L    TT             EE             TE             PP             TP          
     2    0.10212E+04    0.49088E-01    0.32061E+01    0.99839E+06    0.28665E+05
     3    0.96122E+03    0.81105E-01    0.40175E+01    0.15339E+07    0.34209E+05
     4    0.90312E+03    0.92355E-01    0.41500E+01    0.20086E+07    0.36844E+05
     5    0.85779E+03    0.83115E-01    0.38709E+01    0.24262E+07    0.37898E+05
     6    0.82490E+03    0.62429E-01    0.33919E+01    0.27931E+07    0.38041E+05
     7    0.80228E+03    0.40439E-01    0.28508E+01    0.31166E+07    0.37644E+05
     8    0.78732E+03    0.23645E-01    0.23290E+01    0.34030E+07    0.36927E+05
     9    0.77856E+03    0.13839E-01    0.18759E+01    0.36575E+07    0.36021E+05
    10    0.77451E+03    0.95527E-02    0.15177E+01    0.38838E+07    0.35017E+05
    11    0.77409E+03    0.81894E-02    0.12635E+01    0.40863E+07    0.33988E+05
    12    0.77690E+03    0.76996E-02    0.11093E+01    0.42667E+07    0.32963E+05
    13    0.78161E+03    0.70436E-02    0.10397E+01    0.44276E+07    0.31959E+05
    14    0.78788E+03    0.62543E-02    0.10354E+01    0.45715E+07    0.30991E+05
    15    0.79558E+03    0.56069E-02    0.10755E+01    0.47002E+07    0.30058E+05
    16    0.80453E+03    0.53362E-02    0.11407E+01    0.48150E+07    0.29155E+05
    17    0.81458E+03    0.54940E-02    0.12149E+01    0.49175E+07    0.28283E+05
    18    0.82489E+03    0.58851E-02    0.12867E+01    0.50091E+07    0.27441E+05
    19    0.83675E+03    0.63566E-02    0.13519E+01    0.50903E+07    0.26627E+05
    20    0.84888E+03    0.68515E-02    0.14062E+01    0.51619E+07    0.25834E+05
    21    0.86147E+03    0.73847E-02    0.14518E+01    0.52249E+07    0.25063E+05
    22    0.87454E+03    0.80716E-02    0.14915E+01    0.52805E+07    0.24318E+05
    23    0.88788E+03    0.89975E-02    0.15278E+01    0.53290E+07    0.23600E+05
    24    0.90158E+03    0.10193E-01    0.15631E+01    0.53708E+07    0.22913E+05
    25    0.91565E+03    0.11670E-01    0.15995E+01    0.54065E+07    0.22256E+05
    26    0.92996E+03    0.13395E-01    0.16399E+01    0.54368E+07    0.21627E+05
    27    0.94466E+03    0.15331E-01    0.16825E+01    0.54621E+07    0.21025E+05
    28    0.95950E+03    0.17469E-01    0.17260E+01    0.54827E+07    0.20453E+05
    29    0.97464E+03    0.19800E-01    0.17681E+01    0.54989E+07    0.19907E+05
    30    0.99005E+03    0.22327E-01    0.18051E+01    0.55111E+07    0.19385E+05
    31    0.10055E+04    0.25054E-01    0.18344E+01    0.55196E+07    0.18885E+05
    32    0.10213E+04    0.27973E-01    0.18539E+01    0.55248E+07    0.18403E+05
    33    0.10374E+04    0.31079E-01    0.18618E+01    0.55268E+07    0.17938E+05
    34    0.10536E+04    0.34378E-01    0.18578E+01    0.55258E+07    0.17491E+05
    35    0.10701E+04    0.37884E-01    0.18421E+01    0.55221E+07    0.17060E+05
    36    0.10868E+04    0.41617E-01    0.18141E+01    0.55159E+07    0.16645E+05
    37    0.11036E+04    0.45603E-01    0.17735E+01    0.55074E+07    0.16242E+05
    38    0.11207E+04    0.49867E-01    0.17220E+01    0.54968E+07    0.15852E+05
    39    0.11381E+04    0.54395E-01    0.16606E+01    0.54841E+07    0.15475E+05
    40    0.11555E+04    0.59172E-01    0.15897E+01    0.54696E+07    0.15114E+05
    41    0.11733E+04    0.64191E-01    0.15093E+01    0.54534E+07    0.14770E+05
    42    0.11911E+04    0.69479E-01    0.14185E+01    0.54356E+07    0.14443E+05
    43    0.12091E+04    0.75064E-01    0.13156E+01    0.54163E+07    0.14130E+05
    44    0.12271E+04    0.80965E-01    0.12002E+01    0.53958E+07    0.13829E+05
    45    0.12455E+04    0.87206E-01    0.10718E+01    0.53739E+07    0.13540E+05
    46    0.12642E+04    0.93805E-01    0.92837E+00    0.53509E+07    0.13259E+05
    47    0.12830E+04    0.10072E+00    0.77087E+00    0.53269E+07    0.12986E+05
    48    0.13019E+04    0.10791E+00    0.60376E+00    0.53018E+07    0.12721E+05
    49    0.13211E+04    0.11531E+00    0.43094E+00    0.52759E+07    0.12462E+05
    50    0.13407E+04    0.12283E+00    0.24948E+00    0.52492E+07    0.12209E+05
    51    0.13605E+04    0.13042E+00    0.54993E-01    0.52217E+07    0.11961E+05
    52    0.13807E+04    0.13822E+00   -0.15721E+00    0.51935E+07    0.11719E+05
    53    0.14010E+04    0.14644E+00   -0.39005E+00    0.51647E+07    0.11485E+05
    54    0.14213E+04    0.15513E+00   -0.63847E+00    0.51353E+07    0.11259E+05
    55    0.14416E+04    0.16435E+00   -0.89732E+00    0.51054E+07    0.11043E+05
    56    0.14623E+04    0.17400E+00   -0.11677E+01    0.50750E+07    0.10838E+05
    57    0.14832E+04    0.18391E+00   -0.14492E+01    0.50441E+07    0.10642E+05
    58    0.15045E+04    0.19402E+00   -0.17427E+01    0.50129E+07    0.10454E+05
    59    0.15260E+04    0.20430E+00   -0.20486E+01    0.49814E+07    0.10272E+05
    60    0.15477E+04    0.21471E+00   -0.23663E+01    0.49495E+07    0.10094E+05
    61    0.15700E+04    0.22532E+00   -0.26950E+01    0.49174E+07    0.99187E+04
    62    0.15922E+04    0.23614E+00   -0.30366E+01    0.48850E+07    0.97464E+04
    63    0.16146E+04    0.24720E+00   -0.33935E+01    0.48524E+07    0.95774E+04
    64    0.16374E+04    0.25858E+00   -0.37680E+01    0.48197E+07    0.94122E+04
    65    0.16602E+04    0.27031E+00   -0.41620E+01    0.47868E+07    0.92511E+04
    66    0.16833E+04    0.28237E+00   -0.45743E+01    0.47539E+07    0.90945E+04
    67    0.17066E+04    0.29474E+00   -0.50006E+01    0.47208E+07    0.89430E+04
    68    0.17303E+04    0.30738E+00   -0.54371E+01    0.46876E+07    0.87968E+04
    69    0.17543E+04    0.32020E+00   -0.58800E+01    0.46544E+07    0.86565E+04
    70    0.17788E+04    0.33318E+00   -0.63287E+01    0.46212E+07    0.85224E+04
    71    0.18035E+04    0.34627E+00   -0.67842E+01    0.45880E+07    0.83948E+04
    72    0.18284E+04    0.35946E+00   -0.72492E+01    0.45548E+07    0.82723E+04
    73    0.18536E+04    0.37275E+00   -0.77261E+01    0.45216E+07    0.81536E+04
    74    0.18789E+04    0.38617E+00   -0.82161E+01    0.44885E+07    0.80371E+04
    75    0.19045E+04    0.39976E+00   -0.87197E+01    0.44554E+07    0.79215E+04
    76    0.19303E+04    0.41355E+00   -0.92374E+01    0.44223E+07    0.78056E+04
    77    0.19564E+04    0.42753E+00   -0.97679E+01    0.43894E+07    0.76899E+04
    78    0.19827E+04    0.44172E+00   -0.10311E+02    0.43566E+07    0.75756E+04
    79    0.20093E+04    0.45604E+00   -0.10861E+02    0.43238E+07    0.74636E+04
    80    0.20362E+04    0.47048E+00   -0.11417E+02    0.42912E+07    0.73548E+04
    81    0.20634E+04    0.48500E+00   -0.11978E+02    0.42587E+07    0.72500E+04
    82    0.20910E+04    0.49960E+00   -0.12545E+02    0.42264E+07    0.71492E+04
    83    0.21188E+04    0.51424E+00   -0.13119E+02    0.41942E+07    0.70521E+04
    84    0.21469E+04    0.52892E+00   -0.13699E+02    0.41621E+07    0.69585E+04
    85    0.21753E+04    0.54360E+00   -0.14289E+02    0.41302E+07    0.68681E+04
    86    0.22038E+04    0.55828E+00   -0.14887E+02    0.40985E+07    0.67806E+04
    87    0.22329E+04    0.57294E+00   -0.15493E+02    0.40670E+07    0.66958E+04
    88    0.22619E+04    0.58761E+00   -0.16106E+02    0.40357E+07    0.66132E+04
    89    0.22914E+04    0.60225E+00   -0.16726E+02    0.40045E+07    0.65325E+04
    90    0.23211E+04    0.61686E+00   -0.17350E+02    0.39736E+07    0.64534E+04
    91    0.23510E+04    0.63141E+00   -0.17978E+02    0.39428E+07    0.63756E+04
    92    0.23812E+04    0.64590E+00   -0.18610E+02    0.39123E+07    0.62989E+04
    93    0.24117E+04    0.66032E+00   -0.19244E+02    0.38819E+07    0.62235E+04
    94    0.24422E+04    0.67463E+00   -0.19879E+02    0.38518E+07    0.61493E+04
    95    0.24731E+04    0.68883E+00   -0.20517E+02    0.38218E+07    0.60763E+04
    96    0.25041E+04    0.70290E+00   -0.21156E+02    0.37921E+07    0.60045E+04
    97    0.25354E+04    0.71683E+00   -0.21796E+02    0.37626E+07    0.59339E+04
    98    0.25670E+04    0.73061E+00   -0.22435E+02    0.37333E+07    0.58645E+04
    99    0.25987E+04    0.74420E+00   -0.23075E+02    0.37042E+07    0.57962E+04
   100    0.26307E+04    0.75761E+00   -0.23712E+02    0.36754E+07    0.57292E+04
   101    0.26629E+04    0.77088E+00   -0.24349E+02    0.36467E+07    0.56633E+04
   102    0.26956E+04    0.78388E+00   -0.24984E+02    0.36183E+07    0.55986E+04
   103    0.27282E+04    0.79667E+00   -0.25618E+02    0.35901E+07    0.55350E+04
   104    0.27611E+04    0.80925E+00   -0.26247E+02    0.35621E+07    0.54726E+04
   105    0.27941E+04    0.82156E+00   -0.26873E+02    0.35344E+07    0.54114E+04
   106    0.28273E+04    0.83365E+00   -0.27496E+02    0.35069E+07    0.53513E+04
   107    0.28605E+04    0.84539E+00   -0.28113E+02    0.34796E+07    0.52924E+04
   108    0.28940E+04    0.85685E+00   -0.28726E+02    0.34525E+07    0.52346E+04
   109    0.29277E+04    0.86795E+00   -0.29333E+02    0.34257E+07    0.51779E+04
   110    0.29615E+04    0.87869E+00   -0.29933E+02    0.33991E+07    0.51224E+04
   111    0.29954E+04    0.88914E+00   -0.30527E+02    0.33728E+07    0.50680E+04
   112    0.30294E+04    0.89924E+00   -0.31114E+02    0.33467E+07    0.50148E+04
   113    0.30637E+04    0.90898E+00   -0.31693E+02    0.33208E+07    0.49626E+04
   114    0.30980E+04    0.91830E+00   -0.32263E+02    0.32952E+07    0.49114E+04
   115    0.31326E+04    0.92733E+00   -0.32824E+02    0.32698E+07    0.48612E+04
   116    0.31672E+04    0.93587E+00   -0.33374E+02    0.32446E+07    0.48121E+04
   117    0.32020E+04    0.94398E+00   -0.33915E+02    0.32197E+07    0.47639E+04
   118    0.32370E+04    0.95182E+00   -0.34445E+02    0.31950E+07    0.47166E+04
   119    0.32720E+04    0.95924E+00   -0.34963E+02    0.31705E+07    0.46702E+04
   120    0.33071E+04    0.96610E+00   -0.35469E+02    0.31463E+07    0.46247E+04
   121    0.33422E+04    0.97269E+00   -0.35962E+02    0.31222E+07    0.45800E+04
   122    0.33773E+04    0.97872E+00   -0.36442E+02    0.30984E+07    0.45361E+04
   123    0.34125E+04    0.98426E+00   -0.36909E+02    0.30749E+07    0.44931E+04
   124    0.34478E+04    0.98939E+00   -0.37360E+02    0.30515E+07    0.44507E+04
   125    0.34830E+04    0.99404E+00   -0.37796E+02    0.30284E+07    0.44091E+04
   126    0.35183E+04    0.99828E+00   -0.38218E+02    0.30055E+07    0.43682E+04
   127    0.35536E+04    0.10020E+01   -0.38623E+02    0.29828E+07    0.43279E+04
   128    0.35888E+04    0.10053E+01   -0.39013E+02    0.29603E+07    0.42883E+04
   129    0.36241E+04    0.10080E+01   -0.39385E+02    0.29381E+07    0.42493E+04
   130    0.36594E+04    0.10102E+01   -0.39739E+02    0.29160E+07    0.42109E+04
   131    0.36946E+04    0.10120E+01   -0.40076E+02    0.28942E+07    0.41730E+04
   132    0.37299E+04    0.10132E+01   -0.40394E+02    0.28726E+07    0.41357E+04
   133    0.37650E+04    0.10140E+01   -0.40695E+02    0.28512E+07    0.40989E+04
   134    0.38002E+04    0.10144E+01   -0.40973E+02    0.28300E+07    0.40626E+04
   135    0.38352E+04    0.10142E+01   -0.41233E+02    0.28090E+07    0.40267E+04
   136    0.38702E+04    0.10134E+01   -0.41471E+02    0.27882E+07    0.39914E+04
   137    0.39050E+04    0.10123E+01   -0.41688E+02    0.27676E+07    0.39566E+04
   138    0.39398E+04    0.10106E+01   -0.41884E+02    0.27473E+07    0.39222E+04
   139    0.39743E+04    0.10086E+01   -0.42057E+02    0.27271E+07    0.38882E+04
   140    0.40088E+04    0.10060E+01   -0.42209E+02    0.27071E+07    0.38547E+04
   141    0.40430E+04    0.10029E+01   -0.42337E+02    0.26873E+07    0.38216E+04
   142    0.40772E+04    0.99932E+00   -0.42442E+02    0.26677E+07    0.37889E+04
   143    0.41113E+04    0.99537E+00   -0.42525E+02    0.26483E+07    0.37566E+04
   144    0.41451E+04    0.99094E+00   -0.42583E+02    0.26291E+07    0.37247E+04
   145    0.41787E+04    0.98617E+00   -0.42618E+02    0.26101E+07    0.36931E+04
   146    0.42123E+04    0.98085E+00   -0.42628E+02    0.25913E+07    0.36619E+04
   147    0.42455E+04    0.97521E+00   -0.42612E+02    0.25727E+07    0.36310E+04
   148    0.42785E+04    0.96910E+00   -0.42572E+02    0.25542E+07    0.36005E+04
   149    0.43114E+04    0.96260E+00   -0.42506E+02    0.25359E+07    0.35703E+04
   150    0.43439E+04    0.95579E+00   -0.42412E+02    0.25179E+07    0.35404E+04
   151    0.43761E+04    0.94860E+00   -0.42294E+02    0.25000E+07    0.35107E+04
   152    0.44081E+04    0.94097E+00   -0.42149E+02    0.24822E+07    0.34814E+04
