#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10212E+04    0.32061E+01    0.12554E-02    0.32061E+01    0.49088E-01   -0.61647E-05    0.12554E-02   -0.61647E-05    0.80216E-08
     3    0.96122E+03    0.40175E+01    0.88783E-03    0.40175E+01    0.81105E-01   -0.53680E-05    0.88783E-03   -0.53680E-05    0.48687E-08
     4    0.90312E+03    0.41500E+01    0.67234E-03    0.41500E+01    0.92355E-01   -0.42211E-05    0.67234E-03   -0.42211E-05    0.33620E-08
     5    0.85779E+03    0.38709E+01    0.53112E-03    0.38709E+01    0.83115E-01   -0.30691E-05    0.53112E-03   -0.30691E-05    0.24951E-08
     6    0.82490E+03    0.33919E+01    0.43194E-03    0.33919E+01    0.62429E-01   -0.20391E-05    0.43194E-03   -0.20391E-05    0.19393E-08
     7    0.80228E+03    0.28508E+01    0.35889E-03    0.28508E+01    0.40439E-01   -0.11905E-05    0.35889E-03   -0.11905E-05    0.15574E-08
     8    0.78732E+03    0.23290E+01    0.30324E-03    0.23290E+01    0.23645E-01   -0.54404E-06    0.30324E-03   -0.54404E-06    0.12816E-08
     9    0.77856E+03    0.18759E+01    0.25969E-03    0.18759E+01    0.13839E-01   -0.96152E-07    0.25969E-03   -0.96152E-07    0.10749E-08
    10    0.77451E+03    0.15177E+01    0.22493E-03    0.15177E+01    0.95527E-02    0.17423E-06    0.22493E-03    0.17423E-06    0.91533E-09
    11    0.77409E+03    0.12635E+01    0.19683E-03    0.12635E+01    0.81894E-02    0.29976E-06    0.19683E-03    0.29976E-06    0.78933E-09
    12    0.77690E+03    0.11093E+01    0.17375E-03    0.11093E+01    0.76996E-02    0.31797E-06    0.17375E-03    0.31797E-06    0.68762E-09
    13    0.78161E+03    0.10397E+01    0.15460E-03    0.10397E+01    0.70436E-02    0.26587E-06    0.15460E-03    0.26587E-06    0.60449E-09
    14    0.78788E+03    0.10354E+01    0.13849E-03    0.10354E+01    0.62543E-02    0.17793E-06    0.13849E-03    0.17793E-06    0.53540E-09
    15    0.79558E+03    0.10755E+01    0.12482E-03    0.10755E+01    0.56069E-02    0.79628E-07    0.12482E-03    0.79628E-07    0.47741E-09
    16    0.80453E+03    0.11407E+01    0.11305E-03    0.11407E+01    0.53362E-02   -0.83870E-08    0.11305E-03   -0.83870E-08    0.42815E-09
    17    0.81458E+03    0.12149E+01    0.10287E-03    0.12149E+01    0.54940E-02   -0.75801E-07    0.10287E-03   -0.75801E-07    0.38601E-09
    18    0.82489E+03    0.12867E+01    0.93968E-04    0.12867E+01    0.58851E-02   -0.11675E-06    0.93968E-04   -0.11675E-06    0.34963E-09
    19    0.83675E+03    0.13519E+01    0.86141E-04    0.13519E+01    0.63566E-02   -0.13280E-06    0.86141E-04   -0.13280E-06    0.31801E-09
    20    0.84888E+03    0.14062E+01    0.79199E-04    0.14062E+01    0.68515E-02   -0.12803E-06    0.79199E-04   -0.12803E-06    0.29031E-09
    21    0.86147E+03    0.14518E+01    0.73013E-04    0.14518E+01    0.73847E-02   -0.10907E-06    0.73013E-04   -0.10907E-06    0.26593E-09
    22    0.87454E+03    0.14915E+01    0.67480E-04    0.14915E+01    0.80716E-02   -0.82934E-07    0.67480E-04   -0.82934E-07    0.24437E-09
    23    0.88788E+03    0.15278E+01    0.62522E-04    0.15278E+01    0.89975E-02   -0.55488E-07    0.62522E-04   -0.55488E-07    0.22522E-09
    24    0.90158E+03    0.15631E+01    0.58072E-04    0.15631E+01    0.10193E-01   -0.31774E-07    0.58072E-04   -0.31774E-07    0.20810E-09
    25    0.91565E+03    0.15995E+01    0.54064E-04    0.15995E+01    0.11670E-01   -0.14645E-07    0.54064E-04   -0.14645E-07    0.19275E-09
    26    0.92996E+03    0.16399E+01    0.50440E-04    0.16399E+01    0.13395E-01   -0.57346E-08    0.50440E-04   -0.57346E-08    0.17894E-09
    27    0.94466E+03    0.16825E+01    0.47157E-04    0.16825E+01    0.15331E-01   -0.40086E-08    0.47157E-04   -0.40086E-08    0.16648E-09
    28    0.95950E+03    0.17260E+01    0.44177E-04    0.17260E+01    0.17469E-01   -0.76997E-08    0.44177E-04   -0.76997E-08    0.15518E-09
    29    0.97464E+03    0.17681E+01    0.41466E-04    0.17681E+01    0.19800E-01   -0.14787E-07    0.41466E-04   -0.14787E-07    0.14492E-09
    30    0.99005E+03    0.18051E+01    0.38991E-04    0.18051E+01    0.22327E-01   -0.23226E-07    0.38991E-04   -0.23226E-07    0.13557E-09
    31    0.10055E+04    0.18344E+01    0.36721E-04    0.18344E+01    0.25054E-01   -0.31130E-07    0.36721E-04   -0.31130E-07    0.12703E-09
    32    0.10213E+04    0.18539E+01    0.34632E-04    0.18539E+01    0.27973E-01   -0.36898E-07    0.34632E-04   -0.36898E-07    0.11921E-09
    33    0.10374E+04    0.18618E+01    0.32704E-04    0.18618E+01    0.31079E-01   -0.39906E-07    0.32704E-04   -0.39906E-07    0.11203E-09
    34    0.10536E+04    0.18578E+01    0.30924E-04    0.18578E+01    0.34378E-01   -0.39947E-07    0.30924E-04   -0.39947E-07    0.10543E-09
    35    0.10701E+04    0.18421E+01    0.29277E-04    0.18421E+01    0.37884E-01   -0.37494E-07    0.29277E-04   -0.37494E-07    0.99341E-10
    36    0.10868E+04    0.18141E+01    0.27749E-04    0.18141E+01    0.41617E-01   -0.33240E-07    0.27749E-04   -0.33240E-07    0.93721E-10
    37    0.11036E+04    0.17735E+01    0.26327E-04    0.17735E+01    0.45603E-01   -0.28063E-07    0.26327E-04   -0.28063E-07    0.88523E-10
    38    0.11207E+04    0.17220E+01    0.25001E-04    0.17220E+01    0.49867E-01   -0.22809E-07    0.25001E-04   -0.22809E-07    0.83704E-10
    39    0.11381E+04    0.16606E+01    0.23765E-04    0.16606E+01    0.54395E-01   -0.18009E-07    0.23765E-04   -0.18009E-07    0.79232E-10
