#    L    TT             EE             BB             TE          
     2    0.97022E+03    0.41288E-01    0.11389E-05    0.32205E+01
     3    0.93627E+03    0.74571E-01    0.22823E-05    0.41092E+01
     4    0.89611E+03    0.93472E-01    0.38134E-05    0.43592E+01
     5    0.86299E+03    0.93510E-01    0.57373E-05    0.41945E+01
     6    0.83846E+03    0.78945E-01    0.80594E-05    0.38045E+01
     7    0.82166E+03    0.57862E-01    0.10785E-04    0.33190E+01
     8    0.81078E+03    0.37700E-01    0.13921E-04    0.28172E+01
     9    0.80509E+03    0.22807E-01    0.17470E-04    0.23518E+01
    10    0.80325E+03    0.14150E-01    0.21438E-04    0.19526E+01
    11    0.80464E+03    0.10355E-01    0.25826E-04    0.16383E+01
    12    0.80892E+03    0.92763E-02    0.30637E-04    0.14148E+01
    13    0.81481E+03    0.89654E-02    0.35869E-04    0.12780E+01
    14    0.82199E+03    0.85458E-02    0.41523E-04    0.12185E+01
    15    0.83039E+03    0.79549E-02    0.47595E-04    0.12207E+01
    16    0.83989E+03    0.73353E-02    0.54084E-04    0.12685E+01
    17    0.85032E+03    0.70557E-02    0.60986E-04    0.13448E+01
    18    0.86086E+03    0.72644E-02    0.68299E-04    0.14352E+01
    19    0.87278E+03    0.78507E-02    0.76018E-04    0.15297E+01
    20    0.88478E+03    0.86924E-02    0.84143E-04    0.16179E+01
    21    0.89709E+03    0.96141E-02    0.92673E-04    0.16968E+01
    22    0.90980E+03    0.10550E-01    0.10161E-03    0.17645E+01
    23    0.92263E+03    0.11569E-01    0.11095E-03    0.18219E+01
    24    0.93567E+03    0.12740E-01    0.12070E-03    0.18706E+01
    25    0.94896E+03    0.14175E-01    0.13086E-03    0.19136E+01
    26    0.96240E+03    0.15942E-01    0.14144E-03    0.19551E+01
    27    0.97610E+03    0.18033E-01    0.15244E-03    0.19947E+01
    28    0.98980E+03    0.20449E-01    0.16387E-03    0.20328E+01
    29    0.10037E+04    0.23160E-01    0.17573E-03    0.20710E+01
    30    0.10177E+04    0.26146E-01    0.18803E-03    0.21098E+01
    31    0.10317E+04    0.29392E-01    0.20077E-03    0.21485E+01
    32    0.10459E+04    0.32882E-01    0.21396E-03    0.21851E+01
    33    0.10602E+04    0.36619E-01    0.22760E-03    0.22132E+01
    34    0.10746E+04    0.40621E-01    0.24168E-03    0.22281E+01
    35    0.10891E+04    0.44882E-01    0.25621E-03    0.22314E+01
    36    0.11037E+04    0.49406E-01    0.27119E-03    0.22241E+01
    37    0.11183E+04    0.54202E-01    0.28660E-03    0.22032E+01
    38    0.11330E+04    0.59283E-01    0.30245E-03    0.21672E+01
    39    0.11480E+04    0.64643E-01    0.31873E-03    0.21166E+01
    40    0.11630E+04    0.70273E-01    0.33544E-03    0.20523E+01
    41    0.11783E+04    0.76177E-01    0.35257E-03    0.19746E+01
    42    0.11935E+04    0.82383E-01    0.37011E-03    0.18838E+01
    43    0.12089E+04    0.88925E-01    0.38807E-03    0.17798E+01
    44    0.12242E+04    0.95820E-01    0.40644E-03    0.16636E+01
    45    0.12398E+04    0.10310E+00    0.42522E-03    0.15361E+01
    46    0.12557E+04    0.11078E+00    0.44442E-03    0.13963E+01
    47    0.12715E+04    0.11885E+00    0.46402E-03    0.12447E+01
    48    0.12874E+04    0.12726E+00    0.48403E-03    0.10851E+01
    49    0.13035E+04    0.13597E+00    0.50447E-03    0.92048E+00
    50    0.13199E+04    0.14491E+00    0.52532E-03    0.74717E+00
    51    0.13365E+04    0.15404E+00    0.54658E-03    0.55996E+00
    52    0.13534E+04    0.16345E+00    0.56828E-03    0.35322E+00
    53    0.13704E+04    0.17332E+00    0.59039E-03    0.12310E+00
    54    0.13872E+04    0.18367E+00    0.61293E-03   -0.12631E+00
    55    0.14041E+04    0.19451E+00    0.63589E-03   -0.39080E+00
    56    0.14213E+04    0.20571E+00    0.65927E-03   -0.67197E+00
    57    0.14388E+04    0.21714E+00    0.68308E-03   -0.96840E+00
    58    0.14565E+04    0.22878E+00    0.70729E-03   -0.12792E+01
    59    0.14743E+04    0.24064E+00    0.73192E-03   -0.16034E+01
    60    0.14924E+04    0.25275E+00    0.75695E-03   -0.19387E+01
    61    0.15110E+04    0.26517E+00    0.78239E-03   -0.22831E+01
    62    0.15295E+04    0.27791E+00    0.80822E-03   -0.26383E+01
    63    0.15481E+04    0.29095E+00    0.83444E-03   -0.30067E+01
    64    0.15671E+04    0.30432E+00    0.86106E-03   -0.33909E+01
    65    0.15861E+04    0.31802E+00    0.88806E-03   -0.37928E+01
    66    0.16054E+04    0.33199E+00    0.91544E-03   -0.42115E+01
    67    0.16249E+04    0.34622E+00    0.94321E-03   -0.46440E+01
    68    0.16448E+04    0.36072E+00    0.97137E-03   -0.50880E+01
    69    0.16649E+04    0.37542E+00    0.99992E-03   -0.55411E+01
    70    0.16855E+04    0.39033E+00    0.10289E-02   -0.60045E+01
    71    0.17062E+04    0.40541E+00    0.10582E-02   -0.64799E+01
    72    0.17272E+04    0.42066E+00    0.10879E-02   -0.69686E+01
    73    0.17484E+04    0.43606E+00    0.11181E-02   -0.74712E+01
    74    0.17698E+04    0.45161E+00    0.11486E-02   -0.79867E+01
    75    0.17914E+04    0.46734E+00    0.11795E-02   -0.85135E+01
    76    0.18133E+04    0.48327E+00    0.12109E-02   -0.90511E+01
    77    0.18354E+04    0.49938E+00    0.12427E-02   -0.95988E+01
    78    0.18578E+04    0.51566E+00    0.12749E-02   -0.10158E+02
    79    0.18805E+04    0.53203E+00    0.13075E-02   -0.10723E+02
    80    0.19034E+04    0.54848E+00    0.13405E-02   -0.11297E+02
    81    0.19266E+04    0.56493E+00    0.13739E-02   -0.11879E+02
    82    0.19501E+04    0.58141E+00    0.14077E-02   -0.12469E+02
    83    0.19739E+04    0.59791E+00    0.14419E-02   -0.13066E+02
    84    0.19980E+04    0.61444E+00    0.14766E-02   -0.13671E+02
    85    0.20222E+04    0.63097E+00    0.15116E-02   -0.14284E+02
    86    0.20468E+04    0.64754E+00    0.15471E-02   -0.14905E+02
    87    0.20718E+04    0.66410E+00    0.15830E-02   -0.15532E+02
    88    0.20968E+04    0.68065E+00    0.16193E-02   -0.16166E+02
    89    0.21222E+04    0.69717E+00    0.16560E-02   -0.16807E+02
    90    0.21479E+04    0.71359E+00    0.16931E-02   -0.17451E+02
    91    0.21738E+04    0.72990E+00    0.17307E-02   -0.18099E+02
