#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.97021E+03    0.41286E-01    0.00000E+00    0.32205E+01    0.58164E-07    0.27158E-02   -0.14295E-04
     3    0.93627E+03    0.74569E-01    0.00000E+00    0.41092E+01    0.71004E-07    0.27872E-02   -0.18331E-04
     4    0.89610E+03    0.93468E-01    0.00000E+00    0.43592E+01    0.82151E-07    0.27757E-02   -0.19616E-04
     5    0.86298E+03    0.93504E-01    0.00000E+00    0.41945E+01    0.91911E-07    0.27265E-02   -0.18705E-04
     6    0.83843E+03    0.78937E-01    0.00000E+00    0.38045E+01    0.10049E-06    0.26584E-02   -0.16152E-04
     7    0.82163E+03    0.57851E-01    0.00000E+00    0.33190E+01    0.10810E-06    0.25804E-02   -0.12558E-04
     8    0.81074E+03    0.37686E-01    0.00000E+00    0.28172E+01    0.11488E-06    0.24979E-02   -0.85125E-05
     9    0.80505E+03    0.22790E-01    0.00000E+00    0.23518E+01    0.12095E-06    0.24138E-02   -0.45517E-05
    10    0.80319E+03    0.14129E-01    0.00000E+00    0.19527E+01    0.12640E-06    0.23308E-02   -0.11106E-05
    11    0.80457E+03    0.10329E-01    0.00000E+00    0.16383E+01    0.13133E-06    0.22507E-02    0.15221E-05
    12    0.80884E+03    0.92457E-02    0.00000E+00    0.14149E+01    0.13576E-06    0.21742E-02    0.31972E-05
    13    0.81472E+03    0.89296E-02    0.00000E+00    0.12781E+01    0.13975E-06    0.21017E-02    0.39357E-05
    14    0.82189E+03    0.85043E-02    0.00000E+00    0.12186E+01    0.14336E-06    0.20339E-02    0.38200E-05
    15    0.83027E+03    0.79074E-02    0.00000E+00    0.12208E+01    0.14662E-06    0.19699E-02    0.30538E-05
    16    0.83976E+03    0.72814E-02    0.00000E+00    0.12686E+01    0.14956E-06    0.19092E-02    0.18674E-05
    17    0.85018E+03    0.69948E-02    0.00000E+00    0.13449E+01    0.15221E-06    0.18518E-02    0.49823E-06
    18    0.86070E+03    0.71963E-02    0.00000E+00    0.14353E+01    0.15461E-06    0.17978E-02   -0.83178E-06
    19    0.87260E+03    0.77748E-02    0.00000E+00    0.15299E+01    0.15677E-06    0.17462E-02   -0.19568E-05
    20    0.88458E+03    0.86084E-02    0.00000E+00    0.16181E+01    0.15870E-06    0.16965E-02   -0.27495E-05
    21    0.89688E+03    0.95217E-02    0.00000E+00    0.16970E+01    0.16042E-06    0.16483E-02   -0.31754E-05
    22    0.90956E+03    0.10449E-01    0.00000E+00    0.17648E+01    0.16196E-06    0.16020E-02   -0.32379E-05
    23    0.92238E+03    0.11458E-01    0.00000E+00    0.18222E+01    0.16333E-06    0.15574E-02   -0.29989E-05
    24    0.93540E+03    0.12619E-01    0.00000E+00    0.18709E+01    0.16454E-06    0.15143E-02   -0.25397E-05
    25    0.94867E+03    0.14045E-01    0.00000E+00    0.19140E+01    0.16559E-06    0.14728E-02   -0.19642E-05
    26    0.96208E+03    0.15801E-01    0.00000E+00    0.19555E+01    0.16651E-06    0.14326E-02   -0.13764E-05
