#    L    TT             EE             TE             PP             TP          
     2    0.97021E+03    0.41286E-01    0.32205E+01    0.12065E+07    0.25316E+05
     3    0.93627E+03    0.74569E-01    0.41092E+01    0.18641E+07    0.31002E+05
     4    0.89610E+03    0.93468E-01    0.43592E+01    0.24539E+07    0.34013E+05
     5    0.86298E+03    0.93504E-01    0.41945E+01    0.29790E+07    0.35519E+05
     6    0.83843E+03    0.78937E-01    0.38045E+01    0.34459E+07    0.36126E+05
     7    0.82163E+03    0.57851E-01    0.33190E+01    0.38627E+07    0.36168E+05
     8    0.81074E+03    0.37686E-01    0.28172E+01    0.42364E+07    0.35849E+05
     9    0.80505E+03    0.22790E-01    0.23518E+01    0.45727E+07    0.35294E+05
    10    0.80319E+03    0.14129E-01    0.19527E+01    0.48758E+07    0.34597E+05
    11    0.80457E+03    0.10329E-01    0.16383E+01    0.51507E+07    0.33827E+05
    12    0.80884E+03    0.92457E-02    0.14149E+01    0.53992E+07    0.33020E+05
    13    0.81472E+03    0.89296E-02    0.12781E+01    0.56242E+07    0.32205E+05
    14    0.82189E+03    0.85043E-02    0.12186E+01    0.58286E+07    0.31405E+05
    15    0.83027E+03    0.79074E-02    0.12208E+01    0.60144E+07    0.30622E+05
    16    0.83976E+03    0.72814E-02    0.12686E+01    0.61833E+07    0.29853E+05
    17    0.85018E+03    0.69948E-02    0.13449E+01    0.63369E+07    0.29107E+05
    18    0.86070E+03    0.71963E-02    0.14353E+01    0.64768E+07    0.28388E+05
    19    0.87260E+03    0.77748E-02    0.15299E+01    0.66037E+07    0.27689E+05
    20    0.88458E+03    0.86084E-02    0.16181E+01    0.67184E+07    0.27001E+05
    21    0.89688E+03    0.95217E-02    0.16970E+01    0.68222E+07    0.26325E+05
    22    0.90956E+03    0.10449E-01    0.17648E+01    0.69164E+07    0.25664E+05
    23    0.92238E+03    0.11458E-01    0.18222E+01    0.70014E+07    0.25020E+05
    24    0.93540E+03    0.12619E-01    0.18709E+01    0.70775E+07    0.24392E+05
    25    0.94867E+03    0.14045E-01    0.19140E+01    0.71457E+07    0.23780E+05
    26    0.96208E+03    0.15801E-01    0.19555E+01    0.72066E+07    0.23183E+05
    27    0.97576E+03    0.17881E-01    0.19952E+01    0.72608E+07    0.22605E+05
    28    0.98944E+03    0.20285E-01    0.20333E+01    0.73086E+07    0.22051E+05
    29    0.10033E+04    0.22985E-01    0.20716E+01    0.73504E+07    0.21518E+05
    30    0.10173E+04    0.25958E-01    0.21105E+01    0.73867E+07    0.21003E+05
    31    0.10313E+04    0.29192E-01    0.21492E+01    0.74177E+07    0.20509E+05
    32    0.10454E+04    0.32668E-01    0.21859E+01    0.74441E+07    0.20038E+05
    33    0.10597E+04    0.36392E-01    0.22142E+01    0.74659E+07    0.19587E+05
    34    0.10741E+04    0.40380E-01    0.22292E+01    0.74834E+07    0.19150E+05
    35    0.10886E+04    0.44628E-01    0.22325E+01    0.74970E+07    0.18726E+05
    36    0.11031E+04    0.49137E-01    0.22254E+01    0.75069E+07    0.18313E+05
    37    0.11177E+04    0.53917E-01    0.22046E+01    0.75134E+07    0.17911E+05
    38    0.11324E+04    0.58984E-01    0.21688E+01    0.75166E+07    0.17518E+05
    39    0.11474E+04    0.64328E-01    0.21183E+01    0.75167E+07    0.17135E+05
    40    0.11624E+04    0.69942E-01    0.20541E+01    0.75139E+07    0.16762E+05
    41    0.11776E+04    0.75830E-01    0.19766E+01    0.75085E+07    0.16399E+05
    42    0.11928E+04    0.82020E-01    0.18859E+01    0.75006E+07    0.16048E+05
    43    0.12082E+04    0.88544E-01    0.17820E+01    0.74903E+07    0.15708E+05
    44    0.12235E+04    0.95423E-01    0.16659E+01    0.74778E+07    0.15379E+05
    45    0.12391E+04    0.10269E+00    0.15386E+01    0.74632E+07    0.15062E+05
    46    0.12548E+04    0.11035E+00    0.13989E+01    0.74467E+07    0.14757E+05
    47    0.12707E+04    0.11840E+00    0.12474E+01    0.74283E+07    0.14463E+05
    48    0.12866E+04    0.12679E+00    0.10879E+01    0.74082E+07    0.14179E+05
    49    0.13026E+04    0.13548E+00    0.92342E+00    0.73865E+07    0.13903E+05
    50    0.13189E+04    0.14441E+00    0.75024E+00    0.73633E+07    0.13634E+05
    51    0.13355E+04    0.15351E+00    0.56316E+00    0.73387E+07    0.13371E+05
    52    0.13524E+04    0.16291E+00    0.35656E+00    0.73128E+07    0.13115E+05
    53    0.13694E+04    0.17276E+00    0.12656E+00    0.72856E+07    0.12865E+05
    54    0.13862E+04    0.18310E+00   -0.12272E+00    0.72573E+07    0.12622E+05
    55    0.14030E+04    0.19392E+00   -0.38708E+00    0.72279E+07    0.12386E+05
    56    0.14202E+04    0.20510E+00   -0.66813E+00    0.71974E+07    0.12158E+05
    57    0.14376E+04    0.21651E+00   -0.96446E+00    0.71660E+07    0.11936E+05
    58    0.14553E+04    0.22813E+00   -0.12751E+01    0.71337E+07    0.11721E+05
    59    0.14732E+04    0.23997E+00   -0.15993E+01    0.71006E+07    0.11511E+05
    60    0.14912E+04    0.25206E+00   -0.19345E+01    0.70667E+07    0.11306E+05
    61    0.15097E+04    0.26446E+00   -0.22788E+01    0.70321E+07    0.11106E+05
    62    0.15282E+04    0.27718E+00   -0.26340E+01    0.69969E+07    0.10910E+05
    63    0.15468E+04    0.29020E+00   -0.30025E+01    0.69610E+07    0.10719E+05
    64    0.15658E+04    0.30355E+00   -0.33866E+01    0.69246E+07    0.10534E+05
    65    0.15848E+04    0.31723E+00   -0.37885E+01    0.68876E+07    0.10354E+05
    66    0.16040E+04    0.33119E+00   -0.42073E+01    0.68502E+07    0.10179E+05
    67    0.16235E+04    0.34540E+00   -0.46399E+01    0.68123E+07    0.10010E+05
    68    0.16433E+04    0.35989E+00   -0.50840E+01    0.67741E+07    0.98460E+04
    69    0.16634E+04    0.37457E+00   -0.55373E+01    0.67354E+07    0.96857E+04
    70    0.16839E+04    0.38946E+00   -0.60008E+01    0.66964E+07    0.95290E+04
    71    0.17047E+04    0.40452E+00   -0.64764E+01    0.66572E+07    0.93754E+04
    72    0.17256E+04    0.41976E+00   -0.69653E+01    0.66176E+07    0.92248E+04
    73    0.17468E+04    0.43513E+00   -0.74681E+01    0.65779E+07    0.90775E+04
    74    0.17682E+04    0.45067E+00   -0.79838E+01    0.65379E+07    0.89334E+04
    75    0.17898E+04    0.46639E+00   -0.85110E+01    0.64977E+07    0.87927E+04
    76    0.18116E+04    0.48231E+00   -0.90488E+01    0.64573E+07    0.86555E+04
    77    0.18337E+04    0.49840E+00   -0.95969E+01    0.64168E+07    0.85217E+04
    78    0.18561E+04    0.51466E+00   -0.10156E+02    0.63761E+07    0.83914E+04
    79    0.18787E+04    0.53102E+00   -0.10722E+02    0.63354E+07    0.82643E+04
    80    0.19016E+04    0.54745E+00   -0.11296E+02    0.62946E+07    0.81406E+04
    81    0.19248E+04    0.56389E+00   -0.11879E+02    0.62537E+07    0.80201E+04
    82    0.19483E+04    0.58036E+00   -0.12469E+02    0.62128E+07    0.79026E+04
    83    0.19720E+04    0.59684E+00   -0.13067E+02    0.61718E+07    0.77878E+04
    84    0.19961E+04    0.61336E+00   -0.13672E+02    0.61309E+07    0.76754E+04
    85    0.20203E+04    0.62988E+00   -0.14286E+02    0.60900E+07    0.75651E+04
    86    0.20448E+04    0.64644E+00   -0.14908E+02    0.60491E+07    0.74567E+04
    87    0.20698E+04    0.66299E+00   -0.15536E+02    0.60082E+07    0.73503E+04
    88    0.20948E+04    0.67953E+00   -0.16171E+02    0.59674E+07    0.72458E+04
    89    0.21202E+04    0.69603E+00   -0.16813E+02    0.59266E+07    0.71435E+04
    90    0.21459E+04    0.71244E+00   -0.17458E+02    0.58860E+07    0.70432E+04
    91    0.21718E+04    0.72874E+00   -0.18107E+02    0.58454E+07    0.69452E+04
    92    0.21979E+04    0.74492E+00   -0.18758E+02    0.58049E+07    0.68493E+04
    93    0.22245E+04    0.76096E+00   -0.19412E+02    0.57646E+07    0.67555E+04
    94    0.22511E+04    0.77682E+00   -0.20068E+02    0.57243E+07    0.66638E+04
    95    0.22780E+04    0.79250E+00   -0.20725E+02    0.56842E+07    0.65741E+04
    96    0.23050E+04    0.80799E+00   -0.21383E+02    0.56441E+07    0.64864E+04
    97    0.23324E+04    0.82326E+00   -0.22042E+02    0.56043E+07    0.64005E+04
    98    0.23601E+04    0.83831E+00   -0.22698E+02    0.55645E+07    0.63166E+04
    99    0.23879E+04    0.85310E+00   -0.23355E+02    0.55249E+07    0.62344E+04
   100    0.24160E+04    0.86762E+00   -0.24009E+02    0.54855E+07    0.61540E+04
   101    0.24442E+04    0.88194E+00   -0.24662E+02    0.54462E+07    0.60753E+04
   102    0.24730E+04    0.89589E+00   -0.25311E+02    0.54070E+07    0.59982E+04
   103    0.25018E+04    0.90957E+00   -0.25959E+02    0.53681E+07    0.59227E+04
   104    0.25308E+04    0.92295E+00   -0.26601E+02    0.53293E+07    0.58488E+04
   105    0.25599E+04    0.93597E+00   -0.27238E+02    0.52907E+07    0.57764E+04
   106    0.25893E+04    0.94869E+00   -0.27871E+02    0.52523E+07    0.57054E+04
   107    0.26186E+04    0.96097E+00   -0.28498E+02    0.52141E+07    0.56358E+04
   108    0.26483E+04    0.97289E+00   -0.29119E+02    0.51761E+07    0.55675E+04
   109    0.26782E+04    0.98435E+00   -0.29733E+02    0.51383E+07    0.55006E+04
   110    0.27081E+04    0.99536E+00   -0.30338E+02    0.51007E+07    0.54349E+04
   111    0.27382E+04    0.10060E+01   -0.30935E+02    0.50634E+07    0.53703E+04
   112    0.27684E+04    0.10162E+01   -0.31525E+02    0.50263E+07    0.53070E+04
   113    0.27989E+04    0.10259E+01   -0.32105E+02    0.49894E+07    0.52447E+04
   114    0.28294E+04    0.10351E+01   -0.32674E+02    0.49527E+07    0.51836E+04
   115    0.28602E+04    0.10440E+01   -0.33232E+02    0.49163E+07    0.51236E+04
   116    0.28910E+04    0.10522E+01   -0.33779E+02    0.48801E+07    0.50647E+04
   117    0.29220E+04    0.10600E+01   -0.34313E+02    0.48441E+07    0.50068E+04
   118    0.29532E+04    0.10673E+01   -0.34836E+02    0.48084E+07    0.49500E+04
   119    0.29844E+04    0.10742E+01   -0.35345E+02    0.47729E+07    0.48941E+04
   120    0.30157E+04    0.10804E+01   -0.35840E+02    0.47376E+07    0.48392E+04
   121    0.30470E+04    0.10862E+01   -0.36321E+02    0.47025E+07    0.47853E+04
   122    0.30783E+04    0.10914E+01   -0.36786E+02    0.46677E+07    0.47323E+04
   123    0.31097E+04    0.10960E+01   -0.37237E+02    0.46332E+07    0.46803E+04
   124    0.31412E+04    0.11001E+01   -0.37670E+02    0.45988E+07    0.46291E+04
   125    0.31726E+04    0.11036E+01   -0.38086E+02    0.45647E+07    0.45787E+04
   126    0.32041E+04    0.11067E+01   -0.38486E+02    0.45309E+07    0.45292E+04
   127    0.32355E+04    0.11090E+01   -0.38868E+02    0.44973E+07    0.44806E+04
   128    0.32670E+04    0.11109E+01   -0.39232E+02    0.44639E+07    0.44327E+04
   129    0.32984E+04    0.11122E+01   -0.39576E+02    0.44307E+07    0.43856E+04
   130    0.33299E+04    0.11128E+01   -0.39900E+02    0.43978E+07    0.43392E+04
   131    0.33613E+04    0.11129E+01   -0.40206E+02    0.43652E+07    0.42936E+04
   132    0.33927E+04    0.11124E+01   -0.40490E+02    0.43328E+07    0.42487E+04
   133    0.34240E+04    0.11113E+01   -0.40755E+02    0.43006E+07    0.42045E+04
   134    0.34553E+04    0.11097E+01   -0.40996E+02    0.42687E+07    0.41609E+04
   135    0.34865E+04    0.11075E+01   -0.41216E+02    0.42370E+07    0.41181E+04
   136    0.35176E+04    0.11047E+01   -0.41412E+02    0.42055E+07    0.40758E+04
   137    0.35485E+04    0.11013E+01   -0.41586E+02    0.41743E+07    0.40343E+04
   138    0.35794E+04    0.10974E+01   -0.41736E+02    0.41434E+07    0.39933E+04
   139    0.36100E+04    0.10931E+01   -0.41862E+02    0.41126E+07    0.39530E+04
   140    0.36406E+04    0.10881E+01   -0.41965E+02    0.40821E+07    0.39133E+04
   141    0.36709E+04    0.10826E+01   -0.42042E+02    0.40519E+07    0.38741E+04
   142    0.37012E+04    0.10766E+01   -0.42095E+02    0.40219E+07    0.38355E+04
   143    0.37313E+04    0.10702E+01   -0.42123E+02    0.39921E+07    0.37975E+04
   144    0.37611E+04    0.10632E+01   -0.42126E+02    0.39625E+07    0.37600E+04
   145    0.37907E+04    0.10558E+01   -0.42102E+02    0.39332E+07    0.37230E+04
   146    0.38203E+04    0.10479E+01   -0.42053E+02    0.39041E+07    0.36866E+04
   147    0.38495E+04    0.10396E+01   -0.41977E+02    0.38752E+07    0.36507E+04
   148    0.38785E+04    0.10308E+01   -0.41874E+02    0.38466E+07    0.36152E+04
   149    0.39073E+04    0.10216E+01   -0.41744E+02    0.38182E+07    0.35802E+04
   150    0.39357E+04    0.10121E+01   -0.41585E+02    0.37901E+07    0.35457E+04
   151    0.39639E+04    0.10022E+01   -0.41400E+02    0.37621E+07    0.35116E+04
   152    0.39917E+04    0.99179E+00   -0.41187E+02    0.37344E+07    0.34780E+04
   153    0.40193E+04    0.98111E+00   -0.40944E+02    0.37070E+07    0.34448E+04
   154    0.40466E+04    0.97014E+00   -0.40673E+02    0.36797E+07    0.34120E+04
   155    0.40735E+04    0.95889E+00   -0.40375E+02    0.36527E+07    0.33796E+04
   156    0.41000E+04    0.94738E+00   -0.40048E+02    0.36259E+07    0.33476E+04
   157    0.41264E+04    0.93561E+00   -0.39693E+02    0.35993E+07    0.33161E+04
   158    0.41523E+04    0.92368E+00   -0.39309E+02    0.35729E+07    0.32849E+04
   159    0.41779E+04    0.91143E+00   -0.38897E+02    0.35468E+07    0.32541E+04
   160    0.42031E+04    0.89905E+00   -0.38455E+02    0.35209E+07    0.32237E+04
   161    0.42280E+04    0.88660E+00   -0.37985E+02    0.34952E+07    0.31936E+04
   162    0.42525E+04    0.87395E+00   -0.37488E+02    0.34697E+07    0.31640E+04
   163    0.42767E+04    0.86118E+00   -0.36961E+02    0.34444E+07    0.31346E+04
   164    0.43004E+04    0.84839E+00   -0.36407E+02    0.34193E+07    0.31056E+04
   165    0.43238E+04    0.83551E+00   -0.35823E+02    0.33945E+07    0.30770E+04
   166    0.43469E+04    0.82269E+00   -0.35212E+02    0.33698E+07    0.30487E+04
   167    0.43695E+04    0.80974E+00   -0.34573E+02    0.33454E+07    0.30207E+04
   168    0.43917E+04    0.79702E+00   -0.33905E+02    0.33211E+07    0.29930E+04
   169    0.44134E+04    0.78425E+00   -0.33208E+02    0.32971E+07    0.29657E+04
   170    0.44346E+04    0.77167E+00   -0.32484E+02    0.32733E+07    0.29386E+04
   171    0.44554E+04    0.75929E+00   -0.31730E+02    0.32497E+07    0.29118E+04
