#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.97021E+03    0.32205E+01    0.11087E-02    0.32205E+01    0.41286E-01   -0.58358E-05    0.11087E-02   -0.58358E-05    0.96939E-08
     3    0.93627E+03    0.41092E+01    0.80459E-03    0.41092E+01    0.74569E-01   -0.52917E-05    0.80459E-03   -0.52917E-05    0.59170E-08
     4    0.89610E+03    0.43592E+01    0.62067E-03    0.43592E+01    0.93468E-01   -0.43862E-05    0.62067E-03   -0.43862E-05    0.41075E-08
     5    0.86298E+03    0.41945E+01    0.49779E-03    0.41945E+01    0.93504E-01   -0.34151E-05    0.49779E-03   -0.34151E-05    0.30637E-08
     6    0.83843E+03    0.38045E+01    0.41020E-03    0.38045E+01    0.78937E-01   -0.24924E-05    0.41020E-03   -0.24924E-05    0.23926E-08
     7    0.82163E+03    0.33190E+01    0.34482E-03    0.33190E+01    0.57851E-01   -0.16782E-05    0.34482E-03   -0.16782E-05    0.19303E-08
     8    0.81074E+03    0.28172E+01    0.29438E-03    0.28172E+01    0.37686E-01   -0.10032E-05    0.29438E-03   -0.10032E-05    0.15955E-08
     9    0.80505E+03    0.23518E+01    0.25444E-03    0.23518E+01    0.22790E-01   -0.47979E-06    0.25444E-03   -0.47979E-06    0.13439E-08
    10    0.80319E+03    0.19527E+01    0.22223E-03    0.19527E+01    0.14129E-01   -0.10589E-06    0.22223E-03   -0.10589E-06    0.11491E-08
    11    0.80457E+03    0.16383E+01    0.19590E-03    0.16383E+01    0.10329E-01    0.13248E-06    0.19590E-03    0.13248E-06    0.99494E-09
    12    0.80884E+03    0.14149E+01    0.17406E-03    0.14149E+01    0.92457E-02    0.25653E-06    0.17406E-03    0.25653E-06    0.87014E-09
    13    0.81472E+03    0.12781E+01    0.15579E-03    0.12781E+01    0.89296E-02    0.29173E-06    0.15579E-03    0.29173E-06    0.76786E-09
    14    0.82189E+03    0.12186E+01    0.14035E-03    0.12186E+01    0.85043E-02    0.26391E-06    0.14035E-03    0.26391E-06    0.68263E-09
    15    0.83027E+03    0.12208E+01    0.12716E-03    0.12208E+01    0.79074E-02    0.19712E-06    0.12716E-03    0.19712E-06    0.61090E-09
    16    0.83976E+03    0.12686E+01    0.11576E-03    0.12686E+01    0.72814E-02    0.11339E-06    0.11576E-03    0.11339E-06    0.54982E-09
    17    0.85018E+03    0.13449E+01    0.10586E-03    0.13449E+01    0.69948E-02    0.28482E-07    0.10586E-03    0.28482E-07    0.49743E-09
    18    0.86070E+03    0.14353E+01    0.97209E-04    0.14353E+01    0.71963E-02   -0.44932E-07    0.97209E-04   -0.44932E-07    0.45208E-09
    19    0.87260E+03    0.15299E+01    0.89580E-04    0.15299E+01    0.77748E-02   -0.10038E-06    0.89580E-04   -0.10038E-06    0.41256E-09
    20    0.88458E+03    0.16181E+01    0.82778E-04    0.16181E+01    0.86084E-02   -0.13420E-06    0.82778E-04   -0.13420E-06    0.37785E-09
    21    0.89688E+03    0.16970E+01    0.76688E-04    0.16970E+01    0.95217E-02   -0.14773E-06    0.76688E-04   -0.14773E-06    0.34723E-09
    22    0.90956E+03    0.17648E+01    0.71217E-04    0.17648E+01    0.10449E-01   -0.14399E-06    0.71217E-04   -0.14399E-06    0.32008E-09
    23    0.92238E+03    0.18222E+01    0.66285E-04    0.18222E+01    0.11458E-01   -0.12764E-06    0.66285E-04   -0.12764E-06    0.29590E-09
    24    0.93540E+03    0.18709E+01    0.61822E-04    0.18709E+01    0.12619E-01   -0.10372E-06    0.61822E-04   -0.10372E-06    0.27423E-09
    25    0.94867E+03    0.19140E+01    0.57768E-04    0.19140E+01    0.14045E-01   -0.77042E-07    0.57768E-04   -0.77042E-07    0.25476E-09
    26    0.96208E+03    0.19555E+01    0.54071E-04    0.19555E+01    0.15801E-01   -0.51971E-07    0.54071E-04   -0.51971E-07    0.23719E-09
    27    0.97576E+03    0.19952E+01    0.50701E-04    0.19952E+01    0.17881E-01   -0.31400E-07    0.50701E-04   -0.31400E-07    0.22130E-09
    28    0.98944E+03    0.20333E+01    0.47630E-04    0.20333E+01    0.20285E-01   -0.17354E-07    0.47630E-04   -0.17354E-07    0.20686E-09
    29    0.10033E+04    0.20716E+01    0.44822E-04    0.20716E+01    0.22985E-01   -0.98830E-08    0.44822E-04   -0.98830E-08    0.19372E-09
    30    0.10173E+04    0.21105E+01    0.42244E-04    0.21105E+01    0.25958E-01   -0.84044E-08    0.42244E-04   -0.84044E-08    0.18171E-09
    31    0.10313E+04    0.21492E+01    0.39878E-04    0.21492E+01    0.29192E-01   -0.11782E-07    0.39878E-04   -0.11782E-07    0.17071E-09
    32    0.10454E+04    0.21859E+01    0.37709E-04    0.21859E+01    0.32668E-01   -0.18587E-07    0.37709E-04   -0.18587E-07    0.16062E-09
    33    0.10597E+04    0.22142E+01    0.35710E-04    0.22142E+01    0.36392E-01   -0.26775E-07    0.35710E-04   -0.26775E-07    0.15134E-09
    34    0.10741E+04    0.22292E+01    0.33858E-04    0.22292E+01    0.40380E-01   -0.34395E-07    0.33858E-04   -0.34395E-07    0.14278E-09
    35    0.10886E+04    0.22325E+01    0.32136E-04    0.22325E+01    0.44628E-01   -0.40479E-07    0.32136E-04   -0.40479E-07    0.13487E-09
    36    0.11031E+04    0.22254E+01    0.30531E-04    0.22254E+01    0.49137E-01   -0.44401E-07    0.30531E-04   -0.44401E-07    0.12755E-09
    37    0.11177E+04    0.22046E+01    0.29032E-04    0.22046E+01    0.53917E-01   -0.45940E-07    0.29032E-04   -0.45940E-07    0.12077E-09
    38    0.11324E+04    0.21688E+01    0.27628E-04    0.21688E+01    0.58984E-01   -0.45107E-07    0.27628E-04   -0.45107E-07    0.11446E-09
    39    0.11474E+04    0.21183E+01    0.26314E-04    0.21183E+01    0.64328E-01   -0.42454E-07    0.26314E-04   -0.42454E-07    0.10860E-09
    40    0.11624E+04    0.20541E+01    0.25081E-04    0.20541E+01    0.69942E-01   -0.38667E-07    0.25081E-04   -0.38667E-07    0.10313E-09
    41    0.11776E+04    0.19766E+01    0.23926E-04    0.19766E+01    0.75830E-01   -0.34380E-07    0.23926E-04   -0.34380E-07    0.98031E-10
    42    0.11928E+04    0.18859E+01    0.22842E-04    0.18859E+01    0.82020E-01   -0.30020E-07    0.22842E-04   -0.30020E-07    0.93264E-10
    43    0.12082E+04    0.17820E+01    0.21827E-04    0.17820E+01    0.88544E-01   -0.25959E-07    0.21827E-04   -0.25959E-07    0.88806E-10
    44    0.12235E+04    0.16659E+01    0.20874E-04    0.16659E+01    0.95423E-01   -0.22573E-07    0.20874E-04   -0.22573E-07    0.84633E-10
    45    0.12391E+04    0.15386E+01    0.19980E-04    0.15386E+01    0.10269E+00   -0.20235E-07    0.19980E-04   -0.20235E-07    0.80719E-10
    46    0.12548E+04    0.13989E+01    0.19141E-04    0.13989E+01    0.11035E+00   -0.19205E-07    0.19141E-04   -0.19205E-07    0.77040E-10
    47    0.12707E+04    0.12474E+01    0.18351E-04    0.12474E+01    0.11840E+00   -0.19280E-07    0.18351E-04   -0.19280E-07    0.73580E-10
    48    0.12866E+04    0.10879E+01    0.17608E-04    0.10879E+01    0.12679E+00   -0.20144E-07    0.17608E-04   -0.20144E-07    0.70324E-10
    49    0.13026E+04    0.92342E+00    0.16906E-04    0.92342E+00    0.13548E+00   -0.21479E-07    0.16906E-04   -0.21479E-07    0.67258E-10
    50    0.13189E+04    0.75024E+00    0.16242E-04    0.75024E+00    0.14441E+00   -0.22968E-07    0.16242E-04   -0.22968E-07    0.64367E-10
    51    0.13355E+04    0.56316E+00    0.15611E-04    0.56316E+00    0.15351E+00   -0.24330E-07    0.15611E-04   -0.24330E-07    0.61636E-10
    52    0.13524E+04    0.35656E+00    0.15011E-04    0.35656E+00    0.16291E+00   -0.25427E-07    0.15011E-04   -0.25427E-07    0.59056E-10
    53    0.13694E+04    0.12656E+00    0.14442E-04    0.12656E+00    0.17276E+00   -0.26157E-07    0.14442E-04   -0.26157E-07    0.56617E-10
    54    0.13862E+04   -0.12272E+00    0.13902E-04   -0.12272E+00    0.18310E+00   -0.26418E-07    0.13902E-04   -0.26418E-07    0.54310E-10
    55    0.14030E+04   -0.38708E+00    0.13390E-04   -0.38708E+00    0.19392E+00   -0.26108E-07    0.13390E-04   -0.26108E-07    0.52124E-10
    56    0.14202E+04   -0.66813E+00    0.12904E-04   -0.66813E+00    0.20510E+00   -0.25182E-07    0.12904E-04   -0.25182E-07    0.50051E-10
    57    0.14376E+04   -0.96446E+00    0.12442E-04   -0.96446E+00    0.21651E+00   -0.23818E-07    0.12442E-04   -0.23818E-07    0.48084E-10
    58    0.14553E+04   -0.12751E+01    0.12003E-04   -0.12751E+01    0.22813E+00   -0.22253E-07    0.12003E-04   -0.22253E-07    0.46217E-10
    59    0.14732E+04   -0.15993E+01    0.11586E-04   -0.15993E+01    0.23997E+00   -0.20723E-07    0.11586E-04   -0.20723E-07    0.44444E-10
    60    0.14912E+04   -0.19345E+01    0.11187E-04   -0.19345E+01    0.25206E+00   -0.19463E-07    0.11187E-04   -0.19463E-07    0.42758E-10
    61    0.15097E+04   -0.22788E+01    0.10806E-04   -0.22788E+01    0.26446E+00   -0.18655E-07    0.10806E-04   -0.18655E-07    0.41154E-10
    62    0.15282E+04   -0.26340E+01    0.10441E-04   -0.26340E+01    0.27718E+00   -0.18263E-07    0.10441E-04   -0.18263E-07    0.39627E-10
    63    0.15468E+04   -0.30025E+01    0.10093E-04   -0.30025E+01    0.29020E+00   -0.18196E-07    0.10093E-04   -0.18196E-07    0.38173E-10
    64    0.15658E+04   -0.33866E+01    0.97614E-05   -0.33866E+01    0.30355E+00   -0.18363E-07    0.97614E-05   -0.18363E-07    0.36787E-10
    65    0.15848E+04   -0.37885E+01    0.94446E-05   -0.37885E+01    0.31723E+00   -0.18674E-07    0.94446E-05   -0.18674E-07    0.35465E-10
    66    0.16040E+04   -0.42073E+01    0.91427E-05   -0.42073E+01    0.33119E+00   -0.19043E-07    0.91427E-05   -0.19043E-07    0.34204E-10
    67    0.16235E+04   -0.46399E+01    0.88546E-05   -0.46399E+01    0.34540E+00   -0.19405E-07    0.88546E-05   -0.19405E-07    0.32999E-10
    68    0.16433E+04   -0.50840E+01    0.85793E-05   -0.50840E+01    0.35989E+00   -0.19700E-07    0.85793E-05   -0.19700E-07    0.31849E-10
    69    0.16634E+04   -0.55373E+01    0.83157E-05   -0.55373E+01    0.37457E+00   -0.19866E-07    0.83157E-05   -0.19866E-07    0.30750E-10
    70    0.16839E+04   -0.60008E+01    0.80628E-05   -0.60008E+01    0.38946E+00   -0.19843E-07    0.80628E-05   -0.19843E-07    0.29699E-10
    71    0.17047E+04   -0.64764E+01    0.78196E-05   -0.64764E+01    0.40452E+00   -0.19593E-07    0.78196E-05   -0.19593E-07    0.28693E-10
    72    0.17256E+04   -0.69653E+01    0.75857E-05   -0.69653E+01    0.41976E+00   -0.19163E-07    0.75857E-05   -0.19163E-07    0.27730E-10
    73    0.17468E+04   -0.74681E+01    0.73608E-05   -0.74681E+01    0.43513E+00   -0.18622E-07    0.73608E-05   -0.18622E-07    0.26808E-10
    74    0.17682E+04   -0.79838E+01    0.71448E-05   -0.79838E+01    0.45067E+00   -0.18040E-07    0.71448E-05   -0.18040E-07    0.25925E-10
    75    0.17898E+04   -0.85110E+01    0.69373E-05   -0.85110E+01    0.46639E+00   -0.17485E-07    0.69373E-05   -0.17485E-07    0.25079E-10
    76    0.18116E+04   -0.90488E+01    0.67379E-05   -0.90488E+01    0.48231E+00   -0.17014E-07    0.67379E-05   -0.17014E-07    0.24268E-10
    77    0.18337E+04   -0.95969E+01    0.65465E-05   -0.95969E+01    0.49840E+00   -0.16632E-07    0.65465E-05   -0.16632E-07    0.23489E-10
    78    0.18561E+04   -0.10156E+02    0.63627E-05   -0.10156E+02    0.51466E+00   -0.16332E-07    0.63627E-05   -0.16332E-07    0.22742E-10
    79    0.18787E+04   -0.10722E+02    0.61861E-05   -0.10722E+02    0.53102E+00   -0.16107E-07    0.61861E-05   -0.16107E-07    0.22025E-10
    80    0.19016E+04   -0.11296E+02    0.60164E-05   -0.11296E+02    0.54745E+00   -0.15948E-07    0.60164E-05   -0.15948E-07    0.21336E-10
    81    0.19248E+04   -0.11879E+02    0.58532E-05   -0.11879E+02    0.56389E+00   -0.15848E-07    0.58532E-05   -0.15848E-07    0.20674E-10
    82    0.19483E+04   -0.12469E+02    0.56962E-05   -0.12469E+02    0.58036E+00   -0.15794E-07    0.56962E-05   -0.15794E-07    0.20037E-10
    83    0.19720E+04   -0.13067E+02    0.55450E-05   -0.13067E+02    0.59684E+00   -0.15772E-07    0.55450E-05   -0.15772E-07    0.19426E-10
    84    0.19961E+04   -0.13672E+02    0.53992E-05   -0.13672E+02    0.61336E+00   -0.15767E-07    0.53992E-05   -0.15767E-07    0.18838E-10
    85    0.20203E+04   -0.14286E+02    0.52583E-05   -0.14286E+02    0.62988E+00   -0.15766E-07    0.52583E-05   -0.15766E-07    0.18272E-10
    86    0.20448E+04   -0.14908E+02    0.51221E-05   -0.14908E+02    0.64644E+00   -0.15757E-07    0.51221E-05   -0.15757E-07    0.17727E-10
