#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.396850E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.627031E-01
   0.410288E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.648264E-01
   0.424181E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.670215E-01
   0.438545E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.692910E-01
   0.453395E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.716374E-01
   0.468748E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.740632E-01
   0.484621E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.765711E-01
   0.501031E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.791639E-01
   0.517997E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.818446E-01
   0.535537E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.846160E-01
   0.553672E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.874813E-01
   0.572420E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.904436E-01
   0.591804E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.935062E-01
   0.611844E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.966726E-01
   0.632562E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490960E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.999461E-01
   0.653982E-05   0.368221E+06   0.368221E+06   0.490960E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.103330E+00
   0.676127E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.106829E+00
   0.699022E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.110447E+00
   0.722693E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.114187E+00
   0.747164E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.118054E+00
   0.772465E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.122051E+00
   0.798622E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490959E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.126184E+00
   0.825665E-05   0.368221E+06   0.368221E+06   0.490959E+06   0.490958E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.130457E+00
   0.853624E-05   0.368221E+06   0.368221E+06   0.490958E+06   0.490958E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.134874E+00
   0.882530E-05   0.368221E+06   0.368221E+06   0.490958E+06   0.490958E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.139442E+00
   0.912414E-05   0.368221E+06   0.368221E+06   0.490958E+06   0.490958E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.144163E+00
   0.943311E-05   0.368221E+06   0.368221E+06   0.490958E+06   0.490958E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.149045E+00
   0.975253E-05   0.368221E+06   0.368221E+06   0.490958E+06   0.490957E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.154092E+00
   0.100828E-04   0.368221E+06   0.368221E+06   0.490957E+06   0.490957E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.159310E+00
   0.104242E-04   0.368221E+06   0.368221E+06   0.490957E+06   0.490957E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.164704E+00
   0.107772E-04   0.368221E+06   0.368221E+06   0.490957E+06   0.490957E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.170282E+00
   0.111421E-04   0.368221E+06   0.368221E+06   0.490957E+06   0.490956E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.176048E+00
   0.115194E-04   0.368221E+06   0.368221E+06   0.490956E+06   0.490956E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.182009E+00
   0.119095E-04   0.368221E+06   0.368221E+06   0.490956E+06   0.490956E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.188172E+00
   0.123128E-04   0.368221E+06   0.368221E+06   0.490956E+06   0.490955E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.194544E+00
   0.127297E-04   0.368221E+06   0.368221E+06   0.490955E+06   0.490955E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.201132E+00
   0.131608E-04   0.368221E+06   0.368221E+06   0.490955E+06   0.490954E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.207943E+00
   0.136064E-04   0.368221E+06   0.368221E+06   0.490954E+06   0.490954E+06   0.368577E+06   0.368319E+06   0.368221E+06   0.372098E+06  -0.601744E+00   0.367383E+06   0.367383E+06   0.214984E+00
