#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10212E+04    0.49088E-01    0.00000E+00    0.32061E+01    0.48130E-07    0.30751E-02   -0.15100E-04
     3    0.96122E+03    0.81105E-01    0.00000E+00    0.40175E+01    0.58424E-07    0.30755E-02   -0.18595E-04
     4    0.90312E+03    0.92355E-01    0.00000E+00    0.41500E+01    0.67241E-07    0.30068E-02   -0.18877E-04
     5    0.85779E+03    0.83115E-01    0.00000E+00    0.38709E+01    0.74854E-07    0.29091E-02   -0.16810E-04
     6    0.82490E+03    0.62429E-01    0.00000E+00    0.33919E+01    0.81452E-07    0.27993E-02   -0.13215E-04
     7    0.80228E+03    0.40439E-01    0.00000E+00    0.28508E+01    0.87215E-07    0.26857E-02   -0.89087E-05
     8    0.78732E+03    0.23645E-01    0.00000E+00    0.23290E+01    0.92277E-07    0.25730E-02   -0.46163E-05
     9    0.77856E+03    0.13839E-01    0.00000E+00    0.18759E+01    0.96745E-07    0.24636E-02   -0.91218E-06
    10    0.77451E+03    0.95527E-02    0.00000E+00    0.15177E+01    0.10069E-06    0.23591E-02    0.18274E-05
    11    0.77409E+03    0.81894E-02    0.00000E+00    0.12635E+01    0.10419E-06    0.22614E-02    0.34440E-05
    12    0.77690E+03    0.76996E-02    0.00000E+00    0.11093E+01    0.10729E-06    0.21704E-02    0.39609E-05
    13    0.78161E+03    0.70436E-02    0.00000E+00    0.10397E+01    0.11002E-06    0.20857E-02    0.35868E-05
    14    0.78788E+03    0.62543E-02    0.00000E+00    0.10354E+01    0.11244E-06    0.20070E-02    0.25749E-05
    15    0.79558E+03    0.56069E-02    0.00000E+00    0.10755E+01    0.11458E-06    0.19336E-02    0.12336E-05
    16    0.80453E+03    0.53362E-02    0.00000E+00    0.11407E+01    0.11646E-06    0.18646E-02   -0.13964E-06
    17    0.81458E+03    0.54940E-02    0.00000E+00    0.12149E+01    0.11812E-06    0.17994E-02   -0.13260E-05
    18    0.82489E+03    0.58851E-02    0.00000E+00    0.12867E+01    0.11958E-06    0.17378E-02   -0.21579E-05
    19    0.83675E+03    0.63566E-02    0.00000E+00    0.13519E+01    0.12084E-06    0.16792E-02   -0.25888E-05
    20    0.84888E+03    0.68515E-02    0.00000E+00    0.14062E+01    0.12193E-06    0.16231E-02   -0.26221E-05
    21    0.86147E+03    0.73847E-02    0.00000E+00    0.14518E+01    0.12286E-06    0.15694E-02   -0.23444E-05
    22    0.87454E+03    0.80716E-02    0.00000E+00    0.14915E+01    0.12366E-06    0.15179E-02   -0.18645E-05
    23    0.88788E+03    0.89975E-02    0.00000E+00    0.15278E+01    0.12432E-06    0.14689E-02   -0.13037E-05
    24    0.90158E+03    0.10193E-01    0.00000E+00    0.15631E+01    0.12486E-06    0.14225E-02   -0.77774E-06
    25    0.91565E+03    0.11670E-01    0.00000E+00    0.15995E+01    0.12529E-06    0.13784E-02   -0.37337E-06
    26    0.92996E+03    0.13395E-01    0.00000E+00    0.16399E+01    0.12562E-06    0.13364E-02   -0.15262E-06
    27    0.94466E+03    0.15331E-01    0.00000E+00    0.16825E+01    0.12586E-06    0.12966E-02   -0.11022E-06
    28    0.95950E+03    0.17469E-01    0.00000E+00    0.17260E+01    0.12601E-06    0.12589E-02   -0.21970E-06
    29    0.97464E+03    0.19800E-01    0.00000E+00    0.17681E+01    0.12608E-06    0.12231E-02   -0.43615E-06
    30    0.99005E+03    0.22327E-01    0.00000E+00    0.18051E+01    0.12608E-06    0.11891E-02   -0.70875E-06
    31    0.10055E+04    0.25054E-01    0.00000E+00    0.18344E+01    0.12601E-06    0.11566E-02   -0.98047E-06
    32    0.10213E+04    0.27973E-01    0.00000E+00    0.18539E+01    0.12588E-06    0.11254E-02   -0.11990E-05
    33    0.10374E+04    0.31079E-01    0.00000E+00    0.18618E+01    0.12570E-06    0.10955E-02   -0.13367E-05
    34    0.10536E+04    0.34378E-01    0.00000E+00    0.18578E+01    0.12546E-06    0.10668E-02   -0.13778E-05
    35    0.10701E+04    0.37884E-01    0.00000E+00    0.18421E+01    0.12517E-06    0.10392E-02   -0.13309E-05
    36    0.10868E+04    0.41617E-01    0.00000E+00    0.18141E+01    0.12484E-06    0.10127E-02   -0.12132E-05
    37    0.11036E+04    0.45603E-01    0.00000E+00    0.17735E+01    0.12446E-06    0.98718E-03   -0.10523E-05
    38    0.11207E+04    0.49867E-01    0.00000E+00    0.17220E+01    0.12405E-06    0.96245E-03   -0.87688E-06
    39    0.11381E+04    0.54395E-01    0.00000E+00    0.16606E+01    0.12360E-06    0.93864E-03   -0.70967E-06
    40    0.11555E+04    0.59172E-01    0.00000E+00    0.15897E+01    0.12312E-06    0.91588E-03   -0.57171E-06
    41    0.11733E+04    0.64191E-01    0.00000E+00    0.15093E+01    0.12261E-06    0.89426E-03   -0.47869E-06
    42    0.11911E+04    0.69479E-01    0.00000E+00    0.14185E+01    0.12207E-06    0.87369E-03   -0.42499E-06
    43    0.12091E+04    0.75064E-01    0.00000E+00    0.13156E+01    0.12151E-06    0.85406E-03   -0.39969E-06
    44    0.12271E+04    0.80965E-01    0.00000E+00    0.12002E+01    0.12092E-06    0.83525E-03   -0.39194E-06
    45    0.12455E+04    0.87206E-01    0.00000E+00    0.10718E+01    0.12031E-06    0.81715E-03   -0.39091E-06
    46    0.12642E+04    0.93805E-01    0.00000E+00    0.92837E+00    0.11968E-06    0.79964E-03   -0.38821E-06
    47    0.12830E+04    0.10072E+00    0.00000E+00    0.77087E+00    0.11904E-06    0.78266E-03   -0.38513E-06
    48    0.13019E+04    0.10791E+00    0.00000E+00    0.60376E+00    0.11838E-06    0.76616E-03   -0.38535E-06
    49    0.13211E+04    0.11531E+00    0.00000E+00    0.43094E+00    0.11770E-06    0.75010E-03   -0.39255E-06
    50    0.13407E+04    0.12283E+00    0.00000E+00    0.24948E+00    0.11701E-06    0.73442E-03   -0.41041E-06
    51    0.13605E+04    0.13042E+00    0.00000E+00    0.54993E-01    0.11631E-06    0.71909E-03   -0.44075E-06
    52    0.13807E+04    0.13822E+00    0.00000E+00   -0.15721E+00    0.11559E-06    0.70417E-03   -0.47809E-06
    53    0.14010E+04    0.14644E+00    0.00000E+00   -0.39005E+00    0.11487E-06    0.68972E-03   -0.51514E-06
    54    0.14213E+04    0.15513E+00    0.00000E+00   -0.63847E+00    0.11414E-06    0.67583E-03   -0.54462E-06
    55    0.14416E+04    0.16435E+00    0.00000E+00   -0.89732E+00    0.11340E-06    0.66254E-03   -0.55928E-06
    56    0.14623E+04    0.17400E+00    0.00000E+00   -0.11677E+01    0.11265E-06    0.64992E-03   -0.55439E-06
    57    0.14832E+04    0.18391E+00    0.00000E+00   -0.14492E+01    0.11190E-06    0.63789E-03   -0.53543E-06
    58    0.15045E+04    0.19402E+00    0.00000E+00   -0.17427E+01    0.11114E-06    0.62633E-03   -0.51042E-06
    59    0.15260E+04    0.20430E+00    0.00000E+00   -0.20486E+01    0.11038E-06    0.61514E-03   -0.48733E-06
    60    0.15477E+04    0.21471E+00    0.00000E+00   -0.23663E+01    0.10961E-06    0.60423E-03   -0.47414E-06
    61    0.15700E+04    0.22532E+00    0.00000E+00   -0.26950E+01    0.10884E-06    0.59350E-03   -0.47698E-06
    62    0.15922E+04    0.23614E+00    0.00000E+00   -0.30366E+01    0.10807E-06    0.58296E-03   -0.49464E-06
    63    0.16146E+04    0.24720E+00    0.00000E+00   -0.33935E+01    0.10729E-06    0.57264E-03   -0.52408E-06
    64    0.16374E+04    0.25858E+00    0.00000E+00   -0.37680E+01    0.10652E-06    0.56255E-03   -0.56226E-06
    65    0.16602E+04    0.27031E+00    0.00000E+00   -0.41620E+01    0.10574E-06    0.55273E-03   -0.60616E-06
    66    0.16833E+04    0.28237E+00    0.00000E+00   -0.45743E+01    0.10496E-06    0.54319E-03   -0.65237E-06
    67    0.17066E+04    0.29474E+00    0.00000E+00   -0.50006E+01    0.10419E-06    0.53396E-03   -0.69597E-06
    68    0.17303E+04    0.30738E+00    0.00000E+00   -0.54371E+01    0.10341E-06    0.52506E-03   -0.73165E-06
    69    0.17543E+04    0.32020E+00    0.00000E+00   -0.58800E+01    0.10263E-06    0.51652E-03   -0.75412E-06
    70    0.17788E+04    0.33318E+00    0.00000E+00   -0.63287E+01    0.10186E-06    0.50837E-03   -0.75810E-06
    71    0.18035E+04    0.34627E+00    0.00000E+00   -0.67842E+01    0.10109E-06    0.50060E-03   -0.74070E-06
    72    0.18284E+04    0.35946E+00    0.00000E+00   -0.72492E+01    0.10032E-06    0.49316E-03   -0.70870E-06
    73    0.18536E+04    0.37275E+00    0.00000E+00   -0.77261E+01    0.99549E-07    0.48594E-03   -0.67124E-06
    74    0.18789E+04    0.38617E+00    0.00000E+00   -0.82161E+01    0.98783E-07    0.47887E-03   -0.63750E-06
    75    0.19045E+04    0.39976E+00    0.00000E+00   -0.87197E+01    0.98020E-07    0.47186E-03   -0.61659E-06
    76    0.19303E+04    0.41355E+00    0.00000E+00   -0.92374E+01    0.97260E-07    0.46483E-03   -0.61526E-06
    77    0.19564E+04    0.42753E+00    0.00000E+00   -0.97679E+01    0.96503E-07    0.45783E-03   -0.63063E-06
    78    0.19827E+04    0.44172E+00    0.00000E+00   -0.10311E+02    0.95749E-07    0.45091E-03   -0.65745E-06
    79    0.20093E+04    0.45604E+00    0.00000E+00   -0.10861E+02    0.94999E-07    0.44413E-03   -0.69046E-06
    80    0.20362E+04    0.47048E+00    0.00000E+00   -0.11417E+02    0.94253E-07    0.43756E-03   -0.72440E-06
    81    0.20634E+04    0.48500E+00    0.00000E+00   -0.11978E+02    0.93511E-07    0.43122E-03   -0.75468E-06
    82    0.20910E+04    0.49960E+00    0.00000E+00   -0.12545E+02    0.92773E-07    0.42513E-03   -0.77924E-06
    83    0.21188E+04    0.51424E+00    0.00000E+00   -0.13119E+02    0.92040E-07    0.41927E-03   -0.79667E-06
    84    0.21469E+04    0.52892E+00    0.00000E+00   -0.13699E+02    0.91311E-07    0.41362E-03   -0.80557E-06
    85    0.21753E+04    0.54360E+00    0.00000E+00   -0.14289E+02    0.90586E-07    0.40816E-03   -0.80453E-06
    86    0.22038E+04    0.55828E+00    0.00000E+00   -0.14887E+02    0.89866E-07    0.40288E-03   -0.79294E-06
    87    0.22329E+04    0.57294E+00    0.00000E+00   -0.15493E+02    0.89152E-07    0.39776E-03   -0.77333E-06
    88    0.22619E+04    0.58761E+00    0.00000E+00   -0.16106E+02    0.88442E-07    0.39278E-03   -0.74904E-06
    89    0.22914E+04    0.60225E+00    0.00000E+00   -0.16726E+02    0.87737E-07    0.38791E-03   -0.72338E-06
    90    0.23211E+04    0.61686E+00    0.00000E+00   -0.17350E+02    0.87037E-07    0.38314E-03   -0.69966E-06
    91    0.23510E+04    0.63141E+00    0.00000E+00   -0.17978E+02    0.86343E-07    0.37845E-03   -0.68061E-06
    92    0.23812E+04    0.64590E+00    0.00000E+00   -0.18610E+02    0.85654E-07    0.37384E-03   -0.66646E-06
    93    0.24117E+04    0.66032E+00    0.00000E+00   -0.19244E+02    0.84969E-07    0.36930E-03   -0.65685E-06
    94    0.24422E+04    0.67463E+00    0.00000E+00   -0.19879E+02    0.84291E-07    0.36483E-03   -0.65144E-06
    95    0.24731E+04    0.68883E+00    0.00000E+00   -0.20517E+02    0.83617E-07    0.36044E-03   -0.64985E-06
    96    0.25041E+04    0.70290E+00    0.00000E+00   -0.21156E+02    0.82949E-07    0.35613E-03   -0.65174E-06
    97    0.25354E+04    0.71683E+00    0.00000E+00   -0.21796E+02    0.82286E-07    0.35188E-03   -0.65673E-06
    98    0.25670E+04    0.73061E+00    0.00000E+00   -0.22435E+02    0.81628E-07    0.34771E-03   -0.66448E-06
    99    0.25987E+04    0.74420E+00    0.00000E+00   -0.23075E+02    0.80976E-07    0.34361E-03   -0.67463E-06
   100    0.26307E+04    0.75761E+00    0.00000E+00   -0.23712E+02    0.80328E-07    0.33958E-03   -0.68681E-06
   101    0.26629E+04    0.77088E+00    0.00000E+00   -0.24349E+02    0.79687E-07    0.33563E-03   -0.70068E-06
   102    0.26956E+04    0.78388E+00    0.00000E+00   -0.24984E+02    0.79051E-07    0.33175E-03   -0.71586E-06
   103    0.27282E+04    0.79667E+00    0.00000E+00   -0.25618E+02    0.78420E-07    0.32793E-03   -0.73202E-06
   104    0.27611E+04    0.80925E+00    0.00000E+00   -0.26247E+02    0.77794E-07    0.32419E-03   -0.74878E-06
   105    0.27941E+04    0.82156E+00    0.00000E+00   -0.26873E+02    0.77174E-07    0.32052E-03   -0.76580E-06
   106    0.28273E+04    0.83365E+00    0.00000E+00   -0.27496E+02    0.76560E-07    0.31692E-03   -0.78272E-06
   107    0.28605E+04    0.84539E+00    0.00000E+00   -0.28113E+02    0.75951E-07    0.31339E-03   -0.79918E-06
   108    0.28940E+04    0.85685E+00    0.00000E+00   -0.28726E+02    0.75347E-07    0.30993E-03   -0.81482E-06
   109    0.29277E+04    0.86795E+00    0.00000E+00   -0.29333E+02    0.74750E-07    0.30654E-03   -0.82929E-06
   110    0.29615E+04    0.87869E+00    0.00000E+00   -0.29933E+02    0.74157E-07    0.30321E-03   -0.84224E-06
   111    0.29954E+04    0.88914E+00    0.00000E+00   -0.30527E+02    0.73571E-07    0.29996E-03   -0.85338E-06
   112    0.30294E+04    0.89924E+00    0.00000E+00   -0.31114E+02    0.72990E-07    0.29677E-03   -0.86271E-06
   113    0.30637E+04    0.90898E+00    0.00000E+00   -0.31693E+02    0.72414E-07    0.29364E-03   -0.87032E-06
   114    0.30980E+04    0.91830E+00    0.00000E+00   -0.32263E+02    0.71844E-07    0.29058E-03   -0.87628E-06
   115    0.31326E+04    0.92733E+00    0.00000E+00   -0.32824E+02    0.71280E-07    0.28758E-03   -0.88067E-06
   116    0.31672E+04    0.93587E+00    0.00000E+00   -0.33374E+02    0.70721E-07    0.28464E-03   -0.88356E-06
   117    0.32020E+04    0.94398E+00    0.00000E+00   -0.33915E+02    0.70167E-07    0.28176E-03   -0.88503E-06
   118    0.32370E+04    0.95182E+00    0.00000E+00   -0.34445E+02    0.69619E-07    0.27893E-03   -0.88517E-06
   119    0.32720E+04    0.95924E+00    0.00000E+00   -0.34963E+02    0.69075E-07    0.27616E-03   -0.88404E-06
   120    0.33071E+04    0.96610E+00    0.00000E+00   -0.35469E+02    0.68538E-07    0.27344E-03   -0.88173E-06
   121    0.33422E+04    0.97269E+00    0.00000E+00   -0.35962E+02    0.68005E-07    0.27077E-03   -0.87831E-06
   122    0.33773E+04    0.97872E+00    0.00000E+00   -0.36442E+02    0.67478E-07    0.26815E-03   -0.87385E-06
   123    0.34125E+04    0.98426E+00    0.00000E+00   -0.36909E+02    0.66956E-07    0.26558E-03   -0.86844E-06
   124    0.34478E+04    0.98939E+00    0.00000E+00   -0.37360E+02    0.66439E-07    0.26305E-03   -0.86216E-06
   125    0.34830E+04    0.99404E+00    0.00000E+00   -0.37796E+02    0.65927E-07    0.26056E-03   -0.85507E-06
   126    0.35183E+04    0.99828E+00    0.00000E+00   -0.38218E+02    0.65420E-07    0.25812E-03   -0.84726E-06
   127    0.35536E+04    0.10020E+01    0.00000E+00   -0.38623E+02    0.64918E-07    0.25572E-03   -0.83880E-06
   128    0.35888E+04    0.10053E+01    0.00000E+00   -0.39013E+02    0.64421E-07    0.25336E-03   -0.82977E-06
   129    0.36241E+04    0.10080E+01    0.00000E+00   -0.39385E+02    0.63929E-07    0.25103E-03   -0.82024E-06
   130    0.36594E+04    0.10102E+01    0.00000E+00   -0.39739E+02    0.63442E-07    0.24874E-03   -0.81030E-06
   131    0.36946E+04    0.10120E+01    0.00000E+00   -0.40076E+02    0.62959E-07    0.24648E-03   -0.80001E-06
   132    0.37299E+04    0.10132E+01    0.00000E+00   -0.40394E+02    0.62482E-07    0.24425E-03   -0.78944E-06
   133    0.37650E+04    0.10140E+01    0.00000E+00   -0.40695E+02    0.62010E-07    0.24206E-03   -0.77863E-06
   134    0.38002E+04    0.10144E+01    0.00000E+00   -0.40973E+02    0.61542E-07    0.23989E-03   -0.76765E-06
   135    0.38352E+04    0.10142E+01    0.00000E+00   -0.41233E+02    0.61079E-07    0.23776E-03   -0.75655E-06
   136    0.38702E+04    0.10134E+01    0.00000E+00   -0.41471E+02    0.60620E-07    0.23565E-03   -0.74537E-06
   137    0.39050E+04    0.10123E+01    0.00000E+00   -0.41688E+02    0.60166E-07    0.23358E-03   -0.73418E-06
   138    0.39398E+04    0.10106E+01    0.00000E+00   -0.41884E+02    0.59717E-07    0.23153E-03   -0.72304E-06
   139    0.39743E+04    0.10086E+01    0.00000E+00   -0.42057E+02    0.59272E-07    0.22951E-03   -0.71198E-06
   140    0.40088E+04    0.10060E+01    0.00000E+00   -0.42209E+02    0.58832E-07    0.22751E-03   -0.70108E-06
   141    0.40430E+04    0.10029E+01    0.00000E+00   -0.42337E+02    0.58396E-07    0.22554E-03   -0.69037E-06
   142    0.40772E+04    0.99932E+00    0.00000E+00   -0.42442E+02    0.57965E-07    0.22359E-03   -0.67993E-06
   143    0.41113E+04    0.99537E+00    0.00000E+00   -0.42525E+02    0.57538E-07    0.22167E-03   -0.66979E-06
   144    0.41451E+04    0.99094E+00    0.00000E+00   -0.42583E+02    0.57115E-07    0.21977E-03   -0.66003E-06
   145    0.41787E+04    0.98617E+00    0.00000E+00   -0.42618E+02    0.56697E-07    0.21789E-03   -0.65068E-06
   146    0.42123E+04    0.98085E+00    0.00000E+00   -0.42628E+02    0.56283E-07    0.21604E-03   -0.64180E-06
   147    0.42455E+04    0.97521E+00    0.00000E+00   -0.42612E+02    0.55873E-07    0.21420E-03   -0.63346E-06
   148    0.42785E+04    0.96910E+00    0.00000E+00   -0.42572E+02    0.55467E-07    0.21238E-03   -0.62569E-06
   149    0.43114E+04    0.96260E+00    0.00000E+00   -0.42506E+02    0.55065E-07    0.21059E-03   -0.61857E-06
   150    0.43439E+04    0.95579E+00    0.00000E+00   -0.42412E+02    0.54668E-07    0.20881E-03   -0.61213E-06
   151    0.43761E+04    0.94860E+00    0.00000E+00   -0.42294E+02    0.54274E-07    0.20705E-03   -0.60642E-06
   152    0.44081E+04    0.94097E+00    0.00000E+00   -0.42149E+02    0.53885E-07    0.20531E-03   -0.60140E-06
   153    0.44398E+04    0.93303E+00    0.00000E+00   -0.41976E+02    0.53499E-07    0.20358E-03   -0.59700E-06
   154    0.44712E+04    0.92482E+00    0.00000E+00   -0.41777E+02    0.53118E-07    0.20187E-03   -0.59317E-06
   155    0.45023E+04    0.91632E+00    0.00000E+00   -0.41551E+02    0.52740E-07    0.20018E-03   -0.58984E-06
   156    0.45330E+04    0.90754E+00    0.00000E+00   -0.41298E+02    0.52366E-07    0.19850E-03   -0.58696E-06
   157    0.45635E+04    0.89849E+00    0.00000E+00   -0.41017E+02    0.51996E-07    0.19685E-03   -0.58447E-06
   158    0.45937E+04    0.88925E+00    0.00000E+00   -0.40708E+02    0.51629E-07    0.19520E-03   -0.58231E-06
   159    0.46234E+04    0.87968E+00    0.00000E+00   -0.40372E+02    0.51267E-07    0.19358E-03   -0.58041E-06
   160    0.46529E+04    0.86992E+00    0.00000E+00   -0.40008E+02    0.50908E-07    0.19197E-03   -0.57873E-06
   161    0.46821E+04    0.86007E+00    0.00000E+00   -0.39616E+02    0.50553E-07    0.19038E-03   -0.57719E-06
   162    0.47109E+04    0.84998E+00    0.00000E+00   -0.39197E+02    0.50201E-07    0.18880E-03   -0.57575E-06
   163    0.47394E+04    0.83972E+00    0.00000E+00   -0.38750E+02    0.49853E-07    0.18724E-03   -0.57433E-06
   164    0.47675E+04    0.82938E+00    0.00000E+00   -0.38275E+02    0.49508E-07    0.18570E-03   -0.57289E-06
   165    0.47953E+04    0.81889E+00    0.00000E+00   -0.37772E+02    0.49167E-07    0.18417E-03   -0.57136E-06
   166    0.48227E+04    0.80840E+00    0.00000E+00   -0.37241E+02    0.48830E-07    0.18266E-03   -0.56968E-06
   167    0.48497E+04    0.79770E+00    0.00000E+00   -0.36683E+02    0.48495E-07    0.18116E-03   -0.56779E-06
   168    0.48763E+04    0.78716E+00    0.00000E+00   -0.36096E+02    0.48164E-07    0.17968E-03   -0.56564E-06
   169    0.49024E+04    0.77650E+00    0.00000E+00   -0.35480E+02    0.47837E-07    0.17821E-03   -0.56316E-06
   170    0.49282E+04    0.76593E+00    0.00000E+00   -0.34837E+02    0.47513E-07    0.17676E-03   -0.56030E-06
   171    0.49534E+04    0.75547E+00    0.00000E+00   -0.34164E+02    0.47192E-07    0.17533E-03   -0.55699E-06
   172    0.49781E+04    0.74505E+00    0.00000E+00   -0.33464E+02    0.46874E-07    0.17390E-03   -0.55318E-06
   173    0.50023E+04    0.73467E+00    0.00000E+00   -0.32736E+02    0.46559E-07    0.17250E-03   -0.54881E-06
   174    0.50261E+04    0.72464E+00    0.00000E+00   -0.31979E+02    0.46248E-07    0.17111E-03   -0.54381E-06
   175    0.50494E+04    0.71466E+00    0.00000E+00   -0.31195E+02    0.45940E-07    0.16973E-03   -0.53814E-06
   176    0.50720E+04    0.70497E+00    0.00000E+00   -0.30382E+02    0.45634E-07    0.16837E-03   -0.53173E-06
   177    0.50942E+04    0.69549E+00    0.00000E+00   -0.29542E+02    0.45332E-07    0.16702E-03   -0.52462E-06
   178    0.51158E+04    0.68646E+00    0.00000E+00   -0.28674E+02    0.45033E-07    0.16569E-03   -0.51682E-06
   179    0.51369E+04    0.67758E+00    0.00000E+00   -0.27778E+02    0.44737E-07    0.16437E-03   -0.50837E-06
   180    0.51576E+04    0.66908E+00    0.00000E+00   -0.26856E+02    0.44443E-07    0.16306E-03   -0.49930E-06
   181    0.51776E+04    0.66098E+00    0.00000E+00   -0.25907E+02    0.44153E-07    0.16177E-03   -0.48964E-06
   182    0.51971E+04    0.65334E+00    0.00000E+00   -0.24931E+02    0.43865E-07    0.16049E-03   -0.47941E-06
   183    0.52160E+04    0.64611E+00    0.00000E+00   -0.23930E+02    0.43581E-07    0.15922E-03   -0.46864E-06
   184    0.52344E+04    0.63936E+00    0.00000E+00   -0.22902E+02    0.43299E-07    0.15797E-03   -0.45738E-06
   185    0.52523E+04    0.63325E+00    0.00000E+00   -0.21849E+02    0.43020E-07    0.15672E-03   -0.44563E-06
   186    0.52692E+04    0.62764E+00    0.00000E+00   -0.20770E+02    0.42743E-07    0.15549E-03   -0.43344E-06
   187    0.52859E+04    0.62269E+00    0.00000E+00   -0.19666E+02    0.42469E-07    0.15427E-03   -0.42084E-06
   188    0.53020E+04    0.61838E+00    0.00000E+00   -0.18538E+02    0.42198E-07    0.15307E-03   -0.40785E-06
   189    0.53173E+04    0.61475E+00    0.00000E+00   -0.17385E+02    0.41930E-07    0.15187E-03   -0.39450E-06
   190    0.53325E+04    0.61188E+00    0.00000E+00   -0.16210E+02    0.41664E-07    0.15069E-03   -0.38082E-06
   191    0.53466E+04    0.60977E+00    0.00000E+00   -0.15009E+02    0.41401E-07    0.14951E-03   -0.36684E-06
   192    0.53603E+04    0.60847E+00    0.00000E+00   -0.13785E+02    0.41140E-07    0.14835E-03   -0.35260E-06
   193    0.53733E+04    0.60802E+00    0.00000E+00   -0.12540E+02    0.40882E-07    0.14719E-03   -0.33811E-06
   194    0.53858E+04    0.60846E+00    0.00000E+00   -0.11271E+02    0.40626E-07    0.14605E-03   -0.32341E-06
   195    0.53977E+04    0.60984E+00    0.00000E+00   -0.99817E+01    0.40373E-07    0.14492E-03   -0.30854E-06
   196    0.54088E+04    0.61219E+00    0.00000E+00   -0.86705E+01    0.40122E-07    0.14379E-03   -0.29351E-06
   197    0.54195E+04    0.61557E+00    0.00000E+00   -0.73393E+01    0.39873E-07    0.14268E-03   -0.27836E-06
   198    0.54295E+04    0.62001E+00    0.00000E+00   -0.59875E+01    0.39627E-07    0.14157E-03   -0.26311E-06
   199    0.54389E+04    0.62555E+00    0.00000E+00   -0.46161E+01    0.39383E-07    0.14047E-03   -0.24780E-06
   200    0.54477E+04    0.63222E+00    0.00000E+00   -0.32259E+01    0.39142E-07    0.13938E-03   -0.23246E-06
   201    0.54558E+04    0.64010E+00    0.00000E+00   -0.18163E+01    0.38902E-07    0.13830E-03   -0.21711E-06
   202    0.54634E+04    0.64918E+00    0.00000E+00   -0.38894E+00    0.38665E-07    0.13723E-03   -0.20176E-06
   203    0.54702E+04    0.65952E+00    0.00000E+00    0.10568E+01    0.38430E-07    0.13617E-03   -0.18641E-06
   204    0.54763E+04    0.67114E+00    0.00000E+00    0.25179E+01    0.38198E-07    0.13511E-03   -0.17106E-06
   205    0.54818E+04    0.68407E+00    0.00000E+00    0.39963E+01    0.37967E-07    0.13406E-03   -0.15571E-06
   206    0.54866E+04    0.69835E+00    0.00000E+00    0.54908E+01    0.37739E-07    0.13302E-03   -0.14037E-06
   207    0.54908E+04    0.71400E+00    0.00000E+00    0.70008E+01    0.37512E-07    0.13199E-03   -0.12503E-06
   208    0.54941E+04    0.73106E+00    0.00000E+00    0.85256E+01    0.37288E-07    0.13096E-03   -0.10971E-06
