#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.344742E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.771506E-01
   0.356398E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.797592E-01
   0.368448E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.824559E-01
   0.380906E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.852438E-01
   0.393785E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.881260E-01
   0.407099E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.911056E-01
   0.420863E-05   0.502228E+06   0.502228E+06   0.669636E+06   0.669636E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.941859E-01
   0.435093E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.973705E-01
   0.449804E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.100663E+00
   0.465012E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.104066E+00
   0.480735E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.107585E+00
   0.496989E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.111222E+00
   0.513793E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.114983E+00
   0.531164E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.118870E+00
   0.549124E-05   0.502228E+06   0.502228E+06   0.669635E+06   0.669635E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.122890E+00
   0.567690E-05   0.502227E+06   0.502227E+06   0.669635E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.127045E+00
   0.586884E-05   0.502228E+06   0.502228E+06   0.669634E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.131340E+00
   0.606727E-05   0.502228E+06   0.502227E+06   0.669634E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.135781E+00
   0.627241E-05   0.502228E+06   0.502228E+06   0.669634E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.140372E+00
   0.648449E-05   0.502228E+06   0.502228E+06   0.669634E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502228E+06   0.509395E+06  -0.602299E+00   0.500785E+06   0.500785E+06   0.145118E+00
   0.670374E-05   0.502227E+06   0.502227E+06   0.669634E+06   0.669634E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.150024E+00
   0.693040E-05   0.502227E+06   0.502227E+06   0.669634E+06   0.669633E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.155097E+00
   0.716472E-05   0.502227E+06   0.502227E+06   0.669633E+06   0.669633E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.160341E+00
   0.740696E-05   0.502227E+06   0.502227E+06   0.669633E+06   0.669633E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.165762E+00
   0.765740E-05   0.502227E+06   0.502227E+06   0.669633E+06   0.669633E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.171367E+00
   0.791631E-05   0.502227E+06   0.502227E+06   0.669633E+06   0.669632E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.177161E+00
   0.818396E-05   0.502227E+06   0.502227E+06   0.669632E+06   0.669632E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.183151E+00
   0.846067E-05   0.502227E+06   0.502227E+06   0.669632E+06   0.669632E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.189343E+00
   0.874673E-05   0.502227E+06   0.502227E+06   0.669632E+06   0.669631E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.195745E+00
   0.904247E-05   0.502227E+06   0.502227E+06   0.669631E+06   0.669631E+06   0.503728E+06   0.502352E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.202363E+00
   0.934820E-05   0.502227E+06   0.502227E+06   0.669631E+06   0.669631E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.209205E+00
   0.966428E-05   0.502227E+06   0.502227E+06   0.669631E+06   0.669630E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.216279E+00
   0.999103E-05   0.502227E+06   0.502227E+06   0.669630E+06   0.669630E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500785E+06   0.223591E+00
   0.103288E-04   0.502227E+06   0.502227E+06   0.669630E+06   0.669629E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500785E+06   0.500784E+06   0.231151E+00
   0.106781E-04   0.502227E+06   0.502227E+06   0.669629E+06   0.669629E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.238967E+00
   0.110391E-04   0.502227E+06   0.502227E+06   0.669629E+06   0.669628E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.247046E+00
   0.114123E-04   0.502227E+06   0.502227E+06   0.669628E+06   0.669628E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.255399E+00
   0.117982E-04   0.502227E+06   0.502227E+06   0.669628E+06   0.669627E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.264035E+00
   0.121971E-04   0.502227E+06   0.502227E+06   0.669627E+06   0.669626E+06   0.503728E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.272962E+00
   0.126095E-04   0.502227E+06   0.502227E+06   0.669626E+06   0.669626E+06   0.503727E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.282191E+00
   0.130359E-04   0.502227E+06   0.502227E+06   0.669626E+06   0.669625E+06   0.503727E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.291732E+00
   0.134766E-04   0.502227E+06   0.502227E+06   0.669625E+06   0.669624E+06   0.503727E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.301596E+00
   0.139323E-04   0.502227E+06   0.502227E+06   0.669624E+06   0.669623E+06   0.503727E+06   0.502351E+06   0.502227E+06   0.509395E+06  -0.602298E+00   0.500784E+06   0.500784E+06   0.311793E+00
