#           k/h    P           
    0.10000E-03    0.19439E+00
    0.10202E-03    0.19824E+00
    0.10408E-03    0.20216E+00
    0.10618E-03    0.20615E+00
    0.10833E-03    0.21023E+00
    0.11052E-03    0.21439E+00
    0.11275E-03    0.21862E+00
    0.11503E-03    0.22295E+00
    0.11735E-03    0.22735E+00
    0.11972E-03    0.23185E+00
    0.12214E-03    0.23643E+00
    0.12461E-03    0.24111E+00
    0.12712E-03    0.24587E+00
    0.12969E-03    0.25073E+00
    0.13231E-03    0.25569E+00
    0.13499E-03    0.26075E+00
    0.13771E-03    0.26590E+00
    0.14049E-03    0.27116E+00
    0.14333E-03    0.27652E+00
    0.14623E-03    0.28198E+00
    0.14918E-03    0.28756E+00
    0.15220E-03    0.29324E+00
    0.15527E-03    0.29904E+00
    0.15841E-03    0.30495E+00
    0.16161E-03    0.31098E+00
    0.16487E-03    0.31713E+00
    0.16820E-03    0.32340E+00
    0.17160E-03    0.32979E+00
    0.17507E-03    0.33631E+00
    0.17860E-03    0.34295E+00
    0.18221E-03    0.34973E+00
    0.18589E-03    0.35665E+00
    0.18965E-03    0.36369E+00
    0.19348E-03    0.37088E+00
    0.19739E-03    0.37821E+00
    0.20138E-03    0.38569E+00
    0.20544E-03    0.39331E+00
    0.20959E-03    0.40108E+00
    0.21383E-03    0.40901E+00
    0.21815E-03    0.41709E+00
    0.22255E-03    0.42534E+00
    0.22705E-03    0.43374E+00
    0.23164E-03    0.44231E+00
    0.23632E-03    0.45106E+00
    0.24109E-03    0.45997E+00
    0.24596E-03    0.46906E+00
    0.25093E-03    0.47833E+00
    0.25600E-03    0.48778E+00
    0.26117E-03    0.49742E+00
    0.26645E-03    0.50724E+00
    0.27183E-03    0.51727E+00
    0.27732E-03    0.52748E+00
    0.28292E-03    0.53791E+00
    0.28864E-03    0.54853E+00
    0.29447E-03    0.55937E+00
    0.30042E-03    0.57042E+00
    0.30649E-03    0.58169E+00
    0.31268E-03    0.59318E+00
    0.31899E-03    0.60489E+00
    0.32544E-03    0.61684E+00
    0.33201E-03    0.62902E+00
    0.33872E-03    0.64144E+00
    0.34556E-03    0.65411E+00
    0.35254E-03    0.66703E+00
    0.35966E-03    0.68020E+00
    0.36693E-03    0.69363E+00
    0.37434E-03    0.70732E+00
    0.38190E-03    0.72129E+00
    0.38962E-03    0.73553E+00
    0.39749E-03    0.75005E+00
    0.40552E-03    0.76485E+00
    0.41371E-03    0.77995E+00
    0.42207E-03    0.79534E+00
    0.43060E-03    0.81103E+00
    0.43929E-03    0.82704E+00
    0.44817E-03    0.84336E+00
    0.45722E-03    0.86000E+00
    0.46646E-03    0.87696E+00
    0.47588E-03    0.89426E+00
    0.48550E-03    0.91190E+00
    0.49530E-03    0.92988E+00
    0.50531E-03    0.94822E+00
    0.51552E-03    0.96692E+00
    0.52593E-03    0.98598E+00
    0.53656E-03    0.10054E+01
    0.54739E-03    0.10252E+01
    0.55845E-03    0.10454E+01
    0.56973E-03    0.10660E+01
    0.58124E-03    0.10870E+01
    0.59299E-03    0.11085E+01
    0.60496E-03    0.11303E+01
    0.61719E-03    0.11525E+01
    0.62965E-03    0.11752E+01
    0.64237E-03    0.11984E+01
    0.65535E-03    0.12220E+01
    0.66859E-03    0.12460E+01
    0.68210E-03    0.12705E+01
    0.69588E-03    0.12955E+01
    0.70993E-03    0.13210E+01
    0.72427E-03    0.13470E+01
    0.73891E-03    0.13735E+01
    0.75383E-03    0.14005E+01
    0.76906E-03    0.14280E+01
    0.78460E-03    0.14560E+01
    0.80045E-03    0.14846E+01
    0.81662E-03    0.15138E+01
    0.83311E-03    0.15435E+01
    0.84994E-03    0.15738E+01
    0.86711E-03    0.16046E+01
    0.88463E-03    0.16361E+01
    0.90250E-03    0.16682E+01
    0.92073E-03    0.17009E+01
    0.93933E-03    0.17342E+01
    0.95831E-03    0.17682E+01
    0.97767E-03    0.18028E+01
    0.99742E-03    0.18380E+01
    0.10176E-02    0.18740E+01
    0.10381E-02    0.19106E+01
    0.10591E-02    0.19480E+01
    0.10805E-02    0.19860E+01
    0.11023E-02    0.20248E+01
    0.11246E-02    0.20643E+01
    0.11473E-02    0.21045E+01
    0.11705E-02    0.21456E+01
    0.11941E-02    0.21874E+01
    0.12182E-02    0.22299E+01
    0.12429E-02    0.22733E+01
    0.12680E-02    0.23175E+01
    0.12936E-02    0.23626E+01
    0.13197E-02    0.24084E+01
    0.13464E-02    0.24552E+01
    0.13736E-02    0.25028E+01
    0.14013E-02    0.25512E+01
    0.14296E-02    0.26006E+01
    0.14585E-02    0.26509E+01
    0.14880E-02    0.27021E+01
    0.15180E-02    0.27543E+01
    0.15487E-02    0.28074E+01
    0.15800E-02    0.28615E+01
    0.16119E-02    0.29166E+01
    0.16445E-02    0.29726E+01
    0.16777E-02    0.30297E+01
    0.17116E-02    0.30878E+01
    0.17462E-02    0.31470E+01
    0.17814E-02    0.32072E+01
    0.18174E-02    0.32685E+01
    0.18541E-02    0.33309E+01
    0.18916E-02    0.33943E+01
    0.19298E-02    0.34589E+01
    0.19688E-02    0.35247E+01
    0.20086E-02    0.35915E+01
    0.20491E-02    0.36595E+01
    0.20905E-02    0.37287E+01
    0.21328E-02    0.37991E+01
    0.21758E-02    0.38707E+01
    0.22198E-02    0.39434E+01
    0.22646E-02    0.40174E+01
    0.23104E-02    0.40927E+01
    0.23571E-02    0.41692E+01
    0.24047E-02    0.42469E+01
    0.24533E-02    0.43259E+01
    0.25028E-02    0.44062E+01
    0.25534E-02    0.44878E+01
    0.26050E-02    0.45707E+01
    0.26576E-02    0.46549E+01
    0.27113E-02    0.47404E+01
    0.27660E-02    0.48272E+01
    0.28219E-02    0.49154E+01
    0.28789E-02    0.50049E+01
    0.29371E-02    0.50957E+01
    0.29964E-02    0.51879E+01
    0.30569E-02    0.52814E+01
    0.31187E-02    0.53763E+01
    0.31817E-02    0.54726E+01
    0.32460E-02    0.55702E+01
    0.33115E-02    0.56692E+01
    0.33784E-02    0.57695E+01
    0.34467E-02    0.58711E+01
    0.35163E-02    0.59742E+01
    0.35874E-02    0.60785E+01
    0.36598E-02    0.61842E+01
    0.37338E-02    0.62913E+01
    0.38092E-02    0.63996E+01
    0.38861E-02    0.65093E+01
    0.39646E-02    0.66203E+01
    0.40447E-02    0.67325E+01
    0.41264E-02    0.68460E+01
    0.42098E-02    0.69608E+01
    0.42948E-02    0.70768E+01
    0.43816E-02    0.71940E+01
    0.44701E-02    0.73124E+01
    0.45604E-02    0.74320E+01
    0.46525E-02    0.75528E+01
    0.47465E-02    0.76746E+01
    0.48424E-02    0.77975E+01
    0.49402E-02    0.79215E+01
    0.50400E-02    0.80465E+01
    0.51419E-02    0.81725E+01
    0.52457E-02    0.82994E+01
    0.53517E-02    0.84273E+01
    0.54598E-02    0.85560E+01
    0.55701E-02    0.86855E+01
    0.56826E-02    0.88158E+01
    0.57974E-02    0.89468E+01
    0.59145E-02    0.90785E+01
    0.60340E-02    0.92107E+01
    0.61559E-02    0.93436E+01
    0.62803E-02    0.94769E+01
    0.64072E-02    0.96107E+01
    0.65366E-02    0.97448E+01
    0.66686E-02    0.98792E+01
    0.68033E-02    0.10014E+02
    0.69408E-02    0.10149E+02
    0.70810E-02    0.10283E+02
    0.72240E-02    0.10418E+02
    0.73700E-02    0.10553E+02
    0.75189E-02    0.10687E+02
    0.76708E-02    0.10821E+02
    0.78257E-02    0.10955E+02
    0.79838E-02    0.11088E+02
    0.81451E-02    0.11221E+02
    0.83096E-02    0.11353E+02
    0.84775E-02    0.11483E+02
    0.86488E-02    0.11613E+02
    0.88235E-02    0.11742E+02
    0.90017E-02    0.11869E+02
    0.91836E-02    0.11995E+02
    0.93691E-02    0.12120E+02
    0.95583E-02    0.12242E+02
    0.97514E-02    0.12363E+02
    0.99484E-02    0.12482E+02
    0.10149E-01    0.12598E+02
    0.10354E-01    0.12712E+02
    0.10564E-01    0.12823E+02
    0.10777E-01    0.12932E+02
    0.10995E-01    0.13037E+02
    0.11217E-01    0.13140E+02
    0.11443E-01    0.13238E+02
    0.11675E-01    0.13334E+02
    0.11910E-01    0.13425E+02
    0.12151E-01    0.13512E+02
    0.12397E-01    0.13596E+02
    0.12647E-01    0.13674E+02
    0.12902E-01    0.13748E+02
    0.13163E-01    0.13817E+02
    0.13429E-01    0.13881E+02
    0.13700E-01    0.13939E+02
    0.13977E-01    0.13992E+02
    0.14259E-01    0.14039E+02
    0.14547E-01    0.14080E+02
    0.14841E-01    0.14114E+02
    0.15141E-01    0.14142E+02
    0.15447E-01    0.14163E+02
    0.15759E-01    0.14177E+02
    0.16077E-01    0.14184E+02
    0.16402E-01    0.14184E+02
    0.16734E-01    0.14175E+02
    0.17072E-01    0.14159E+02
    0.17416E-01    0.14135E+02
    0.17768E-01    0.14103E+02
    0.18127E-01    0.14063E+02
    0.18493E-01    0.14014E+02
    0.18867E-01    0.13956E+02
    0.19248E-01    0.13890E+02
    0.19637E-01    0.13815E+02
    0.20034E-01    0.13731E+02
    0.20438E-01    0.13638E+02
    0.20851E-01    0.13537E+02
    0.21272E-01    0.13426E+02
    0.21702E-01    0.13306E+02
    0.22141E-01    0.13178E+02
    0.22588E-01    0.13041E+02
    0.23044E-01    0.12895E+02
    0.23510E-01    0.12741E+02
    0.23985E-01    0.12578E+02
    0.24469E-01    0.12407E+02
    0.24964E-01    0.12229E+02
    0.25468E-01    0.12043E+02
    0.25982E-01    0.11849E+02
    0.26507E-01    0.11649E+02
    0.27043E-01    0.11442E+02
    0.27589E-01    0.11229E+02
    0.28146E-01    0.11011E+02
    0.28715E-01    0.10787E+02
    0.29295E-01    0.10558E+02
    0.29887E-01    0.10325E+02
    0.30490E-01    0.10089E+02
    0.31106E-01    0.98494E+01
    0.31735E-01    0.96073E+01
    0.32376E-01    0.93633E+01
    0.33030E-01    0.91180E+01
    0.33697E-01    0.88720E+01
    0.34378E-01    0.86259E+01
    0.35072E-01    0.83803E+01
    0.35781E-01    0.81359E+01
    0.36504E-01    0.78931E+01
    0.37241E-01    0.76525E+01
    0.37993E-01    0.74149E+01
    0.38761E-01    0.71804E+01
    0.39544E-01    0.69495E+01
    0.40343E-01    0.67230E+01
    0.41158E-01    0.65014E+01
    0.41989E-01    0.62849E+01
    0.42838E-01    0.60738E+01
    0.43703E-01    0.58684E+01
    0.44586E-01    0.56689E+01
    0.45486E-01    0.54755E+01
    0.46405E-01    0.52884E+01
    0.47343E-01    0.51076E+01
    0.48299E-01    0.49332E+01
    0.49275E-01    0.47651E+01
    0.50270E-01    0.46031E+01
    0.51286E-01    0.44473E+01
    0.52322E-01    0.42974E+01
    0.53379E-01    0.41531E+01
    0.54457E-01    0.40141E+01
    0.55557E-01    0.38802E+01
    0.56680E-01    0.37509E+01
    0.57825E-01    0.36258E+01
    0.58993E-01    0.35046E+01
    0.60184E-01    0.33867E+01
    0.61400E-01    0.32717E+01
    0.62641E-01    0.31592E+01
    0.63906E-01    0.30487E+01
    0.65197E-01    0.29398E+01
    0.66514E-01    0.28321E+01
    0.67858E-01    0.27253E+01
    0.69229E-01    0.26192E+01
    0.70627E-01    0.25136E+01
    0.72054E-01    0.24083E+01
    0.73510E-01    0.23035E+01
    0.74994E-01    0.21990E+01
    0.76509E-01    0.20953E+01
    0.78055E-01    0.19926E+01
    0.79632E-01    0.18912E+01
    0.81241E-01    0.17915E+01
    0.82882E-01    0.16942E+01
    0.84556E-01    0.15995E+01
    0.86264E-01    0.15081E+01
    0.88007E-01    0.14204E+01
    0.89785E-01    0.13369E+01
    0.91598E-01    0.12579E+01
    0.93449E-01    0.11837E+01
    0.95337E-01    0.11144E+01
    0.97263E-01    0.10503E+01
    0.99227E-01    0.99128E+00
    0.10123E+00    0.93719E+00
    0.10328E+00    0.88784E+00
    0.10536E+00    0.84290E+00
    0.10749E+00    0.80197E+00
    0.10966E+00    0.76456E+00
    0.11188E+00    0.73014E+00
    0.11414E+00    0.69811E+00
    0.11644E+00    0.66789E+00
    0.11880E+00    0.63891E+00
    0.12120E+00    0.61062E+00
    0.12365E+00    0.58256E+00
    0.12614E+00    0.55436E+00
    0.12869E+00    0.52584E+00
    0.13129E+00    0.49694E+00
    0.13394E+00    0.46775E+00
    0.13665E+00    0.43848E+00
    0.13941E+00    0.40944E+00
    0.14223E+00    0.38103E+00
    0.14510E+00    0.35366E+00
    0.14803E+00    0.32772E+00
    0.15102E+00    0.30356E+00
    0.15407E+00    0.28143E+00
    0.15718E+00    0.26146E+00
    0.16036E+00    0.24372E+00
    0.16360E+00    0.22811E+00
    0.16690E+00    0.21445E+00
    0.17028E+00    0.20244E+00
    0.17371E+00    0.19168E+00
    0.17722E+00    0.18179E+00
    0.18080E+00    0.17237E+00
    0.18446E+00    0.16308E+00
    0.18818E+00    0.15370E+00
    0.19198E+00    0.14412E+00
    0.19586E+00    0.13440E+00
    0.19982E+00    0.12465E+00
    0.20386E+00    0.11510E+00
    0.20797E+00    0.10595E+00
    0.21218E+00    0.97412E-01
    0.21646E+00    0.89657E-01
    0.22083E+00    0.82770E-01
    0.22530E+00    0.76757E-01
    0.22985E+00    0.71539E-01
    0.23449E+00    0.66961E-01
    0.23923E+00    0.62836E-01
    0.24406E+00    0.58981E-01
    0.24899E+00    0.55245E-01
    0.25402E+00    0.51528E-01
    0.25915E+00    0.47799E-01
    0.26439E+00    0.44088E-01
    0.26973E+00    0.40482E-01
    0.27518E+00    0.37095E-01
    0.28074E+00    0.34030E-01
    0.28641E+00    0.31332E-01
    0.29219E+00    0.28982E-01
    0.29810E+00    0.26911E-01
    0.30412E+00    0.25028E-01
    0.31026E+00    0.23254E-01
    0.31653E+00    0.21534E-01
    0.32292E+00    0.19853E-01
    0.32945E+00    0.18230E-01
    0.33610E+00    0.16704E-01
    0.34289E+00    0.15306E-01
    0.34982E+00    0.14046E-01
    0.35689E+00    0.12921E-01
    0.36409E+00    0.11915E-01
    0.37145E+00    0.10998E-01
    0.37895E+00    0.10138E-01
    0.38661E+00    0.93144E-02
    0.39442E+00    0.85304E-02
    0.40239E+00    0.77991E-02
    0.41052E+00    0.71335E-02
    0.41881E+00    0.65366E-02
    0.42727E+00    0.59980E-02
    0.43590E+00    0.55023E-02
    0.44471E+00    0.50415E-02
    0.45369E+00    0.46131E-02
    0.46286E+00    0.42148E-02
    0.47221E+00    0.38472E-02
    0.48174E+00    0.35125E-02
    0.49148E+00    0.32094E-02
    0.50141E+00    0.29332E-02
    0.51153E+00    0.26776E-02
    0.52187E+00    0.24406E-02
    0.53241E+00    0.22242E-02
    0.54317E+00    0.20272E-02
    0.55414E+00    0.18467E-02
    0.56533E+00    0.16815E-02
    0.57675E+00    0.15307E-02
    0.58840E+00    0.13927E-02
    0.60029E+00    0.12661E-02
    0.61242E+00    0.11512E-02
    0.62479E+00    0.10464E-02
    0.63741E+00    0.95060E-03
    0.65029E+00    0.86316E-03
    0.66342E+00    0.78340E-03
    0.67683E+00    0.71069E-03
    0.69050E+00    0.64444E-03
    0.70445E+00    0.58413E-03
    0.71868E+00    0.52924E-03
    0.73320E+00    0.47931E-03
    0.74801E+00    0.43393E-03
    0.76312E+00    0.39270E-03
    0.77854E+00    0.35525E-03
    0.79426E+00    0.32125E-03
    0.81031E+00    0.29040E-03
    0.82668E+00    0.26241E-03
    0.84338E+00    0.23704E-03
    0.86041E+00    0.21404E-03
    0.87780E+00    0.19320E-03
    0.89553E+00    0.17432E-03
    0.91362E+00    0.15724E-03
    0.93208E+00    0.14177E-03
    0.95091E+00    0.12778E-03
    0.97011E+00    0.11513E-03
    0.98971E+00    0.10370E-03
    0.10097E+01    0.93369E-04
    0.10301E+01    0.84037E-04
    0.10509E+01    0.75612E-04
    0.10721E+01    0.68008E-04
    0.10938E+01    0.61147E-04
    0.11159E+01    0.54960E-04
    0.11384E+01    0.49382E-04
    0.11614E+01    0.44355E-04
    0.11849E+01    0.39827E-04
    0.12088E+01    0.35749E-04
