#    L    TT             EE             BB             TE          
     2    0.10797E+04    0.51548E-01    0.17157E-05    0.33640E+01
     3    0.10192E+04    0.85675E-01    0.34353E-05    0.42286E+01
     4    0.96000E+03    0.98026E-01    0.57340E-05    0.43782E+01
     5    0.91385E+03    0.88597E-01    0.86161E-05    0.40920E+01
     6    0.88059E+03    0.66821E-01    0.12087E-04    0.35934E+01
     7    0.85807E+03    0.43474E-01    0.16150E-04    0.30277E+01
     8    0.84352E+03    0.25561E-01    0.20812E-04    0.24810E+01
     9    0.83557E+03    0.15086E-01    0.26075E-04    0.20059E+01
    10    0.83250E+03    0.10532E-01    0.31943E-04    0.16300E+01
    11    0.83332E+03    0.91210E-02    0.38419E-04    0.13635E+01
    12    0.83753E+03    0.86266E-02    0.45502E-04    0.12025E+01
    13    0.84377E+03    0.79407E-02    0.53193E-04    0.11310E+01
    14    0.85165E+03    0.70735E-02    0.61491E-04    0.11286E+01
    15    0.86103E+03    0.63429E-02    0.70394E-04    0.11733E+01
    16    0.87175E+03    0.60329E-02    0.79899E-04    0.12445E+01
    17    0.88363E+03    0.62040E-02    0.90003E-04    0.13252E+01
    18    0.89583E+03    0.66554E-02    0.10070E-03    0.14029E+01
    19    0.90962E+03    0.72135E-02    0.11200E-03    0.14730E+01
    20    0.92370E+03    0.78013E-02    0.12389E-03    0.15307E+01
    21    0.93827E+03    0.84331E-02    0.13637E-03    0.15787E+01
    22    0.95336E+03    0.92296E-02    0.14945E-03    0.16195E+01
    23    0.96873E+03    0.10287E-01    0.16313E-03    0.16561E+01
    24    0.98449E+03    0.11645E-01    0.17740E-03    0.16910E+01
    25    0.10006E+04    0.13320E-01    0.19228E-03    0.17267E+01
    26    0.10170E+04    0.15276E-01    0.20777E-03    0.17661E+01
    27    0.10338E+04    0.17473E-01    0.22387E-03    0.18079E+01
    28    0.10508E+04    0.19898E-01    0.24059E-03    0.18505E+01
    29    0.10681E+04    0.22544E-01    0.25794E-03    0.18915E+01
    30    0.10856E+04    0.25413E-01    0.27591E-03    0.19265E+01
    31    0.11033E+04    0.28510E-01    0.29452E-03    0.19531E+01
    32    0.11212E+04    0.31826E-01    0.31377E-03    0.19688E+01
    33    0.11395E+04    0.35356E-01    0.33365E-03    0.19716E+01
    34    0.11580E+04    0.39106E-01    0.35416E-03    0.19607E+01
    35    0.11767E+04    0.43088E-01    0.37531E-03    0.19363E+01
    36    0.11956E+04    0.47326E-01    0.39709E-03    0.18982E+01
    37    0.12146E+04    0.51848E-01    0.41950E-03    0.18458E+01
    38    0.12339E+04    0.56681E-01    0.44254E-03    0.17806E+01
    39    0.12536E+04    0.61813E-01    0.46619E-03    0.17038E+01
    40    0.12733E+04    0.67226E-01    0.49046E-03    0.16161E+01
    41    0.12934E+04    0.72913E-01    0.51534E-03    0.15176E+01
    42    0.13134E+04    0.78902E-01    0.54082E-03    0.14073E+01
    43    0.13337E+04    0.85227E-01    0.56692E-03    0.12835E+01
    44    0.13540E+04    0.91906E-01    0.59363E-03    0.11457E+01
    45    0.13747E+04    0.98969E-01    0.62094E-03    0.99339E+00
    46    0.13957E+04    0.10643E+00    0.64886E-03    0.82432E+00
    47    0.14169E+04    0.11426E+00    0.67740E-03    0.63957E+00
