#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10797E+04    0.51546E-01    0.00000E+00    0.33640E+01    0.52304E-07    0.32923E-02   -0.15889E-04
     3    0.10192E+04    0.85671E-01    0.00000E+00    0.42286E+01    0.63706E-07    0.33018E-02   -0.19640E-04
     4    0.95999E+03    0.98020E-01    0.00000E+00    0.43782E+01    0.73523E-07    0.32364E-02   -0.19994E-04
     5    0.91383E+03    0.88588E-01    0.00000E+00    0.40920E+01    0.82050E-07    0.31392E-02   -0.17846E-04
     6    0.88057E+03    0.66809E-01    0.00000E+00    0.35934E+01    0.89487E-07    0.30282E-02   -0.14056E-04
     7    0.85803E+03    0.43458E-01    0.00000E+00    0.30277E+01    0.96029E-07    0.29126E-02   -0.94858E-05
     8    0.84348E+03    0.25540E-01    0.00000E+00    0.24810E+01    0.10182E-06    0.27973E-02   -0.49070E-05
     9    0.83551E+03    0.15060E-01    0.00000E+00    0.20060E+01    0.10697E-06    0.26848E-02   -0.93617E-06
    10    0.83243E+03    0.10500E-01    0.00000E+00    0.16300E+01    0.11155E-06    0.25772E-02    0.20179E-05
    11    0.83324E+03    0.90826E-02    0.00000E+00    0.13636E+01    0.11566E-06    0.24764E-02    0.37773E-05
    12    0.83744E+03    0.85811E-02    0.00000E+00    0.12025E+01    0.11933E-06    0.23824E-02    0.43576E-05
    13    0.84367E+03    0.78876E-02    0.00000E+00    0.11310E+01    0.12260E-06    0.22947E-02    0.39750E-05
    14    0.85154E+03    0.70121E-02    0.00000E+00    0.11287E+01    0.12554E-06    0.22134E-02    0.28948E-05
    15    0.86090E+03    0.62726E-02    0.00000E+00    0.11734E+01    0.12817E-06    0.21374E-02    0.14468E-05
    16    0.87160E+03    0.59531E-02    0.00000E+00    0.12446E+01    0.13052E-06    0.20658E-02   -0.49255E-07
    17    0.88347E+03    0.61141E-02    0.00000E+00    0.13253E+01    0.13263E-06    0.19981E-02   -0.13549E-05
    18    0.89565E+03    0.65548E-02    0.00000E+00    0.14031E+01    0.13452E-06    0.19341E-02   -0.22855E-05
    19    0.90941E+03    0.71017E-02    0.00000E+00    0.14731E+01    0.13620E-06    0.18731E-02   -0.27843E-05
    20    0.92348E+03    0.76776E-02    0.00000E+00    0.15309E+01    0.13768E-06    0.18146E-02   -0.28488E-05
    21    0.93803E+03    0.82969E-02    0.00000E+00    0.15789E+01    0.13899E-06    0.17584E-02   -0.25694E-05
    22    0.95309E+03    0.90803E-02    0.00000E+00    0.16197E+01    0.14015E-06    0.17046E-02   -0.20616E-05
    23    0.96844E+03    0.10124E-01    0.00000E+00    0.16563E+01    0.14116E-06    0.16532E-02   -0.14553E-05
    24    0.98417E+03    0.11468E-01    0.00000E+00    0.16913E+01    0.14204E-06    0.16043E-02   -0.87581E-06
    25    0.10003E+04    0.13128E-01    0.00000E+00    0.17270E+01    0.14279E-06    0.15579E-02   -0.42116E-06
    26    0.10167E+04    0.15068E-01    0.00000E+00    0.17665E+01    0.14343E-06    0.15137E-02   -0.16351E-06
    27    0.10334E+04    0.17249E-01    0.00000E+00    0.18083E+01    0.14397E-06    0.14716E-02   -0.10060E-06
    28    0.10504E+04    0.19658E-01    0.00000E+00    0.18510E+01    0.14441E-06    0.14317E-02   -0.20651E-06
    29    0.10676E+04    0.22287E-01    0.00000E+00    0.18920E+01    0.14476E-06    0.13937E-02   -0.43403E-06
    30    0.10852E+04    0.25138E-01    0.00000E+00    0.19272E+01    0.14502E-06    0.13576E-02   -0.72905E-06
    31    0.11028E+04    0.28216E-01    0.00000E+00    0.19538E+01    0.14521E-06    0.13231E-02   -0.10303E-05
    32    0.11207E+04    0.31513E-01    0.00000E+00    0.19696E+01    0.14533E-06    0.12899E-02   -0.12807E-05
