#           k/h    P           
    0.10000E-03    0.29143E+00
    0.10202E-03    0.29718E+00
    0.10408E-03    0.30305E+00
    0.10618E-03    0.30904E+00
    0.10833E-03    0.31514E+00
    0.11052E-03    0.32136E+00
    0.11275E-03    0.32771E+00
    0.11503E-03    0.33418E+00
    0.11735E-03    0.34078E+00
    0.11972E-03    0.34751E+00
    0.12214E-03    0.35437E+00
    0.12461E-03    0.36136E+00
    0.12712E-03    0.36850E+00
    0.12969E-03    0.37577E+00
    0.13231E-03    0.38319E+00
    0.13499E-03    0.39075E+00
    0.13771E-03    0.39846E+00
    0.14049E-03    0.40632E+00
    0.14333E-03    0.41434E+00
    0.14623E-03    0.42252E+00
    0.14918E-03    0.43085E+00
    0.15220E-03    0.43935E+00
    0.15527E-03    0.44802E+00
    0.15841E-03    0.45685E+00
    0.16161E-03    0.46586E+00
    0.16487E-03    0.47505E+00
    0.16820E-03    0.48441E+00
    0.17160E-03    0.49396E+00
    0.17507E-03    0.50370E+00
    0.17860E-03    0.51362E+00
    0.18221E-03    0.52374E+00
    0.18589E-03    0.53406E+00
    0.18965E-03    0.54458E+00
    0.19348E-03    0.55531E+00
    0.19739E-03    0.56625E+00
    0.20138E-03    0.57740E+00
    0.20544E-03    0.58876E+00
    0.20959E-03    0.60035E+00
    0.21383E-03    0.61217E+00
    0.21815E-03    0.62421E+00
    0.22255E-03    0.63649E+00
    0.22705E-03    0.64901E+00
    0.23164E-03    0.66177E+00
    0.23632E-03    0.67478E+00
    0.24109E-03    0.68805E+00
    0.24596E-03    0.70157E+00
    0.25093E-03    0.71535E+00
    0.25600E-03    0.72940E+00
    0.26117E-03    0.74372E+00
    0.26645E-03    0.75832E+00
    0.27183E-03    0.77320E+00
    0.27732E-03    0.78837E+00
    0.28292E-03    0.80383E+00
    0.28864E-03    0.81958E+00
    0.29447E-03    0.83565E+00
    0.30042E-03    0.85202E+00
    0.30649E-03    0.86870E+00
    0.31268E-03    0.88570E+00
    0.31899E-03    0.90303E+00
    0.32544E-03    0.92070E+00
    0.33201E-03    0.93869E+00
    0.33872E-03    0.95704E+00
    0.34556E-03    0.97573E+00
    0.35254E-03    0.99477E+00
    0.35966E-03    0.10142E+01
    0.36693E-03    0.10340E+01
    0.37434E-03    0.10541E+01
    0.38190E-03    0.10746E+01
    0.38962E-03    0.10956E+01
    0.39749E-03    0.11169E+01
    0.40552E-03    0.11386E+01
    0.41371E-03    0.11607E+01
    0.42207E-03    0.11832E+01
    0.43060E-03    0.12062E+01
    0.43929E-03    0.12296E+01
    0.44817E-03    0.12534E+01
    0.45722E-03    0.12776E+01
    0.46646E-03    0.13023E+01
    0.47588E-03    0.13275E+01
    0.48550E-03    0.13531E+01
    0.49530E-03    0.13792E+01
    0.50531E-03    0.14057E+01
    0.51552E-03    0.14328E+01
    0.52593E-03    0.14603E+01
    0.53656E-03    0.14883E+01
    0.54739E-03    0.15168E+01
    0.55845E-03    0.15459E+01
    0.56973E-03    0.15754E+01
    0.58124E-03    0.16055E+01
    0.59299E-03    0.16361E+01
    0.60496E-03    0.16672E+01
    0.61719E-03    0.16989E+01
    0.62965E-03    0.17311E+01
    0.64237E-03    0.17639E+01
    0.65535E-03    0.17973E+01
    0.66859E-03    0.18312E+01
    0.68210E-03    0.18657E+01
    0.69588E-03    0.19007E+01
    0.70993E-03    0.19364E+01
    0.72427E-03    0.19726E+01
    0.73891E-03    0.20095E+01
    0.75383E-03    0.20469E+01
    0.76906E-03    0.20849E+01
    0.78460E-03    0.21235E+01
    0.80045E-03    0.21628E+01
    0.81662E-03    0.22027E+01
    0.83311E-03    0.22431E+01
    0.84994E-03    0.22842E+01
    0.86711E-03    0.23259E+01
    0.88463E-03    0.23683E+01
    0.90250E-03    0.24112E+01
    0.92073E-03    0.24548E+01
    0.93933E-03    0.24990E+01
    0.95831E-03    0.25438E+01
    0.97767E-03    0.25892E+01
    0.99742E-03    0.26352E+01
    0.10176E-02    0.26818E+01
    0.10381E-02    0.27291E+01
    0.10591E-02    0.27769E+01
    0.10805E-02    0.28253E+01
    0.11023E-02    0.28743E+01
    0.11246E-02    0.29239E+01
    0.11473E-02    0.29740E+01
    0.11705E-02    0.30247E+01
    0.11941E-02    0.30759E+01
    0.12182E-02    0.31276E+01
    0.12429E-02    0.31798E+01
    0.12680E-02    0.32325E+01
    0.12936E-02    0.32857E+01
    0.13197E-02    0.33393E+01
    0.13464E-02    0.33933E+01
    0.13736E-02    0.34478E+01
    0.14013E-02    0.35025E+01
    0.14296E-02    0.35576E+01
    0.14585E-02    0.36130E+01
    0.14880E-02    0.36687E+01
    0.15180E-02    0.37246E+01
    0.15487E-02    0.37807E+01
    0.15800E-02    0.38369E+01
    0.16119E-02    0.38932E+01
    0.16445E-02    0.39496E+01
    0.16777E-02    0.40059E+01
    0.17116E-02    0.40622E+01
    0.17462E-02    0.41184E+01
    0.17814E-02    0.41744E+01
    0.18174E-02    0.42302E+01
    0.18541E-02    0.42857E+01
    0.18916E-02    0.43408E+01
    0.19298E-02    0.43954E+01
    0.19688E-02    0.44495E+01
    0.20086E-02    0.45031E+01
    0.20491E-02    0.45559E+01
    0.20905E-02    0.46079E+01
    0.21328E-02    0.46591E+01
    0.21758E-02    0.47093E+01
    0.22198E-02    0.47584E+01
    0.22646E-02    0.48064E+01
    0.23104E-02    0.48531E+01
    0.23571E-02    0.48985E+01
    0.24047E-02    0.49423E+01
    0.24533E-02    0.49846E+01
    0.25028E-02    0.50252E+01
    0.25534E-02    0.50640E+01
    0.26050E-02    0.51008E+01
    0.26576E-02    0.51356E+01
    0.27113E-02    0.51682E+01
    0.27660E-02    0.51985E+01
    0.28219E-02    0.52265E+01
    0.28789E-02    0.52519E+01
    0.29371E-02    0.52746E+01
    0.29964E-02    0.52947E+01
    0.30569E-02    0.53118E+01
    0.31187E-02    0.53260E+01
    0.31817E-02    0.53372E+01
    0.32460E-02    0.53452E+01
    0.33115E-02    0.53499E+01
    0.33784E-02    0.53513E+01
    0.34467E-02    0.53492E+01
    0.35163E-02    0.53437E+01
    0.35874E-02    0.53346E+01
    0.36598E-02    0.53219E+01
    0.37338E-02    0.53056E+01
    0.38092E-02    0.52857E+01
    0.38861E-02    0.52620E+01
    0.39646E-02    0.52347E+01
    0.40447E-02    0.52038E+01
    0.41264E-02    0.51692E+01
    0.42098E-02    0.51310E+01
    0.42948E-02    0.50893E+01
    0.43816E-02    0.50442E+01
    0.44701E-02    0.49956E+01
    0.45604E-02    0.49440E+01
    0.46525E-02    0.48899E+01
    0.47465E-02    0.48308E+01
    0.48424E-02    0.47686E+01
    0.49402E-02    0.47154E+01
    0.50400E-02    0.46653E+01
    0.51419E-02    0.46017E+01
    0.52457E-02    0.45308E+01
    0.53517E-02    0.44607E+01
    0.54598E-02    0.43894E+01
    0.55701E-02    0.43163E+01
    0.56826E-02    0.42421E+01
    0.57974E-02    0.41674E+01
    0.59145E-02    0.40920E+01
    0.60340E-02    0.40159E+01
    0.61559E-02    0.39402E+01
    0.62803E-02    0.38655E+01
    0.64072E-02    0.37880E+01
    0.65366E-02    0.37070E+01
    0.66686E-02    0.36296E+01
