#    L    TT             EE             TE             PP             TP          
     2    0.10797E+04    0.51546E-01    0.33640E+01    0.10850E+07    0.30689E+05
     3    0.10192E+04    0.85671E-01    0.42286E+01    0.16725E+07    0.36725E+05
     4    0.95999E+03    0.98020E-01    0.43782E+01    0.21962E+07    0.39657E+05
     5    0.91383E+03    0.88588E-01    0.40920E+01    0.26594E+07    0.40895E+05
     6    0.88057E+03    0.66809E-01    0.35934E+01    0.30686E+07    0.41152E+05
     7    0.85803E+03    0.43458E-01    0.30277E+01    0.34316E+07    0.40824E+05
     8    0.84348E+03    0.25540E-01    0.24810E+01    0.37548E+07    0.40145E+05
     9    0.83551E+03    0.15060E-01    0.20060E+01    0.40439E+07    0.39256E+05
    10    0.83243E+03    0.10500E-01    0.16300E+01    0.43027E+07    0.38255E+05
    11    0.83324E+03    0.90826E-02    0.13636E+01    0.45360E+07    0.37219E+05
    12    0.83744E+03    0.85811E-02    0.12025E+01    0.47455E+07    0.36182E+05
    13    0.84367E+03    0.78876E-02    0.11310E+01    0.49339E+07    0.35163E+05
    14    0.85154E+03    0.70121E-02    0.11287E+01    0.51041E+07    0.34177E+05
    15    0.86090E+03    0.62726E-02    0.11734E+01    0.52577E+07    0.33225E+05
    16    0.87160E+03    0.59531E-02    0.12446E+01    0.53964E+07    0.32301E+05
    17    0.88347E+03    0.61141E-02    0.13253E+01    0.55216E+07    0.31406E+05
    18    0.89565E+03    0.65548E-02    0.14031E+01    0.56349E+07    0.30541E+05
    19    0.90941E+03    0.71017E-02    0.14731E+01    0.57370E+07    0.29701E+05
    20    0.92348E+03    0.76776E-02    0.15309E+01    0.58285E+07    0.28881E+05
    21    0.93803E+03    0.82969E-02    0.15789E+01    0.59107E+07    0.28083E+05
    22    0.95309E+03    0.90803E-02    0.16197E+01    0.59847E+07    0.27308E+05
    23    0.96844E+03    0.10124E-01    0.16563E+01    0.60509E+07    0.26560E+05
    24    0.98417E+03    0.11468E-01    0.16913E+01    0.61096E+07    0.25842E+05
    25    0.10003E+04    0.13128E-01    0.17270E+01    0.61616E+07    0.25154E+05
    26    0.10167E+04    0.15068E-01    0.17665E+01    0.62076E+07    0.24495E+05
    27    0.10334E+04    0.17249E-01    0.18083E+01    0.62480E+07    0.23863E+05
    28    0.10504E+04    0.19658E-01    0.18510E+01    0.62832E+07    0.23260E+05
    29    0.10676E+04    0.22287E-01    0.18920E+01    0.63133E+07    0.22684E+05
    30    0.10852E+04    0.25138E-01    0.19272E+01    0.63390E+07    0.22133E+05
    31    0.11028E+04    0.28216E-01    0.19538E+01    0.63604E+07    0.21604E+05
    32    0.11207E+04    0.31513E-01    0.19696E+01    0.63781E+07    0.21093E+05
    33    0.11389E+04    0.35024E-01    0.19725E+01    0.63921E+07    0.20599E+05
    34    0.11574E+04    0.38753E-01    0.19616E+01    0.64027E+07    0.20123E+05
    35    0.11761E+04    0.42714E-01    0.19374E+01    0.64101E+07    0.19663E+05
    36    0.11950E+04    0.46931E-01    0.18994E+01    0.64147E+07    0.19219E+05
    37    0.12140E+04    0.51431E-01    0.18471E+01    0.64166E+07    0.18788E+05
    38    0.12332E+04    0.56242E-01    0.17820E+01    0.64159E+07    0.18368E+05
    39    0.12529E+04    0.61351E-01    0.17053E+01    0.64128E+07    0.17962E+05
    40    0.12726E+04    0.66740E-01    0.16177E+01    0.64075E+07    0.17572E+05
    41    0.12926E+04    0.72403E-01    0.15194E+01    0.64001E+07    0.17199E+05
    42    0.13126E+04    0.78368E-01    0.14091E+01    0.63909E+07    0.16844E+05
    43    0.13329E+04    0.84668E-01    0.12854E+01    0.63798E+07    0.16503E+05
    44    0.13532E+04    0.91321E-01    0.11478E+01    0.63671E+07    0.16176E+05
    45    0.13738E+04    0.98359E-01    0.99552E+00    0.63529E+07    0.15859E+05
    46    0.13948E+04    0.10580E+00    0.82655E+00    0.63372E+07    0.15552E+05
    47    0.14159E+04    0.11359E+00    0.64190E+00    0.63201E+07    0.15254E+05
    48    0.14372E+04    0.12169E+00    0.44608E+00    0.63018E+07    0.14962E+05
    49    0.14586E+04    0.13003E+00    0.24303E+00    0.62823E+07    0.14678E+05
    50    0.14806E+04    0.13851E+00    0.29874E-01    0.62617E+07    0.14398E+05
    51    0.15027E+04    0.14708E+00   -0.19774E+00    0.62402E+07    0.14124E+05
    52    0.15254E+04    0.15588E+00   -0.44462E+00    0.62177E+07    0.13856E+05
    53    0.15481E+04    0.16513E+00   -0.71379E+00    0.61943E+07    0.13595E+05
    54    0.15707E+04    0.17490E+00   -0.10003E+01    0.61701E+07    0.13343E+05
    55    0.15934E+04    0.18525E+00   -0.12992E+01    0.61451E+07    0.13102E+05
    56    0.16165E+04    0.19608E+00   -0.16116E+01    0.61194E+07    0.12872E+05
    57    0.16399E+04    0.20722E+00   -0.19370E+01    0.60931E+07    0.12652E+05
    58    0.16636E+04    0.21860E+00   -0.22758E+01    0.60662E+07    0.12440E+05
    59    0.16875E+04    0.23017E+00   -0.26283E+01    0.60387E+07    0.12234E+05
    60    0.17117E+04    0.24189E+00   -0.29936E+01    0.60108E+07    0.12033E+05
    61    0.17364E+04    0.25382E+00   -0.33708E+01    0.59823E+07    0.11835E+05
    62    0.17611E+04    0.26597E+00   -0.37620E+01    0.59535E+07    0.11640E+05
    63    0.17860E+04    0.27837E+00   -0.41697E+01    0.59243E+07    0.11448E+05
    64    0.18113E+04    0.29113E+00   -0.45969E+01    0.58947E+07    0.11260E+05
    65    0.18366E+04    0.30427E+00   -0.50456E+01    0.58648E+07    0.11076E+05
    66    0.18622E+04    0.31778E+00   -0.55149E+01    0.58346E+07    0.10897E+05
    67    0.18880E+04    0.33163E+00   -0.60001E+01    0.58041E+07    0.10722E+05
    68    0.19142E+04    0.34578E+00   -0.64969E+01    0.57735E+07    0.10553E+05
    69    0.19407E+04    0.36012E+00   -0.70010E+01    0.57426E+07    0.10391E+05
    70    0.19677E+04    0.37464E+00   -0.75115E+01    0.57115E+07    0.10235E+05
    71    0.19950E+04    0.38926E+00   -0.80290E+01    0.56803E+07    0.10087E+05
    72    0.20226E+04    0.40399E+00   -0.85562E+01    0.56490E+07    0.99441E+04
    73    0.20504E+04    0.41883E+00   -0.90959E+01    0.56175E+07    0.98056E+04
    74    0.20783E+04    0.43380E+00   -0.96496E+01    0.55860E+07    0.96695E+04
    75    0.21066E+04    0.44896E+00   -0.10218E+02    0.55544E+07    0.95343E+04
    76    0.21350E+04    0.46433E+00   -0.10802E+02    0.55227E+07    0.93987E+04
    77    0.21637E+04    0.47990E+00   -0.11400E+02    0.54909E+07    0.92632E+04
    78    0.21927E+04    0.49568E+00   -0.12011E+02    0.54591E+07    0.91291E+04
    79    0.22219E+04    0.51161E+00   -0.12629E+02    0.54274E+07    0.89972E+04
    80    0.22515E+04    0.52767E+00   -0.13255E+02    0.53956E+07    0.88686E+04
    81    0.22813E+04    0.54379E+00   -0.13886E+02    0.53638E+07    0.87442E+04
    82    0.23115E+04    0.56000E+00   -0.14523E+02    0.53321E+07    0.86241E+04
    83    0.23420E+04    0.57624E+00   -0.15166E+02    0.53004E+07    0.85080E+04
    84    0.23728E+04    0.59250E+00   -0.15817E+02    0.52688E+07    0.83958E+04
    85    0.24038E+04    0.60875E+00   -0.16476E+02    0.52372E+07    0.82874E+04
    86    0.24350E+04    0.62499E+00   -0.17145E+02    0.52057E+07    0.81826E+04
    87    0.24668E+04    0.64119E+00   -0.17821E+02    0.51743E+07    0.80809E+04
    88    0.24986E+04    0.65736E+00   -0.18505E+02    0.51430E+07    0.79819E+04
    89    0.25308E+04    0.67350E+00   -0.19196E+02    0.51118E+07    0.78852E+04
    90    0.25632E+04    0.68957E+00   -0.19890E+02    0.50807E+07    0.77901E+04
    91    0.25958E+04    0.70557E+00   -0.20589E+02    0.50497E+07    0.76964E+04
    92    0.26287E+04    0.72148E+00   -0.21289E+02    0.50188E+07    0.76039E+04
    93    0.26620E+04    0.73730E+00   -0.21993E+02    0.49880E+07    0.75127E+04
    94    0.26953E+04    0.75297E+00   -0.22697E+02    0.49574E+07    0.74228E+04
    95    0.27289E+04    0.76851E+00   -0.23403E+02    0.49269E+07    0.73341E+04
    96    0.27626E+04    0.78389E+00   -0.24110E+02    0.48966E+07    0.72467E+04
    97    0.27967E+04    0.79909E+00   -0.24817E+02    0.48663E+07    0.71606E+04
    98    0.28310E+04    0.81410E+00   -0.25521E+02    0.48363E+07    0.70758E+04
    99    0.28654E+04    0.82890E+00   -0.26226E+02    0.48063E+07    0.69922E+04
   100    0.29001E+04    0.84346E+00   -0.26927E+02    0.47765E+07    0.69100E+04
   101    0.29350E+04    0.85785E+00   -0.27627E+02    0.47469E+07    0.68291E+04
