#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10797E+04    0.33640E+01    0.13441E-02    0.33640E+01    0.51546E-01   -0.64867E-05    0.13441E-02   -0.64867E-05    0.87173E-08
     3    0.10192E+04    0.42286E+01    0.95314E-03    0.42286E+01    0.85671E-01   -0.56695E-05    0.95314E-03   -0.56695E-05    0.53089E-08
     4    0.95999E+03    0.43782E+01    0.72368E-03    0.43782E+01    0.98020E-01   -0.44708E-05    0.72368E-03   -0.44708E-05    0.36761E-08
     5    0.91383E+03    0.40920E+01    0.57313E-03    0.40920E+01    0.88588E-01   -0.32582E-05    0.57313E-03   -0.32582E-05    0.27350E-08
     6    0.88057E+03    0.35934E+01    0.46727E-03    0.35934E+01    0.66809E-01   -0.21689E-05    0.46727E-03   -0.21689E-05    0.21306E-08
     7    0.85803E+03    0.30277E+01    0.38921E-03    0.30277E+01    0.43458E-01   -0.12676E-05    0.38921E-03   -0.12676E-05    0.17148E-08
     8    0.84348E+03    0.24810E+01    0.32966E-03    0.24810E+01    0.25540E-01   -0.57829E-06    0.32966E-03   -0.57829E-06    0.14141E-08
     9    0.83551E+03    0.20060E+01    0.28300E-03    0.20060E+01    0.15060E-01   -0.98681E-07    0.28300E-03   -0.98681E-07    0.11885E-08
    10    0.83243E+03    0.16300E+01    0.24573E-03    0.16300E+01    0.10500E-01    0.19239E-06    0.24573E-03    0.19239E-06    0.10141E-08
    11    0.83324E+03    0.13636E+01    0.21554E-03    0.13636E+01    0.90826E-02    0.32877E-06    0.21554E-03    0.32877E-06    0.87620E-09
    12    0.83744E+03    0.12025E+01    0.19072E-03    0.12025E+01    0.85811E-02    0.34978E-06    0.19072E-03    0.34978E-06    0.76479E-09
    13    0.84367E+03    0.11310E+01    0.17010E-03    0.11310E+01    0.78876E-02    0.29465E-06    0.17010E-03    0.29465E-06    0.67363E-09
    14    0.85154E+03    0.11287E+01    0.15273E-03    0.11287E+01    0.70121E-02    0.20003E-06    0.15273E-03    0.20003E-06    0.59777E-09
    15    0.86090E+03    0.11734E+01    0.13797E-03    0.11734E+01    0.62726E-02    0.93390E-07    0.13797E-03    0.93390E-07    0.53404E-09
    16    0.87160E+03    0.12446E+01    0.12525E-03    0.12446E+01    0.59531E-02   -0.28979E-08    0.12525E-03   -0.28979E-08    0.47985E-09
    17    0.88347E+03    0.13253E+01    0.11423E-03    0.13253E+01    0.61141E-02   -0.77454E-07    0.11423E-03   -0.77454E-07    0.43343E-09
    18    0.89565E+03    0.14031E+01    0.10458E-03    0.14031E+01    0.65548E-02   -0.12365E-06    0.10458E-03   -0.12365E-06    0.39332E-09
    19    0.90941E+03    0.14731E+01    0.96087E-04    0.14731E+01    0.71017E-02   -0.14283E-06    0.96087E-04   -0.14283E-06    0.35841E-09
    20    0.92348E+03    0.15309E+01    0.88541E-04    0.15309E+01    0.76776E-02   -0.13910E-06    0.88541E-04   -0.13910E-06    0.32780E-09
    21    0.93803E+03    0.15789E+01    0.81809E-04    0.15789E+01    0.82969E-02   -0.11954E-06    0.81809E-04   -0.11954E-06    0.30084E-09
    22    0.95309E+03    0.16197E+01    0.75778E-04    0.16197E+01    0.90803E-02   -0.91698E-07    0.75778E-04   -0.91698E-07    0.27696E-09
    23    0.96844E+03    0.16563E+01    0.70365E-04    0.16563E+01    0.10124E-01   -0.61942E-07    0.70365E-04   -0.61942E-07    0.25573E-09
    24    0.98417E+03    0.16913E+01    0.65496E-04    0.16913E+01    0.11468E-01   -0.35783E-07    0.65496E-04   -0.35783E-07    0.23673E-09
    25    0.10003E+04    0.17270E+01    0.61105E-04    0.17270E+01    0.13128E-01   -0.16519E-07    0.61105E-04   -0.16519E-07    0.21967E-09
    26    0.10167E+04    0.17665E+01    0.57129E-04    0.17665E+01    0.15068E-01   -0.61437E-08    0.57129E-04   -0.61437E-08    0.20431E-09
    27    0.10334E+04    0.18083E+01    0.53522E-04    0.18083E+01    0.17249E-01   -0.36588E-08    0.53522E-04   -0.36588E-08    0.19043E-09
    28    0.10504E+04    0.18510E+01    0.50241E-04    0.18510E+01    0.19658E-01   -0.72359E-08    0.50241E-04   -0.72359E-08    0.17784E-09
    29    0.10676E+04    0.18920E+01    0.47251E-04    0.18920E+01    0.22287E-01   -0.14715E-07    0.47251E-04   -0.14715E-07    0.16639E-09
    30    0.10852E+04    0.19272E+01    0.44518E-04    0.19272E+01    0.25138E-01   -0.23891E-07    0.44518E-04   -0.23891E-07    0.15593E-09
    31    0.11028E+04    0.19538E+01    0.42009E-04    0.19538E+01    0.28216E-01   -0.32713E-07    0.42009E-04   -0.32713E-07    0.14638E-09
    32    0.11207E+04    0.19696E+01    0.39694E-04    0.19696E+01    0.31513E-01   -0.39408E-07    0.39694E-04   -0.39408E-07    0.13762E-09
    33    0.11389E+04    0.19725E+01    0.37555E-04    0.19725E+01    0.35024E-01   -0.43154E-07    0.37555E-04   -0.43154E-07    0.12957E-09
    34    0.11574E+04    0.19616E+01    0.35577E-04    0.19616E+01    0.38753E-01   -0.43588E-07    0.35577E-04   -0.43588E-07    0.12216E-09
    35    0.11761E+04    0.19374E+01    0.33744E-04    0.19374E+01    0.42714E-01   -0.41226E-07    0.33744E-04   -0.41226E-07    0.11532E-09
    36    0.11950E+04    0.18994E+01    0.32041E-04    0.18994E+01    0.46931E-01   -0.36838E-07    0.32041E-04   -0.36838E-07    0.10899E-09
    37    0.12140E+04    0.18471E+01    0.30453E-04    0.18471E+01    0.51431E-01   -0.31320E-07    0.30453E-04   -0.31320E-07    0.10314E-09
    38    0.12332E+04    0.17820E+01    0.28969E-04    0.17820E+01    0.56242E-01   -0.25544E-07    0.28969E-04   -0.25544E-07    0.97700E-10
    39    0.12529E+04    0.17053E+01    0.27584E-04    0.17053E+01    0.61351E-01   -0.20144E-07    0.27584E-04   -0.20144E-07    0.92649E-10
    40    0.12726E+04    0.16177E+01    0.26293E-04    0.16177E+01    0.66740E-01   -0.15695E-07    0.26293E-04   -0.15695E-07    0.87946E-10
    41    0.12926E+04    0.15194E+01    0.25093E-04    0.15194E+01    0.72403E-01   -0.12625E-07    0.25093E-04   -0.12625E-07    0.83560E-10
    42    0.13126E+04    0.14091E+01    0.23974E-04    0.14091E+01    0.78368E-01   -0.10760E-07    0.23974E-04   -0.10760E-07    0.79465E-10
    43    0.13329E+04    0.12854E+01    0.22931E-04    0.12854E+01    0.84668E-01   -0.97802E-08    0.22931E-04   -0.97802E-08    0.75640E-10
    44    0.13532E+04    0.11478E+01    0.21955E-04    0.11478E+01    0.91321E-01   -0.93631E-08    0.21955E-04   -0.93631E-08    0.72063E-10
    45    0.13738E+04    0.99552E+00    0.21038E-04    0.99552E+00    0.98359E-01   -0.91873E-08    0.21038E-04   -0.91873E-08    0.68710E-10
    46    0.13948E+04    0.82655E+00    0.20172E-04    0.82655E+00    0.10580E+00   -0.89969E-08    0.20172E-04   -0.89969E-08    0.65561E-10
    47    0.14159E+04    0.64190E+00    0.19355E-04    0.64190E+00    0.11359E+00   -0.87996E-08    0.19355E-04   -0.87996E-08    0.62603E-10
    48    0.14372E+04    0.44608E+00    0.18581E-04    0.44608E+00    0.12169E+00   -0.86685E-08    0.18581E-04   -0.86685E-08    0.59821E-10
    49    0.14586E+04    0.24303E+00    0.17848E-04    0.24303E+00    0.13003E+00   -0.86770E-08    0.17848E-04   -0.86770E-08    0.57204E-10
    50    0.14806E+04    0.29874E-01    0.17152E-04    0.29874E-01    0.13851E+00   -0.88985E-08    0.17152E-04   -0.88985E-08    0.54737E-10
    51    0.15027E+04   -0.19774E+00    0.16489E-04   -0.19774E+00    0.14708E+00   -0.93694E-08    0.16489E-04   -0.93694E-08    0.52410E-10
    52    0.15254E+04   -0.44462E+00    0.15859E-04   -0.44462E+00    0.15588E+00   -0.99795E-08    0.15859E-04   -0.99795E-08    0.50212E-10
    53    0.15481E+04   -0.71379E+00    0.15262E-04   -0.71379E+00    0.16513E+00   -0.10582E-07    0.15262E-04   -0.10582E-07    0.48136E-10
    54    0.15707E+04   -0.10003E+01    0.14697E-04   -0.10003E+01    0.17490E+00   -0.11029E-07    0.14697E-04   -0.11029E-07    0.46173E-10
    55    0.15934E+04   -0.12992E+01    0.14163E-04   -0.12992E+01    0.18525E+00   -0.11175E-07    0.14163E-04   -0.11175E-07    0.44316E-10
    56    0.16165E+04   -0.16116E+01    0.13661E-04   -0.16116E+01    0.19608E+00   -0.10923E-07    0.13661E-04   -0.10923E-07    0.42555E-10
    57    0.16399E+04   -0.19370E+01    0.13188E-04   -0.19370E+01    0.20722E+00   -0.10383E-07    0.13188E-04   -0.10383E-07    0.40885E-10
    58    0.16636E+04   -0.22758E+01    0.12740E-04   -0.22758E+01    0.21860E+00   -0.97135E-08    0.12740E-04   -0.97135E-08    0.39301E-10
    59    0.16875E+04   -0.26283E+01    0.12313E-04   -0.26283E+01    0.23017E+00   -0.90763E-08    0.12313E-04   -0.90763E-08    0.37798E-10
    60    0.17117E+04   -0.29936E+01    0.11906E-04   -0.29936E+01    0.24189E+00   -0.86310E-08    0.11906E-04   -0.86310E-08    0.36369E-10
    61    0.17364E+04   -0.33708E+01    0.11515E-04   -0.33708E+01    0.25382E+00   -0.85003E-08    0.11515E-04   -0.85003E-08    0.35011E-10
    62    0.17611E+04   -0.37620E+01    0.11140E-04   -0.37620E+01    0.26597E+00   -0.86567E-08    0.11140E-04   -0.86567E-08    0.33718E-10
    63    0.17860E+04   -0.41697E+01    0.10780E-04   -0.41697E+01    0.27837E+00   -0.90352E-08    0.10780E-04   -0.90352E-08    0.32487E-10
    64    0.18113E+04   -0.45969E+01    0.10434E-04   -0.45969E+01    0.29113E+00   -0.95707E-08    0.10434E-04   -0.95707E-08    0.31315E-10
    65    0.18366E+04   -0.50456E+01    0.10104E-04   -0.50456E+01    0.30427E+00   -0.10198E-07    0.10104E-04   -0.10198E-07    0.30198E-10
    66    0.18622E+04   -0.55149E+01    0.97870E-05   -0.55149E+01    0.31778E+00   -0.10849E-07    0.97870E-05   -0.10849E-07    0.29133E-10
    67    0.18880E+04   -0.60001E+01    0.94846E-05   -0.60001E+01    0.33163E+00   -0.11445E-07    0.94846E-05   -0.11445E-07    0.28116E-10
    68    0.19142E+04   -0.64969E+01    0.91961E-05   -0.64969E+01    0.34578E+00   -0.11904E-07    0.91961E-05   -0.11904E-07    0.27145E-10
    69    0.19407E+04   -0.70010E+01    0.89214E-05   -0.70010E+01    0.36012E+00   -0.12143E-07    0.89214E-05   -0.12143E-07    0.26217E-10
    70    0.19677E+04   -0.75115E+01    0.86604E-05   -0.75115E+01    0.37464E+00   -0.12080E-07    0.86604E-05   -0.12080E-07    0.25331E-10
    71    0.19950E+04   -0.80290E+01    0.84126E-05   -0.80290E+01    0.38926E+00   -0.11671E-07    0.84126E-05   -0.11671E-07    0.24483E-10
