#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.347021E-05   0.506753E+06   0.506753E+06   0.675670E+06   0.675670E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.813248E-01
   0.358756E-05   0.506753E+06   0.506753E+06   0.675670E+06   0.675670E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.840750E-01
   0.370888E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.869181E-01
   0.383431E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.898575E-01
   0.396397E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.928962E-01
   0.409802E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.960377E-01
   0.423661E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.992854E-01
   0.437988E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.102643E+00
   0.452799E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.106114E+00
   0.468111E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.109703E+00
   0.483942E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.113412E+00
   0.500307E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.117248E+00
   0.517226E-05   0.506753E+06   0.506753E+06   0.675669E+06   0.675669E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.121213E+00
   0.534717E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.125312E+00
   0.552800E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.129549E+00
   0.571494E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.133930E+00
   0.590820E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.138459E+00
   0.610800E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.143142E+00
   0.631456E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675668E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.147982E+00
   0.652810E-05   0.506753E+06   0.506753E+06   0.675668E+06   0.675667E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.152987E+00
   0.674886E-05   0.506753E+06   0.506753E+06   0.675667E+06   0.675667E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.158160E+00
   0.697708E-05   0.506753E+06   0.506753E+06   0.675667E+06   0.675667E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.163509E+00
   0.721303E-05   0.506753E+06   0.506753E+06   0.675667E+06   0.675667E+06   0.511614E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.169038E+00
   0.745695E-05   0.506753E+06   0.506753E+06   0.675667E+06   0.675666E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.174755E+00
   0.770913E-05   0.506753E+06   0.506753E+06   0.675666E+06   0.675666E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.180664E+00
   0.796983E-05   0.506753E+06   0.506753E+06   0.675666E+06   0.675666E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.186774E+00
   0.823934E-05   0.506753E+06   0.506753E+06   0.675666E+06   0.675666E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.193090E+00
   0.851798E-05   0.506753E+06   0.506753E+06   0.675666E+06   0.675665E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.199620E+00
   0.880603E-05   0.506753E+06   0.506753E+06   0.675665E+06   0.675665E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.206370E+00
   0.910382E-05   0.506753E+06   0.506753E+06   0.675665E+06   0.675665E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.213349E+00
   0.941169E-05   0.506753E+06   0.506753E+06   0.675665E+06   0.675664E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.220564E+00
   0.972997E-05   0.506753E+06   0.506753E+06   0.675664E+06   0.675664E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.228023E+00
   0.100590E-04   0.506753E+06   0.506753E+06   0.675664E+06   0.675663E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.235734E+00
   0.103992E-04   0.506753E+06   0.506753E+06   0.675663E+06   0.675663E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.243706E+00
   0.107508E-04   0.506753E+06   0.506753E+06   0.675663E+06   0.675662E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.251947E+00
   0.111144E-04   0.506753E+06   0.506753E+06   0.675662E+06   0.675662E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.260467E+00
   0.114903E-04   0.506753E+06   0.506753E+06   0.675662E+06   0.675661E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.269276E+00
   0.118788E-04   0.506753E+06   0.506752E+06   0.675661E+06   0.675660E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.278382E+00
   0.122805E-04   0.506753E+06   0.506752E+06   0.675660E+06   0.675660E+06   0.511612E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.287796E+00
   0.126958E-04   0.506752E+06   0.506752E+06   0.675660E+06   0.675659E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.297528E+00
   0.131252E-04   0.506752E+06   0.506752E+06   0.675659E+06   0.675658E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.307590E+00
