#    L    TT             EE             BB             TE          
     2    0.10555E+04    0.49363E-01    0.13663E-05    0.33369E+01
     3    0.10011E+04    0.83525E-01    0.27363E-05    0.42081E+01
     4    0.94608E+03    0.97456E-01    0.45688E-05    0.43802E+01
     5    0.90281E+03    0.90020E-01    0.68679E-05    0.41205E+01
     6    0.87149E+03    0.69547E-01    0.96383E-05    0.36448E+01
     7    0.85026E+03    0.46382E-01    0.12885E-04    0.30954E+01
     8    0.83657E+03    0.27785E-01    0.16612E-04    0.25567E+01
     9    0.82921E+03    0.16341E-01    0.20824E-04    0.20820E+01
    10    0.82650E+03    0.11031E-01    0.25524E-04    0.16992E+01
    11    0.82756E+03    0.92768E-02    0.30713E-04    0.14213E+01
    12    0.83190E+03    0.87704E-02    0.36393E-04    0.12470E+01
    13    0.83818E+03    0.82046E-02    0.42564E-04    0.11629E+01
    14    0.84602E+03    0.74115E-02    0.49225E-04    0.11508E+01
    15    0.85530E+03    0.66807E-02    0.56373E-04    0.11898E+01
    16    0.86585E+03    0.63165E-02    0.64006E-04    0.12599E+01
    17    0.87751E+03    0.64433E-02    0.72122E-04    0.13433E+01
    18    0.88944E+03    0.69169E-02    0.80719E-04    0.14268E+01
    19    0.90291E+03    0.75457E-02    0.89793E-04    0.15046E+01
    20    0.91662E+03    0.82174E-02    0.99345E-04    0.15710E+01
    21    0.93076E+03    0.89151E-02    0.10937E-03    0.16264E+01
    22    0.94538E+03    0.97390E-02    0.11988E-03    0.16720E+01
    23    0.96025E+03    0.10800E-01    0.13086E-03    0.17115E+01
    24    0.97547E+03    0.12162E-01    0.14233E-03    0.17490E+01
    25    0.99106E+03    0.13852E-01    0.15429E-03    0.17863E+01
    26    0.10069E+04    0.15848E-01    0.16673E-03    0.18260E+01
    27    0.10230E+04    0.18110E-01    0.17967E-03    0.18670E+01
    28    0.10393E+04    0.20624E-01    0.19311E-03    0.19086E+01
    29    0.10559E+04    0.23376E-01    0.20706E-03    0.19491E+01
    30    0.10727E+04    0.26365E-01    0.22152E-03    0.19851E+01
    31    0.10896E+04    0.29596E-01    0.23649E-03    0.20143E+01
    32    0.11067E+04    0.33063E-01    0.25197E-03    0.20345E+01
    33    0.11242E+04    0.36752E-01    0.26798E-03    0.20418E+01
    34    0.11418E+04    0.40664E-01    0.28450E-03    0.20340E+01
    35    0.11597E+04    0.44824E-01    0.30153E-03    0.20119E+01
    36    0.11777E+04    0.49258E-01    0.31907E-03    0.19762E+01
    37    0.11959E+04    0.53962E-01    0.33713E-03    0.19268E+01
    38    0.12143E+04    0.58935E-01    0.35569E-03    0.18652E+01
    39    0.12330E+04    0.64204E-01    0.37474E-03    0.17914E+01
    40    0.12518E+04    0.69807E-01    0.39430E-03    0.17048E+01
    41    0.12709E+04    0.75777E-01    0.41434E-03    0.16048E+01
    42    0.12900E+04    0.82108E-01    0.43488E-03    0.14912E+01
    43    0.13093E+04    0.88779E-01    0.45591E-03    0.13641E+01
    44    0.13287E+04    0.95757E-01    0.47742E-03    0.12245E+01
    45    0.13485E+04    0.10302E+00    0.49942E-03    0.10733E+01
    46    0.13686E+04    0.11055E+00    0.52191E-03    0.90929E+00
    47    0.13889E+04    0.11837E+00    0.54489E-03    0.73204E+00
    48    0.14094E+04    0.12651E+00    0.56836E-03    0.54393E+00
