#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10555E+04    0.49362E-01    0.00000E+00    0.33369E+01    0.53169E-07    0.31838E-02   -0.15570E-04
     3    0.10011E+04    0.83522E-01    0.00000E+00    0.42081E+01    0.64734E-07    0.32057E-02   -0.19407E-04
     4    0.94607E+03    0.97451E-01    0.00000E+00    0.43802E+01    0.74687E-07    0.31502E-02   -0.19980E-04
     5    0.90279E+03    0.90013E-01    0.00000E+00    0.41205E+01    0.83327E-07    0.30611E-02   -0.18104E-04
     6    0.87146E+03    0.69538E-01    0.00000E+00    0.36448E+01    0.90853E-07    0.29568E-02   -0.14572E-04
     7    0.85023E+03    0.46369E-01    0.00000E+00    0.30954E+01    0.97464E-07    0.28463E-02   -0.10188E-04
     8    0.83653E+03    0.27768E-01    0.00000E+00    0.25567E+01    0.10330E-06    0.27349E-02   -0.56879E-05
     9    0.82916E+03    0.16321E-01    0.00000E+00    0.20820E+01    0.10848E-06    0.26253E-02   -0.16795E-05
    10    0.82644E+03    0.11005E-01    0.00000E+00    0.16993E+01    0.11308E-06    0.25199E-02    0.14116E-05
    11    0.82749E+03    0.92461E-02    0.00000E+00    0.14213E+01    0.11719E-06    0.24205E-02    0.33755E-05
    12    0.83182E+03    0.87340E-02    0.00000E+00    0.12470E+01    0.12085E-06    0.23270E-02    0.41911E-05
    13    0.83809E+03    0.81621E-02    0.00000E+00    0.11630E+01    0.12410E-06    0.22395E-02    0.40306E-05
    14    0.84592E+03    0.73623E-02    0.00000E+00    0.11509E+01    0.12700E-06    0.21584E-02    0.31197E-05
    15    0.85518E+03    0.66244E-02    0.00000E+00    0.11899E+01    0.12958E-06    0.20823E-02    0.17676E-05
    16    0.86572E+03    0.62525E-02    0.00000E+00    0.12600E+01    0.13188E-06    0.20104E-02    0.28331E-06
    17    0.87736E+03    0.63713E-02    0.00000E+00    0.13434E+01    0.13392E-06    0.19424E-02   -0.10862E-05
    18    0.88928E+03    0.68363E-02    0.00000E+00    0.14269E+01    0.13574E-06    0.18782E-02   -0.21398E-05
    19    0.90273E+03    0.74561E-02    0.00000E+00    0.15047E+01    0.13733E-06    0.18171E-02   -0.27896E-05
    20    0.91642E+03    0.81182E-02    0.00000E+00    0.15712E+01    0.13873E-06    0.17581E-02   -0.30016E-05
    21    0.93054E+03    0.88059E-02    0.00000E+00    0.16266E+01    0.13994E-06    0.17014E-02   -0.28431E-05
    22    0.94514E+03    0.96192E-02    0.00000E+00    0.16722E+01    0.14100E-06    0.16470E-02   -0.24130E-05
