#           k/h    P           
    0.10000E-03    0.25198E+00
    0.10202E-03    0.25696E+00
    0.10408E-03    0.26204E+00
    0.10618E-03    0.26722E+00
    0.10833E-03    0.27251E+00
    0.11052E-03    0.27789E+00
    0.11275E-03    0.28339E+00
    0.11503E-03    0.28899E+00
    0.11735E-03    0.29470E+00
    0.11972E-03    0.30053E+00
    0.12214E-03    0.30647E+00
    0.12461E-03    0.31253E+00
    0.12712E-03    0.31870E+00
    0.12969E-03    0.32500E+00
    0.13231E-03    0.33143E+00
    0.13499E-03    0.33798E+00
    0.13771E-03    0.34466E+00
    0.14049E-03    0.35147E+00
    0.14333E-03    0.35842E+00
    0.14623E-03    0.36550E+00
    0.14918E-03    0.37273E+00
    0.15220E-03    0.38010E+00
    0.15527E-03    0.38761E+00
    0.15841E-03    0.39527E+00
    0.16161E-03    0.40308E+00
    0.16487E-03    0.41105E+00
    0.16820E-03    0.41917E+00
    0.17160E-03    0.42746E+00
    0.17507E-03    0.43590E+00
    0.17860E-03    0.44452E+00
    0.18221E-03    0.45330E+00
    0.18589E-03    0.46226E+00
    0.18965E-03    0.47139E+00
    0.19348E-03    0.48071E+00
    0.19739E-03    0.49021E+00
    0.20138E-03    0.49989E+00
    0.20544E-03    0.50977E+00
    0.20959E-03    0.51984E+00
    0.21383E-03    0.53011E+00
    0.21815E-03    0.54059E+00
    0.22255E-03    0.55127E+00
    0.22705E-03    0.56216E+00
    0.23164E-03    0.57326E+00
    0.23632E-03    0.58459E+00
    0.24109E-03    0.59613E+00
    0.24596E-03    0.60791E+00
    0.25093E-03    0.61992E+00
    0.25600E-03    0.63216E+00
    0.26117E-03    0.64464E+00
    0.26645E-03    0.65737E+00
    0.27183E-03    0.67036E+00
    0.27732E-03    0.68359E+00
    0.28292E-03    0.69709E+00
    0.28864E-03    0.71086E+00
    0.29447E-03    0.72489E+00
    0.30042E-03    0.73920E+00
    0.30649E-03    0.75379E+00
    0.31268E-03    0.76867E+00
    0.31899E-03    0.78385E+00
    0.32544E-03    0.79932E+00
    0.33201E-03    0.81509E+00
    0.33872E-03    0.83118E+00
    0.34556E-03    0.84758E+00
    0.35254E-03    0.86430E+00
    0.35966E-03    0.88135E+00
    0.36693E-03    0.89874E+00
    0.37434E-03    0.91647E+00
    0.38190E-03    0.93454E+00
    0.38962E-03    0.95297E+00
    0.39749E-03    0.97176E+00
    0.40552E-03    0.99092E+00
    0.41371E-03    0.10105E+01
    0.42207E-03    0.10304E+01
    0.43060E-03    0.10507E+01
    0.43929E-03    0.10714E+01
    0.44817E-03    0.10925E+01
    0.45722E-03    0.11140E+01
    0.46646E-03    0.11360E+01
    0.47588E-03    0.11583E+01
    0.48550E-03    0.11812E+01
    0.49530E-03    0.12044E+01
    0.50531E-03    0.12281E+01
