#           k/h    P           
    0.10000E-03    0.25186E+00
    0.10202E-03    0.25683E+00
    0.10408E-03    0.26191E+00
    0.10618E-03    0.26709E+00
    0.10833E-03    0.27237E+00
    0.11052E-03    0.27775E+00
    0.11275E-03    0.28324E+00
    0.11503E-03    0.28884E+00
    0.11735E-03    0.29455E+00
    0.11972E-03    0.30038E+00
    0.12214E-03    0.30631E+00
    0.12461E-03    0.31237E+00
    0.12712E-03    0.31854E+00
    0.12969E-03    0.32484E+00
    0.13231E-03    0.33126E+00
    0.13499E-03    0.33781E+00
    0.13771E-03    0.34449E+00
    0.14049E-03    0.35130E+00
    0.14333E-03    0.35824E+00
    0.14623E-03    0.36532E+00
    0.14918E-03    0.37254E+00
    0.15220E-03    0.37991E+00
    0.15527E-03    0.38741E+00
    0.15841E-03    0.39507E+00
    0.16161E-03    0.40288E+00
    0.16487E-03    0.41084E+00
    0.16820E-03    0.41896E+00
    0.17160E-03    0.42724E+00
    0.17507E-03    0.43568E+00
    0.17860E-03    0.44429E+00
    0.18221E-03    0.45307E+00
    0.18589E-03    0.46203E+00
    0.18965E-03    0.47116E+00
    0.19348E-03    0.48047E+00
    0.19739E-03    0.48996E+00
    0.20138E-03    0.49964E+00
    0.20544E-03    0.50952E+00
    0.20959E-03    0.51958E+00
    0.21383E-03    0.52985E+00
    0.21815E-03    0.54032E+00
    0.22255E-03    0.55099E+00
    0.22705E-03    0.56188E+00
    0.23164E-03    0.57297E+00
    0.23632E-03    0.58429E+00
    0.24109E-03    0.59583E+00
    0.24596E-03    0.60760E+00
    0.25093E-03    0.61961E+00
    0.25600E-03    0.63184E+00
    0.26117E-03    0.64432E+00
    0.26645E-03    0.65705E+00
    0.27183E-03    0.67002E+00
    0.27732E-03    0.68325E+00
    0.28292E-03    0.69674E+00
    0.28864E-03    0.71050E+00
    0.29447E-03    0.72453E+00
    0.30042E-03    0.73883E+00
    0.30649E-03    0.75342E+00
    0.31268E-03    0.76829E+00
    0.31899E-03    0.78345E+00
    0.32544E-03    0.79892E+00
    0.33201E-03    0.81468E+00
    0.33872E-03    0.83076E+00
    0.34556E-03    0.84715E+00
    0.35254E-03    0.86387E+00
    0.35966E-03    0.88091E+00
    0.36693E-03    0.89829E+00
    0.37434E-03    0.91601E+00
    0.38190E-03    0.93407E+00
    0.38962E-03    0.95249E+00
    0.39749E-03    0.97128E+00
    0.40552E-03    0.99043E+00
    0.41371E-03    0.10100E+01
    0.42207E-03    0.10299E+01
    0.43060E-03    0.10502E+01
    0.43929E-03    0.10709E+01
    0.44817E-03    0.10920E+01
    0.45722E-03    0.11135E+01
    0.46646E-03    0.11354E+01
    0.47588E-03    0.11578E+01
    0.48550E-03    0.11806E+01
    0.49530E-03    0.12038E+01
    0.50531E-03    0.12275E+01
    0.51552E-03    0.12517E+01
    0.52593E-03    0.12763E+01
    0.53656E-03    0.13014E+01
    0.54739E-03    0.13270E+01
    0.55845E-03    0.13531E+01
    0.56973E-03    0.13797E+01
    0.58124E-03    0.14068E+01
    0.59299E-03    0.14345E+01
    0.60496E-03    0.14627E+01
    0.61719E-03    0.14914E+01
    0.62965E-03    0.15207E+01
    0.64237E-03    0.15505E+01
    0.65535E-03    0.15810E+01
    0.66859E-03    0.16120E+01
    0.68210E-03    0.16436E+01
    0.69588E-03    0.16758E+01
    0.70993E-03    0.17087E+01
    0.72427E-03    0.17422E+01
    0.73891E-03    0.17763E+01
    0.75383E-03    0.18111E+01
    0.76906E-03    0.18465E+01
    0.78460E-03    0.18827E+01
    0.80045E-03    0.19195E+01
    0.81662E-03    0.19570E+01
    0.83311E-03    0.19952E+01
    0.84994E-03    0.20342E+01
    0.86711E-03    0.20739E+01
    0.88463E-03    0.21143E+01
    0.90250E-03    0.21556E+01
    0.92073E-03    0.21976E+01
    0.93933E-03    0.22404E+01
    0.95831E-03    0.22840E+01
    0.97767E-03    0.23284E+01
    0.99742E-03    0.23737E+01
    0.10176E-02    0.24198E+01
    0.10381E-02    0.24667E+01
    0.10591E-02    0.25146E+01
    0.10805E-02    0.25633E+01
    0.11023E-02    0.26129E+01
    0.11246E-02    0.26635E+01
    0.11473E-02    0.27150E+01
    0.11705E-02    0.27674E+01
    0.11941E-02    0.28208E+01
    0.12182E-02    0.28752E+01
    0.12429E-02    0.29305E+01
    0.12680E-02    0.29869E+01
    0.12936E-02    0.30443E+01
    0.13197E-02    0.31027E+01
    0.13464E-02    0.31621E+01
    0.13736E-02    0.32227E+01
    0.14013E-02    0.32843E+01
    0.14296E-02    0.33470E+01
    0.14585E-02    0.34108E+01
    0.14880E-02    0.34757E+01
    0.15180E-02    0.35418E+01
    0.15487E-02    0.36090E+01
    0.15800E-02    0.36773E+01
    0.16119E-02    0.37469E+01
    0.16445E-02    0.38176E+01
    0.16777E-02    0.38895E+01
    0.17116E-02    0.39627E+01
    0.17462E-02    0.40371E+01
    0.17814E-02    0.41127E+01
    0.18174E-02    0.41895E+01
