#    L    TT             EE             TE             PP             TP          
     2    0.10555E+04    0.49362E-01    0.33369E+01    0.11029E+07    0.29678E+05
     3    0.10011E+04    0.83522E-01    0.42081E+01    0.16995E+07    0.35657E+05
     4    0.94607E+03    0.97451E-01    0.43802E+01    0.22310E+07    0.38601E+05
     5    0.90279E+03    0.90013E-01    0.41205E+01    0.27008E+07    0.39877E+05
     6    0.87146E+03    0.69538E-01    0.36448E+01    0.31154E+07    0.40181E+05
     7    0.85023E+03    0.46369E-01    0.30954E+01    0.34828E+07    0.39895E+05
     8    0.83653E+03    0.27768E-01    0.25567E+01    0.38095E+07    0.39250E+05
     9    0.82916E+03    0.16321E-01    0.20820E+01    0.41013E+07    0.38386E+05
    10    0.82644E+03    0.11005E-01    0.16993E+01    0.43619E+07    0.37404E+05
    11    0.82749E+03    0.92461E-02    0.14213E+01    0.45962E+07    0.36379E+05
    12    0.83182E+03    0.87340E-02    0.12470E+01    0.48061E+07    0.35341E+05
    13    0.83809E+03    0.81621E-02    0.11630E+01    0.49943E+07    0.34317E+05
    14    0.84592E+03    0.73623E-02    0.11509E+01    0.51636E+07    0.33328E+05
    15    0.85518E+03    0.66244E-02    0.11899E+01    0.53158E+07    0.32370E+05
    16    0.86572E+03    0.62525E-02    0.12600E+01    0.54526E+07    0.31435E+05
    17    0.87736E+03    0.63713E-02    0.13434E+01    0.55755E+07    0.30530E+05
    18    0.88928E+03    0.68363E-02    0.14269E+01    0.56860E+07    0.29658E+05
    19    0.90273E+03    0.74561E-02    0.15047E+01    0.57849E+07    0.28812E+05
    20    0.91642E+03    0.81182E-02    0.15712E+01    0.58729E+07    0.27983E+05
    21    0.93054E+03    0.88059E-02    0.16266E+01    0.59512E+07    0.27173E+05
    22    0.94514E+03    0.96192E-02    0.16722E+01    0.60210E+07    0.26386E+05
    23    0.96000E+03    0.10669E-01    0.17118E+01    0.60828E+07    0.25628E+05
    24    0.97520E+03    0.12019E-01    0.17493E+01    0.61368E+07    0.24901E+05
    25    0.99076E+03    0.13698E-01    0.17866E+01    0.61839E+07    0.24200E+05
    26    0.10065E+04    0.15682E-01    0.18263E+01    0.62248E+07    0.23524E+05
    27    0.10227E+04    0.17931E-01    0.18674E+01    0.62598E+07    0.22876E+05
    28    0.10389E+04    0.20431E-01    0.19091E+01    0.62895E+07    0.22263E+05
    29    0.10555E+04    0.23170E-01    0.19497E+01    0.63140E+07    0.21679E+05
    30    0.10723E+04    0.26144E-01    0.19857E+01    0.63339E+07    0.21114E+05
    31    0.10892E+04    0.29360E-01    0.20150E+01    0.63494E+07    0.20572E+05
    32    0.11063E+04    0.32811E-01    0.20352E+01    0.63611E+07    0.20053E+05
    33    0.11237E+04    0.36485E-01    0.20427E+01    0.63691E+07    0.19554E+05
    34    0.11413E+04    0.40381E-01    0.20349E+01    0.63735E+07    0.19071E+05
    35    0.11592E+04    0.44524E-01    0.20129E+01    0.63747E+07    0.18602E+05
    36    0.11772E+04    0.48941E-01    0.19774E+01    0.63730E+07    0.18146E+05
    37    0.11953E+04    0.53627E-01    0.19281E+01    0.63686E+07    0.17706E+05
    38    0.12137E+04    0.58582E-01    0.18666E+01    0.63615E+07    0.17285E+05
    39    0.12324E+04    0.63832E-01    0.17929E+01    0.63521E+07    0.16882E+05
    40    0.12512E+04    0.69416E-01    0.17064E+01    0.63404E+07    0.16496E+05
    41    0.12702E+04    0.75368E-01    0.16065E+01    0.63266E+07    0.16124E+05
    42    0.12893E+04    0.81678E-01    0.14930E+01    0.63110E+07    0.15765E+05
    43    0.13086E+04    0.88330E-01    0.13660E+01    0.62936E+07    0.15419E+05
    44    0.13279E+04    0.95288E-01    0.12265E+01    0.62746E+07    0.15083E+05
    45    0.13477E+04    0.10253E+00    0.10754E+01    0.62540E+07    0.14756E+05
    46    0.13678E+04    0.11004E+00    0.91150E+00    0.62320E+07    0.14439E+05
    47    0.13881E+04    0.11784E+00    0.73435E+00    0.62087E+07    0.14130E+05
    48    0.14085E+04    0.12596E+00    0.54634E+00    0.61841E+07    0.13831E+05
