#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10555E+04    0.33369E+01    0.12998E-02    0.33369E+01    0.49362E-01   -0.63566E-05    0.12998E-02   -0.63566E-05    0.88616E-08
     3    0.10011E+04    0.42081E+01    0.92540E-03    0.42081E+01    0.83522E-01   -0.56022E-05    0.92540E-03   -0.56022E-05    0.53945E-08
     4    0.94607E+03    0.43802E+01    0.70440E-03    0.43802E+01    0.97451E-01   -0.44676E-05    0.70440E-03   -0.44676E-05    0.37343E-08
     5    0.90279E+03    0.41205E+01    0.55887E-03    0.41205E+01    0.90013E-01   -0.33054E-05    0.55887E-03   -0.33054E-05    0.27776E-08
     6    0.87146E+03    0.36448E+01    0.45624E-03    0.36448E+01    0.69538E-01   -0.22484E-05    0.45624E-03   -0.22484E-05    0.21632E-08
     7    0.85023E+03    0.30954E+01    0.38035E-03    0.30954E+01    0.46369E-01   -0.13614E-05    0.38035E-03   -0.13614E-05    0.17404E-08
     8    0.83653E+03    0.25567E+01    0.32232E-03    0.25567E+01    0.27768E-01   -0.67032E-06    0.32232E-03   -0.67032E-06    0.14347E-08
     9    0.82916E+03    0.20820E+01    0.27673E-03    0.20820E+01    0.16321E-01   -0.17704E-06    0.27673E-03   -0.17704E-06    0.12054E-08
    10    0.82644E+03    0.16993E+01    0.24026E-03    0.16993E+01    0.11005E-01    0.13459E-06    0.24026E-03    0.13459E-06    0.10280E-08
    11    0.82749E+03    0.14213E+01    0.21068E-03    0.14213E+01    0.92461E-02    0.29380E-06    0.21068E-03    0.29380E-06    0.88783E-09
    12    0.83182E+03    0.12470E+01    0.18629E-03    0.12470E+01    0.87340E-02    0.33637E-06    0.18629E-03    0.33637E-06    0.77455E-09
    13    0.83809E+03    0.11630E+01    0.16601E-03    0.11630E+01    0.81621E-02    0.29877E-06    0.16601E-03    0.29877E-06    0.68186E-09
    14    0.84592E+03    0.11509E+01    0.14893E-03    0.11509E+01    0.73623E-02    0.21558E-06    0.14893E-03    0.21558E-06    0.60474E-09
    15    0.85518E+03    0.11899E+01    0.13441E-03    0.11899E+01    0.66244E-02    0.11410E-06    0.13441E-03    0.11410E-06    0.53994E-09
    16    0.86572E+03    0.12600E+01    0.12190E-03    0.12600E+01    0.62525E-02    0.17283E-07    0.12190E-03    0.17283E-07    0.48484E-09
    17    0.87736E+03    0.13434E+01    0.11104E-03    0.13434E+01    0.63713E-02   -0.62095E-07    0.11104E-03   -0.62095E-07    0.43766E-09
    18    0.88928E+03    0.14269E+01    0.10156E-03    0.14269E+01    0.68363E-02   -0.11574E-06    0.10156E-03   -0.11574E-06    0.39688E-09
    19    0.90273E+03    0.15047E+01    0.93213E-04    0.15047E+01    0.74561E-02   -0.14310E-06    0.93213E-04   -0.14310E-06    0.36141E-09
    20    0.91642E+03    0.15712E+01    0.85788E-04    0.15712E+01    0.81182E-02   -0.14655E-06    0.85788E-04   -0.14655E-06    0.33030E-09
    21    0.93054E+03    0.16266E+01    0.79157E-04    0.16266E+01    0.88059E-02   -0.13227E-06    0.79157E-04   -0.13227E-06    0.30290E-09
    22    0.94514E+03    0.16722E+01    0.73220E-04    0.16722E+01    0.96192E-02   -0.10733E-06    0.73220E-04   -0.10733E-06    0.27864E-09
    23    0.96000E+03    0.17118E+01    0.67895E-04    0.17118E+01    0.10669E-01   -0.78315E-07    0.67895E-04   -0.78315E-07    0.25707E-09
    24    0.97520E+03    0.17493E+01    0.63110E-04    0.17493E+01    0.12019E-01   -0.51060E-07    0.63110E-04   -0.51060E-07    0.23778E-09
    25    0.99076E+03    0.17866E+01    0.58788E-04    0.17866E+01    0.13698E-01   -0.28865E-07    0.58788E-04   -0.28865E-07    0.22047E-09
    26    0.10065E+04    0.18263E+01    0.54865E-04    0.18263E+01    0.15682E-01   -0.13966E-07    0.54865E-04   -0.13966E-07    0.20488E-09
    27    0.10227E+04    0.18674E+01    0.51308E-04    0.18674E+01    0.17931E-01   -0.69108E-08    0.51308E-04   -0.69108E-08    0.19079E-09
    28    0.10389E+04    0.19091E+01    0.48088E-04    0.19091E+01    0.20431E-01   -0.73623E-08    0.48088E-04   -0.73623E-08    0.17802E-09
    29    0.10555E+04    0.19497E+01    0.45157E-04    0.19497E+01    0.23170E-01   -0.13138E-07    0.45157E-04   -0.13138E-07    0.16640E-09
    30    0.10723E+04    0.19857E+01    0.42469E-04    0.19857E+01    0.26144E-01   -0.21699E-07    0.42469E-04   -0.21699E-07    0.15581E-09
    31    0.10892E+04    0.20150E+01    0.40001E-04    0.20150E+01    0.29360E-01   -0.30918E-07    0.40001E-04   -0.30918E-07    0.14613E-09
    32    0.11063E+04    0.20352E+01    0.37737E-04    0.20352E+01    0.32811E-01   -0.38932E-07    0.37737E-04   -0.38932E-07    0.13725E-09
    33    0.11237E+04    0.20427E+01    0.35650E-04    0.20427E+01    0.36485E-01   -0.44516E-07    0.35650E-04   -0.44516E-07    0.12910E-09
    34    0.11413E+04    0.20349E+01    0.33718E-04    0.20349E+01    0.40381E-01   -0.46834E-07    0.33718E-04   -0.46834E-07    0.12160E-09
    35    0.11592E+04    0.20129E+01    0.31923E-04    0.20129E+01    0.44524E-01   -0.45974E-07    0.31923E-04   -0.45974E-07    0.11468E-09
    36    0.11772E+04    0.19774E+01    0.30252E-04    0.19774E+01    0.48941E-01   -0.42371E-07    0.30252E-04   -0.42371E-07    0.10828E-09
    37    0.11953E+04    0.19281E+01    0.28699E-04    0.19281E+01    0.53627E-01   -0.36938E-07    0.28699E-04   -0.36938E-07    0.10236E-09
    38    0.12137E+04    0.18666E+01    0.27261E-04    0.18666E+01    0.58582E-01   -0.30653E-07    0.27261E-04   -0.30653E-07    0.96873E-10
    39    0.12324E+04    0.17929E+01    0.25926E-04    0.17929E+01    0.63832E-01   -0.24289E-07    0.25926E-04   -0.24289E-07    0.91772E-10
    40    0.12512E+04    0.17064E+01    0.24684E-04    0.17064E+01    0.69416E-01   -0.18567E-07    0.24684E-04   -0.18567E-07    0.87025E-10
    41    0.12702E+04    0.16065E+01    0.23524E-04    0.16065E+01    0.75368E-01   -0.14082E-07    0.23524E-04   -0.14082E-07    0.82601E-10
    42    0.12893E+04    0.14930E+01    0.22440E-04    0.14930E+01    0.81678E-01   -0.10924E-07    0.22440E-04   -0.10924E-07    0.78472E-10
    43    0.13086E+04    0.13660E+01    0.21424E-04    0.13660E+01    0.88330E-01   -0.90595E-08    0.21424E-04   -0.90595E-08    0.74618E-10
    44    0.13279E+04    0.12265E+01    0.20471E-04    0.12265E+01    0.95288E-01   -0.84513E-08    0.20471E-04   -0.84513E-08    0.71015E-10
    45    0.13477E+04    0.10754E+01    0.19574E-04    0.10754E+01    0.10253E+00   -0.90645E-08    0.19574E-04   -0.90645E-08    0.67640E-10
    46    0.13678E+04    0.91150E+00    0.18728E-04    0.91150E+00    0.11004E+00   -0.10790E-07    0.18728E-04   -0.10790E-07    0.64473E-10
    47    0.13881E+04    0.73435E+00    0.17930E-04    0.73435E+00    0.11784E+00   -0.13225E-07    0.17930E-04   -0.13225E-07    0.61499E-10
