#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.356460E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635139E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.793555E-01
   0.368536E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635139E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.820439E-01
   0.381022E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635139E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.848235E-01
   0.393930E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635139E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.876972E-01
   0.407276E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.906682E-01
   0.421074E-05   0.476355E+06   0.476355E+06   0.635139E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.937399E-01
   0.435339E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.969157E-01
   0.450088E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.100199E+00
   0.465336E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.103594E+00
   0.481101E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.107103E+00
   0.497400E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.110732E+00
   0.514251E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.114483E+00
   0.531673E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.118362E+00
   0.549686E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.122372E+00
   0.568308E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635138E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.126517E+00
   0.587562E-05   0.476355E+06   0.476355E+06   0.635138E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.130804E+00
   0.607467E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.135235E+00
   0.628048E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.139817E+00
   0.649325E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.144553E+00
   0.671323E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.149451E+00
   0.694066E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635137E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.154514E+00
   0.717580E-05   0.476355E+06   0.476355E+06   0.635137E+06   0.635136E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.159749E+00
   0.741891E-05   0.476355E+06   0.476355E+06   0.635136E+06   0.635136E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.165161E+00
   0.767025E-05   0.476355E+06   0.476355E+06   0.635136E+06   0.635136E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.170756E+00
   0.793011E-05   0.476355E+06   0.476355E+06   0.635136E+06   0.635136E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.176541E+00
   0.819877E-05   0.476355E+06   0.476355E+06   0.635136E+06   0.635135E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.182522E+00
   0.847653E-05   0.476355E+06   0.476355E+06   0.635135E+06   0.635135E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.188705E+00
   0.876370E-05   0.476355E+06   0.476355E+06   0.635135E+06   0.635135E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.195098E+00
   0.906061E-05   0.476355E+06   0.476355E+06   0.635135E+06   0.635134E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.201708E+00
   0.936757E-05   0.476355E+06   0.476355E+06   0.635134E+06   0.635134E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.208542E+00
   0.968493E-05   0.476355E+06   0.476355E+06   0.635134E+06   0.635134E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.215607E+00
   0.100130E-04   0.476355E+06   0.476355E+06   0.635134E+06   0.635133E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.222911E+00
   0.103523E-04   0.476355E+06   0.476354E+06   0.635133E+06   0.635133E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.230463E+00
   0.107030E-04   0.476355E+06   0.476354E+06   0.635133E+06   0.635132E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.238271E+00
   0.110656E-04   0.476355E+06   0.476354E+06   0.635132E+06   0.635132E+06   0.476505E+06   0.476366E+06   0.476355E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.246343E+00
   0.114405E-04   0.476354E+06   0.476354E+06   0.635132E+06   0.635131E+06   0.476505E+06   0.476366E+06   0.476354E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.254689E+00
   0.118281E-04   0.476354E+06   0.476354E+06   0.635131E+06   0.635131E+06   0.476505E+06   0.476366E+06   0.476354E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.263317E+00
   0.122288E-04   0.476354E+06   0.476354E+06   0.635131E+06   0.635130E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.272238E+00
   0.126431E-04   0.476354E+06   0.476354E+06   0.635130E+06   0.635130E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.281461E+00
   0.130714E-04   0.476354E+06   0.476354E+06   0.635130E+06   0.635129E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602183E+00   0.475029E+06   0.475029E+06   0.290997E+00
   0.135142E-04   0.476354E+06   0.476354E+06   0.635129E+06   0.635128E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602182E+00   0.475029E+06   0.475029E+06   0.300855E+00
   0.139721E-04   0.476354E+06   0.476354E+06   0.635128E+06   0.635127E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602182E+00   0.475029E+06   0.475029E+06   0.311048E+00
   0.144454E-04   0.476354E+06   0.476354E+06   0.635127E+06   0.635126E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602182E+00   0.475029E+06   0.475029E+06   0.321585E+00
   0.149348E-04   0.476354E+06   0.476354E+06   0.635126E+06   0.635126E+06   0.476505E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602182E+00   0.475029E+06   0.475029E+06   0.332480E+00
   0.154408E-04   0.476354E+06   0.476354E+06   0.635126E+06   0.635125E+06   0.476504E+06   0.476365E+06   0.476354E+06   0.483663E+06  -0.602182E+00   0.475029E+06   0.475029E+06   0.343744E+00
