#           k/h    P           
    0.10000E-03    0.33767E+00
    0.10202E-03    0.34433E+00
    0.10408E-03    0.35112E+00
    0.10618E-03    0.35804E+00
    0.10833E-03    0.36510E+00
    0.11052E-03    0.37229E+00
    0.11275E-03    0.37963E+00
    0.11503E-03    0.38711E+00
    0.11735E-03    0.39474E+00
    0.11972E-03    0.40251E+00
    0.12214E-03    0.41044E+00
    0.12461E-03    0.41852E+00
    0.12712E-03    0.42676E+00
    0.12969E-03    0.43516E+00
    0.13231E-03    0.44373E+00
    0.13499E-03    0.45246E+00
    0.13771E-03    0.46136E+00
    0.14049E-03    0.47044E+00
    0.14333E-03    0.47969E+00
    0.14623E-03    0.48912E+00
    0.14918E-03    0.49873E+00
    0.15220E-03    0.50854E+00
    0.15527E-03    0.51853E+00
    0.15841E-03    0.52871E+00
    0.16161E-03    0.53909E+00
    0.16487E-03    0.54968E+00
    0.16820E-03    0.56047E+00
    0.17160E-03    0.57146E+00
    0.17507E-03    0.58267E+00
    0.17860E-03    0.59410E+00
    0.18221E-03    0.60574E+00
    0.18589E-03    0.61761E+00
    0.18965E-03    0.62971E+00
    0.19348E-03    0.64203E+00
    0.19739E-03    0.65460E+00
    0.20138E-03    0.66740E+00
    0.20544E-03    0.68045E+00
    0.20959E-03    0.69375E+00
    0.21383E-03    0.70731E+00
    0.21815E-03    0.72112E+00
    0.22255E-03    0.73519E+00
    0.22705E-03    0.74953E+00
    0.23164E-03    0.76414E+00
    0.23632E-03    0.77903E+00
    0.24109E-03    0.79420E+00
    0.24596E-03    0.80965E+00
    0.25093E-03    0.82540E+00
    0.25600E-03    0.84144E+00
    0.26117E-03    0.85778E+00
    0.26645E-03    0.87442E+00
    0.27183E-03    0.89137E+00
    0.27732E-03    0.90864E+00
    0.28292E-03    0.92623E+00
    0.28864E-03    0.94415E+00
    0.29447E-03    0.96239E+00
    0.30042E-03    0.98097E+00
    0.30649E-03    0.99989E+00
    0.31268E-03    0.10191E+01
    0.31899E-03    0.10388E+01
    0.32544E-03    0.10587E+01
    0.33201E-03    0.10791E+01
    0.33872E-03    0.10998E+01
    0.34556E-03    0.11208E+01
    0.35254E-03    0.11423E+01
    0.35966E-03    0.11641E+01
    0.36693E-03    0.11863E+01
    0.37434E-03    0.12089E+01
    0.38190E-03    0.12319E+01
    0.38962E-03    0.12552E+01
    0.39749E-03    0.12790E+01
    0.40552E-03    0.13032E+01
    0.41371E-03    0.13278E+01
    0.42207E-03    0.13529E+01
    0.43060E-03    0.13783E+01
    0.43929E-03    0.14042E+01
    0.44817E-03    0.14305E+01
    0.45722E-03    0.14572E+01
    0.46646E-03    0.14844E+01
    0.47588E-03    0.15120E+01
    0.48550E-03    0.15401E+01
    0.49530E-03    0.15685E+01
    0.50531E-03    0.15975E+01
    0.51552E-03    0.16269E+01
    0.52593E-03    0.16567E+01
    0.53656E-03    0.16870E+01
    0.54739E-03    0.17177E+01
    0.55845E-03    0.17489E+01
    0.56973E-03    0.17806E+01
    0.58124E-03    0.18126E+01
    0.59299E-03    0.18452E+01
    0.60496E-03    0.18782E+01
    0.61719E-03    0.19116E+01
    0.62965E-03    0.19455E+01
    0.64237E-03    0.19798E+01
    0.65535E-03    0.20145E+01
    0.66859E-03    0.20497E+01
