#           k/h    P           
    0.10000E-03    0.45446E+03
    0.10202E-03    0.46327E+03
    0.10408E-03    0.47224E+03
    0.10618E-03    0.48139E+03
    0.10833E-03    0.49072E+03
    0.11052E-03    0.50023E+03
    0.11275E-03    0.50992E+03
    0.11503E-03    0.51980E+03
    0.11735E-03    0.52987E+03
    0.11972E-03    0.54014E+03
    0.12214E-03    0.55060E+03
    0.12461E-03    0.56127E+03
    0.12712E-03    0.57214E+03
    0.12969E-03    0.58323E+03
    0.13231E-03    0.59452E+03
    0.13499E-03    0.60604E+03
    0.13771E-03    0.61778E+03
    0.14049E-03    0.62975E+03
    0.14333E-03    0.64194E+03
    0.14623E-03    0.65438E+03
    0.14918E-03    0.66705E+03
    0.15220E-03    0.67997E+03
    0.15527E-03    0.69314E+03
    0.15841E-03    0.70656E+03
    0.16161E-03    0.72024E+03
    0.16487E-03    0.73419E+03
    0.16820E-03    0.74841E+03
    0.17160E-03    0.76290E+03
    0.17507E-03    0.77767E+03
    0.17860E-03    0.79272E+03
    0.18221E-03    0.80807E+03
    0.18589E-03    0.82371E+03
    0.18965E-03    0.83966E+03
    0.19348E-03    0.85591E+03
    0.19739E-03    0.87248E+03
    0.20138E-03    0.88936E+03
    0.20544E-03    0.90657E+03
    0.20959E-03    0.92411E+03
    0.21383E-03    0.94200E+03
    0.21815E-03    0.96022E+03
    0.22255E-03    0.97880E+03
    0.22705E-03    0.99773E+03
    0.23164E-03    0.10170E+04
    0.23632E-03    0.10367E+04
    0.24109E-03    0.10568E+04
    0.24596E-03    0.10772E+04
    0.25093E-03    0.10980E+04
    0.25600E-03    0.11192E+04
    0.26117E-03    0.11409E+04
    0.26645E-03    0.11629E+04
    0.27183E-03    0.11854E+04
    0.27732E-03    0.12083E+04
    0.28292E-03    0.12317E+04
    0.28864E-03    0.12555E+04
    0.29447E-03    0.12797E+04
    0.30042E-03    0.13044E+04
    0.30649E-03    0.13296E+04
    0.31268E-03    0.13553E+04
    0.31899E-03    0.13815E+04
    0.32544E-03    0.14081E+04
    0.33201E-03    0.14353E+04
    0.33872E-03    0.14630E+04
    0.34556E-03    0.14912E+04
    0.35254E-03    0.15200E+04
    0.35966E-03    0.15493E+04
    0.36693E-03    0.15792E+04
    0.37434E-03    0.16096E+04
    0.38190E-03    0.16407E+04
    0.38962E-03    0.16723E+04
    0.39749E-03    0.17045E+04
    0.40552E-03    0.17373E+04
    0.41371E-03    0.17708E+04
    0.42207E-03    0.18049E+04
    0.43060E-03    0.18396E+04
    0.43929E-03    0.18750E+04
    0.44817E-03    0.19111E+04
    0.45722E-03    0.19478E+04
    0.46646E-03    0.19853E+04
