#           k/h    P           
    0.10000E-03    0.50132E+03
    0.10202E-03    0.51104E+03
    0.10408E-03    0.52094E+03
    0.10618E-03    0.53103E+03
    0.10833E-03    0.54132E+03
    0.11052E-03    0.55181E+03
    0.11275E-03    0.56250E+03
    0.11503E-03    0.57340E+03
    0.11735E-03    0.58451E+03
    0.11972E-03    0.59583E+03
    0.12214E-03    0.60737E+03
    0.12461E-03    0.61914E+03
    0.12712E-03    0.63113E+03
    0.12969E-03    0.64336E+03
    0.13231E-03    0.65582E+03
    0.13499E-03    0.66853E+03
    0.13771E-03    0.68147E+03
    0.14049E-03    0.69467E+03
    0.14333E-03    0.70813E+03
    0.14623E-03    0.72184E+03
    0.14918E-03    0.73582E+03
    0.15220E-03    0.75007E+03
    0.15527E-03    0.76460E+03
    0.15841E-03    0.77940E+03
    0.16161E-03    0.79450E+03
    0.16487E-03    0.80988E+03
    0.16820E-03    0.82556E+03
    0.17160E-03    0.84154E+03
    0.17507E-03    0.85784E+03
    0.17860E-03    0.87444E+03
    0.18221E-03    0.89137E+03
    0.18589E-03    0.90862E+03
    0.18965E-03    0.92621E+03
    0.19348E-03    0.94413E+03
    0.19739E-03    0.96241E+03
    0.20138E-03    0.98103E+03
    0.20544E-03    0.10000E+04
    0.20959E-03    0.10194E+04
    0.21383E-03    0.10391E+04
    0.21815E-03    0.10592E+04
    0.22255E-03    0.10797E+04
    0.22705E-03    0.11006E+04
    0.23164E-03    0.11218E+04
    0.23632E-03    0.11435E+04
    0.24109E-03    0.11657E+04
    0.24596E-03    0.11882E+04
    0.25093E-03    0.12112E+04
    0.25600E-03    0.12346E+04
    0.26117E-03    0.12584E+04
    0.26645E-03    0.12828E+04
    0.27183E-03    0.13075E+04
    0.27732E-03    0.13328E+04
    0.28292E-03    0.13586E+04
    0.28864E-03    0.13848E+04
    0.29447E-03    0.14115E+04
    0.30042E-03    0.14388E+04
    0.30649E-03    0.14666E+04
    0.31268E-03    0.14949E+04
    0.31899E-03    0.15238E+04
    0.32544E-03    0.15532E+04
    0.33201E-03    0.15831E+04
    0.33872E-03    0.16137E+04
