#    L    TT             EE             BB             TE          
     2    0.11114E+04    0.56057E-01    0.18511E-05    0.36860E+01
     3    0.10480E+04    0.91152E-01    0.37066E-05    0.45446E+01
     4    0.98548E+03    0.10243E+00    0.61870E-05    0.46453E+01
     5    0.93622E+03    0.90997E-01    0.92974E-05    0.42966E+01
     6    0.90017E+03    0.67460E-01    0.13043E-04    0.37370E+01
     7    0.87509E+03    0.43136E-01    0.17429E-04    0.31188E+01
     8    0.85822E+03    0.24952E-01    0.22462E-04    0.25310E+01
     9    0.84798E+03    0.14555E-01    0.28144E-04    0.20257E+01
    10    0.84283E+03    0.10104E-01    0.34480E-04    0.16303E+01
    11    0.84154E+03    0.86917E-02    0.41471E-04    0.13518E+01
    12    0.84369E+03    0.81263E-02    0.49119E-04    0.11841E+01
    13    0.84790E+03    0.73772E-02    0.57424E-04    0.11091E+01
    14    0.85379E+03    0.65134E-02    0.66382E-04    0.11041E+01
    15    0.86118E+03    0.58256E-02    0.75993E-04    0.11461E+01
    16    0.86990E+03    0.55513E-02    0.86253E-04    0.12139E+01
    17    0.87978E+03    0.57154E-02    0.97158E-04    0.12910E+01
    18    0.88998E+03    0.60952E-02    0.10871E-03    0.13656E+01
    19    0.90176E+03    0.65422E-02    0.12089E-03    0.14331E+01
    20    0.91384E+03    0.70106E-02    0.13372E-03    0.14891E+01
    21    0.92641E+03    0.75275E-02    0.14719E-03    0.15368E+01
    22    0.93946E+03    0.82172E-02    0.16129E-03    0.15799E+01
    23    0.95279E+03    0.91607E-02    0.17604E-03    0.16211E+01
    24    0.96651E+03    0.10381E-01    0.19143E-03    0.16627E+01
    25    0.98061E+03    0.11883E-01    0.20747E-03    0.17071E+01
    26    0.99493E+03    0.13625E-01    0.22417E-03    0.17569E+01
    27    0.10096E+04    0.15577E-01    0.24153E-03    0.18091E+01
    28    0.10245E+04    0.17736E-01    0.25955E-03    0.18610E+01
    29    0.10396E+04    0.20091E-01    0.27825E-03    0.19116E+01
    30    0.10551E+04    0.22639E-01    0.29763E-03    0.19586E+01
    31    0.10706E+04    0.25377E-01    0.31769E-03    0.19980E+01
    32    0.10864E+04    0.28298E-01    0.33844E-03    0.20262E+01
    33    0.11024E+04    0.31408E-01    0.35987E-03    0.20413E+01
    34    0.11187E+04    0.34729E-01    0.38199E-03    0.20439E+01
    35    0.11352E+04    0.38266E-01    0.40479E-03    0.20370E+01
    36    0.11519E+04    0.42027E-01    0.42828E-03    0.20220E+01
    37    0.11686E+04    0.46028E-01    0.45244E-03    0.19940E+01
    38    0.11856E+04    0.50291E-01    0.47727E-03    0.19500E+01
    39    0.12027E+04    0.54834E-01    0.50277E-03    0.18932E+01
    40    0.12200E+04    0.59677E-01    0.52893E-03    0.18280E+01
    41    0.12375E+04    0.64842E-01    0.55574E-03    0.17574E+01
    42    0.12552E+04    0.70318E-01    0.58322E-03    0.16796E+01
    43    0.12730E+04    0.76088E-01    0.61134E-03    0.15918E+01
    44    0.12909E+04    0.82119E-01    0.64012E-03    0.14920E+01
    45    0.13091E+04    0.88389E-01    0.66956E-03    0.13781E+01
    46    0.13276E+04    0.94888E-01    0.69964E-03    0.12469E+01
    47    0.13463E+04    0.10163E+00    0.73039E-03    0.10998E+01
    48    0.13650E+04    0.10865E+00    0.76180E-03    0.94203E+00
    49    0.13838E+04    0.11596E+00    0.79387E-03    0.77810E+00
    50    0.14030E+04    0.12356E+00    0.82662E-03    0.60585E+00
    51    0.14224E+04    0.13144E+00    0.86003E-03    0.42151E+00
    52    0.14422E+04    0.13967E+00    0.89413E-03    0.22061E+00
    53    0.14620E+04    0.14836E+00    0.92890E-03    0.35059E-03
    54    0.14817E+04    0.15749E+00    0.96435E-03   -0.23409E+00
    55    0.15015E+04    0.16701E+00    0.10005E-02   -0.47742E+00
    56    0.15217E+04    0.17676E+00    0.10373E-02   -0.73092E+00
    57    0.15422E+04    0.18664E+00    0.10747E-02   -0.99587E+00
    58    0.15630E+04    0.19668E+00    0.11129E-02   -0.12748E+01
    59    0.15840E+04    0.20694E+00    0.11517E-02   -0.15701E+01
    60    0.16050E+04    0.21749E+00    0.11911E-02   -0.18830E+01
