#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11114E+04    0.56055E-01    0.00000E+00    0.36860E+01    0.55163E-07    0.32576E-02   -0.17093E-04
     3    0.10480E+04    0.91148E-01    0.00000E+00    0.45446E+01    0.67109E-07    0.32785E-02   -0.20835E-04
     4    0.98547E+03    0.10242E+00    0.00000E+00    0.46453E+01    0.77428E-07    0.32213E-02   -0.20967E-04
     5    0.93620E+03    0.90988E-01    0.00000E+00    0.42966E+01    0.86425E-07    0.31307E-02   -0.18500E-04
     6    0.90014E+03    0.67447E-01    0.00000E+00    0.37370E+01    0.94303E-07    0.30255E-02   -0.14386E-04
     7    0.87506E+03    0.43118E-01    0.00000E+00    0.31188E+01    0.10126E-06    0.29148E-02   -0.95508E-05
     8    0.85818E+03    0.24930E-01    0.00000E+00    0.25310E+01    0.10745E-06    0.28038E-02   -0.47993E-05
     9    0.84793E+03    0.14527E-01    0.00000E+00    0.20258E+01    0.11298E-06    0.26953E-02   -0.75680E-06
    10    0.84276E+03    0.10069E-01    0.00000E+00    0.16303E+01    0.11792E-06    0.25913E-02    0.21776E-05
    11    0.84146E+03    0.86503E-02    0.00000E+00    0.13519E+01    0.12239E-06    0.24940E-02    0.38523E-05
    12    0.84359E+03    0.80772E-02    0.00000E+00    0.11842E+01    0.12639E-06    0.24029E-02    0.43209E-05
    13    0.84780E+03    0.73198E-02    0.00000E+00    0.11091E+01    0.12999E-06    0.23178E-02    0.38299E-05
    14    0.85366E+03    0.64471E-02    0.00000E+00    0.11042E+01    0.13324E-06    0.22389E-02    0.26698E-05
    15    0.86104E+03    0.57496E-02    0.00000E+00    0.11462E+01    0.13617E-06    0.21650E-02    0.11851E-05
    16    0.86975E+03    0.54652E-02    0.00000E+00    0.12140E+01    0.13882E-06    0.20948E-02   -0.29660E-06
    17    0.87961E+03    0.56183E-02    0.00000E+00    0.12912E+01    0.14121E-06    0.20283E-02   -0.15459E-05
    18    0.88978E+03    0.59867E-02    0.00000E+00    0.13658E+01    0.14337E-06    0.19653E-02   -0.23932E-05
    19    0.90154E+03    0.64214E-02    0.00000E+00    0.14333E+01    0.14531E-06    0.19051E-02   -0.28043E-05
    20    0.91361E+03    0.68770E-02    0.00000E+00    0.14893E+01    0.14704E-06    0.18470E-02   -0.27978E-05
    21    0.92615E+03    0.73805E-02    0.00000E+00    0.15370E+01    0.14859E-06    0.17911E-02   -0.24717E-05
    22    0.93918E+03    0.80561E-02    0.00000E+00    0.15801E+01    0.14999E-06    0.17374E-02   -0.19463E-05
    23    0.95248E+03    0.89849E-02    0.00000E+00    0.16213E+01    0.15123E-06    0.16863E-02   -0.13571E-05
    24    0.96617E+03    0.10190E-01    0.00000E+00    0.16630E+01    0.15232E-06    0.16378E-02   -0.82920E-06
    25    0.98025E+03    0.11675E-01    0.00000E+00    0.17075E+01    0.15328E-06    0.15915E-02   -0.43528E-06
    26    0.99455E+03    0.13401E-01    0.00000E+00    0.17573E+01    0.15413E-06    0.15470E-02   -0.22413E-06
    27    0.10092E+04    0.15336E-01    0.00000E+00    0.18095E+01    0.15486E-06    0.15047E-02   -0.20192E-06
    28    0.10241E+04    0.17477E-01    0.00000E+00    0.18615E+01    0.15549E-06    0.14648E-02   -0.35203E-06
