#    L    TT             EE             TE             PP             TP          
     2    0.11114E+04    0.56055E-01    0.36860E+01    0.11443E+07    0.30366E+05
     3    0.10480E+04    0.91148E-01    0.45446E+01    0.17619E+07    0.36466E+05
     4    0.98547E+03    0.10242E+00    0.46453E+01    0.23129E+07    0.39473E+05
     5    0.93620E+03    0.90988E-01    0.42966E+01    0.28012E+07    0.40785E+05
     6    0.90014E+03    0.67447E-01    0.37370E+01    0.32337E+07    0.41116E+05
     7    0.87506E+03    0.43118E-01    0.31188E+01    0.36186E+07    0.40855E+05
     8    0.85818E+03    0.24930E-01    0.25310E+01    0.39624E+07    0.40238E+05
     9    0.84793E+03    0.14527E-01    0.20258E+01    0.42712E+07    0.39409E+05
    10    0.84276E+03    0.10069E-01    0.16303E+01    0.45487E+07    0.38464E+05
    11    0.84146E+03    0.86503E-02    0.13519E+01    0.47998E+07    0.37484E+05
    12    0.84359E+03    0.80772E-02    0.11842E+01    0.50265E+07    0.36494E+05
    13    0.84780E+03    0.73198E-02    0.11091E+01    0.52313E+07    0.35516E+05
    14    0.85366E+03    0.64471E-02    0.11042E+01    0.54173E+07    0.34572E+05
    15    0.86104E+03    0.57496E-02    0.11462E+01    0.55861E+07    0.33654E+05
    16    0.86975E+03    0.54652E-02    0.12140E+01    0.57394E+07    0.32755E+05
    17    0.87961E+03    0.56183E-02    0.12912E+01    0.58787E+07    0.31880E+05
    18    0.88978E+03    0.59867E-02    0.13658E+01    0.60057E+07    0.31033E+05
    19    0.90154E+03    0.64214E-02    0.14333E+01    0.61209E+07    0.30208E+05
    20    0.91361E+03    0.68770E-02    0.14893E+01    0.62250E+07    0.29398E+05
    21    0.92615E+03    0.73805E-02    0.15370E+01    0.63193E+07    0.28605E+05
    22    0.93918E+03    0.80561E-02    0.15801E+01    0.64050E+07    0.27834E+05
    23    0.95248E+03    0.89849E-02    0.16213E+01    0.64825E+07    0.27092E+05
    24    0.96617E+03    0.10190E-01    0.16630E+01    0.65521E+07    0.26381E+05
    25    0.98025E+03    0.11675E-01    0.17075E+01    0.66145E+07    0.25697E+05
    26    0.99455E+03    0.13401E-01    0.17573E+01    0.66706E+07    0.25034E+05
    27    0.10092E+04    0.15336E-01    0.18095E+01    0.67207E+07    0.24399E+05
    28    0.10241E+04    0.17477E-01    0.18615E+01    0.67652E+07    0.23799E+05
    29    0.10392E+04    0.19813E-01    0.19122E+01    0.68044E+07    0.23224E+05
    30    0.10546E+04    0.22342E-01    0.19592E+01    0.68387E+07    0.22665E+05
    31    0.10701E+04    0.25060E-01    0.19987E+01    0.68684E+07    0.22123E+05
    32    0.10858E+04    0.27960E-01    0.20270E+01    0.68941E+07    0.21602E+05
    33    0.11019E+04    0.31049E-01    0.20422E+01    0.69158E+07    0.21100E+05
    34    0.11181E+04    0.34349E-01    0.20449E+01    0.69337E+07    0.20614E+05
    35    0.11345E+04    0.37863E-01    0.20381E+01    0.69482E+07    0.20143E+05
    36    0.11512E+04    0.41601E-01    0.20233E+01    0.69596E+07    0.19685E+05
    37    0.11679E+04    0.45578E-01    0.19954E+01    0.69680E+07    0.19243E+05
    38    0.11848E+04    0.49817E-01    0.19515E+01    0.69735E+07    0.18819E+05
    39    0.12020E+04    0.54334E-01    0.18948E+01    0.69764E+07    0.18413E+05
    40    0.12192E+04    0.59153E-01    0.18297E+01    0.69768E+07    0.18020E+05
    41    0.12367E+04    0.64292E-01    0.17592E+01    0.69749E+07    0.17638E+05
    42    0.12543E+04    0.69741E-01    0.16816E+01    0.69709E+07    0.17268E+05
    43    0.12721E+04    0.75484E-01    0.15939E+01    0.69649E+07    0.16907E+05
    44    0.12899E+04    0.81487E-01    0.14941E+01    0.69570E+07    0.16557E+05
    45    0.13082E+04    0.87730E-01    0.13804E+01    0.69473E+07    0.16216E+05
    46    0.13266E+04    0.94199E-01    0.12493E+01    0.69359E+07    0.15884E+05
    47    0.13452E+04    0.10091E+00    0.11023E+01    0.69230E+07    0.15562E+05
    48    0.13639E+04    0.10791E+00    0.94467E+00    0.69086E+07    0.15249E+05
    49    0.13827E+04    0.11519E+00    0.78086E+00    0.68928E+07    0.14948E+05
    50    0.14019E+04    0.12275E+00    0.60874E+00    0.68758E+07    0.14658E+05
    51    0.14212E+04    0.13060E+00    0.42452E+00    0.68576E+07    0.14379E+05
    52    0.14410E+04    0.13880E+00    0.22374E+00    0.68382E+07    0.14110E+05
    53    0.14607E+04    0.14746E+00    0.36080E-02    0.68179E+07    0.13850E+05
