#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11114E+04    0.36860E+01    0.13299E-02    0.36860E+01    0.56055E-01   -0.69784E-05    0.13299E-02   -0.69784E-05    0.91938E-08
     3    0.10480E+04    0.45446E+01    0.94642E-03    0.45446E+01    0.91148E-01   -0.60146E-05    0.94642E-03   -0.60146E-05    0.55924E-08
     4    0.98547E+03    0.46453E+01    0.72031E-03    0.46453E+01    0.10242E+00   -0.46884E-05    0.72031E-03   -0.46884E-05    0.38714E-08
     5    0.93620E+03    0.42966E+01    0.57159E-03    0.42966E+01    0.90988E-01   -0.33777E-05    0.57159E-03   -0.33777E-05    0.28808E-08
     6    0.90014E+03    0.37370E+01    0.46685E-03    0.37370E+01    0.67447E-01   -0.22198E-05    0.46685E-03   -0.22198E-05    0.22453E-08
     7    0.87506E+03    0.31188E+01    0.38951E-03    0.31188E+01    0.43118E-01   -0.12763E-05    0.38951E-03   -0.12763E-05    0.18083E-08
     8    0.85818E+03    0.25310E+01    0.33043E-03    0.25310E+01    0.24930E-01   -0.56560E-06    0.33043E-03   -0.56560E-06    0.14923E-08
     9    0.84793E+03    0.20258E+01    0.28411E-03    0.20258E+01    0.14527E-01   -0.79774E-07    0.28411E-03   -0.79774E-07    0.12553E-08
    10    0.84276E+03    0.16303E+01    0.24707E-03    0.16303E+01    0.10069E-01    0.20763E-06    0.24707E-03    0.20763E-06    0.10720E-08
    11    0.84146E+03    0.13519E+01    0.21708E-03    0.13519E+01    0.86503E-02    0.33530E-06    0.21708E-03    0.33530E-06    0.92716E-09
    12    0.84359E+03    0.11842E+01    0.19236E-03    0.11842E+01    0.80772E-02    0.34688E-06    0.19236E-03    0.34688E-06    0.81007E-09
    13    0.84780E+03    0.11091E+01    0.17181E-03    0.11091E+01    0.73198E-02    0.28389E-06    0.17181E-03    0.28389E-06    0.71423E-09
    14    0.85366E+03    0.11042E+01    0.15449E-03    0.11042E+01    0.64471E-02    0.18450E-06    0.15449E-03    0.18450E-06    0.63445E-09
    15    0.86104E+03    0.11462E+01    0.13975E-03    0.11462E+01    0.57496E-02    0.76497E-07    0.13975E-03    0.76497E-07    0.56739E-09
    16    0.86975E+03    0.12140E+01    0.12701E-03    0.12140E+01    0.54652E-02   -0.17913E-07    0.12701E-03   -0.17913E-07    0.51035E-09
    17    0.87961E+03    0.12912E+01    0.11595E-03    0.12912E+01    0.56183E-02   -0.88372E-07    0.11595E-03   -0.88372E-07    0.46146E-09
    18    0.88978E+03    0.13658E+01    0.10627E-03    0.13658E+01    0.59867E-02   -0.12949E-06    0.10627E-03   -0.12949E-06    0.41919E-09
    19    0.90154E+03    0.14333E+01    0.97728E-04    0.14333E+01    0.64214E-02   -0.14386E-06    0.97728E-04   -0.14386E-06    0.38239E-09
    20    0.91361E+03    0.14893E+01    0.90126E-04    0.14893E+01    0.68770E-02   -0.13660E-06    0.90126E-04   -0.13660E-06    0.35010E-09
    21    0.92615E+03    0.15370E+01    0.83330E-04    0.15370E+01    0.73805E-02   -0.11499E-06    0.83330E-04   -0.11499E-06    0.32163E-09
    22    0.93918E+03    0.15801E+01    0.77239E-04    0.15801E+01    0.80561E-02   -0.86586E-07    0.77239E-04   -0.86586E-07    0.29641E-09
    23    0.95248E+03    0.16213E+01    0.71773E-04    0.16213E+01    0.89849E-02   -0.57763E-07    0.71773E-04   -0.57763E-07    0.27397E-09
    24    0.96617E+03    0.16630E+01    0.66862E-04    0.16630E+01    0.10190E-01   -0.33851E-07    0.66862E-04   -0.33851E-07    0.25387E-09
    25    0.98025E+03    0.17075E+01    0.62424E-04    0.17075E+01    0.11675E-01   -0.17073E-07    0.62424E-04   -0.17073E-07    0.23582E-09
    26    0.99455E+03    0.17573E+01    0.58388E-04    0.17573E+01    0.13401E-01   -0.84564E-08    0.58388E-04   -0.84564E-08    0.21955E-09
    27    0.10092E+04    0.18095E+01    0.54724E-04    0.18095E+01    0.15336E-01   -0.73437E-08    0.54724E-04   -0.73437E-08    0.20484E-09
    28    0.10241E+04    0.18615E+01    0.51405E-04    0.18615E+01    0.17477E-01   -0.12323E-07    0.51405E-04   -0.12323E-07    0.19148E-09
    29    0.10392E+04    0.19122E+01    0.48376E-04    0.19122E+01    0.19813E-01   -0.20647E-07    0.48376E-04   -0.20647E-07    0.17933E-09
    30    0.10546E+04    0.19592E+01    0.45587E-04    0.19592E+01    0.22342E-01   -0.29479E-07    0.45587E-04   -0.29479E-07    0.16823E-09
    31    0.10701E+04    0.19987E+01    0.43017E-04    0.19987E+01    0.25060E-01   -0.36957E-07    0.43017E-04   -0.36957E-07    0.15807E-09
    32    0.10858E+04    0.20270E+01    0.40652E-04    0.20270E+01    0.27960E-01   -0.41747E-07    0.40652E-04   -0.41747E-07    0.14875E-09
