#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.350409E-05   0.177751E+08   0.177751E+08   0.236988E+08   0.236988E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.166437E+01
   0.362285E-05   0.177751E+08   0.177751E+08   0.236987E+08   0.236987E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.172078E+01
   0.374563E-05   0.177751E+08   0.177751E+08   0.236986E+08   0.236985E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.177909E+01
   0.387257E-05   0.177751E+08   0.177751E+08   0.236985E+08   0.236984E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.183938E+01
   0.400381E-05   0.177751E+08   0.177751E+08   0.236984E+08   0.236983E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.190172E+01
   0.413950E-05   0.177751E+08   0.177751E+08   0.236982E+08   0.236982E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.196616E+01
   0.427979E-05   0.177751E+08   0.177751E+08   0.236981E+08   0.236981E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.203280E+01
   0.442483E-05   0.177751E+08   0.177751E+08   0.236980E+08   0.236979E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.210168E+01
   0.457479E-05   0.177751E+08   0.177751E+08   0.236978E+08   0.236978E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.217291E+01
   0.472983E-05   0.177751E+08   0.177751E+08   0.236977E+08   0.236976E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.224654E+01
   0.489013E-05   0.177751E+08   0.177751E+08   0.236975E+08   0.236974E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.232268E+01
   0.505585E-05   0.177751E+08   0.177751E+08   0.236973E+08   0.236972E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.240139E+01
   0.522720E-05   0.177751E+08   0.177751E+08   0.236971E+08   0.236970E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.248276E+01
   0.540435E-05   0.177751E+08   0.177751E+08   0.236969E+08   0.236968E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.256690E+01
   0.558751E-05   0.177751E+08   0.177751E+08   0.236967E+08   0.236966E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.265389E+01
   0.577687E-05   0.177751E+08   0.177751E+08   0.236964E+08   0.236963E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.274382E+01
   0.597265E-05   0.177751E+08   0.177751E+08   0.236962E+08   0.236961E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.283680E+01
   0.617506E-05   0.177751E+08   0.177751E+08   0.236959E+08   0.236958E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.293293E+01
   0.638434E-05   0.177751E+08   0.177751E+08   0.236956E+08   0.236955E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.303232E+01
   0.660070E-05   0.177751E+08   0.177751E+08   0.236953E+08   0.236952E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941227E+07   0.941227E+07   0.313507E+01
   0.682440E-05   0.177751E+08   0.177751E+08   0.236950E+08   0.236948E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.324131E+01
   0.705568E-05   0.177751E+08   0.177751E+08   0.236946E+08   0.236944E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.335115E+01
   0.729480E-05   0.177751E+08   0.177751E+08   0.236942E+08   0.236940E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.346470E+01
   0.754202E-05   0.177751E+08   0.177751E+08   0.236938E+08   0.236936E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.358211E+01
   0.779763E-05   0.177751E+08   0.177751E+08   0.236934E+08   0.236932E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.370349E+01
   0.806189E-05   0.177751E+08   0.177751E+08   0.236929E+08   0.236927E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.382898E+01
   0.833511E-05   0.177751E+08   0.177751E+08   0.236924E+08   0.236922E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.395872E+01
   0.861759E-05   0.177751E+08   0.177751E+08   0.236919E+08   0.236916E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.409286E+01
   0.890964E-05   0.177751E+08   0.177751E+08   0.236913E+08   0.236910E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.423154E+01
   0.921159E-05   0.177751E+08   0.177751E+08   0.236907E+08   0.236904E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.437492E+01
   0.952377E-05   0.177751E+08   0.177751E+08   0.236900E+08   0.236897E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.452315E+01
   0.984654E-05   0.177751E+08   0.177751E+08   0.236893E+08   0.236890E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.467641E+01
   0.101802E-04   0.177751E+08   0.177751E+08   0.236886E+08   0.236883E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.483485E+01
   0.105253E-04   0.177751E+08   0.177751E+08   0.236878E+08   0.236874E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.499866E+01
   0.108820E-04   0.177751E+08   0.177751E+08   0.236869E+08   0.236866E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.516802E+01
