#    L    TT             EE             BB             TE          
     2    0.10677E+04    0.50976E-01    0.17878E-05    0.33706E+01
     3    0.10094E+04    0.84907E-01    0.35796E-05    0.42329E+01
     4    0.95152E+03    0.97518E-01    0.59743E-05    0.43834E+01
     5    0.90614E+03    0.88573E-01    0.89766E-05    0.40981E+01
     6    0.87318E+03    0.67178E-01    0.12591E-04    0.35986E+01
     7    0.85058E+03    0.43923E-01    0.16823E-04    0.30300E+01
     8    0.83576E+03    0.25835E-01    0.21676E-04    0.24788E+01
     9    0.82721E+03    0.15077E-01    0.27155E-04    0.19972E+01
    10    0.82355E+03    0.10289E-01    0.33263E-04    0.16142E+01
    11    0.82357E+03    0.87701E-02    0.40002E-04    0.13392E+01
    12    0.82691E+03    0.82736E-02    0.47373E-04    0.11690E+01
    13    0.83226E+03    0.76209E-02    0.55376E-04    0.10884E+01
    14    0.83924E+03    0.67548E-02    0.64009E-04    0.10772E+01
    15    0.84769E+03    0.59769E-02    0.73271E-04    0.11140E+01
    16    0.85746E+03    0.55736E-02    0.83159E-04    0.11784E+01
    17    0.86836E+03    0.56316E-02    0.93670E-04    0.12534E+01
    18    0.87957E+03    0.59758E-02    0.10480E-03    0.13269E+01
    19    0.89237E+03    0.64312E-02    0.11655E-03    0.13941E+01
    20    0.90549E+03    0.69110E-02    0.12892E-03    0.14506E+01
    21    0.91909E+03    0.74114E-02    0.14191E-03    0.14982E+01
    22    0.93319E+03    0.80378E-02    0.15551E-03    0.15394E+01
    23    0.94759E+03    0.88881E-02    0.16974E-03    0.15768E+01
    24    0.96239E+03    0.10008E-01    0.18459E-03    0.16129E+01
    25    0.97758E+03    0.11412E-01    0.20007E-03    0.16512E+01
    26    0.99302E+03    0.13066E-01    0.21618E-03    0.16953E+01
    27    0.10088E+04    0.14933E-01    0.23293E-03    0.17423E+01
    28    0.10249E+04    0.17003E-01    0.25032E-03    0.17895E+01
    29    0.10412E+04    0.19267E-01    0.26837E-03    0.18363E+01
    30    0.10577E+04    0.21724E-01    0.28707E-03    0.18805E+01
    31    0.10744E+04    0.24378E-01    0.30644E-03    0.19182E+01
    32    0.10914E+04    0.27221E-01    0.32646E-03    0.19457E+01
    33    0.11086E+04    0.30249E-01    0.34714E-03    0.19619E+01
    34    0.11260E+04    0.33470E-01    0.36849E-03    0.19670E+01
    35    0.11437E+04    0.36891E-01    0.39050E-03    0.19604E+01
    36    0.11616E+04    0.40529E-01    0.41318E-03    0.19411E+01
    37    0.11796E+04    0.44409E-01    0.43650E-03    0.19097E+01
    38    0.11978E+04    0.48562E-01    0.46048E-03    0.18687E+01
    39    0.12163E+04    0.52982E-01    0.48511E-03    0.18181E+01
    40    0.12349E+04    0.57661E-01    0.51039E-03    0.17573E+01
    41    0.12537E+04    0.62601E-01    0.53630E-03    0.16853E+01
    42    0.12726E+04    0.67817E-01    0.56286E-03    0.16020E+01
    43    0.12917E+04    0.73330E-01    0.59005E-03    0.15071E+01
    44    0.13108E+04    0.79143E-01    0.61788E-03    0.14013E+01
    45    0.13303E+04    0.85273E-01    0.64635E-03    0.12854E+01
    46    0.13501E+04    0.91730E-01    0.67547E-03    0.11580E+01
    47    0.13700E+04    0.98492E-01    0.70522E-03    0.10187E+01
    48    0.13900E+04    0.10554E+00    0.73562E-03    0.87002E+00
    49    0.14102E+04    0.11282E+00    0.76668E-03    0.71385E+00
    50    0.14307E+04    0.12028E+00    0.79839E-03    0.54536E+00
    51    0.14514E+04    0.12788E+00    0.83076E-03    0.35884E+00
    52    0.14725E+04    0.13573E+00    0.86379E-03    0.15091E+00
    53    0.14936E+04    0.14399E+00    0.89748E-03   -0.79424E-01
    54    0.15146E+04    0.15271E+00    0.93184E-03   -0.32516E+00
    55    0.15357E+04    0.16188E+00    0.96685E-03   -0.57920E+00
    56    0.15572E+04    0.17139E+00    0.10025E-02   -0.84115E+00
    57    0.15789E+04    0.18111E+00    0.10389E-02   -0.11112E+01
    58    0.16009E+04    0.19103E+00    0.10759E-02   -0.13909E+01
    59    0.16231E+04    0.20115E+00    0.11135E-02   -0.16819E+01
    60    0.16455E+04    0.21152E+00    0.11518E-02   -0.19842E+01
    61    0.16684E+04    0.22221E+00    0.11907E-02   -0.22981E+01
    62    0.16913E+04    0.23321E+00    0.12303E-02   -0.26258E+01
    63    0.17143E+04    0.24449E+00    0.12705E-02   -0.29700E+01
    64    0.17377E+04    0.25609E+00    0.13113E-02   -0.33333E+01
    65    0.17611E+04    0.26798E+00    0.13528E-02   -0.37179E+01
    66    0.17847E+04    0.28011E+00    0.13949E-02   -0.41228E+01
    67    0.18085E+04    0.29249E+00    0.14376E-02   -0.45431E+01
    68    0.18326E+04    0.30513E+00    0.14810E-02   -0.49743E+01
    69    0.18570E+04    0.31799E+00    0.15250E-02   -0.54118E+01
    70    0.18817E+04    0.33110E+00    0.15697E-02   -0.58545E+01
    71    0.19067E+04    0.34444E+00    0.16150E-02   -0.63028E+01
    72    0.19319E+04    0.35798E+00    0.16610E-02   -0.67593E+01
    73    0.19573E+04    0.37169E+00    0.17076E-02   -0.72268E+01
    74    0.19828E+04    0.38556E+00    0.17549E-02   -0.77068E+01
    75    0.20086E+04    0.39959E+00    0.18028E-02   -0.82000E+01
    76    0.20346E+04    0.41381E+00    0.18514E-02   -0.87073E+01
    77    0.20609E+04    0.42820E+00    0.19007E-02   -0.92286E+01
    78    0.20874E+04    0.44281E+00    0.19507E-02   -0.97646E+01
    79    0.21142E+04    0.45762E+00    0.20013E-02   -0.10311E+02
    80    0.21412E+04    0.47264E+00    0.20525E-02   -0.10869E+02
    81    0.21684E+04    0.48783E+00    0.21045E-02   -0.11438E+02
    82    0.21959E+04    0.50319E+00    0.21571E-02   -0.12016E+02
    83    0.22236E+04    0.51864E+00    0.22103E-02   -0.12603E+02
