#           k/h    P           
    0.10000E-03    0.30367E+00
    0.10202E-03    0.30966E+00
    0.10408E-03    0.31577E+00
    0.10618E-03    0.32200E+00
    0.10833E-03    0.32835E+00
    0.11052E-03    0.33482E+00
    0.11275E-03    0.34142E+00
    0.11503E-03    0.34815E+00
    0.11735E-03    0.35502E+00
    0.11972E-03    0.36201E+00
    0.12214E-03    0.36915E+00
    0.12461E-03    0.37642E+00
    0.12712E-03    0.38384E+00
    0.12969E-03    0.39140E+00
    0.13231E-03    0.39911E+00
    0.13499E-03    0.40696E+00
    0.13771E-03    0.41498E+00
    0.14049E-03    0.42315E+00
    0.14333E-03    0.43147E+00
    0.14623E-03    0.43996E+00
    0.14918E-03    0.44862E+00
    0.15220E-03    0.45744E+00
    0.15527E-03    0.46644E+00
    0.15841E-03    0.47561E+00
    0.16161E-03    0.48496E+00
    0.16487E-03    0.49449E+00
    0.16820E-03    0.50420E+00
    0.17160E-03    0.51410E+00
    0.17507E-03    0.52420E+00
    0.17860E-03    0.53449E+00
    0.18221E-03    0.54498E+00
    0.18589E-03    0.55567E+00
    0.18965E-03    0.56657E+00
    0.19348E-03    0.57767E+00
    0.19739E-03    0.58900E+00
    0.20138E-03    0.60053E+00
    0.20544E-03    0.61229E+00
    0.20959E-03    0.62428E+00
    0.21383E-03    0.63650E+00
    0.21815E-03    0.64895E+00
    0.22255E-03    0.66163E+00
    0.22705E-03    0.67456E+00
    0.23164E-03    0.68774E+00
    0.23632E-03    0.70117E+00
    0.24109E-03    0.71485E+00
    0.24596E-03    0.72879E+00
    0.25093E-03    0.74299E+00
    0.25600E-03    0.75746E+00
    0.26117E-03    0.77221E+00
    0.26645E-03    0.78723E+00
    0.27183E-03    0.80254E+00
    0.27732E-03    0.81813E+00
    0.28292E-03    0.83401E+00
    0.28864E-03    0.85019E+00
    0.29447E-03    0.86667E+00
    0.30042E-03    0.88346E+00
    0.30649E-03    0.90055E+00
    0.31268E-03    0.91797E+00
    0.31899E-03    0.93570E+00
    0.32544E-03    0.95376E+00
    0.33201E-03    0.97214E+00
    0.33872E-03    0.99086E+00
    0.34556E-03    0.10099E+01
    0.35254E-03    0.10293E+01
    0.35966E-03    0.10491E+01
    0.36693E-03    0.10692E+01
    0.37434E-03    0.10897E+01
    0.38190E-03    0.11105E+01
    0.38962E-03    0.11317E+01
    0.39749E-03    0.11533E+01
    0.40552E-03    0.11752E+01
    0.41371E-03    0.11976E+01
    0.42207E-03    0.12203E+01
    0.43060E-03    0.12434E+01
    0.43929E-03    0.12669E+01
    0.44817E-03    0.12908E+01
    0.45722E-03    0.13151E+01
    0.46646E-03    0.13399E+01
    0.47588E-03    0.13650E+01
    0.48550E-03    0.13906E+01
    0.49530E-03    0.14165E+01
    0.50531E-03    0.14429E+01
    0.51552E-03    0.14697E+01
    0.52593E-03    0.14970E+01
    0.53656E-03    0.15246E+01
    0.54739E-03    0.15527E+01
    0.55845E-03    0.15813E+01
    0.56973E-03    0.16102E+01
    0.58124E-03    0.16397E+01
    0.59299E-03    0.16695E+01
    0.60496E-03    0.16998E+01
    0.61719E-03    0.17305E+01
    0.62965E-03    0.17616E+01
    0.64237E-03    0.17932E+01
    0.65535E-03    0.18252E+01
    0.66859E-03    0.18577E+01
    0.68210E-03    0.18906E+01
    0.69588E-03    0.19238E+01
    0.70993E-03    0.19576E+01
    0.72427E-03    0.19917E+01
    0.73891E-03    0.20262E+01
    0.75383E-03    0.20611E+01
    0.76906E-03    0.20964E+01
    0.78460E-03    0.21321E+01
    0.80045E-03    0.21682E+01
    0.81662E-03    0.22046E+01
    0.83311E-03    0.22414E+01
    0.84994E-03    0.22785E+01
    0.86711E-03    0.23159E+01
    0.88463E-03    0.23537E+01
    0.90250E-03    0.23917E+01
    0.92073E-03    0.24299E+01
    0.93933E-03    0.24684E+01
    0.95831E-03    0.25072E+01
    0.97767E-03    0.25461E+01
    0.99742E-03    0.25852E+01
    0.10176E-02    0.26244E+01
    0.10381E-02    0.26638E+01
    0.10591E-02    0.27032E+01
    0.10805E-02    0.27426E+01
    0.11023E-02    0.27821E+01
    0.11246E-02    0.28215E+01
    0.11473E-02    0.28609E+01
    0.11705E-02    0.29001E+01
    0.11941E-02    0.29392E+01
    0.12182E-02    0.29780E+01
    0.12429E-02    0.30166E+01
    0.12680E-02    0.30548E+01
    0.12936E-02    0.30927E+01
    0.13197E-02    0.31301E+01
    0.13464E-02    0.31670E+01
    0.13736E-02    0.32034E+01
    0.14013E-02    0.32391E+01
    0.14296E-02    0.32741E+01
    0.14585E-02    0.33083E+01
    0.14880E-02    0.33416E+01
    0.15180E-02    0.33740E+01
    0.15487E-02    0.34053E+01
    0.15800E-02    0.34355E+01
    0.16119E-02    0.34645E+01
    0.16445E-02    0.34922E+01
    0.16777E-02    0.35185E+01
    0.17116E-02    0.35433E+01
    0.17462E-02    0.35665E+01
    0.17814E-02    0.35880E+01
    0.18174E-02    0.36077E+01
    0.18541E-02    0.36255E+01
    0.18916E-02    0.36413E+01
    0.19298E-02    0.36550E+01
    0.19688E-02    0.36665E+01
    0.20086E-02    0.36756E+01
    0.20491E-02    0.36824E+01
    0.20905E-02    0.36866E+01
    0.21328E-02    0.36882E+01
    0.21758E-02    0.36870E+01
    0.22198E-02    0.36830E+01
    0.22646E-02    0.36762E+01
    0.23104E-02    0.36663E+01
    0.23571E-02    0.36534E+01
    0.24047E-02    0.36374E+01
    0.24533E-02    0.36181E+01
    0.25028E-02    0.35957E+01
    0.25534E-02    0.35699E+01
    0.26050E-02    0.35407E+01
    0.26576E-02    0.35084E+01
    0.27113E-02    0.34726E+01
    0.27660E-02    0.34329E+01
    0.28219E-02    0.33911E+01
    0.28789E-02    0.33478E+01
    0.29371E-02    0.33004E+01
    0.29964E-02    0.32481E+01
    0.30569E-02    0.31930E+01
    0.31187E-02    0.31351E+01
    0.31817E-02    0.30742E+01
    0.32460E-02    0.30108E+01
    0.33115E-02    0.29446E+01
    0.33784E-02    0.28756E+01
    0.34467E-02    0.28057E+01
    0.35163E-02    0.27357E+01
    0.35874E-02    0.26627E+01
    0.36598E-02    0.25864E+01
    0.37338E-02    0.25090E+01
    0.38092E-02    0.24309E+01
    0.38861E-02    0.23521E+01
    0.39646E-02    0.22728E+01
    0.40447E-02    0.21934E+01
    0.41264E-02    0.21141E+01
    0.42098E-02    0.20353E+01
    0.42948E-02    0.19572E+01
    0.43816E-02    0.18796E+01
    0.44701E-02    0.18031E+01
    0.45604E-02    0.17285E+01
    0.46525E-02    0.16558E+01
    0.47465E-02    0.15850E+01
    0.48424E-02    0.15163E+01
    0.49402E-02    0.14501E+01
    0.50400E-02    0.13863E+01
    0.51419E-02    0.13253E+01
    0.52457E-02    0.12670E+01
    0.53517E-02    0.12116E+01
    0.54598E-02    0.11593E+01
    0.55701E-02    0.11099E+01
    0.56826E-02    0.10633E+01
    0.57974E-02    0.10198E+01
    0.59145E-02    0.97913E+00
    0.60340E-02    0.94130E+00
    0.61559E-02    0.90621E+00
    0.62803E-02    0.87371E+00
    0.64072E-02    0.84363E+00
    0.65366E-02    0.81585E+00
    0.66686E-02    0.79021E+00
    0.68033E-02    0.76648E+00
    0.69408E-02    0.74445E+00
    0.70810E-02    0.72389E+00
    0.72240E-02    0.70459E+00
    0.73700E-02    0.68632E+00
    0.75189E-02    0.66882E+00
    0.76708E-02    0.65187E+00
    0.78257E-02    0.63527E+00
    0.79838E-02    0.61881E+00
    0.81451E-02    0.60231E+00
    0.83096E-02    0.58561E+00
    0.84775E-02    0.56861E+00
    0.86488E-02    0.55122E+00
    0.88235E-02    0.53340E+00
    0.90017E-02    0.51515E+00
    0.91836E-02    0.49649E+00
    0.93691E-02    0.47752E+00
    0.95583E-02    0.45834E+00
    0.97514E-02    0.43908E+00
    0.99484E-02    0.41991E+00
    0.10149E-01    0.40097E+00
    0.10354E-01    0.38244E+00
    0.10564E-01    0.36447E+00
    0.10777E-01    0.34718E+00
    0.10995E-01    0.33070E+00
    0.11217E-01    0.31508E+00
    0.11443E-01    0.30037E+00
    0.11675E-01    0.28657E+00
    0.11910E-01    0.27364E+00
    0.12151E-01    0.26152E+00
    0.12397E-01    0.25012E+00
    0.12647E-01    0.23932E+00
    0.12902E-01    0.22902E+00
    0.13163E-01    0.21907E+00
    0.13429E-01    0.20940E+00
    0.13700E-01    0.19990E+00
    0.13977E-01    0.19052E+00
    0.14259E-01    0.18123E+00
    0.14547E-01    0.17205E+00
    0.14841E-01    0.16301E+00
    0.15141E-01    0.15417E+00
    0.15447E-01    0.14561E+00
    0.15759E-01    0.13740E+00
    0.16077E-01    0.12960E+00
    0.16402E-01    0.12227E+00
    0.16734E-01    0.11541E+00
    0.17072E-01    0.10903E+00
    0.17416E-01    0.10307E+00
    0.17768E-01    0.97489E-01
    0.18127E-01    0.92208E-01
    0.18493E-01    0.87159E-01
    0.18867E-01    0.82282E-01
    0.19248E-01    0.77535E-01
    0.19637E-01    0.72902E-01
    0.20034E-01    0.68391E-01
    0.20438E-01    0.64028E-01
    0.20851E-01    0.59851E-01
    0.21272E-01    0.55896E-01
    0.21702E-01    0.52191E-01
    0.22141E-01    0.48742E-01
    0.22588E-01    0.45545E-01
    0.23044E-01    0.42573E-01
    0.23510E-01    0.39795E-01
    0.23985E-01    0.37177E-01
    0.24469E-01    0.34694E-01
    0.24964E-01    0.32329E-01
    0.25468E-01    0.30078E-01
    0.25982E-01    0.27942E-01
    0.26507E-01    0.25927E-01
    0.27043E-01    0.24036E-01
    0.27589E-01    0.22269E-01
    0.28146E-01    0.20620E-01
    0.28715E-01    0.19081E-01
    0.29295E-01    0.17647E-01
    0.29887E-01    0.16312E-01
    0.30490E-01    0.15070E-01
    0.31106E-01    0.13915E-01
    0.31735E-01    0.12839E-01
    0.32376E-01    0.11831E-01
    0.33030E-01    0.10880E-01
    0.33697E-01    0.99764E-02
    0.34378E-01    0.91198E-02
    0.35072E-01    0.83103E-02
    0.35781E-01    0.75498E-02
    0.36504E-01    0.68385E-02
    0.37241E-01    0.61761E-02
    0.37993E-01    0.55653E-02
    0.38761E-01    0.50114E-02
    0.39544E-01    0.45219E-02
    0.40343E-01    0.40966E-02
    0.41158E-01    0.37282E-02
    0.41989E-01    0.33989E-02
    0.42838E-01    0.30947E-02
    0.43703E-01    0.28095E-02
    0.44586E-01    0.25476E-02
    0.45486E-01    0.23157E-02
    0.46405E-01    0.21121E-02
    0.47343E-01    0.19306E-02
    0.48299E-01    0.17640E-02
    0.49275E-01    0.16136E-02
    0.50270E-01    0.14810E-02
    0.51286E-01    0.13632E-02
    0.52322E-01    0.12493E-02
    0.53379E-01    0.11357E-02
    0.54457E-01    0.10303E-02
    0.55557E-01    0.94517E-03
    0.56680E-01    0.87560E-03
    0.57825E-01    0.80660E-03
    0.58993E-01    0.73035E-03
    0.60184E-01    0.65921E-03
    0.61400E-01    0.60653E-03
    0.62641E-01    0.56499E-03
    0.63906E-01    0.51904E-03
    0.65197E-01    0.46768E-03
    0.66514E-01    0.42373E-03
    0.67858E-01    0.39094E-03
    0.69229E-01    0.35943E-03
    0.70627E-01    0.32487E-03
    0.72054E-01    0.29376E-03
    0.73510E-01    0.26827E-03
    0.74994E-01    0.24346E-03
    0.76509E-01    0.21859E-03
    0.78055E-01    0.19718E-03
    0.79632E-01    0.17882E-03
    0.81241E-01    0.16049E-03
    0.82882E-01    0.14304E-03
    0.84556E-01    0.12882E-03
    0.86264E-01    0.11586E-03
    0.88007E-01    0.10244E-03
    0.89785E-01    0.91581E-04
    0.91598E-01    0.82555E-04
    0.93449E-01    0.72845E-04
    0.95337E-01    0.65230E-04
    0.97263E-01    0.58813E-04
    0.99227E-01    0.51812E-04
    0.10123E+00    0.47046E-04
    0.10328E+00    0.42267E-04
    0.10536E+00    0.37583E-04
    0.10749E+00    0.34451E-04
    0.10966E+00    0.30964E-04
    0.11188E+00    0.28008E-04
    0.11414E+00    0.25388E-04
    0.11644E+00    0.23430E-04
    0.11880E+00    0.20976E-04
    0.12120E+00    0.19264E-04
    0.12365E+00    0.17625E-04
    0.12614E+00    0.15705E-04
    0.12869E+00    0.14537E-04
    0.13129E+00    0.12855E-04
    0.13394E+00    0.11780E-04
    0.13665E+00    0.10461E-04
    0.13941E+00    0.94004E-05
    0.14223E+00    0.82862E-05
    0.14510E+00    0.74211E-05
    0.14803E+00    0.65081E-05
    0.15102E+00    0.58261E-05
    0.15407E+00    0.50966E-05
    0.15718E+00    0.45278E-05
    0.16036E+00    0.40179E-05
    0.16360E+00    0.35326E-05
    0.16690E+00    0.32013E-05
    0.17028E+00    0.28359E-05
    0.17371E+00    0.25899E-05
    0.17722E+00    0.23189E-05
    0.18080E+00    0.21119E-05
    0.18446E+00    0.19044E-05
    0.18818E+00    0.17214E-05
    0.19198E+00    0.15502E-05
    0.19586E+00    0.13751E-05
    0.19982E+00    0.12453E-05
    0.20386E+00    0.11015E-05
    0.20797E+00    0.97875E-06
    0.21218E+00    0.85820E-06
    0.21646E+00    0.75115E-06
    0.22083E+00    0.67779E-06
    0.22530E+00    0.59184E-06
    0.22985E+00    0.52222E-06
    0.23449E+00    0.47833E-06
    0.23923E+00    0.41798E-06
    0.24406E+00    0.37490E-06
    0.24899E+00    0.33918E-06
    0.25402E+00    0.30449E-06
    0.25915E+00    0.27703E-06
    0.26439E+00    0.24334E-06
    0.26973E+00    0.21386E-06
    0.27518E+00    0.19024E-06
    0.28074E+00    0.16873E-06
    0.28641E+00    0.14948E-06
    0.29219E+00    0.13293E-06
    0.29810E+00    0.11781E-06
    0.30412E+00    0.10475E-06
    0.31026E+00    0.93578E-07
    0.31653E+00    0.83313E-07
    0.32292E+00    0.73814E-07
    0.32945E+00    0.65707E-07
    0.33610E+00    0.57815E-07
    0.34289E+00    0.50666E-07
    0.34982E+00    0.45819E-07
    0.35689E+00    0.41158E-07
    0.36409E+00    0.36076E-07
    0.37145E+00    0.31625E-07
    0.37895E+00    0.28278E-07
    0.38661E+00    0.25116E-07
    0.39442E+00    0.22379E-07
    0.40239E+00    0.19853E-07
    0.41052E+00    0.17404E-07
    0.41881E+00    0.15249E-07
    0.42727E+00    0.13675E-07
    0.43590E+00    0.12314E-07
    0.44471E+00    0.10806E-07
    0.45369E+00    0.96535E-08
    0.46286E+00    0.84706E-08
    0.47221E+00    0.74528E-08
    0.48174E+00    0.66871E-08
    0.49148E+00    0.57589E-08
