#    L    TT             EE             TE             PP             TP          
     2    0.10677E+04    0.50974E-01    0.33706E+01    0.10873E+07    0.30041E+05
     3    0.10094E+04    0.84904E-01    0.42329E+01    0.16747E+07    0.35946E+05
     4    0.95151E+03    0.97512E-01    0.43834E+01    0.21977E+07    0.38809E+05
     5    0.90612E+03    0.88564E-01    0.40981E+01    0.26599E+07    0.40019E+05
     6    0.87315E+03    0.67165E-01    0.35986E+01    0.30680E+07    0.40277E+05
     7    0.85054E+03    0.43906E-01    0.30300E+01    0.34297E+07    0.39968E+05
     8    0.83571E+03    0.25813E-01    0.24789E+01    0.37518E+07    0.39319E+05
     9    0.82715E+03    0.15050E-01    0.19972E+01    0.40399E+07    0.38471E+05
    10    0.82349E+03    0.10256E-01    0.16142E+01    0.42979E+07    0.37516E+05
    11    0.82350E+03    0.87301E-02    0.13392E+01    0.45304E+07    0.36531E+05
    12    0.82682E+03    0.82263E-02    0.11690E+01    0.47393E+07    0.35543E+05
    13    0.83216E+03    0.75656E-02    0.10884E+01    0.49273E+07    0.34575E+05
    14    0.83912E+03    0.66908E-02    0.10773E+01    0.50972E+07    0.33644E+05
    15    0.84756E+03    0.59037E-02    0.11141E+01    0.52508E+07    0.32745E+05
    16    0.85731E+03    0.54905E-02    0.11785E+01    0.53896E+07    0.31870E+05
    17    0.86819E+03    0.55380E-02    0.12536E+01    0.55151E+07    0.31025E+05
    18    0.87938E+03    0.58711E-02    0.13270E+01    0.56288E+07    0.30215E+05
    19    0.89217E+03    0.63148E-02    0.13943E+01    0.57314E+07    0.29429E+05
    20    0.90527E+03    0.67822E-02    0.14507E+01    0.58235E+07    0.28657E+05
    21    0.91885E+03    0.72697E-02    0.14984E+01    0.59065E+07    0.27903E+05
    22    0.93293E+03    0.78825E-02    0.15396E+01    0.59813E+07    0.27173E+05
    23    0.94730E+03    0.87186E-02    0.15770E+01    0.60485E+07    0.26469E+05
    24    0.96207E+03    0.98236E-02    0.16132E+01    0.61083E+07    0.25794E+05
    25    0.97724E+03    0.11212E-01    0.16515E+01    0.61614E+07    0.25145E+05
    26    0.99265E+03    0.12850E-01    0.16956E+01    0.62086E+07    0.24519E+05
    27    0.10085E+04    0.14700E-01    0.17427E+01    0.62503E+07    0.23922E+05
    28    0.10244E+04    0.16753E-01    0.17900E+01    0.62867E+07    0.23356E+05
    29    0.10407E+04    0.18999E-01    0.18368E+01    0.63183E+07    0.22815E+05
    30    0.10573E+04    0.21438E-01    0.18811E+01    0.63454E+07    0.22288E+05
    31    0.10739E+04    0.24072E-01    0.19188E+01    0.63683E+07    0.21782E+05
    32    0.10908E+04    0.26895E-01    0.19464E+01    0.63874E+07    0.21301E+05
    33    0.11081E+04    0.29902E-01    0.19627E+01    0.64030E+07    0.20839E+05
    34    0.11255E+04    0.33103E-01    0.19679E+01    0.64151E+07    0.20387E+05
    35    0.11431E+04    0.36502E-01    0.19614E+01    0.64241E+07    0.19946E+05
    36    0.11610E+04    0.40117E-01    0.19422E+01    0.64303E+07    0.19518E+05
    37    0.11789E+04    0.43974E-01    0.19109E+01    0.64337E+07    0.19104E+05
    38    0.11971E+04    0.48104E-01    0.18700E+01    0.64346E+07    0.18703E+05
    39    0.12156E+04    0.52500E-01    0.18195E+01    0.64331E+07    0.18318E+05
    40    0.12341E+04    0.57154E-01    0.17588E+01    0.64294E+07    0.17948E+05
    41    0.12530E+04    0.62069E-01    0.16870E+01    0.64237E+07    0.17593E+05
    42    0.12718E+04    0.67259E-01    0.16038E+01    0.64160E+07    0.17253E+05
    43    0.12909E+04    0.72745E-01    0.15089E+01    0.64066E+07    0.16925E+05
    44    0.13099E+04    0.78532E-01    0.14033E+01    0.63955E+07    0.16608E+05
    45    0.13294E+04    0.84635E-01    0.12875E+01    0.63828E+07    0.16300E+05
    46    0.13491E+04    0.91064E-01    0.11602E+01    0.63686E+07    0.16000E+05
    47    0.13690E+04    0.97798E-01    0.10210E+01    0.63531E+07    0.15708E+05
    48    0.13890E+04    0.10481E+00    0.87240E+00    0.63363E+07    0.15421E+05
    49    0.14091E+04    0.11206E+00    0.71634E+00    0.63183E+07    0.15141E+05
    50    0.14296E+04    0.11950E+00    0.54796E+00    0.62992E+07    0.14867E+05
    51    0.14503E+04    0.12707E+00    0.36156E+00    0.62791E+07    0.14598E+05
    52    0.14714E+04    0.13488E+00    0.15374E+00    0.62580E+07    0.14336E+05
    53    0.14924E+04    0.14312E+00   -0.76484E-01    0.62360E+07    0.14081E+05
    54    0.15134E+04    0.15180E+00   -0.32211E+00    0.62132E+07    0.13835E+05
    55    0.15345E+04    0.16094E+00   -0.57604E+00    0.61896E+07    0.13598E+05
    56    0.15559E+04    0.17042E+00   -0.83789E+00    0.61653E+07    0.13371E+05
    57    0.15776E+04    0.18010E+00   -0.11078E+01    0.61403E+07    0.13153E+05
    58    0.15995E+04    0.18999E+00   -0.13875E+01    0.61147E+07    0.12944E+05
    59    0.16217E+04    0.20008E+00   -0.16783E+01    0.60885E+07    0.12741E+05
    60    0.16441E+04    0.21042E+00   -0.19806E+01    0.60617E+07    0.12544E+05
    61    0.16670E+04    0.22107E+00   -0.22945E+01    0.60345E+07    0.12351E+05
    62    0.16898E+04    0.23204E+00   -0.26222E+01    0.60068E+07    0.12162E+05
    63    0.17128E+04    0.24329E+00   -0.29663E+01    0.59787E+07    0.11976E+05
    64    0.17361E+04    0.25485E+00   -0.33296E+01    0.59503E+07    0.11792E+05
    65    0.17595E+04    0.26670E+00   -0.37142E+01    0.59215E+07    0.11611E+05
    66    0.17831E+04    0.27880E+00   -0.41192E+01    0.58924E+07    0.11432E+05
    67    0.18068E+04    0.29114E+00   -0.45395E+01    0.58630E+07    0.11255E+05
    68    0.18309E+04    0.30375E+00   -0.49708E+01    0.58333E+07    0.11083E+05
    69    0.18552E+04    0.31657E+00   -0.54084E+01    0.58034E+07    0.10915E+05
    70    0.18799E+04    0.32964E+00   -0.58512E+01    0.57733E+07    0.10753E+05
    71    0.19049E+04    0.34295E+00   -0.62996E+01    0.57430E+07    0.10599E+05
    72    0.19300E+04    0.35645E+00   -0.67563E+01    0.57126E+07    0.10451E+05
    73    0.19554E+04    0.37013E+00   -0.72240E+01    0.56820E+07    0.10307E+05
    74    0.19809E+04    0.38396E+00   -0.77042E+01    0.56513E+07    0.10168E+05
    75    0.20067E+04    0.39796E+00   -0.81976E+01    0.56205E+07    0.10032E+05
    76    0.20326E+04    0.41214E+00   -0.87052E+01    0.55896E+07    0.98981E+04
    77    0.20588E+04    0.42649E+00   -0.92267E+01    0.55586E+07    0.97659E+04
    78    0.20854E+04    0.44107E+00   -0.97631E+01    0.55276E+07    0.96352E+04
    79    0.21121E+04    0.45584E+00   -0.10310E+02    0.54965E+07    0.95060E+04
    80    0.21391E+04    0.47082E+00   -0.10868E+02    0.54654E+07    0.93779E+04
    81    0.21662E+04    0.48598E+00   -0.11437E+02    0.54344E+07    0.92509E+04
    82    0.21937E+04    0.50130E+00   -0.12016E+02    0.54033E+07    0.91258E+04
    83    0.22214E+04    0.51672E+00   -0.12603E+02    0.53722E+07    0.90033E+04
    84    0.22494E+04    0.53220E+00   -0.13197E+02    0.53411E+07    0.88842E+04
    85    0.22776E+04    0.54768E+00   -0.13796E+02    0.53101E+07    0.87694E+04
    86    0.23060E+04    0.56313E+00   -0.14401E+02    0.52792E+07    0.86594E+04
    87    0.23349E+04    0.57856E+00   -0.15010E+02    0.52483E+07    0.85536E+04
    88    0.23638E+04    0.59400E+00   -0.15625E+02    0.52175E+07    0.84514E+04
    89    0.23931E+04    0.60945E+00   -0.16247E+02    0.51868E+07    0.83518E+04
    90    0.24226E+04    0.62492E+00   -0.16875E+02    0.51561E+07    0.82542E+04
    91    0.24522E+04    0.64041E+00   -0.17509E+02    0.51255E+07    0.81579E+04
    92    0.24822E+04    0.65591E+00   -0.18149E+02    0.50951E+07    0.80627E+04
    93    0.25124E+04    0.67141E+00   -0.18794E+02    0.50647E+07    0.79687E+04
    94    0.25427E+04    0.68688E+00   -0.19444E+02    0.50345E+07    0.78759E+04
    95    0.25733E+04    0.70230E+00   -0.20099E+02    0.50043E+07    0.77842E+04
    96    0.26039E+04    0.71767E+00   -0.20759E+02    0.49743E+07    0.76938E+04
    97    0.26349E+04    0.73296E+00   -0.21422E+02    0.49444E+07    0.76045E+04
    98    0.26662E+04    0.74817E+00   -0.22085E+02    0.49146E+07    0.75165E+04
    99    0.26976E+04    0.76325E+00   -0.22753E+02    0.48849E+07    0.74297E+04
   100    0.27292E+04    0.77821E+00   -0.23421E+02    0.48554E+07    0.73441E+04
   101    0.27610E+04    0.79309E+00   -0.24091E+02    0.48260E+07    0.72598E+04
   102    0.27933E+04    0.80776E+00   -0.24761E+02    0.47968E+07    0.71767E+04
   103    0.28255E+04    0.82228E+00   -0.25432E+02    0.47677E+07    0.70949E+04
   104    0.28580E+04    0.83664E+00   -0.26100E+02    0.47387E+07    0.70144E+04
   105    0.28906E+04    0.85078E+00   -0.26768E+02    0.47099E+07    0.69351E+04
   106    0.29235E+04    0.86476E+00   -0.27435E+02    0.46813E+07    0.68571E+04
   107    0.29562E+04    0.87844E+00   -0.28098E+02    0.46528E+07    0.67804E+04
   108    0.29894E+04    0.89188E+00   -0.28759E+02    0.46245E+07    0.67051E+04
   109    0.30227E+04    0.90500E+00   -0.29416E+02    0.45963E+07    0.66310E+04
   110    0.30561E+04    0.91782E+00   -0.30067E+02    0.45684E+07    0.65583E+04
   111    0.30897E+04    0.93039E+00   -0.30715E+02    0.45406E+07    0.64869E+04
   112    0.31234E+04    0.94265E+00   -0.31358E+02    0.45130E+07    0.64168E+04
   113    0.31574E+04    0.95459E+00   -0.31994E+02    0.44855E+07    0.63480E+04
   114    0.31914E+04    0.96614E+00   -0.32623E+02    0.44583E+07    0.62804E+04
   115    0.32257E+04    0.97744E+00   -0.33245E+02    0.44312E+07    0.62141E+04
   116    0.32599E+04    0.98829E+00   -0.33860E+02    0.44043E+07    0.61489E+04
   117    0.32945E+04    0.99874E+00   -0.34465E+02    0.43776E+07    0.60848E+04
   118    0.33293E+04    0.10090E+01   -0.35063E+02    0.43511E+07    0.60219E+04
   119    0.33640E+04    0.10188E+01   -0.35651E+02    0.43247E+07    0.59601E+04
   120    0.33989E+04    0.10281E+01   -0.36228E+02    0.42986E+07    0.58994E+04
   121    0.34339E+04    0.10371E+01   -0.36795E+02    0.42726E+07    0.58397E+04
   122    0.34689E+04    0.10456E+01   -0.37351E+02    0.42468E+07    0.57809E+04
   123    0.35039E+04    0.10537E+01   -0.37897E+02    0.42211E+07    0.57232E+04
   124    0.35391E+04    0.10614E+01   -0.38428E+02    0.41957E+07    0.56664E+04
   125    0.35743E+04    0.10686E+01   -0.38947E+02    0.41704E+07    0.56105E+04
   126    0.36095E+04    0.10754E+01   -0.39454E+02    0.41454E+07    0.55554E+04
   127    0.36448E+04    0.10817E+01   -0.39948E+02    0.41205E+07    0.55012E+04
   128    0.36800E+04    0.10876E+01   -0.40427E+02    0.40957E+07    0.54479E+04
   129    0.37154E+04    0.10929E+01   -0.40892E+02    0.40712E+07    0.53953E+04
   130    0.37507E+04    0.10977E+01   -0.41340E+02    0.40469E+07    0.53435E+04
   131    0.37861E+04    0.11022E+01   -0.41775E+02    0.40227E+07    0.52924E+04
   132    0.38215E+04    0.11061E+01   -0.42193E+02    0.39987E+07    0.52420E+04
   133    0.38568E+04    0.11095E+01   -0.42596E+02    0.39749E+07    0.51923E+04
   134    0.38922E+04    0.11125E+01   -0.42979E+02    0.39513E+07    0.51433E+04
   135    0.39276E+04    0.11150E+01   -0.43346E+02    0.39278E+07    0.50949E+04
   136    0.39628E+04    0.11169E+01   -0.43693E+02    0.39046E+07    0.50472E+04
   137    0.39980E+04    0.11184E+01   -0.44022E+02    0.38815E+07    0.50001E+04
   138    0.40332E+04    0.11193E+01   -0.44332E+02    0.38585E+07    0.49537E+04
   139    0.40681E+04    0.11198E+01   -0.44621E+02    0.38358E+07    0.49078E+04
   140    0.41031E+04    0.11198E+01   -0.44891E+02    0.38132E+07    0.48626E+04
   141    0.41379E+04    0.11192E+01   -0.45140E+02    0.37909E+07    0.48179E+04
   142    0.41727E+04    0.11181E+01   -0.45367E+02    0.37686E+07    0.47738E+04
   143    0.42074E+04    0.11166E+01   -0.45574E+02    0.37466E+07    0.47302E+04
   144    0.42419E+04    0.11146E+01   -0.45759E+02    0.37247E+07    0.46871E+04
   145    0.42763E+04    0.11122E+01   -0.45921E+02    0.37030E+07    0.46446E+04
   146    0.43107E+04    0.11091E+01   -0.46061E+02    0.36815E+07    0.46026E+04
   147    0.43448E+04    0.11057E+01   -0.46178E+02    0.36602E+07    0.45610E+04
   148    0.43787E+04    0.11018E+01   -0.46272E+02    0.36390E+07    0.45199E+04
   149    0.44125E+04    0.10973E+01   -0.46342E+02    0.36180E+07    0.44793E+04
   150    0.44461E+04    0.10926E+01   -0.46385E+02    0.35971E+07    0.44391E+04
   151    0.44795E+04    0.10873E+01   -0.46406E+02    0.35764E+07    0.43993E+04
   152    0.45126E+04    0.10815E+01   -0.46402E+02    0.35559E+07    0.43599E+04
   153    0.45455E+04    0.10754E+01   -0.46371E+02    0.35356E+07    0.43210E+04
   154    0.45782E+04    0.10688E+01   -0.46316E+02    0.35154E+07    0.42825E+04
   155    0.46107E+04    0.10619E+01   -0.46235E+02    0.34954E+07    0.42443E+04
   156    0.46428E+04    0.10546E+01   -0.46128E+02    0.34755E+07    0.42066E+04
   157    0.46749E+04    0.10469E+01   -0.45995E+02    0.34558E+07    0.41693E+04
   158    0.47066E+04    0.10390E+01   -0.45835E+02    0.34362E+07    0.41324E+04
   159    0.47380E+04    0.10305E+01   -0.45649E+02    0.34169E+07    0.40959E+04
   160    0.47692E+04    0.10218E+01   -0.45435E+02    0.33976E+07    0.40598E+04
   161    0.48001E+04    0.10129E+01   -0.45195E+02    0.33786E+07    0.40240E+04
   162    0.48308E+04    0.10035E+01   -0.44928E+02    0.33596E+07    0.39887E+04
   163    0.48612E+04    0.99393E+00   -0.44634E+02    0.33409E+07    0.39538E+04
   164    0.48912E+04    0.98410E+00   -0.44313E+02    0.33223E+07    0.39192E+04
   165    0.49210E+04    0.97397E+00   -0.43964E+02    0.33038E+07    0.38850E+04
   166    0.49505E+04    0.96370E+00   -0.43588E+02    0.32855E+07    0.38512E+04
   167    0.49798E+04    0.95307E+00   -0.43185E+02    0.32673E+07    0.38177E+04
   168    0.50085E+04    0.94245E+00   -0.42754E+02    0.32493E+07    0.37846E+04
   169    0.50370E+04    0.93153E+00   -0.42294E+02    0.32314E+07    0.37519E+04
   170    0.50651E+04    0.92055E+00   -0.41807E+02    0.32137E+07    0.37196E+04
   171    0.50928E+04    0.90951E+00   -0.41290E+02    0.31961E+07    0.36876E+04
   172    0.51200E+04    0.89833E+00   -0.40745E+02    0.31787E+07    0.36559E+04
   173    0.51468E+04    0.88702E+00   -0.40173E+02    0.31614E+07    0.36247E+04
   174    0.51732E+04    0.87587E+00   -0.39572E+02    0.31442E+07    0.35937E+04
   175    0.51992E+04    0.86458E+00   -0.38943E+02    0.31272E+07    0.35631E+04
   176    0.52247E+04    0.85339E+00   -0.38285E+02    0.31103E+07    0.35329E+04
   177    0.52497E+04    0.84222E+00   -0.37599E+02    0.30936E+07    0.35030E+04
