#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10677E+04    0.33706E+01    0.13157E-02    0.33706E+01    0.50974E-01   -0.64667E-05    0.13157E-02   -0.64667E-05    0.87357E-08
     3    0.10094E+04    0.42329E+01    0.93292E-03    0.42329E+01    0.84904E-01   -0.56587E-05    0.93292E-03   -0.56587E-05    0.53158E-08
     4    0.95151E+03    0.43834E+01    0.70820E-03    0.43834E+01    0.97512E-01   -0.44741E-05    0.70820E-03   -0.44741E-05    0.36786E-08
     5    0.90612E+03    0.40981E+01    0.56085E-03    0.40981E+01    0.88564E-01   -0.32744E-05    0.56085E-03   -0.32744E-05    0.27355E-08
     6    0.87315E+03    0.35986E+01    0.45733E-03    0.35986E+01    0.67165E-01   -0.21943E-05    0.45733E-03   -0.21943E-05    0.21302E-08
     7    0.85054E+03    0.30300E+01    0.38105E-03    0.30300E+01    0.43906E-01   -0.12975E-05    0.38105E-03   -0.12975E-05    0.17139E-08
     8    0.83571E+03    0.24789E+01    0.32288E-03    0.24789E+01    0.25813E-01   -0.60792E-06    0.32288E-03   -0.60792E-06    0.14130E-08
     9    0.82715E+03    0.19972E+01    0.27735E-03    0.19972E+01    0.15050E-01   -0.12389E-06    0.27735E-03   -0.12389E-06    0.11873E-08
    10    0.82349E+03    0.16142E+01    0.24098E-03    0.16142E+01    0.10256E-01    0.17421E-06    0.24098E-03    0.17421E-06    0.10129E-08
    11    0.82350E+03    0.13392E+01    0.21156E-03    0.13392E+01    0.87301E-02    0.31879E-06    0.21156E-03    0.31879E-06    0.87512E-09
    12    0.82682E+03    0.11690E+01    0.18735E-03    0.11690E+01    0.82263E-02    0.34808E-06    0.18735E-03    0.34808E-06    0.76379E-09
    13    0.83216E+03    0.10884E+01    0.16725E-03    0.10884E+01    0.75656E-02    0.30014E-06    0.16725E-03    0.30014E-06    0.67273E-09
    14    0.83912E+03    0.10773E+01    0.15035E-03    0.10773E+01    0.66908E-02    0.21067E-06    0.15035E-03    0.21067E-06    0.59697E-09
    15    0.84756E+03    0.11141E+01    0.13598E-03    0.11141E+01    0.59037E-02    0.10712E-06    0.13598E-03    0.10712E-06    0.53334E-09
    16    0.85731E+03    0.11785E+01    0.12359E-03    0.11785E+01    0.54905E-02    0.12042E-07    0.12359E-03    0.12042E-07    0.47924E-09
    17    0.86819E+03    0.12536E+01    0.11284E-03    0.12536E+01    0.55380E-02   -0.63095E-07    0.11284E-03   -0.63095E-07    0.43292E-09
    18    0.87938E+03    0.13270E+01    0.10346E-03    0.13270E+01    0.58711E-02   -0.11149E-06    0.10346E-03   -0.11149E-06    0.39289E-09
    19    0.89217E+03    0.13943E+01    0.95209E-04    0.13943E+01    0.63148E-02   -0.13376E-06    0.95209E-04   -0.13376E-06    0.35806E-09
    20    0.90527E+03    0.14507E+01    0.87855E-04    0.14507E+01    0.67822E-02   -0.13319E-06    0.87855E-04   -0.13319E-06    0.32752E-09
    21    0.91885E+03    0.14984E+01    0.81284E-04    0.14984E+01    0.72697E-02   -0.11624E-06    0.81284E-04   -0.11624E-06    0.30062E-09
    22    0.93293E+03    0.15396E+01    0.75402E-04    0.15396E+01    0.78825E-02   -0.90035E-07    0.75402E-04   -0.90035E-07    0.27681E-09
    23    0.94730E+03    0.15770E+01    0.70125E-04    0.15770E+01    0.87186E-02   -0.61245E-07    0.70125E-04   -0.61245E-07    0.25562E-09
    24    0.96207E+03    0.16132E+01    0.65375E-04    0.16132E+01    0.98236E-02   -0.35694E-07    0.65375E-04   -0.35694E-07    0.23667E-09
    25    0.97724E+03    0.16515E+01    0.61083E-04    0.16515E+01    0.11212E-01   -0.16334E-07    0.61083E-04   -0.16334E-07    0.21966E-09
    26    0.99265E+03    0.16956E+01    0.57187E-04    0.16956E+01    0.12850E-01   -0.48753E-08    0.57187E-04   -0.48753E-08    0.20434E-09
    27    0.10085E+04    0.17427E+01    0.53653E-04    0.17427E+01    0.14700E-01   -0.95278E-09    0.53653E-04   -0.95278E-09    0.19050E-09
    28    0.10244E+04    0.17900E+01    0.50449E-04    0.17900E+01    0.16753E-01   -0.33986E-08    0.50449E-04   -0.33986E-08    0.17794E-09
