#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.347832E-05   0.492075E+06   0.492075E+06   0.656099E+06   0.656099E+06   0.525240E+06   0.492548E+06   0.492075E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.698155E-01
   0.359613E-05   0.492075E+06   0.492075E+06   0.656099E+06   0.656098E+06   0.525240E+06   0.492548E+06   0.492075E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.721802E-01
   0.371794E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525240E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.746250E-01
   0.384387E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525240E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.771526E-01
   0.397406E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525240E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.797658E-01
   0.410867E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525240E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.824676E-01
   0.424784E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.852609E-01
   0.439171E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.881487E-01
   0.454046E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.911344E-01
   0.469426E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.942212E-01
   0.485325E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.974126E-01
   0.501764E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.100712E+00
   0.518759E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656098E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.104123E+00
   0.536330E-05   0.492074E+06   0.492074E+06   0.656098E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.107650E+00
   0.554496E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.111296E+00
   0.573277E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.115066E+00
   0.592695E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.118963E+00
   0.612770E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.122993E+00
   0.633525E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656097E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.127159E+00
   0.654983E-05   0.492074E+06   0.492074E+06   0.656097E+06   0.656096E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.131466E+00
   0.677168E-05   0.492074E+06   0.492074E+06   0.656096E+06   0.656096E+06   0.525239E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.135918E+00
   0.700104E-05   0.492074E+06   0.492074E+06   0.656096E+06   0.656096E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.140522E+00
   0.723818E-05   0.492074E+06   0.492074E+06   0.656096E+06   0.656096E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.145282E+00
   0.748334E-05   0.492074E+06   0.492074E+06   0.656096E+06   0.656096E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.150203E+00
   0.773681E-05   0.492074E+06   0.492074E+06   0.656096E+06   0.656095E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.155290E+00
   0.799886E-05   0.492074E+06   0.492074E+06   0.656095E+06   0.656095E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.160550E+00
   0.826979E-05   0.492074E+06   0.492074E+06   0.656095E+06   0.656095E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.165988E+00
   0.854990E-05   0.492074E+06   0.492074E+06   0.656095E+06   0.656095E+06   0.525238E+06   0.492548E+06   0.492074E+06   0.498211E+06  -0.602607E+00   0.490466E+06   0.490466E+06   0.171610E+00
