#    L    TT             EE             BB             TE          
     2    0.10503E+04    0.49067E-01    0.14008E-05    0.33393E+01
     3    0.99685E+03    0.83112E-01    0.28054E-05    0.42088E+01
     4    0.94244E+03    0.97160E-01    0.46839E-05    0.43809E+01
     5    0.89943E+03    0.89975E-01    0.70404E-05    0.41217E+01
     6    0.86815E+03    0.69717E-01    0.98798E-05    0.36461E+01
     7    0.84679E+03    0.46623E-01    0.13207E-04    0.30960E+01
     8    0.83288E+03    0.27952E-01    0.17026E-04    0.25560E+01
     9    0.82514E+03    0.16362E-01    0.21341E-04    0.20786E+01
    10    0.82206E+03    0.10916E-01    0.26156E-04    0.16928E+01
    11    0.82265E+03    0.90889E-02    0.31471E-04    0.14108E+01
    12    0.82651E+03    0.85698E-02    0.37289E-04    0.12316E+01
    13    0.83229E+03    0.80181E-02    0.43610E-04    0.11425E+01
    14    0.83962E+03    0.72299E-02    0.50431E-04    0.11256E+01
    15    0.84838E+03    0.64813E-02    0.57752E-04    0.11603E+01
    16    0.85841E+03    0.60721E-02    0.65570E-04    0.12266E+01
    17    0.86953E+03    0.61397E-02    0.73882E-04    0.13071E+01
    18    0.88091E+03    0.65539E-02    0.82686E-04    0.13885E+01
    19    0.89382E+03    0.71256E-02    0.91980E-04    0.14652E+01
    20    0.90699E+03    0.77395E-02    0.10176E-03    0.15312E+01
    21    0.92059E+03    0.83685E-02    0.11203E-03    0.15870E+01
    22    0.93465E+03    0.91025E-02    0.12279E-03    0.16335E+01
    23    0.94896E+03    0.10054E-01    0.13405E-03    0.16742E+01
    24    0.96362E+03    0.11289E-01    0.14579E-03    0.17127E+01
    25    0.97865E+03    0.12835E-01    0.15803E-03    0.17516E+01
    26    0.99389E+03    0.14670E-01    0.17078E-03    0.17939E+01
    27    0.10095E+04    0.16756E-01    0.18403E-03    0.18379E+01
    28    0.10252E+04    0.19082E-01    0.19780E-03    0.18822E+01
    29    0.10412E+04    0.21632E-01    0.21209E-03    0.19261E+01
    30    0.10574E+04    0.24403E-01    0.22690E-03    0.19676E+01
    31    0.10738E+04    0.27399E-01    0.24223E-03    0.20032E+01
    32    0.10903E+04    0.30613E-01    0.25809E-03    0.20297E+01
    33    0.11072E+04    0.34037E-01    0.27448E-03    0.20445E+01
    34    0.11242E+04    0.37672E-01    0.29140E-03    0.20466E+01
    35    0.11415E+04    0.41533E-01    0.30885E-03    0.20351E+01
    36    0.11589E+04    0.45641E-01    0.32683E-03    0.20093E+01
    37    0.11764E+04    0.50005E-01    0.34533E-03    0.19708E+01
    38    0.11942E+04    0.54637E-01    0.36435E-03    0.19227E+01
    39    0.12123E+04    0.59553E-01    0.38388E-03    0.18643E+01
    40    0.12305E+04    0.64775E-01    0.40392E-03    0.17936E+01
    41    0.12489E+04    0.70322E-01    0.42447E-03    0.17089E+01
    42    0.12674E+04    0.76196E-01    0.44553E-03    0.16106E+01
    43    0.12860E+04    0.82390E-01    0.46709E-03    0.14994E+01
    44    0.13046E+04    0.88886E-01    0.48915E-03    0.13771E+01
    45    0.13237E+04    0.95673E-01    0.51171E-03    0.12455E+01
    46    0.13431E+04    0.10275E+00    0.53478E-03    0.11038E+01
    47    0.13627E+04    0.11012E+00    0.55835E-03    0.95070E+00
    48    0.13825E+04    0.11780E+00    0.58244E-03    0.78726E+00
    49    0.14023E+04    0.12579E+00    0.60703E-03    0.61406E+00
    50    0.14226E+04    0.13408E+00    0.63214E-03    0.42487E+00
    51    0.14430E+04    0.14265E+00    0.65777E-03    0.21316E+00
    52    0.14637E+04    0.15156E+00    0.68392E-03   -0.23155E-01
    53    0.14845E+04    0.16093E+00    0.71059E-03   -0.28318E+00
    54    0.15053E+04    0.17075E+00    0.73778E-03   -0.55808E+00
    55    0.15262E+04    0.18096E+00    0.76549E-03   -0.83888E+00
    56    0.15476E+04    0.19140E+00    0.79372E-03   -0.11241E+01
    57    0.15693E+04    0.20198E+00    0.82247E-03   -0.14161E+01
    58    0.15913E+04    0.21272E+00    0.85173E-03   -0.17192E+01
    59    0.16136E+04    0.22368E+00    0.88150E-03   -0.20380E+01
    60    0.16360E+04    0.23494E+00    0.91177E-03   -0.23755E+01
    61    0.16589E+04    0.24660E+00    0.94255E-03   -0.27333E+01
    62    0.16818E+04    0.25864E+00    0.97381E-03   -0.31107E+01
    63    0.17047E+04    0.27100E+00    0.10056E-02   -0.35057E+01
    64    0.17281E+04    0.28367E+00    0.10378E-02   -0.39164E+01
    65    0.17516E+04    0.29661E+00    0.10706E-02   -0.43406E+01
    66    0.17755E+04    0.30974E+00    0.11038E-02   -0.47743E+01
    67    0.17996E+04    0.32308E+00    0.11375E-02   -0.52155E+01
    68    0.18242E+04    0.33665E+00    0.11718E-02   -0.56644E+01
    69    0.18491E+04    0.35045E+00    0.12065E-02   -0.61208E+01
    70    0.18745E+04    0.36452E+00    0.12417E-02   -0.65881E+01
    71    0.19000E+04    0.37885E+00    0.12774E-02   -0.70701E+01
    72    0.19258E+04    0.39341E+00    0.13137E-02   -0.75685E+01
    73    0.19518E+04    0.40815E+00    0.13504E-02   -0.80837E+01
    74    0.19780E+04    0.42306E+00    0.13877E-02   -0.86148E+01
    75    0.20045E+04    0.43813E+00    0.14254E-02   -0.91602E+01
    76    0.20311E+04    0.45335E+00    0.14637E-02   -0.97191E+01
    77    0.20580E+04    0.46871E+00    0.15026E-02   -0.10290E+02
    78    0.20853E+04    0.48424E+00    0.15419E-02   -0.10872E+02
    79    0.21128E+04    0.49988E+00    0.15818E-02   -0.11460E+02
    80    0.21407E+04    0.51563E+00    0.16221E-02   -0.12053E+02
    81    0.21689E+04    0.53145E+00    0.16630E-02   -0.12652E+02
    82    0.21974E+04    0.54734E+00    0.17044E-02   -0.13256E+02
    83    0.22263E+04    0.56330E+00    0.17464E-02   -0.13867E+02
    84    0.22555E+04    0.57932E+00    0.17888E-02   -0.14486E+02
    85    0.22849E+04    0.59536E+00    0.18317E-02   -0.15116E+02
    86    0.23146E+04    0.61145E+00    0.18752E-02   -0.15756E+02
    87    0.23447E+04    0.62754E+00    0.19191E-02   -0.16406E+02
    88    0.23749E+04    0.64365E+00    0.19636E-02   -0.17064E+02
    89    0.24055E+04    0.65975E+00    0.20086E-02   -0.17731E+02
    90    0.24363E+04    0.67580E+00    0.20542E-02   -0.18402E+02
    91    0.24673E+04    0.69179E+00    0.21002E-02   -0.19077E+02
    92    0.24987E+04    0.70769E+00    0.21469E-02   -0.19755E+02
    93    0.25304E+04    0.72350E+00    0.21940E-02   -0.20435E+02
    94    0.25622E+04    0.73918E+00    0.22418E-02   -0.21117E+02
    95    0.25944E+04    0.75473E+00    0.22901E-02   -0.21801E+02
    96    0.26266E+04    0.77013E+00    0.23389E-02   -0.22487E+02
    97    0.26592E+04    0.78536E+00    0.23884E-02   -0.23173E+02
    98    0.26922E+04    0.80042E+00    0.24384E-02   -0.23857E+02
    99    0.27252E+04    0.81527E+00    0.24890E-02   -0.24543E+02
   100    0.27585E+04    0.82991E+00    0.25402E-02   -0.25225E+02
   101    0.27921E+04    0.84439E+00    0.25920E-02   -0.25907E+02
   102    0.28261E+04    0.85857E+00    0.26444E-02   -0.26587E+02
   103    0.28602E+04    0.87252E+00    0.26974E-02   -0.27265E+02
   104    0.28944E+04    0.88623E+00    0.27509E-02   -0.27938E+02
   105    0.29289E+04    0.89963E+00    0.28051E-02   -0.28608E+02
   106    0.29636E+04    0.91279E+00    0.28599E-02   -0.29274E+02
   107    0.29982E+04    0.92557E+00    0.29152E-02   -0.29935E+02
   108    0.30332E+04    0.93804E+00    0.29712E-02   -0.30590E+02
   109    0.30684E+04    0.95012E+00    0.30278E-02   -0.31239E+02
   110    0.31037E+04    0.96180E+00    0.30850E-02   -0.31881E+02
   111    0.31391E+04    0.97317E+00    0.31429E-02   -0.32516E+02
   112    0.31747E+04    0.98415E+00    0.32014E-02   -0.33144E+02
   113    0.32105E+04    0.99474E+00    0.32605E-02   -0.33763E+02
   114    0.32464E+04    0.10049E+01    0.33203E-02   -0.34372E+02
   115    0.32826E+04    0.10147E+01    0.33808E-02   -0.34972E+02
   116    0.33187E+04    0.10240E+01    0.34419E-02   -0.35561E+02
   117    0.33551E+04    0.10328E+01    0.35038E-02   -0.36138E+02
   118    0.33917E+04    0.10413E+01    0.35663E-02   -0.36705E+02
   119    0.34283E+04    0.10493E+01    0.36296E-02   -0.37259E+02
   120    0.34650E+04    0.10568E+01    0.36935E-02   -0.37799E+02
   121    0.35017E+04    0.10639E+01    0.37582E-02   -0.38326E+02
   122    0.35385E+04    0.10704E+01    0.38236E-02   -0.38839E+02
   123    0.35753E+04    0.10764E+01    0.38897E-02   -0.39338E+02
   124    0.36122E+04    0.10820E+01    0.39566E-02   -0.39819E+02
   125    0.36490E+04    0.10870E+01    0.40242E-02   -0.40285E+02
   126    0.36860E+04    0.10916E+01    0.40925E-02   -0.40734E+02
   127    0.37229E+04    0.10955E+01    0.41615E-02   -0.41167E+02
   128    0.37597E+04    0.10991E+01    0.42313E-02   -0.41582E+02
   129    0.37967E+04    0.11020E+01    0.43019E-02   -0.41979E+02
   130    0.38336E+04    0.11043E+01    0.43732E-02   -0.42356E+02
   131    0.38704E+04    0.11062E+01    0.44452E-02   -0.42714E+02
   132    0.39074E+04    0.11075E+01    0.45180E-02   -0.43052E+02
   133    0.39442E+04    0.11083E+01    0.45916E-02   -0.43371E+02
   134    0.39809E+04    0.11086E+01    0.46660E-02   -0.43666E+02
