#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10503E+04    0.49066E-01    0.00000E+00    0.33393E+01    0.53321E-07    0.31536E-02   -0.15541E-04
     3    0.99684E+03    0.83109E-01    0.00000E+00    0.42088E+01    0.64911E-07    0.31767E-02   -0.19381E-04
     4    0.94243E+03    0.97156E-01    0.00000E+00    0.43809E+01    0.74887E-07    0.31229E-02   -0.19979E-04
     5    0.89941E+03    0.89968E-01    0.00000E+00    0.41217E+01    0.83548E-07    0.30356E-02   -0.18141E-04
     6    0.86813E+03    0.69707E-01    0.00000E+00    0.36461E+01    0.91096E-07    0.29333E-02   -0.14648E-04
     7    0.84676E+03    0.46610E-01    0.00000E+00    0.30960E+01    0.97727E-07    0.28249E-02   -0.10297E-04
     8    0.83285E+03    0.27934E-01    0.00000E+00    0.25560E+01    0.10358E-06    0.27156E-02   -0.58167E-05
     9    0.82509E+03    0.16340E-01    0.00000E+00    0.20786E+01    0.10879E-06    0.26079E-02   -0.18089E-05
    10    0.82200E+03    0.10890E-01    0.00000E+00    0.16928E+01    0.11341E-06    0.25042E-02    0.13031E-05
    11    0.82259E+03    0.90575E-02    0.00000E+00    0.14108E+01    0.11754E-06    0.24065E-02    0.33043E-05
    12    0.82643E+03    0.85326E-02    0.00000E+00    0.12317E+01    0.12122E-06    0.23147E-02    0.41646E-05
    13    0.83220E+03    0.79745E-02    0.00000E+00    0.11426E+01    0.12449E-06    0.22288E-02    0.40511E-05
    14    0.83952E+03    0.71795E-02    0.00000E+00    0.11257E+01    0.12741E-06    0.21489E-02    0.31847E-05
    15    0.84827E+03    0.64236E-02    0.00000E+00    0.11604E+01    0.13002E-06    0.20741E-02    0.18671E-05
    16    0.85828E+03    0.60066E-02    0.00000E+00    0.12267E+01    0.13234E-06    0.20035E-02    0.40139E-06
    17    0.86939E+03    0.60659E-02    0.00000E+00    0.13072E+01    0.13441E-06    0.19368E-02   -0.96303E-06
    18    0.88074E+03    0.64713E-02    0.00000E+00    0.13886E+01    0.13625E-06    0.18736E-02   -0.20217E-05
    19    0.89364E+03    0.70337E-02    0.00000E+00    0.14653E+01    0.13787E-06    0.18135E-02   -0.26887E-05
    20    0.90679E+03    0.76379E-02    0.00000E+00    0.15314E+01    0.13928E-06    0.17558E-02   -0.29299E-05
    21    0.92038E+03    0.82566E-02    0.00000E+00    0.15872E+01    0.14052E-06    0.17002E-02   -0.28017E-05
    22    0.93442E+03    0.89799E-02    0.00000E+00    0.16338E+01    0.14160E-06    0.16466E-02   -0.23925E-05
    23    0.94870E+03    0.99201E-02    0.00000E+00    0.16745E+01    0.14253E-06    0.15955E-02   -0.18309E-05
    24    0.96335E+03    0.11143E-01    0.00000E+00    0.17130E+01    0.14332E-06    0.15469E-02   -0.12466E-05
    25    0.97835E+03    0.12678E-01    0.00000E+00    0.17519E+01    0.14398E-06    0.15006E-02   -0.73560E-06
    26    0.99357E+03    0.14499E-01    0.00000E+00    0.17942E+01    0.14452E-06    0.14562E-02   -0.37332E-06
    27    0.10091E+04    0.16572E-01    0.00000E+00    0.18383E+01    0.14496E-06    0.14138E-02   -0.18766E-06
    28    0.10248E+04    0.18884E-01    0.00000E+00    0.18826E+01    0.14530E-06    0.13738E-02   -0.18603E-06
    29    0.10408E+04    0.21421E-01    0.00000E+00    0.19266E+01    0.14554E-06    0.13358E-02   -0.34116E-06
    30    0.10570E+04    0.24176E-01    0.00000E+00    0.19682E+01    0.14569E-06    0.12997E-02   -0.61014E-06
    31    0.10733E+04    0.27157E-01    0.00000E+00    0.20039E+01    0.14577E-06    0.12650E-02   -0.92133E-06
    32    0.10899E+04    0.30356E-01    0.00000E+00    0.20304E+01    0.14578E-06    0.12317E-02   -0.12048E-05
    33    0.11067E+04    0.33763E-01    0.00000E+00    0.20454E+01    0.14571E-06    0.11998E-02   -0.14246E-05
    34    0.11237E+04    0.37382E-01    0.00000E+00    0.20475E+01    0.14558E-06    0.11693E-02   -0.15566E-05
    35    0.11409E+04    0.41226E-01    0.00000E+00    0.20361E+01    0.14539E-06    0.11399E-02   -0.15879E-05
    36    0.11584E+04    0.45316E-01    0.00000E+00    0.20105E+01    0.14515E-06    0.11112E-02   -0.15158E-05
    37    0.11759E+04    0.49661E-01    0.00000E+00    0.19720E+01    0.14486E-06    0.10834E-02   -0.13650E-05
    38    0.11936E+04    0.54275E-01    0.00000E+00    0.19240E+01    0.14452E-06    0.10569E-02   -0.11665E-05
    39    0.12117E+04    0.59172E-01    0.00000E+00    0.18657E+01    0.14414E-06    0.10315E-02   -0.94985E-06
    40    0.12298E+04    0.64374E-01    0.00000E+00    0.17951E+01    0.14372E-06    0.10072E-02   -0.74376E-06
    41    0.12482E+04    0.69902E-01    0.00000E+00    0.17106E+01    0.14326E-06    0.98400E-03   -0.57279E-06
    42    0.12666E+04    0.75755E-01    0.00000E+00    0.16123E+01    0.14276E-06    0.96170E-03   -0.44471E-06
    43    0.12852E+04    0.81929E-01    0.00000E+00    0.15012E+01    0.14224E-06    0.94024E-03   -0.36309E-06
    44    0.13039E+04    0.88404E-01    0.00000E+00    0.13790E+01    0.14168E-06    0.91949E-03   -0.33151E-06
    45    0.13229E+04    0.95169E-01    0.00000E+00    0.12476E+01    0.14110E-06    0.89936E-03   -0.35355E-06
    46    0.13423E+04    0.10222E+00    0.00000E+00    0.11060E+01    0.14049E-06    0.87975E-03   -0.42850E-06
    47    0.13619E+04    0.10957E+00    0.00000E+00    0.95299E+00    0.13986E-06    0.86069E-03   -0.53850E-06
    48    0.13816E+04    0.11723E+00    0.00000E+00    0.78966E+00    0.13920E-06    0.84220E-03   -0.66144E-06
    49    0.14014E+04    0.12520E+00    0.00000E+00    0.61657E+00    0.13853E-06    0.82432E-03   -0.77529E-06
    50    0.14216E+04    0.13347E+00    0.00000E+00    0.42749E+00    0.13784E-06    0.80708E-03   -0.85807E-06
    51    0.14420E+04    0.14201E+00    0.00000E+00    0.21588E+00    0.13713E-06    0.79050E-03   -0.89354E-06
    52    0.14627E+04    0.15089E+00    0.00000E+00   -0.20319E-01    0.13641E-06    0.77454E-03   -0.88825E-06
    53    0.14835E+04    0.16025E+00    0.00000E+00   -0.28024E+00    0.13567E-06    0.75917E-03   -0.85444E-06
    54    0.15042E+04    0.17004E+00    0.00000E+00   -0.55503E+00    0.13492E-06    0.74434E-03   -0.80430E-06
    55    0.15251E+04    0.18022E+00    0.00000E+00   -0.83573E+00    0.13416E-06    0.73000E-03   -0.75001E-06
    56    0.15464E+04    0.19064E+00    0.00000E+00   -0.11209E+01    0.13339E-06    0.71612E-03   -0.70246E-06
    57    0.15681E+04    0.20119E+00    0.00000E+00   -0.14128E+01    0.13261E-06    0.70265E-03   -0.66752E-06
    58    0.15901E+04    0.21191E+00    0.00000E+00   -0.17158E+01    0.13182E-06    0.68956E-03   -0.64982E-06
    59    0.16123E+04    0.22285E+00    0.00000E+00   -0.20345E+01    0.13102E-06    0.67681E-03   -0.65394E-06
    60    0.16347E+04    0.23408E+00    0.00000E+00   -0.23719E+01    0.13022E-06    0.66437E-03   -0.68451E-06
    61    0.16576E+04    0.24572E+00    0.00000E+00   -0.27298E+01    0.12941E-06    0.65221E-03   -0.74330E-06
    62    0.16804E+04    0.25773E+00    0.00000E+00   -0.31071E+01    0.12859E-06    0.64033E-03   -0.82086E-06
    63    0.17034E+04    0.27006E+00    0.00000E+00   -0.35021E+01    0.12777E-06    0.62878E-03   -0.90495E-06
    64    0.17267E+04    0.28271E+00    0.00000E+00   -0.39128E+01    0.12695E-06    0.61756E-03   -0.98335E-06
    65    0.17502E+04    0.29562E+00    0.00000E+00   -0.43371E+01    0.12612E-06    0.60670E-03   -0.10438E-05
    66    0.17740E+04    0.30873E+00    0.00000E+00   -0.47708E+01    0.12530E-06    0.59623E-03   -0.10769E-05
    67    0.17981E+04    0.32203E+00    0.00000E+00   -0.52121E+01    0.12447E-06    0.58613E-03   -0.10838E-05
    68    0.18227E+04    0.33559E+00    0.00000E+00   -0.56610E+01    0.12364E-06    0.57642E-03   -0.10682E-05
    69    0.18476E+04    0.34936E+00    0.00000E+00   -0.61176E+01    0.12280E-06    0.56709E-03   -0.10341E-05
    70    0.18729E+04    0.36340E+00    0.00000E+00   -0.65850E+01    0.12197E-06    0.55813E-03   -0.98528E-06
    71    0.18984E+04    0.37770E+00    0.00000E+00   -0.70672E+01    0.12114E-06    0.54954E-03   -0.92633E-06
    72    0.19242E+04    0.39223E+00    0.00000E+00   -0.75657E+01    0.12031E-06    0.54124E-03   -0.86490E-06
    73    0.19502E+04    0.40695E+00    0.00000E+00   -0.80811E+01    0.11948E-06    0.53315E-03   -0.80939E-06
    74    0.19763E+04    0.42184E+00    0.00000E+00   -0.86124E+01    0.11865E-06    0.52520E-03   -0.76820E-06
