#           k/h    P           
    0.10000E-03    0.24506E+00
    0.10202E-03    0.24991E+00
    0.10408E-03    0.25485E+00
    0.10618E-03    0.25988E+00
    0.10833E-03    0.26502E+00
    0.11052E-03    0.27026E+00
    0.11275E-03    0.27560E+00
    0.11503E-03    0.28105E+00
    0.11735E-03    0.28660E+00
    0.11972E-03    0.29227E+00
    0.12214E-03    0.29804E+00
    0.12461E-03    0.30393E+00
    0.12712E-03    0.30994E+00
    0.12969E-03    0.31607E+00
    0.13231E-03    0.32231E+00
    0.13499E-03    0.32868E+00
    0.13771E-03    0.33518E+00
    0.14049E-03    0.34180E+00
    0.14333E-03    0.34855E+00
    0.14623E-03    0.35544E+00
    0.14918E-03    0.36246E+00
    0.15220E-03    0.36963E+00
    0.15527E-03    0.37693E+00
    0.15841E-03    0.38438E+00
    0.16161E-03    0.39197E+00
    0.16487E-03    0.39972E+00
    0.16820E-03    0.40761E+00
    0.17160E-03    0.41567E+00
    0.17507E-03    0.42388E+00
    0.17860E-03    0.43225E+00
    0.18221E-03    0.44079E+00
    0.18589E-03    0.44949E+00
    0.18965E-03    0.45837E+00
    0.19348E-03    0.46743E+00
    0.19739E-03    0.47666E+00
    0.20138E-03    0.48607E+00
    0.20544E-03    0.49567E+00
    0.20959E-03    0.50546E+00
    0.21383E-03    0.51544E+00
    0.21815E-03    0.52562E+00
    0.22255E-03    0.53599E+00
    0.22705E-03    0.54657E+00
    0.23164E-03    0.55736E+00
    0.23632E-03    0.56837E+00
    0.24109E-03    0.57959E+00
    0.24596E-03    0.59102E+00
    0.25093E-03    0.60269E+00
    0.25600E-03    0.61458E+00
    0.26117E-03    0.62671E+00
    0.26645E-03    0.63907E+00
    0.27183E-03    0.65168E+00
    0.27732E-03    0.66454E+00
    0.28292E-03    0.67765E+00
    0.28864E-03    0.69101E+00
    0.29447E-03    0.70464E+00
    0.30042E-03    0.71853E+00
    0.30649E-03    0.73270E+00
    0.31268E-03    0.74715E+00
    0.31899E-03    0.76188E+00
    0.32544E-03    0.77689E+00
    0.33201E-03    0.79220E+00
    0.33872E-03    0.80781E+00
    0.34556E-03    0.82373E+00
    0.35254E-03    0.83995E+00
    0.35966E-03    0.85650E+00
    0.36693E-03    0.87337E+00
    0.37434E-03    0.89056E+00
    0.38190E-03    0.90809E+00
    0.38962E-03    0.92597E+00
    0.39749E-03    0.94419E+00
    0.40552E-03    0.96277E+00
    0.41371E-03    0.98171E+00
    0.42207E-03    0.10010E+01
    0.43060E-03    0.10207E+01
    0.43929E-03    0.10408E+01
    0.44817E-03    0.10612E+01
    0.45722E-03    0.10821E+01
    0.46646E-03    0.11033E+01
    0.47588E-03    0.11250E+01
    0.48550E-03    0.11471E+01
    0.49530E-03    0.11696E+01
    0.50531E-03    0.11925E+01
    0.51552E-03    0.12159E+01
    0.52593E-03    0.12398E+01
    0.53656E-03    0.12641E+01
    0.54739E-03    0.12889E+01
    0.55845E-03    0.13141E+01
    0.56973E-03    0.13398E+01
    0.58124E-03    0.13661E+01
    0.59299E-03    0.13928E+01
    0.60496E-03    0.14200E+01
    0.61719E-03    0.14478E+01
    0.62965E-03    0.14761E+01
    0.64237E-03    0.15049E+01
    0.65535E-03    0.15343E+01
    0.66859E-03    0.15642E+01
    0.68210E-03    0.15947E+01
    0.69588E-03    0.16258E+01
    0.70993E-03    0.16575E+01
    0.72427E-03    0.16897E+01
    0.73891E-03    0.17226E+01
    0.75383E-03    0.17561E+01
    0.76906E-03    0.17902E+01
    0.78460E-03    0.18249E+01
    0.80045E-03    0.18603E+01
    0.81662E-03    0.18964E+01
    0.83311E-03    0.19331E+01
    0.84994E-03    0.19705E+01
    0.86711E-03    0.20086E+01
    0.88463E-03    0.20474E+01
    0.90250E-03    0.20869E+01
    0.92073E-03    0.21272E+01
    0.93933E-03    0.21682E+01
    0.95831E-03    0.22099E+01
    0.97767E-03    0.22523E+01
    0.99742E-03    0.22956E+01
    0.10176E-02    0.23396E+01
    0.10381E-02    0.23844E+01
    0.10591E-02    0.24300E+01
    0.10805E-02    0.24764E+01
    0.11023E-02    0.25237E+01
    0.11246E-02    0.25717E+01
    0.11473E-02    0.26206E+01
    0.11705E-02    0.26704E+01
    0.11941E-02    0.27210E+01
    0.12182E-02    0.27725E+01
    0.12429E-02    0.28249E+01
    0.12680E-02    0.28782E+01
    0.12936E-02    0.29324E+01
    0.13197E-02    0.29874E+01
    0.13464E-02    0.30435E+01
    0.13736E-02    0.31004E+01
    0.14013E-02    0.31583E+01
    0.14296E-02    0.32171E+01
    0.14585E-02    0.32769E+01
    0.14880E-02    0.33376E+01
    0.15180E-02    0.33994E+01
    0.15487E-02    0.34620E+01
    0.15800E-02    0.35257E+01
    0.16119E-02    0.35904E+01
    0.16445E-02    0.36560E+01
    0.16777E-02    0.37227E+01
    0.17116E-02    0.37903E+01
    0.17462E-02    0.38590E+01
    0.17814E-02    0.39287E+01
    0.18174E-02    0.39993E+01
    0.18541E-02    0.40710E+01
    0.18916E-02    0.41437E+01
    0.19298E-02    0.42174E+01
    0.19688E-02    0.42921E+01
    0.20086E-02    0.43679E+01
    0.20491E-02    0.44446E+01
    0.20905E-02    0.45223E+01
    0.21328E-02    0.46010E+01
    0.21758E-02    0.46807E+01
    0.22198E-02    0.47614E+01
    0.22646E-02    0.48430E+01
    0.23104E-02    0.49256E+01
    0.23571E-02    0.50092E+01
    0.24047E-02    0.50937E+01
    0.24533E-02    0.51791E+01
    0.25028E-02    0.52655E+01
    0.25534E-02    0.53527E+01
    0.26050E-02    0.54408E+01
    0.26576E-02    0.55298E+01
    0.27113E-02    0.56196E+01
    0.27660E-02    0.57101E+01
    0.28219E-02    0.58017E+01
    0.28789E-02    0.58941E+01
    0.29371E-02    0.59872E+01
    0.29964E-02    0.60809E+01
    0.30569E-02    0.61753E+01
    0.31187E-02    0.62704E+01
    0.31817E-02    0.63662E+01
    0.32460E-02    0.64625E+01
    0.33115E-02    0.65595E+01
    0.33784E-02    0.66570E+01
    0.34467E-02    0.67550E+01
    0.35163E-02    0.68535E+01
    0.35874E-02    0.69525E+01
    0.36598E-02    0.70518E+01
    0.37338E-02    0.71515E+01
    0.38092E-02    0.72516E+01
    0.38861E-02    0.73520E+01
    0.39646E-02    0.74527E+01
    0.40447E-02    0.75536E+01
    0.41264E-02    0.76547E+01
    0.42098E-02    0.77559E+01
    0.42948E-02    0.78573E+01
    0.43816E-02    0.79587E+01
    0.44701E-02    0.80601E+01
    0.45604E-02    0.81615E+01
    0.46525E-02    0.82628E+01
    0.47465E-02    0.83640E+01
    0.48424E-02    0.84650E+01
    0.49402E-02    0.85657E+01
    0.50400E-02    0.86662E+01
    0.51419E-02    0.87663E+01
    0.52457E-02    0.88659E+01
    0.53517E-02    0.89651E+01
    0.54598E-02    0.90636E+01
    0.55701E-02    0.91615E+01
    0.56826E-02    0.92587E+01
