#           k/h    P           
    0.10000E-03    0.24550E+00
    0.10202E-03    0.25036E+00
    0.10408E-03    0.25531E+00
    0.10618E-03    0.26035E+00
    0.10833E-03    0.26550E+00
    0.11052E-03    0.27075E+00
    0.11275E-03    0.27610E+00
    0.11503E-03    0.28155E+00
    0.11735E-03    0.28712E+00
    0.11972E-03    0.29279E+00
    0.12214E-03    0.29858E+00
    0.12461E-03    0.30448E+00
    0.12712E-03    0.31050E+00
    0.12969E-03    0.31664E+00
    0.13231E-03    0.32289E+00
    0.13499E-03    0.32927E+00
    0.13771E-03    0.33578E+00
    0.14049E-03    0.34242E+00
    0.14333E-03    0.34918E+00
    0.14623E-03    0.35608E+00
    0.14918E-03    0.36312E+00
    0.15220E-03    0.37029E+00
    0.15527E-03    0.37761E+00
    0.15841E-03    0.38507E+00
    0.16161E-03    0.39268E+00
    0.16487E-03    0.40044E+00
    0.16820E-03    0.40835E+00
    0.17160E-03    0.41642E+00
    0.17507E-03    0.42464E+00
    0.17860E-03    0.43303E+00
    0.18221E-03    0.44159E+00
    0.18589E-03    0.45031E+00
    0.18965E-03    0.45920E+00
    0.19348E-03    0.46827E+00
    0.19739E-03    0.47752E+00
    0.20138E-03    0.48695E+00
    0.20544E-03    0.49657E+00
    0.20959E-03    0.50637E+00
    0.21383E-03    0.51637E+00
    0.21815E-03    0.52657E+00
    0.22255E-03    0.53696E+00
    0.22705E-03    0.54756E+00
    0.23164E-03    0.55837E+00
    0.23632E-03    0.56940E+00
    0.24109E-03    0.58064E+00
    0.24596E-03    0.59210E+00
    0.25093E-03    0.60378E+00
    0.25600E-03    0.61570E+00
    0.26117E-03    0.62785E+00
    0.26645E-03    0.64023E+00
    0.27183E-03    0.65287E+00
    0.27732E-03    0.66574E+00
    0.28292E-03    0.67888E+00
    0.28864E-03    0.69227E+00
    0.29447E-03    0.70592E+00
    0.30042E-03    0.71984E+00
    0.30649E-03    0.73403E+00
    0.31268E-03    0.74851E+00
    0.31899E-03    0.76326E+00
    0.32544E-03    0.77831E+00
    0.33201E-03    0.79364E+00
    0.33872E-03    0.80928E+00
    0.34556E-03    0.82523E+00
    0.35254E-03    0.84149E+00
    0.35966E-03    0.85806E+00
    0.36693E-03    0.87496E+00
    0.37434E-03    0.89219E+00
