#    L    TT             EE             TE             PP             TP          
     2    0.10503E+04    0.49066E-01    0.33393E+01    0.11061E+07    0.29396E+05
     3    0.99684E+03    0.83109E-01    0.42088E+01    0.17042E+07    0.35334E+05
     4    0.94243E+03    0.97156E-01    0.43809E+01    0.22370E+07    0.38266E+05
     5    0.89941E+03    0.89968E-01    0.41217E+01    0.27080E+07    0.39545E+05
     6    0.86813E+03    0.69707E-01    0.36461E+01    0.31237E+07    0.39862E+05
     7    0.84676E+03    0.46610E-01    0.30960E+01    0.34922E+07    0.39595E+05
     8    0.83285E+03    0.27934E-01    0.25560E+01    0.38200E+07    0.38972E+05
     9    0.82509E+03    0.16340E-01    0.20786E+01    0.41128E+07    0.38131E+05
    10    0.82200E+03    0.10890E-01    0.16928E+01    0.43744E+07    0.37170E+05
    11    0.82259E+03    0.90575E-02    0.14108E+01    0.46098E+07    0.36168E+05
    12    0.82643E+03    0.85326E-02    0.12317E+01    0.48208E+07    0.35155E+05
    13    0.83220E+03    0.79745E-02    0.11426E+01    0.50100E+07    0.34152E+05
    14    0.83952E+03    0.71795E-02    0.11257E+01    0.51804E+07    0.33181E+05
    15    0.84827E+03    0.64236E-02    0.11604E+01    0.53337E+07    0.32241E+05
    16    0.85828E+03    0.60066E-02    0.12267E+01    0.54716E+07    0.31328E+05
    17    0.86939E+03    0.60659E-02    0.13072E+01    0.55957E+07    0.30442E+05
    18    0.88074E+03    0.64713E-02    0.13886E+01    0.57073E+07    0.29586E+05
    19    0.89364E+03    0.70337E-02    0.14653E+01    0.58074E+07    0.28756E+05
    20    0.90679E+03    0.76379E-02    0.15314E+01    0.58965E+07    0.27945E+05
    21    0.92038E+03    0.82566E-02    0.15872E+01    0.59759E+07    0.27153E+05
    22    0.93442E+03    0.89799E-02    0.16338E+01    0.60468E+07    0.26379E+05
    23    0.94870E+03    0.99201E-02    0.16745E+01    0.61097E+07    0.25632E+05
    24    0.96335E+03    0.11143E-01    0.17130E+01    0.61649E+07    0.24917E+05
    25    0.97835E+03    0.12678E-01    0.17519E+01    0.62131E+07    0.24230E+05
    26    0.99357E+03    0.14499E-01    0.17942E+01    0.62550E+07    0.23564E+05
    27    0.10091E+04    0.16572E-01    0.18383E+01    0.62912E+07    0.22926E+05
    28    0.10248E+04    0.18884E-01    0.18826E+01    0.63219E+07    0.22319E+05
    29    0.10408E+04    0.21421E-01    0.19266E+01    0.63476E+07    0.21742E+05
    30    0.10570E+04    0.24176E-01    0.19682E+01    0.63685E+07    0.21188E+05
    31    0.10733E+04    0.27157E-01    0.20039E+01    0.63851E+07    0.20656E+05
    32    0.10899E+04    0.30356E-01    0.20304E+01    0.63978E+07    0.20142E+05
    33    0.11067E+04    0.33763E-01    0.20454E+01    0.64067E+07    0.19647E+05
    34    0.11237E+04    0.37382E-01    0.20475E+01    0.64122E+07    0.19172E+05
    35    0.11409E+04    0.41226E-01    0.20361E+01    0.64143E+07    0.18712E+05
    36    0.11584E+04    0.45316E-01    0.20105E+01    0.64136E+07    0.18263E+05
    37    0.11759E+04    0.49661E-01    0.19720E+01    0.64101E+07    0.17826E+05
    38    0.11936E+04    0.54275E-01    0.19240E+01    0.64040E+07    0.17407E+05
    39    0.12117E+04    0.59172E-01    0.18657E+01    0.63954E+07    0.17006E+05
    40    0.12298E+04    0.64374E-01    0.17951E+01    0.63846E+07    0.16622E+05
    41    0.12482E+04    0.69902E-01    0.17106E+01    0.63717E+07    0.16253E+05
    42    0.12666E+04    0.75755E-01    0.16123E+01    0.63570E+07    0.15898E+05
    43    0.12852E+04    0.81929E-01    0.15012E+01    0.63404E+07    0.15556E+05
    44    0.13039E+04    0.88404E-01    0.13790E+01    0.63221E+07    0.15224E+05
    45    0.13229E+04    0.95169E-01    0.12476E+01    0.63023E+07    0.14902E+05
    46    0.13423E+04    0.10222E+00    0.11060E+01    0.62811E+07    0.14587E+05
    47    0.13619E+04    0.10957E+00    0.95299E+00    0.62585E+07    0.14281E+05
    48    0.13816E+04    0.11723E+00    0.78966E+00    0.62346E+07    0.13983E+05
    49    0.14014E+04    0.12520E+00    0.61657E+00    0.62096E+07    0.13695E+05
    50    0.14216E+04    0.13347E+00    0.42749E+00    0.61836E+07    0.13417E+05
    51    0.14420E+04    0.14201E+00    0.21588E+00    0.61566E+07    0.13148E+05
    52    0.14627E+04    0.15089E+00   -0.20319E-01    0.61287E+07    0.12890E+05
    53    0.14835E+04    0.16025E+00   -0.28024E+00    0.60999E+07    0.12641E+05
    54    0.15042E+04    0.17004E+00   -0.55503E+00    0.60704E+07    0.12401E+05
    55    0.15251E+04    0.18022E+00   -0.83573E+00    0.60401E+07    0.12168E+05
    56    0.15464E+04    0.19064E+00   -0.11209E+01    0.60092E+07    0.11942E+05
    57    0.15681E+04    0.20119E+00   -0.14128E+01    0.59777E+07    0.11723E+05
    58    0.15901E+04    0.21191E+00   -0.17158E+01    0.59456E+07    0.11510E+05
    59    0.16123E+04    0.22285E+00   -0.20345E+01    0.59130E+07    0.11302E+05
    60    0.16347E+04    0.23408E+00   -0.23719E+01    0.58800E+07    0.11099E+05
    61    0.16576E+04    0.24572E+00   -0.27298E+01    0.58466E+07    0.10900E+05
    62    0.16804E+04    0.25773E+00   -0.31071E+01    0.58128E+07    0.10706E+05
    63    0.17034E+04    0.27006E+00   -0.35021E+01    0.57787E+07    0.10516E+05
    64    0.17267E+04    0.28271E+00   -0.39128E+01    0.57443E+07    0.10332E+05
    65    0.17502E+04    0.29562E+00   -0.43371E+01    0.57097E+07    0.10154E+05
    66    0.17740E+04    0.30873E+00   -0.47708E+01    0.56748E+07    0.99825E+04
    67    0.17981E+04    0.32203E+00   -0.52121E+01    0.56397E+07    0.98168E+04
    68    0.18227E+04    0.33559E+00   -0.56610E+01    0.56045E+07    0.96573E+04
    69    0.18476E+04    0.34936E+00   -0.61176E+01    0.55691E+07    0.95039E+04
    70    0.18729E+04    0.36340E+00   -0.65850E+01    0.55336E+07    0.93567E+04
    71    0.18984E+04    0.37770E+00   -0.70672E+01    0.54980E+07    0.92153E+04
    72    0.19242E+04    0.39223E+00   -0.75657E+01    0.54624E+07    0.90788E+04
    73    0.19502E+04    0.40695E+00   -0.80811E+01    0.54267E+07    0.89457E+04
    74    0.19763E+04    0.42184E+00   -0.86124E+01    0.53909E+07    0.88147E+04
    75    0.20027E+04    0.43688E+00   -0.91582E+01    0.53552E+07    0.86845E+04
    76    0.20293E+04    0.45207E+00   -0.97173E+01    0.53194E+07    0.85540E+04
    77    0.20562E+04    0.46741E+00   -0.10288E+02    0.52837E+07    0.84243E+04
    78    0.20835E+04    0.48291E+00   -0.10871E+02    0.52480E+07    0.82964E+04
    79    0.21110E+04    0.49853E+00   -0.11459E+02    0.52124E+07    0.81715E+04
    80    0.21388E+04    0.51425E+00   -0.12053E+02    0.51768E+07    0.80510E+04
    81    0.21670E+04    0.53004E+00   -0.12652E+02    0.51413E+07    0.79357E+04
    82    0.21955E+04    0.54592E+00   -0.13257E+02    0.51060E+07    0.78252E+04
    83    0.22243E+04    0.56185E+00   -0.13868E+02    0.50707E+07    0.77188E+04
    84    0.22535E+04    0.57784E+00   -0.14488E+02    0.50355E+07    0.76156E+04
    85    0.22829E+04    0.59386E+00   -0.15118E+02    0.50005E+07    0.75150E+04
    86    0.23125E+04    0.60992E+00   -0.15759E+02    0.49656E+07    0.74162E+04
    87    0.23427E+04    0.62599E+00   -0.16410E+02    0.49308E+07    0.73193E+04
    88    0.23728E+04    0.64208E+00   -0.17069E+02    0.48962E+07    0.72242E+04
    89    0.24034E+04    0.65815E+00   -0.17736E+02    0.48618E+07    0.71310E+04
    90    0.24342E+04    0.67418E+00   -0.18408E+02    0.48275E+07    0.70396E+04
    91    0.24652E+04    0.69014E+00   -0.19084E+02    0.47935E+07    0.69501E+04
    92    0.24966E+04    0.70602E+00   -0.19762E+02    0.47596E+07    0.68624E+04
    93    0.25282E+04    0.72180E+00   -0.20444E+02    0.47258E+07    0.67765E+04
    94    0.25600E+04    0.73746E+00   -0.21127E+02    0.46923E+07    0.66923E+04
    95    0.25922E+04    0.75298E+00   -0.21812E+02    0.46589E+07    0.66099E+04
    96    0.26244E+04    0.76835E+00   -0.22499E+02    0.46258E+07    0.65292E+04
    97    0.26570E+04    0.78356E+00   -0.23186E+02    0.45928E+07    0.64501E+04
    98    0.26899E+04    0.79860E+00   -0.23872E+02    0.45601E+07    0.63726E+04
    99    0.27229E+04    0.81343E+00   -0.24558E+02    0.45275E+07    0.62967E+04
   100    0.27563E+04    0.82804E+00   -0.25242E+02    0.44952E+07    0.62224E+04
   101    0.27898E+04    0.84249E+00   -0.25926E+02    0.44630E+07    0.61495E+04
   102    0.28239E+04    0.85664E+00   -0.26607E+02    0.44311E+07    0.60781E+04
   103    0.28579E+04    0.87056E+00   -0.27286E+02    0.43994E+07    0.60082E+04
   104    0.28922E+04    0.88425E+00   -0.27961E+02    0.43679E+07    0.59397E+04
   105    0.29266E+04    0.89762E+00   -0.28633E+02    0.43366E+07    0.58725E+04
   106    0.29613E+04    0.91076E+00   -0.29300E+02    0.43056E+07    0.58066E+04
   107    0.29959E+04    0.92351E+00   -0.29962E+02    0.42748E+07    0.57421E+04
   108    0.30310E+04    0.93595E+00   -0.30620E+02    0.42442E+07    0.56788E+04
