#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10503E+04    0.33393E+01    0.12874E-02    0.33393E+01    0.49066E-01   -0.63448E-05    0.12874E-02   -0.63448E-05    0.88869E-08
     3    0.99684E+03    0.42088E+01    0.91704E-03    0.42088E+01    0.83109E-01   -0.55947E-05    0.91704E-03   -0.55947E-05    0.54092E-08
     4    0.94243E+03    0.43809E+01    0.69830E-03    0.43809E+01    0.97156E-01   -0.44674E-05    0.69830E-03   -0.44674E-05    0.37444E-08
     5    0.89941E+03    0.41217E+01    0.55422E-03    0.41217E+01    0.89968E-01   -0.33121E-05    0.55422E-03   -0.33121E-05    0.27849E-08
     6    0.86813E+03    0.36461E+01    0.45261E-03    0.36461E+01    0.69707E-01   -0.22602E-05    0.45261E-03   -0.22602E-05    0.21689E-08
     7    0.84676E+03    0.30960E+01    0.37749E-03    0.30960E+01    0.46610E-01   -0.13760E-05    0.37749E-03   -0.13760E-05    0.17451E-08
     8    0.83285E+03    0.25560E+01    0.32003E-03    0.25560E+01    0.27934E-01   -0.68550E-06    0.32003E-03   -0.68550E-06    0.14387E-08
     9    0.82509E+03    0.20786E+01    0.27490E-03    0.20786E+01    0.16340E-01   -0.19067E-06    0.27490E-03   -0.19067E-06    0.12087E-08
    10    0.82200E+03    0.16928E+01    0.23876E-03    0.16928E+01    0.10890E-01    0.12424E-06    0.23876E-03    0.12424E-06    0.10310E-08
    11    0.82259E+03    0.14108E+01    0.20946E-03    0.14108E+01    0.90575E-02    0.28760E-06    0.20946E-03    0.28760E-06    0.89046E-09
    12    0.82643E+03    0.12317E+01    0.18531E-03    0.12317E+01    0.85326E-02    0.33425E-06    0.18531E-03    0.33425E-06    0.77692E-09
    13    0.83220E+03    0.11426E+01    0.16521E-03    0.11426E+01    0.79745E-02    0.30029E-06    0.16521E-03    0.30029E-06    0.68401E-09
    14    0.83952E+03    0.11257E+01    0.14828E-03    0.11257E+01    0.71795E-02    0.22005E-06    0.14828E-03    0.22005E-06    0.60671E-09
    15    0.84827E+03    0.11604E+01    0.13388E-03    0.11604E+01    0.64236E-02    0.12052E-06    0.13388E-03    0.12052E-06    0.54176E-09
    16    0.85828E+03    0.12267E+01    0.12148E-03    0.12267E+01    0.60066E-02    0.24460E-07    0.12148E-03    0.24460E-07    0.48654E-09
    17    0.86939E+03    0.13072E+01    0.11072E-03    0.13072E+01    0.60659E-02   -0.55053E-07    0.11072E-03   -0.55053E-07    0.43924E-09
    18    0.88074E+03    0.13886E+01    0.10131E-03    0.13886E+01    0.64713E-02   -0.10937E-06    0.10131E-03   -0.10937E-06    0.39837E-09
    19    0.89364E+03    0.14653E+01    0.93029E-04    0.14653E+01    0.70337E-02   -0.13793E-06    0.93029E-04   -0.13793E-06    0.36281E-09
    20    0.90679E+03    0.15314E+01    0.85671E-04    0.15314E+01    0.76379E-02   -0.14303E-06    0.85671E-04   -0.14303E-06    0.33162E-09
    21    0.92038E+03    0.15872E+01    0.79100E-04    0.15872E+01    0.82566E-02   -0.13035E-06    0.79100E-04   -0.13035E-06    0.30416E-09
    22    0.93442E+03    0.16338E+01    0.73202E-04    0.16338E+01    0.89799E-02   -0.10643E-06    0.73202E-04   -0.10643E-06    0.27984E-09
    23    0.94870E+03    0.16745E+01    0.67907E-04    0.16745E+01    0.99201E-02   -0.77929E-07    0.67907E-04   -0.77929E-07    0.25821E-09
    24    0.96335E+03    0.17130E+01    0.63151E-04    0.17130E+01    0.11143E-01   -0.50909E-07    0.63151E-04   -0.50909E-07    0.23887E-09
    25    0.97835E+03    0.17519E+01    0.58859E-04    0.17519E+01    0.12678E-01   -0.28853E-07    0.58859E-04   -0.28853E-07    0.22151E-09
    26    0.99357E+03    0.17942E+01    0.54960E-04    0.17942E+01    0.14499E-01   -0.14083E-07    0.54960E-04   -0.14083E-07    0.20587E-09
    27    0.10091E+04    0.18383E+01    0.51420E-04    0.18383E+01    0.16572E-01   -0.68251E-08    0.51420E-04   -0.68251E-08    0.19175E-09
    28    0.10248E+04    0.18826E+01    0.48210E-04    0.18826E+01    0.18884E-01   -0.65184E-08    0.48210E-04   -0.65184E-08    0.17894E-09
    29    0.10408E+04    0.19266E+01    0.45289E-04    0.19266E+01    0.21421E-01   -0.11566E-07    0.45289E-04   -0.11566E-07    0.16729E-09
    30    0.10570E+04    0.19682E+01    0.42618E-04    0.19682E+01    0.24176E-01   -0.19982E-07    0.42618E-04   -0.19982E-07    0.15666E-09
    31    0.10733E+04    0.20039E+01    0.40164E-04    0.20039E+01    0.27157E-01   -0.29252E-07    0.40164E-04   -0.29252E-07    0.14695E-09
    32    0.10899E+04    0.20304E+01    0.37904E-04    0.20304E+01    0.30356E-01   -0.37078E-07    0.37904E-04   -0.37078E-07    0.13804E-09
