#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.356875E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.733960E-01
   0.368932E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.758757E-01
   0.381396E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.784392E-01
   0.394282E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.810893E-01
   0.407603E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.838289E-01
   0.421374E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.866611E-01
   0.435610E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.895889E-01
   0.450327E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.926157E-01
   0.465541E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625383E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.957448E-01
   0.481270E-05   0.469038E+06   0.469038E+06   0.625383E+06   0.625382E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.989795E-01
   0.497530E-05   0.469038E+06   0.469038E+06   0.625382E+06   0.625382E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.102324E+00
   0.514339E-05   0.469038E+06   0.469038E+06   0.625382E+06   0.625382E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.105781E+00
   0.531716E-05   0.469038E+06   0.469038E+06   0.625382E+06   0.625382E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.109354E+00
   0.549680E-05   0.469038E+06   0.469038E+06   0.625382E+06   0.625382E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.113049E+00
