#           k/h    P           
    0.10000E-03    0.14970E+00
    0.10202E-03    0.15266E+00
    0.10408E-03    0.15567E+00
    0.10618E-03    0.15875E+00
    0.10833E-03    0.16189E+00
    0.11052E-03    0.16509E+00
    0.11275E-03    0.16835E+00
    0.11503E-03    0.17168E+00
    0.11735E-03    0.17508E+00
    0.11972E-03    0.17854E+00
    0.12214E-03    0.18207E+00
    0.12461E-03    0.18567E+00
    0.12712E-03    0.18934E+00
    0.12969E-03    0.19308E+00
    0.13231E-03    0.19690E+00
    0.13499E-03    0.20079E+00
    0.13771E-03    0.20476E+00
    0.14049E-03    0.20881E+00
    0.14333E-03    0.21294E+00
    0.14623E-03    0.21715E+00
    0.14918E-03    0.22144E+00
    0.15220E-03    0.22582E+00
    0.15527E-03    0.23028E+00
    0.15841E-03    0.23483E+00
    0.16161E-03    0.23947E+00
    0.16487E-03    0.24421E+00
    0.16820E-03    0.24903E+00
    0.17160E-03    0.25396E+00
    0.17507E-03    0.25898E+00
    0.17860E-03    0.26410E+00
    0.18221E-03    0.26932E+00
    0.18589E-03    0.27464E+00
    0.18965E-03    0.28007E+00
    0.19348E-03    0.28560E+00
    0.19739E-03    0.29125E+00
    0.20138E-03    0.29700E+00
    0.20544E-03    0.30287E+00
    0.20959E-03    0.30886E+00
    0.21383E-03    0.31496E+00
    0.21815E-03    0.32119E+00
    0.22255E-03    0.32754E+00
    0.22705E-03    0.33401E+00
    0.23164E-03    0.34061E+00
    0.23632E-03    0.34734E+00
    0.24109E-03    0.35420E+00
    0.24596E-03    0.36120E+00
    0.25093E-03    0.36834E+00
    0.25600E-03    0.37562E+00
    0.26117E-03    0.38304E+00
    0.26645E-03    0.39061E+00
    0.27183E-03    0.39833E+00
    0.27732E-03    0.40620E+00
    0.28292E-03    0.41422E+00
    0.28864E-03    0.42240E+00
    0.29447E-03    0.43075E+00
    0.30042E-03    0.43926E+00
    0.30649E-03    0.44793E+00
    0.31268E-03    0.45678E+00
    0.31899E-03    0.46580E+00
    0.32544E-03    0.47500E+00
    0.33201E-03    0.48439E+00
    0.33872E-03    0.49395E+00
    0.34556E-03    0.50371E+00
    0.35254E-03    0.51365E+00
    0.35966E-03    0.52380E+00
    0.36693E-03    0.53414E+00
    0.37434E-03    0.54468E+00
    0.38190E-03    0.55544E+00
    0.38962E-03    0.56640E+00
    0.39749E-03    0.57758E+00
    0.40552E-03    0.58898E+00
    0.41371E-03    0.60061E+00
    0.42207E-03    0.61246E+00
    0.43060E-03    0.62455E+00
    0.43929E-03    0.63687E+00
    0.44817E-03    0.64944E+00
    0.45722E-03    0.66225E+00
    0.46646E-03    0.67531E+00
    0.47588E-03    0.68864E+00
    0.48550E-03    0.70222E+00
    0.49530E-03    0.71607E+00
    0.50531E-03    0.73019E+00
    0.51552E-03    0.74458E+00
    0.52593E-03    0.75926E+00
    0.53656E-03    0.77423E+00
    0.54739E-03    0.78949E+00
    0.55845E-03    0.80505E+00
    0.56973E-03    0.82091E+00
    0.58124E-03    0.83709E+00
    0.59299E-03    0.85358E+00
    0.60496E-03    0.87039E+00
    0.61719E-03    0.88753E+00
    0.62965E-03    0.90501E+00
    0.64237E-03    0.92283E+00
    0.65535E-03    0.94099E+00
    0.66859E-03    0.95951E+00
    0.68210E-03    0.97839E+00
    0.69588E-03    0.99763E+00
    0.70993E-03    0.10173E+01
    0.72427E-03    0.10373E+01
    0.73891E-03    0.10577E+01
    0.75383E-03    0.10784E+01
    0.76906E-03    0.10996E+01
    0.78460E-03    0.11212E+01
    0.80045E-03    0.11433E+01
    0.81662E-03    0.11657E+01
    0.83311E-03    0.11886E+01
    0.84994E-03    0.12119E+01
    0.86711E-03    0.12357E+01
    0.88463E-03    0.12599E+01
    0.90250E-03    0.12846E+01
    0.92073E-03    0.13098E+01
    0.93933E-03    0.13354E+01
    0.95831E-03    0.13616E+01
    0.97767E-03    0.13883E+01
    0.99742E-03    0.14154E+01
    0.10176E-02    0.14431E+01
    0.10381E-02    0.14713E+01
    0.10591E-02    0.15001E+01
    0.10805E-02    0.15294E+01
    0.11023E-02    0.15592E+01
    0.11246E-02    0.15897E+01
    0.11473E-02    0.16207E+01
    0.11705E-02    0.16523E+01
    0.11941E-02    0.16844E+01
    0.12182E-02    0.17172E+01
    0.12429E-02    0.17507E+01
    0.12680E-02    0.17847E+01
    0.12936E-02    0.18194E+01
    0.13197E-02    0.18547E+01
    0.13464E-02    0.18907E+01
    0.13736E-02    0.19274E+01
    0.14013E-02    0.19647E+01
    0.14296E-02    0.20027E+01
    0.14585E-02    0.20415E+01
    0.14880E-02    0.20809E+01
    0.15180E-02    0.21211E+01
    0.15487E-02    0.21620E+01
    0.15800E-02    0.22037E+01
    0.16119E-02    0.22461E+01
    0.16445E-02    0.22894E+01
    0.16777E-02    0.23333E+01
    0.17116E-02    0.23781E+01
    0.17462E-02    0.24237E+01
    0.17814E-02    0.24701E+01
    0.18174E-02    0.25173E+01
    0.18541E-02    0.25654E+01
    0.18916E-02    0.26143E+01
    0.19298E-02    0.26641E+01
    0.19688E-02    0.27148E+01
    0.20086E-02    0.27664E+01
    0.20491E-02    0.28188E+01
    0.20905E-02    0.28722E+01
    0.21328E-02    0.29264E+01
    0.21758E-02    0.29816E+01
    0.22198E-02    0.30378E+01
    0.22646E-02    0.30949E+01
    0.23104E-02    0.31530E+01
    0.23571E-02    0.32120E+01
    0.24047E-02    0.32720E+01
    0.24533E-02    0.33330E+01
    0.25028E-02    0.33950E+01
    0.25534E-02    0.34581E+01
    0.26050E-02    0.35221E+01
    0.26576E-02    0.35872E+01
    0.27113E-02    0.36533E+01
    0.27660E-02    0.37204E+01
    0.28219E-02    0.37887E+01
    0.28789E-02    0.38579E+01
    0.29371E-02    0.39283E+01
    0.29964E-02    0.39997E+01
    0.30569E-02    0.40722E+01
    0.31187E-02    0.41458E+01
    0.31817E-02    0.42205E+01
    0.32460E-02    0.42963E+01
    0.33115E-02    0.43731E+01
    0.33784E-02    0.44511E+01
    0.34467E-02    0.45302E+01
    0.35163E-02    0.46104E+01
    0.35874E-02    0.46917E+01
    0.36598E-02    0.47741E+01
    0.37338E-02    0.48577E+01
    0.38092E-02    0.49423E+01
    0.38861E-02    0.50281E+01
    0.39646E-02    0.51150E+01
    0.40447E-02    0.52029E+01
    0.41264E-02    0.52921E+01
    0.42098E-02    0.53823E+01
    0.42948E-02    0.54736E+01
    0.43816E-02    0.55660E+01
    0.44701E-02    0.56595E+01
    0.45604E-02    0.57541E+01
    0.46525E-02    0.58498E+01
    0.47465E-02    0.59466E+01
    0.48424E-02    0.60444E+01
    0.49402E-02    0.61433E+01
    0.50400E-02    0.62432E+01
    0.51419E-02    0.63441E+01
    0.52457E-02    0.64461E+01
    0.53517E-02    0.65491E+01
    0.54598E-02    0.66531E+01
    0.55701E-02    0.67580E+01
    0.56826E-02    0.68639E+01
    0.57974E-02    0.69707E+01
    0.59145E-02    0.70785E+01
    0.60340E-02    0.71871E+01
    0.61559E-02    0.72966E+01
    0.62803E-02    0.74070E+01
    0.64072E-02    0.75181E+01
    0.65366E-02    0.76301E+01
    0.66686E-02    0.77428E+01
    0.68033E-02    0.78561E+01
    0.69408E-02    0.79702E+01
    0.70810E-02    0.80848E+01
    0.72240E-02    0.82000E+01
    0.73700E-02    0.83158E+01
    0.75189E-02    0.84320E+01
    0.76708E-02    0.85486E+01
    0.78257E-02    0.86655E+01
    0.79838E-02    0.87828E+01
    0.81451E-02    0.89002E+01
    0.83096E-02    0.90178E+01
    0.84775E-02    0.91354E+01
    0.86488E-02    0.92530E+01
