#    L    TT             EE             BB             TE          
     2    0.10379E+04    0.52917E-01    0.15546E-05    0.32743E+01
     3    0.98064E+03    0.85246E-01    0.31127E-05    0.40966E+01
     4    0.92467E+03    0.94225E-01    0.51953E-05    0.42153E+01
     5    0.88137E+03    0.81916E-01    0.78064E-05    0.39078E+01
     6    0.85059E+03    0.59180E-01    0.10950E-04    0.33953E+01
     7    0.83017E+03    0.36838E-01    0.14631E-04    0.28230E+01
     8    0.81745E+03    0.20931E-01    0.18854E-04    0.22781E+01
     9    0.81092E+03    0.12335E-01    0.23621E-04    0.18129E+01
    10    0.80912E+03    0.88827E-02    0.28936E-04    0.14548E+01
    11    0.81090E+03    0.77918E-02    0.34800E-04    0.12104E+01
    12    0.81586E+03    0.72375E-02    0.41214E-04    0.10723E+01
    13    0.82271E+03    0.64681E-02    0.48179E-04    0.10211E+01
    14    0.83111E+03    0.57343E-02    0.55693E-04    0.10332E+01
    15    0.84092E+03    0.52622E-02    0.63754E-04    0.10858E+01
    16    0.85199E+03    0.51763E-02    0.72360E-04    0.11583E+01
    17    0.86417E+03    0.54401E-02    0.81510E-04    0.12350E+01
    18    0.87662E+03    0.58051E-02    0.91200E-04    0.13055E+01
    19    0.89066E+03    0.61845E-02    0.10143E-03    0.13682E+01
    20    0.90501E+03    0.66056E-02    0.11220E-03    0.14211E+01
    21    0.91983E+03    0.71230E-02    0.12351E-03    0.14667E+01
    22    0.93514E+03    0.78679E-02    0.13535E-03    0.15079E+01
    23    0.95074E+03    0.88914E-02    0.14774E-03    0.15489E+01
    24    0.96677E+03    0.10183E-01    0.16068E-03    0.15935E+01
    25    0.98321E+03    0.11733E-01    0.17416E-03    0.16419E+01
    26    0.99990E+03    0.13498E-01    0.18820E-03    0.16947E+01
    27    0.10170E+04    0.15456E-01    0.20280E-03    0.17489E+01
    28    0.10343E+04    0.17613E-01    0.21796E-03    0.18019E+01
    29    0.10520E+04    0.19958E-01    0.23370E-03    0.18512E+01
    30    0.10700E+04    0.22489E-01    0.25000E-03    0.18931E+01
    31    0.10880E+04    0.25211E-01    0.26689E-03    0.19254E+01
    32    0.11065E+04    0.28121E-01    0.28435E-03    0.19464E+01
    33    0.11252E+04    0.31220E-01    0.30240E-03    0.19551E+01
    34    0.11442E+04    0.34525E-01    0.32102E-03    0.19516E+01
    35    0.11634E+04    0.38067E-01    0.34022E-03    0.19361E+01
    36    0.11829E+04    0.41875E-01    0.36000E-03    0.19086E+01
    37    0.12026E+04    0.45944E-01    0.38035E-03    0.18709E+01
    38    0.12225E+04    0.50269E-01    0.40127E-03    0.18265E+01
    39    0.12427E+04    0.54860E-01    0.42276E-03    0.17738E+01
    40    0.12631E+04    0.59739E-01    0.44480E-03    0.17100E+01
    41    0.12837E+04    0.64925E-01    0.46741E-03    0.16328E+01
    42    0.13044E+04    0.70419E-01    0.49057E-03    0.15418E+01
    43    0.13253E+04    0.76216E-01    0.51429E-03    0.14375E+01
    44    0.13463E+04    0.82296E-01    0.53856E-03    0.13211E+01
    45    0.13677E+04    0.88650E-01    0.56339E-03    0.11941E+01
    46    0.13896E+04    0.95274E-01    0.58878E-03    0.10553E+01
    47    0.14116E+04    0.10218E+00    0.61473E-03    0.90450E+00
    48    0.14338E+04    0.10937E+00    0.64125E-03    0.74396E+00
    49    0.14561E+04    0.11686E+00    0.66833E-03    0.57549E+00
    50    0.14789E+04    0.12463E+00    0.69599E-03    0.39409E+00
    51    0.15018E+04    0.13266E+00    0.72422E-03    0.19392E+00
    52    0.15251E+04    0.14103E+00    0.75302E-03   -0.28555E-01
    53    0.15484E+04    0.14988E+00    0.78241E-03   -0.27447E+00
    54    0.15717E+04    0.15919E+00    0.81237E-03   -0.53698E+00
    55    0.15951E+04    0.16895E+00    0.84291E-03   -0.80913E+00
    56    0.16190E+04    0.17898E+00    0.87402E-03   -0.10907E+01
    57    0.16432E+04    0.18918E+00    0.90571E-03   -0.13821E+01
    58    0.16677E+04    0.19953E+00    0.93796E-03   -0.16851E+01
    59    0.16925E+04    0.21005E+00    0.97077E-03   -0.20016E+01
    60    0.17175E+04    0.22079E+00    0.10041E-02   -0.23320E+01
    61    0.17430E+04    0.23182E+00    0.10381E-02   -0.26763E+01
    62    0.17685E+04    0.24317E+00    0.10726E-02   -0.30358E+01
    63    0.17941E+04    0.25484E+00    0.11076E-02   -0.34115E+01
    64    0.18202E+04    0.26690E+00    0.11431E-02   -0.38049E+01
