#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10379E+04    0.52915E-01    0.00000E+00    0.32743E+01    0.50685E-07    0.32946E-02   -0.15727E-04
     3    0.98063E+03    0.85243E-01    0.00000E+00    0.40966E+01    0.61896E-07    0.33022E-02   -0.19229E-04
     4    0.92466E+03    0.94220E-01    0.00000E+00    0.42153E+01    0.71534E-07    0.32334E-02   -0.19250E-04
     5    0.88135E+03    0.81908E-01    0.00000E+00    0.39078E+01    0.79891E-07    0.31318E-02   -0.16774E-04
     6    0.85057E+03    0.59169E-01    0.00000E+00    0.33953E+01    0.87163E-07    0.30163E-02   -0.12753E-04
     7    0.83013E+03    0.36823E-01    0.00000E+00    0.28230E+01    0.93540E-07    0.28962E-02   -0.81129E-05
     8    0.81740E+03    0.20912E-01    0.00000E+00    0.22781E+01    0.99164E-07    0.27768E-02   -0.36549E-05
     9    0.81086E+03    0.12312E-01    0.00000E+00    0.18129E+01    0.10415E-06    0.26610E-02    0.18372E-07
    10    0.80906E+03    0.88538E-02    0.00000E+00    0.14548E+01    0.10856E-06    0.25507E-02    0.25460E-05
    11    0.81083E+03    0.77570E-02    0.00000E+00    0.12104E+01    0.11251E-06    0.24480E-02    0.38223E-05
    12    0.81578E+03    0.71963E-02    0.00000E+00    0.10723E+01    0.11601E-06    0.23522E-02    0.39500E-05
    13    0.82262E+03    0.64199E-02    0.00000E+00    0.10211E+01    0.11912E-06    0.22631E-02    0.32177E-05
    14    0.83100E+03    0.56786E-02    0.00000E+00    0.10333E+01    0.12189E-06    0.21804E-02    0.19468E-05
    15    0.84079E+03    0.51984E-02    0.00000E+00    0.10859E+01    0.12436E-06    0.21032E-02    0.47926E-06
    16    0.85185E+03    0.51040E-02    0.00000E+00    0.11584E+01    0.12655E-06    0.20302E-02   -0.87230E-06
    17    0.86401E+03    0.53586E-02    0.00000E+00    0.12351E+01    0.12849E-06    0.19612E-02   -0.19125E-05
    18    0.87645E+03    0.57139E-02    0.00000E+00    0.13056E+01    0.13022E-06    0.18960E-02   -0.25105E-05
    19    0.89046E+03    0.60831E-02    0.00000E+00    0.13683E+01    0.13174E-06    0.18339E-02   -0.26735E-05
    20    0.90479E+03    0.64935E-02    0.00000E+00    0.14212E+01    0.13306E-06    0.17744E-02   -0.24586E-05
    21    0.91960E+03    0.69996E-02    0.00000E+00    0.14669E+01    0.13422E-06    0.17175E-02   -0.19912E-05
    22    0.93489E+03    0.77326E-02    0.00000E+00    0.15081E+01    0.13522E-06    0.16632E-02   -0.14107E-05
    23    0.95047E+03    0.87438E-02    0.00000E+00    0.15492E+01    0.13609E-06    0.16118E-02   -0.85095E-06
    24    0.96647E+03    0.10022E-01    0.00000E+00    0.15937E+01    0.13682E-06    0.15635E-02   -0.42521E-06
    25    0.98288E+03    0.11559E-01    0.00000E+00    0.16422E+01    0.13743E-06    0.15177E-02   -0.17210E-06
    26    0.99955E+03    0.13310E-01    0.00000E+00    0.16950E+01    0.13793E-06    0.14740E-02   -0.10292E-06
    27    0.10166E+04    0.15253E-01    0.00000E+00    0.17493E+01    0.13833E-06    0.14326E-02   -0.19360E-06
    28    0.10339E+04    0.17395E-01    0.00000E+00    0.18024E+01    0.13864E-06    0.13937E-02   -0.40646E-06
    29    0.10516E+04    0.19725E-01    0.00000E+00    0.18517E+01    0.13886E-06    0.13568E-02   -0.68376E-06
    30    0.10695E+04    0.22239E-01    0.00000E+00    0.18937E+01    0.13900E-06    0.13215E-02   -0.96314E-06
    31    0.10876E+04    0.24944E-01    0.00000E+00    0.19260E+01    0.13907E-06    0.12876E-02   -0.11827E-05
    32    0.11060E+04    0.27837E-01    0.00000E+00    0.19471E+01    0.13907E-06    0.12551E-02   -0.12942E-05
    33    0.11247E+04    0.30918E-01    0.00000E+00    0.19559E+01    0.13901E-06    0.12241E-02   -0.13025E-05
    34    0.11436E+04    0.34205E-01    0.00000E+00    0.19524E+01    0.13888E-06    0.11944E-02   -0.12260E-05
    35    0.11629E+04    0.37727E-01    0.00000E+00    0.19370E+01    0.13871E-06    0.11657E-02   -0.10857E-05
    36    0.11823E+04    0.41516E-01    0.00000E+00    0.19096E+01    0.13848E-06    0.11379E-02   -0.90571E-06
    37    0.12019E+04    0.45565E-01    0.00000E+00    0.18721E+01    0.13821E-06    0.11113E-02   -0.71980E-06
    38    0.12218E+04    0.49869E-01    0.00000E+00    0.18278E+01    0.13790E-06    0.10860E-02   -0.55833E-06
    39    0.12420E+04    0.54439E-01    0.00000E+00    0.17752E+01    0.13754E-06    0.10621E-02   -0.42801E-06
    40    0.12623E+04    0.59296E-01    0.00000E+00    0.17115E+01    0.13715E-06    0.10393E-02   -0.32967E-06
    41    0.12829E+04    0.64461E-01    0.00000E+00    0.16344E+01    0.13673E-06    0.10174E-02   -0.26347E-06
    42    0.13036E+04    0.69932E-01    0.00000E+00    0.15435E+01    0.13627E-06    0.99647E-03   -0.22681E-06
    43    0.13245E+04    0.75707E-01    0.00000E+00    0.14393E+01    0.13578E-06    0.97625E-03   -0.21643E-06
    44    0.13455E+04    0.81763E-01    0.00000E+00    0.13230E+01    0.13527E-06    0.95668E-03   -0.22908E-06
    45    0.13669E+04    0.88093E-01    0.00000E+00    0.11961E+01    0.13474E-06    0.93766E-03   -0.26152E-06
    46    0.13887E+04    0.94693E-01    0.00000E+00    0.10575E+01    0.13418E-06    0.91911E-03   -0.31002E-06
    47    0.14107E+04    0.10157E+00    0.00000E+00    0.90675E+00    0.13360E-06    0.90103E-03   -0.36872E-06
    48    0.14328E+04    0.10874E+00    0.00000E+00    0.74632E+00    0.13300E-06    0.88347E-03   -0.43127E-06
    49    0.14551E+04    0.11621E+00    0.00000E+00    0.57796E+00    0.13238E-06    0.86646E-03   -0.49134E-06
    50    0.14778E+04    0.12395E+00    0.00000E+00    0.39667E+00    0.13174E-06    0.85003E-03   -0.54261E-06
    51    0.15007E+04    0.13195E+00    0.00000E+00    0.19662E+00    0.13110E-06    0.83422E-03   -0.57980E-06
    52    0.15240E+04    0.14029E+00    0.00000E+00   -0.25742E-01    0.13043E-06    0.81902E-03   -0.60178E-06
    53    0.15473E+04    0.14911E+00    0.00000E+00   -0.27154E+00    0.12976E-06    0.80445E-03   -0.60847E-06
    54    0.15705E+04    0.15840E+00    0.00000E+00   -0.53394E+00    0.12907E-06    0.79048E-03   -0.59978E-06
    55    0.15939E+04    0.16813E+00    0.00000E+00   -0.80598E+00    0.12838E-06    0.77712E-03   -0.57560E-06
    56    0.16177E+04    0.17814E+00    0.00000E+00   -0.10874E+01    0.12767E-06    0.76436E-03   -0.53729E-06
    57    0.16419E+04    0.18831E+00    0.00000E+00   -0.13787E+01    0.12696E-06    0.75209E-03   -0.49203E-06
    58    0.16664E+04    0.19863E+00    0.00000E+00   -0.16817E+01    0.12623E-06    0.74022E-03   -0.44844E-06
    59    0.16911E+04    0.20912E+00    0.00000E+00   -0.19981E+01    0.12551E-06    0.72863E-03   -0.41512E-06
    60    0.17161E+04    0.21983E+00    0.00000E+00   -0.23284E+01    0.12477E-06    0.71722E-03   -0.40065E-06
    61    0.17416E+04    0.23083E+00    0.00000E+00   -0.26727E+01    0.12403E-06    0.70590E-03   -0.41091E-06
    62    0.17671E+04    0.24215E+00    0.00000E+00   -0.30321E+01    0.12329E-06    0.69473E-03   -0.44101E-06
    63    0.17927E+04    0.25379E+00    0.00000E+00   -0.34078E+01    0.12254E-06    0.68376E-03   -0.48339E-06
    64    0.18187E+04    0.26582E+00    0.00000E+00   -0.38011E+01    0.12179E-06    0.67307E-03   -0.53048E-06
    65    0.18448E+04    0.27825E+00    0.00000E+00   -0.42128E+01    0.12104E-06    0.66271E-03   -0.57474E-06
    66    0.18712E+04    0.29104E+00    0.00000E+00   -0.46408E+01    0.12028E-06    0.65276E-03   -0.60975E-06
    67    0.18978E+04    0.30416E+00    0.00000E+00   -0.50819E+01    0.11952E-06    0.64319E-03   -0.63364E-06
    68    0.19249E+04    0.31758E+00    0.00000E+00   -0.55336E+01    0.11876E-06    0.63401E-03   -0.64565E-06
    69    0.19522E+04    0.33121E+00    0.00000E+00   -0.59934E+01    0.11800E-06    0.62519E-03   -0.64502E-06
    70    0.19800E+04    0.34504E+00    0.00000E+00   -0.64622E+01    0.11724E-06    0.61672E-03   -0.63100E-06
    71    0.20080E+04    0.35900E+00    0.00000E+00   -0.69419E+01    0.11648E-06    0.60858E-03   -0.60436E-06
    72    0.20363E+04    0.37310E+00    0.00000E+00   -0.74351E+01    0.11572E-06    0.60069E-03   -0.57203E-06
    73    0.20647E+04    0.38735E+00    0.00000E+00   -0.79436E+01    0.11497E-06    0.59298E-03   -0.54243E-06
    74    0.20933E+04    0.40178E+00    0.00000E+00   -0.84681E+01    0.11421E-06    0.58536E-03   -0.52399E-06
    75    0.21222E+04    0.41645E+00    0.00000E+00   -0.90085E+01    0.11345E-06    0.57777E-03   -0.52513E-06
    76    0.21512E+04    0.43138E+00    0.00000E+00   -0.95650E+01    0.11270E-06    0.57013E-03   -0.55124E-06
    77    0.21805E+04    0.44656E+00    0.00000E+00   -0.10136E+02    0.11194E-06    0.56253E-03   -0.59563E-06
    78    0.22101E+04    0.46198E+00    0.00000E+00   -0.10719E+02    0.11119E-06    0.55504E-03   -0.64861E-06
    79    0.22400E+04    0.47756E+00    0.00000E+00   -0.11309E+02    0.11044E-06    0.54775E-03   -0.70049E-06
    80    0.22702E+04    0.49327E+00    0.00000E+00   -0.11905E+02    0.10970E-06    0.54074E-03   -0.74160E-06
    81    0.23008E+04    0.50904E+00    0.00000E+00   -0.12506E+02    0.10895E-06    0.53408E-03   -0.76456E-06
    82    0.23317E+04    0.52490E+00    0.00000E+00   -0.13112E+02    0.10821E-06    0.52773E-03   -0.77116E-06
    83    0.23629E+04    0.54084E+00    0.00000E+00   -0.13726E+02    0.10747E-06    0.52161E-03   -0.76548E-06
    84    0.23945E+04    0.55688E+00    0.00000E+00   -0.14348E+02    0.10674E-06    0.51566E-03   -0.75158E-06
    85    0.24262E+04    0.57300E+00    0.00000E+00   -0.14982E+02    0.10601E-06    0.50981E-03   -0.73353E-06
    86    0.24581E+04    0.58923E+00    0.00000E+00   -0.15629E+02    0.10528E-06    0.50401E-03   -0.71487E-06
    87    0.24904E+04    0.60553E+00    0.00000E+00   -0.16288E+02    0.10456E-06    0.49825E-03   -0.69697E-06
    88    0.25228E+04    0.62191E+00    0.00000E+00   -0.16957E+02    0.10384E-06    0.49256E-03   -0.68069E-06
    89    0.25555E+04    0.63834E+00    0.00000E+00   -0.17636E+02    0.10313E-06    0.48695E-03   -0.66688E-06
    90    0.25885E+04    0.65478E+00    0.00000E+00   -0.18321E+02    0.10241E-06    0.48143E-03   -0.65637E-06
    91    0.26216E+04    0.67120E+00    0.00000E+00   -0.19010E+02    0.10171E-06    0.47603E-03   -0.64984E-06
    92    0.26551E+04    0.68760E+00    0.00000E+00   -0.19705E+02    0.10101E-06    0.47075E-03   -0.64714E-06
    93    0.26890E+04    0.70396E+00    0.00000E+00   -0.20403E+02    0.10031E-06    0.46557E-03   -0.64797E-06
    94    0.27229E+04    0.72024E+00    0.00000E+00   -0.21104E+02    0.99613E-07    0.46050E-03   -0.65199E-06
    95    0.27571E+04    0.73645E+00    0.00000E+00   -0.21809E+02    0.98924E-07    0.45554E-03   -0.65891E-06
    96    0.27914E+04    0.75257E+00    0.00000E+00   -0.22517E+02    0.98239E-07    0.45067E-03   -0.66839E-06
    97    0.28262E+04    0.76858E+00    0.00000E+00   -0.23227E+02    0.97558E-07    0.44591E-03   -0.68012E-06
    98    0.28611E+04    0.78447E+00    0.00000E+00   -0.23936E+02    0.96882E-07    0.44123E-03   -0.69378E-06
    99    0.28962E+04    0.80022E+00    0.00000E+00   -0.24649E+02    0.96211E-07    0.43666E-03   -0.70906E-06
   100    0.29317E+04    0.81581E+00    0.00000E+00   -0.25361E+02    0.95544E-07    0.43217E-03   -0.72563E-06
   101    0.29672E+04    0.83130E+00    0.00000E+00   -0.26074E+02    0.94882E-07    0.42777E-03   -0.74318E-06
   102    0.30034E+04    0.84655E+00    0.00000E+00   -0.26786E+02    0.94224E-07    0.42345E-03   -0.76140E-06
   103    0.30394E+04    0.86163E+00    0.00000E+00   -0.27499E+02    0.93571E-07    0.41921E-03   -0.77996E-06
