#    L    TT             EE             TE             PP             TP          
     2    0.10379E+04    0.52915E-01    0.32743E+01    0.10514E+07    0.30711E+05
     3    0.98063E+03    0.85243E-01    0.40966E+01    0.16250E+07    0.36731E+05
     4    0.92466E+03    0.94220E-01    0.42153E+01    0.21368E+07    0.39621E+05
     5    0.88135E+03    0.81908E-01    0.39078E+01    0.25895E+07    0.40799E+05
     6    0.85057E+03    0.59169E-01    0.33953E+01    0.29889E+07    0.40990E+05
     7    0.83013E+03    0.36823E-01    0.28230E+01    0.33426E+07    0.40595E+05
     8    0.81740E+03    0.20912E-01    0.22781E+01    0.36570E+07    0.39852E+05
     9    0.81086E+03    0.12312E-01    0.18129E+01    0.39374E+07    0.38908E+05
    10    0.80906E+03    0.88538E-02    0.14548E+01    0.41877E+07    0.37861E+05
    11    0.81083E+03    0.77570E-02    0.12104E+01    0.44125E+07    0.36792E+05
    12    0.81578E+03    0.71963E-02    0.10723E+01    0.46136E+07    0.35724E+05
    13    0.82262E+03    0.64199E-02    0.10211E+01    0.47938E+07    0.34678E+05
    14    0.83100E+03    0.56786E-02    0.10333E+01    0.49557E+07    0.33668E+05
    15    0.84079E+03    0.51984E-02    0.10859E+01    0.51013E+07    0.32693E+05
    16    0.85185E+03    0.51040E-02    0.11584E+01    0.52319E+07    0.31745E+05
    17    0.86401E+03    0.53586E-02    0.12351E+01    0.53493E+07    0.30826E+05
    18    0.87645E+03    0.57139E-02    0.13056E+01    0.54548E+07    0.29939E+05
    19    0.89046E+03    0.60831E-02    0.13683E+01    0.55492E+07    0.29079E+05
    20    0.90479E+03    0.64935E-02    0.14212E+01    0.56331E+07    0.28242E+05
    21    0.91960E+03    0.69996E-02    0.14669E+01    0.57078E+07    0.27430E+05
    22    0.93489E+03    0.77326E-02    0.15081E+01    0.57745E+07    0.26645E+05
    23    0.95047E+03    0.87438E-02    0.15492E+01    0.58336E+07    0.25894E+05
    24    0.96647E+03    0.10022E-01    0.15937E+01    0.58853E+07    0.25184E+05
    25    0.98288E+03    0.11559E-01    0.16422E+01    0.59305E+07    0.24506E+05
    26    0.99955E+03    0.13310E-01    0.16950E+01    0.59698E+07    0.23853E+05
    27    0.10166E+04    0.15253E-01    0.17493E+01    0.60036E+07    0.23230E+05
    28    0.10339E+04    0.17395E-01    0.18024E+01    0.60324E+07    0.22643E+05
    29    0.10516E+04    0.19725E-01    0.18517E+01    0.60564E+07    0.22083E+05
    30    0.10695E+04    0.22239E-01    0.18937E+01    0.60760E+07    0.21544E+05
